Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2005-06-07,292.0,342.45,278.5,280.9,280.9,1204.0,3.44,NSE/NSIL
2005-06-08,283.0,290.0,283.0,290.0,289.6,560.0,1.6,NSE/NSIL
2005-06-09,285.0,285.0,284.1,284.1,284.1,85.0,0.24,NSE/NSIL
2005-06-10,289.0,289.0,285.0,285.25,285.45,97.0,0.28,NSE/NSIL
2005-06-13,274.0,292.0,274.0,292.0,292.0,2017.0,5.76,NSE/NSIL
2005-06-14,283.0,293.0,283.0,293.0,292.1,217.0,0.63,NSE/NSIL
2005-06-15,283.7,293.9,283.7,290.0,288.75,10610.0,30.64,NSE/NSIL
2005-06-16,282.3,289.9,282.3,289.0,286.9,103.0,0.3,NSE/NSIL
2005-06-17,281.0,294.0,280.0,280.25,280.25,762.0,2.17,NSE/NSIL
2005-06-20,281.0,281.0,272.1,272.1,272.8,420.0,1.16,NSE/NSIL
2005-06-21,285.95,300.0,280.0,300.0,299.1,7741.0,22.75,NSE/NSIL
2005-06-22,329.05,329.05,288.0,288.15,289.0,395.0,1.16,NSE/NSIL
2005-06-23,289.0,290.0,281.1,290.0,289.7,265.0,0.76,NSE/NSIL
2005-06-24,281.05,289.9,277.25,289.9,288.35,5102.0,14.33,NSE/NSIL
2005-06-27,281.0,284.0,281.0,283.0,283.0,1830.0,5.18,NSE/NSIL
2005-06-28,283.0,283.0,283.0,283.0,283.0,339.0,0.96,NSE/NSIL
2005-06-29,280.0,280.0,276.0,276.25,279.7,1307.0,3.66,NSE/NSIL
2005-06-30,276.25,280.0,276.25,280.0,280.0,298.0,0.83,NSE/NSIL
2005-07-01,275.1,288.0,275.0,285.0,280.95,447.0,1.25,NSE/NSIL
2005-07-04,287.5,287.5,275.05,275.05,275.95,70.0,0.19,NSE/NSIL
2005-07-05,275.1,275.1,275.0,275.0,275.0,358.0,0.98,NSE/NSIL
2005-07-06,281.8,283.0,275.1,283.0,282.1,213.0,0.6,NSE/NSIL
2005-07-07,276.05,276.05,275.1,275.1,275.1,1130.0,3.12,NSE/NSIL
2005-07-08,275.15,285.0,275.1,285.0,283.0,192.0,0.54,NSE/NSIL
2005-07-11,266.0,282.0,266.0,282.0,282.0,282.0,0.79,NSE/NSIL
2005-07-12,280.0,285.0,280.0,285.0,285.0,732.0,2.08,NSE/NSIL
2005-07-13,280.0,290.0,280.0,282.0,282.0,377.0,1.08,NSE/NSIL
2005-07-14,280.0,290.0,280.0,290.0,289.05,2019.0,5.79,NSE/NSIL
2005-07-15,285.3,290.0,285.25,289.8,289.75,733.0,2.11,NSE/NSIL
2005-07-18,289.0,290.0,285.5,286.0,286.0,1010.0,2.92,NSE/NSIL
2005-07-19,286.0,289.0,285.0,285.0,285.0,90.0,0.26,NSE/NSIL
