Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2014-10-08,131.95,131.95,122.65,124.0,124.1,59177.0,74.53,NSE/AXISCADES
2014-10-09,128.0,131.7,125.8,127.5,127.4,62573.0,80.42,NSE/AXISCADES
2014-10-10,126.5,128.0,125.0,126.15,126.15,42311.0,53.43,NSE/AXISCADES
2014-10-13,125.0,127.5,123.0,123.55,124.1,44256.0,55.21,NSE/AXISCADES
2014-10-14,123.1,129.9,123.1,125.6,125.85,56422.0,71.8,NSE/AXISCADES
2014-10-16,125.0,128.1,115.4,116.9,117.3,41196.0,50.27,NSE/AXISCADES
2014-10-17,118.95,118.95,110.0,115.5,114.8,37378.0,42.82,NSE/AXISCADES
2014-10-20,115.7,121.0,115.0,117.0,116.55,34655.0,40.72,NSE/AXISCADES
2014-10-21,117.75,119.0,116.0,117.2,117.05,16034.0,18.85,NSE/AXISCADES
2014-10-22,118.2,124.0,118.0,122.0,122.4,37389.0,45.41,NSE/AXISCADES
2014-10-23,123.0,126.0,121.8,122.4,123.5,15797.0,19.62,NSE/AXISCADES
2014-10-27,127.5,127.5,118.35,120.8,120.75,23448.0,28.39,NSE/AXISCADES
2014-10-28,119.2,121.9,117.0,118.5,118.8,8850.0,10.58,NSE/AXISCADES
2014-10-29,118.0,122.9,118.0,118.7,119.15,17823.0,21.47,NSE/AXISCADES
2014-10-30,120.65,120.65,116.0,118.25,118.15,10885.0,12.94,NSE/AXISCADES
2014-10-31,119.75,124.0,118.5,120.15,120.0,26859.0,32.38,NSE/AXISCADES
2014-11-03,121.9,123.5,120.75,121.8,121.8,28947.0,35.32,NSE/AXISCADES
2014-11-05,123.35,123.35,118.15,119.0,119.45,18756.0,22.61,NSE/AXISCADES
2014-11-07,123.25,123.25,116.2,116.65,116.85,12581.0,14.77,NSE/AXISCADES
2014-11-10,116.3,117.55,109.0,112.45,113.1,45931.0,52.28,NSE/AXISCADES
2014-11-11,113.85,118.5,113.8,117.0,117.65,36195.0,42.24,NSE/AXISCADES
2014-11-12,119.45,134.25,118.3,130.0,129.3,369245.0,474.95,NSE/AXISCADES
2014-11-13,130.7,135.0,125.45,128.05,128.45,136795.0,178.45,NSE/AXISCADES
