Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-02-03,124.05,124.05,116.8,118.9,118.35,18657.0,22.14,NSE/AYMSYNTEX
2016-02-04,116.8,119.05,113.0,115.75,115.7,40173.0,46.82,NSE/AYMSYNTEX
2016-02-05,115.0,117.0,105.0,116.1,115.7,38727.0,43.42,NSE/AYMSYNTEX
2016-02-08,115.05,120.0,114.0,114.5,116.55,35428.0,41.88,NSE/AYMSYNTEX
2016-02-09,113.0,117.95,111.3,117.95,116.95,21227.0,24.46,NSE/AYMSYNTEX
2016-02-10,115.9,121.0,106.2,110.0,108.1,86910.0,98.12,NSE/AYMSYNTEX
2016-02-11,105.0,108.75,95.6,97.5,98.0,130083.0,129.55,NSE/AYMSYNTEX
2016-02-12,102.95,105.0,87.0,100.95,100.0,58034.0,55.56,NSE/AYMSYNTEX
2016-02-15,100.0,108.45,92.35,103.95,105.9,67350.0,67.91,NSE/AYMSYNTEX
2016-02-16,108.2,109.0,96.0,97.4,98.1,30261.0,30.54,NSE/AYMSYNTEX
2016-02-17,96.2,101.0,92.0,95.9,96.65,15605.0,15.1,NSE/AYMSYNTEX
2016-02-18,100.0,104.0,98.0,98.0,98.6,71822.0,72.35,NSE/AYMSYNTEX
2016-02-19,98.05,100.9,96.5,97.0,98.05,5366.0,5.31,NSE/AYMSYNTEX
2016-02-22,95.05,100.0,91.55,98.6,97.25,9971.0,9.7,NSE/AYMSYNTEX
2016-02-23,99.75,99.75,94.0,97.5,97.1,35076.0,33.79,NSE/AYMSYNTEX
2016-02-24,95.0,98.0,93.0,93.0,93.45,37108.0,34.99,NSE/AYMSYNTEX
2016-02-25,93.0,93.95,90.0,90.9,90.2,15534.0,14.27,NSE/AYMSYNTEX
2016-02-26,90.15,93.45,85.5,92.0,91.8,29982.0,26.86,NSE/AYMSYNTEX
2016-02-29,89.65,91.5,86.0,88.0,88.6,21484.0,18.93,NSE/AYMSYNTEX
2016-03-01,90.0,94.0,88.25,93.0,92.4,35467.0,32.4,NSE/AYMSYNTEX
2016-03-02,95.0,98.0,93.45,94.0,94.35,15293.0,14.62,NSE/AYMSYNTEX
2016-03-03,95.5,96.95,93.5,93.75,93.9,13990.0,13.25,NSE/AYMSYNTEX
2016-03-04,95.0,102.0,94.1,98.5,98.05,41487.0,40.65,NSE/AYMSYNTEX
2016-03-08,103.0,104.4,95.2,96.1,98.35,33102.0,33.24,NSE/AYMSYNTEX
2016-03-09,96.25,107.0,96.05,103.5,103.0,36812.0,37.36,NSE/AYMSYNTEX
2016-03-10,100.0,106.7,96.25,102.0,101.0,39836.0,39.94,NSE/AYMSYNTEX
2016-03-11,100.0,104.0,98.0,100.9,99.35,22293.0,22.4,NSE/AYMSYNTEX
2016-03-14,101.0,103.0,98.0,98.8,99.05,71883.0,71.25,NSE/AYMSYNTEX
2016-03-15,99.0,99.0,94.1,95.0,95.45,61445.0,59.42,NSE/AYMSYNTEX
2016-03-16,95.25,95.25,93.0,94.0,94.35,22873.0,21.45,NSE/AYMSYNTEX
2016-03-17,97.85,104.8,94.8,103.0,101.45,79492.0,79.41,NSE/AYMSYNTEX
2016-03-18,100.2,102.8,98.5,99.0,99.4,23541.0,23.65,NSE/AYMSYNTEX
2016-03-21,98.3,101.8,97.2,99.6,99.4,34556.0,34.47,NSE/AYMSYNTEX
2016-03-22,96.5,101.35,95.95,99.25,99.6,25088.0,25.11,NSE/AYMSYNTEX
2016-03-23,104.0,104.0,96.2,101.45,100.75,24176.0,24.07,NSE/AYMSYNTEX
2016-03-28,99.0,101.5,96.85,98.0,97.4,21159.0,20.81,NSE/AYMSYNTEX
2016-03-29,97.3,97.3,94.2,95.0,95.15,66708.0,63.52,NSE/AYMSYNTEX
2016-03-30,97.05,98.75,96.0,96.25,97.6,14121.0,13.72,NSE/AYMSYNTEX
2016-03-31,97.0,101.4,96.15,98.95,97.45,35056.0,34.62,NSE/AYMSYNTEX
2016-04-01,96.0,103.0,96.0,101.45,101.85,31204.0,31.37,NSE/AYMSYNTEX
2016-04-04,103.0,103.5,100.0,102.0,101.55,10782.0,10.95,NSE/AYMSYNTEX
2016-04-05,100.9,101.5,99.05,100.9,99.95,6498.0,6.53,NSE/AYMSYNTEX
2016-04-06,100.0,101.5,97.5,98.55,100.55,39384.0,39.27,NSE/AYMSYNTEX
2016-04-07,100.8,100.8,98.0,98.9,98.7,22537.0,22.32,NSE/AYMSYNTEX
2016-04-08,100.0,108.7,98.15,103.0,102.9,112925.0,117.59,NSE/AYMSYNTEX
2016-04-11,104.0,107.7,99.15,103.0,102.7,118769.0,122.87,NSE/AYMSYNTEX
2016-04-12,104.9,105.5,102.5,103.7,103.65,77787.0,81.3,NSE/AYMSYNTEX
2016-04-13,106.7,107.4,103.0,104.0,103.55,31967.0,33.49,NSE/AYMSYNTEX
2016-04-18,104.65,105.5,102.15,104.0,103.1,26902.0,27.96,NSE/AYMSYNTEX
2016-04-20,104.9,109.9,103.15,106.0,105.95,40584.0,43.02,NSE/AYMSYNTEX
2016-04-21,106.3,107.0,103.8,105.75,104.4,18509.0,19.52,NSE/AYMSYNTEX
2016-04-22,103.75,106.5,103.5,105.5,105.45,29455.0,31.05,NSE/AYMSYNTEX
2016-04-25,106.8,108.3,105.0,106.0,105.4,23855.0,25.36,NSE/AYMSYNTEX
2016-04-26,106.0,113.0,105.5,108.5,107.45,108923.0,119.15,NSE/AYMSYNTEX
2016-04-27,108.5,112.9,106.7,106.7,107.55,56857.0,61.81,NSE/AYMSYNTEX
2016-04-28,108.9,110.0,103.55,105.5,104.75,35114.0,37.09,NSE/AYMSYNTEX
2016-04-29,104.05,106.95,104.0,104.0,104.65,18688.0,19.68,NSE/AYMSYNTEX
2016-05-02,105.2,107.0,103.0,106.05,106.2,20077.0,21.1,NSE/AYMSYNTEX
2016-05-03,106.0,109.8,106.0,107.6,107.45,44215.0,47.84,NSE/AYMSYNTEX
2016-05-04,106.1,108.4,104.0,107.6,105.5,26485.0,28.19,NSE/AYMSYNTEX
2016-05-05,107.0,108.4,104.0,104.25,104.75,22374.0,23.53,NSE/AYMSYNTEX
2016-05-06,106.8,111.2,104.0,105.0,105.4,41713.0,44.6,NSE/AYMSYNTEX
2016-05-09,107.5,111.0,104.55,107.2,107.65,91294.0,98.64,NSE/AYMSYNTEX
2016-05-10,108.75,109.0,104.25,105.2,104.75,29567.0,31.37,NSE/AYMSYNTEX
2016-05-11,103.0,105.6,101.2,101.3,101.9,25144.0,25.88,NSE/AYMSYNTEX
2016-05-12,102.55,104.0,102.15,103.0,103.55,17702.0,18.28,NSE/AYMSYNTEX
2016-05-13,101.15,111.4,101.0,108.0,107.8,76320.0,82.7,NSE/AYMSYNTEX
2016-05-16,114.8,114.8,108.55,110.5,109.75,23625.0,26.03,NSE/AYMSYNTEX
2016-05-17,109.35,109.35,106.0,106.05,107.3,14561.0,15.68,NSE/AYMSYNTEX
2016-05-18,106.3,112.35,104.8,110.05,110.05,37128.0,40.16,NSE/AYMSYNTEX
2016-05-19,109.0,115.2,108.5,110.95,110.8,43854.0,49.43,NSE/AYMSYNTEX
2016-05-20,111.85,111.9,106.75,108.9,107.8,21609.0,23.56,NSE/AYMSYNTEX
2016-05-23,109.0,109.05,102.65,105.3,105.6,9602.0,10.24,NSE/AYMSYNTEX
2016-05-24,105.55,107.95,105.0,107.95,106.95,12866.0,13.73,NSE/AYMSYNTEX
2016-05-25,109.8,109.8,107.0,107.05,107.3,7638.0,8.23,NSE/AYMSYNTEX
2016-05-26,108.05,110.0,106.25,108.9,109.2,22455.0,24.35,NSE/AYMSYNTEX
2016-05-27,108.0,108.9,102.5,106.05,105.3,39333.0,41.52,NSE/AYMSYNTEX
2016-05-30,108.95,108.95,103.25,104.3,103.75,16202.0,16.97,NSE/AYMSYNTEX
2016-05-31,104.0,105.45,103.4,104.25,104.4,13220.0,13.79,NSE/AYMSYNTEX
2016-06-01,106.0,106.0,102.55,102.55,103.0,14911.0,15.46,NSE/AYMSYNTEX
2016-06-02,102.55,103.8,101.0,101.1,101.5,38093.0,38.87,NSE/AYMSYNTEX
2016-06-03,102.0,104.35,101.2,103.0,103.5,15907.0,16.42,NSE/AYMSYNTEX
2016-06-06,103.5,103.95,101.35,102.45,101.9,6653.0,6.81,NSE/AYMSYNTEX
2016-06-07,101.55,103.9,98.55,100.35,100.35,65011.0,65.42,NSE/AYMSYNTEX
2016-06-08,99.1,100.95,99.1,99.6,99.85,15538.0,15.5,NSE/AYMSYNTEX
2016-06-09,99.8,99.9,96.0,98.2,97.2,36996.0,36.1,NSE/AYMSYNTEX
2016-06-10,96.3,100.45,96.3,99.3,99.8,30871.0,30.74,NSE/AYMSYNTEX
2016-06-13,99.8,100.5,98.15,100.0,99.15,14087.0,13.98,NSE/AYMSYNTEX
2016-06-14,98.25,105.95,97.0,103.9,102.8,60674.0,61.56,NSE/AYMSYNTEX
2016-06-15,103.0,103.3,99.8,100.2,100.45,18344.0,18.56,NSE/AYMSYNTEX
2016-06-16,100.0,102.35,97.0,98.35,98.05,15539.0,15.3,NSE/AYMSYNTEX
2016-06-17,100.0,100.0,98.0,98.2,98.15,16024.0,15.82,NSE/AYMSYNTEX
2016-06-20,96.7,99.5,96.0,98.5,98.25,8932.0,8.74,NSE/AYMSYNTEX
2016-06-21,98.95,103.7,97.65,102.0,101.4,27259.0,27.36,NSE/AYMSYNTEX
2016-06-22,103.0,103.9,98.0,98.0,98.65,25296.0,25.54,NSE/AYMSYNTEX
2016-06-23,98.9,99.6,97.8,99.0,98.5,7324.0,7.21,NSE/AYMSYNTEX
2016-06-24,98.6,99.9,93.0,99.0,99.15,38316.0,37.13,NSE/AYMSYNTEX
2016-06-27,99.0,101.45,97.65,98.05,98.3,13309.0,13.16,NSE/AYMSYNTEX
2016-06-28,99.95,99.95,96.6,98.25,98.25,15326.0,15.0,NSE/AYMSYNTEX
2016-06-29,99.0,105.0,98.2,102.0,102.25,72822.0,74.36,NSE/AYMSYNTEX
2016-06-30,103.9,106.0,101.5,102.5,102.45,30363.0,31.52,NSE/AYMSYNTEX
2016-07-01,102.55,103.8,99.8,99.8,100.65,17132.0,17.36,NSE/AYMSYNTEX
2016-07-04,100.5,104.0,99.25,100.75,101.2,17815.0,18.14,NSE/AYMSYNTEX
2016-07-05,101.95,101.95,98.6,99.7,99.1,18994.0,18.95,NSE/AYMSYNTEX
2016-07-07,98.9,100.9,98.9,99.45,99.05,13854.0,13.77,NSE/AYMSYNTEX
2016-07-08,98.6,99.75,98.0,98.05,98.7,10887.0,10.77,NSE/AYMSYNTEX
2016-07-11,102.5,102.5,98.1,98.15,98.3,17211.0,17.05,NSE/AYMSYNTEX
2016-07-12,98.25,98.95,96.55,97.35,97.75,37587.0,36.66,NSE/AYMSYNTEX
2016-07-13,97.95,98.1,96.25,98.0,97.1,12685.0,12.3,NSE/AYMSYNTEX
2016-07-14,98.45,101.25,98.1,99.3,100.0,27183.0,27.19,NSE/AYMSYNTEX
2016-07-15,99.25,100.0,98.0,98.7,98.1,11596.0,11.45,NSE/AYMSYNTEX
2016-07-18,99.4,101.2,98.05,99.15,99.4,16814.0,16.82,NSE/AYMSYNTEX
2016-07-19,99.05,99.7,96.1,97.9,97.4,15913.0,15.59,NSE/AYMSYNTEX
2016-07-20,97.2,98.5,97.0,97.45,97.4,9495.0,9.28,NSE/AYMSYNTEX
2016-07-21,97.05,98.2,92.65,94.7,93.95,73748.0,70.25,NSE/AYMSYNTEX
2016-07-22,94.9,96.5,93.6,95.1,95.25,24752.0,23.51,NSE/AYMSYNTEX
2016-07-25,96.0,97.95,96.0,96.1,96.75,20037.0,19.45,NSE/AYMSYNTEX
2016-07-26,96.1,104.0,96.1,99.0,98.85,50856.0,51.17,NSE/AYMSYNTEX
2016-07-27,99.7,101.25,98.0,98.05,98.15,14412.0,14.34,NSE/AYMSYNTEX
2016-07-28,99.45,101.55,98.4,98.55,98.6,53516.0,53.86,NSE/AYMSYNTEX
2016-07-29,99.45,102.0,96.75,98.8,98.45,36158.0,36.11,NSE/AYMSYNTEX
2016-08-01,101.05,103.45,93.85,95.9,95.35,69050.0,68.07,NSE/AYMSYNTEX
2016-08-02,96.45,97.0,92.9,92.9,93.15,81416.0,76.72,NSE/AYMSYNTEX
2016-08-03,93.05,94.35,91.9,91.9,92.65,18559.0,17.29,NSE/AYMSYNTEX
2016-08-04,92.8,94.4,90.5,93.0,92.55,11518.0,10.66,NSE/AYMSYNTEX
2016-08-05,92.8,94.3,92.25,94.1,94.05,7143.0,6.67,NSE/AYMSYNTEX
2016-08-08,94.1,95.0,92.25,92.25,92.5,22948.0,21.49,NSE/AYMSYNTEX
