Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2012-11-12,47.75,48.45,47.05,47.05,47.05,19587.0,9.36,NSE/BAFNAPHARM
2012-11-13,47.5,47.9,47.5,47.5,47.5,5602.0,2.68,NSE/BAFNAPHARM
2012-11-15,47.5,47.8,46.8,47.0,47.15,51773.0,24.43,NSE/BAFNAPHARM
2012-11-16,47.0,48.05,46.5,47.0,46.7,9611.0,4.56,NSE/BAFNAPHARM
2012-11-19,47.45,47.85,46.0,46.05,46.55,17594.0,8.3,NSE/BAFNAPHARM
2012-11-20,46.5,47.0,46.2,46.8,46.65,4644.0,2.17,NSE/BAFNAPHARM
2012-11-21,46.95,47.0,46.55,47.0,46.75,6684.0,3.13,NSE/BAFNAPHARM
2012-11-22,45.5,46.5,44.05,46.25,46.25,2773.0,1.25,NSE/BAFNAPHARM
2012-11-23,46.9,46.9,46.0,46.85,46.25,1936.0,0.9,NSE/BAFNAPHARM
2012-11-26,46.5,47.0,46.15,47.0,46.85,1546.0,0.72,NSE/BAFNAPHARM
2012-11-27,46.95,47.35,46.5,47.0,47.0,7854.0,3.69,NSE/BAFNAPHARM
2012-11-29,46.5,48.75,46.5,46.75,46.9,8094.0,3.84,NSE/BAFNAPHARM
2012-11-30,46.6,53.0,46.6,50.25,49.65,92651.0,46.01,NSE/BAFNAPHARM
2012-12-03,50.0,50.5,49.0,49.15,49.8,83799.0,41.96,NSE/BAFNAPHARM
2012-12-04,49.5,49.8,48.9,49.0,48.95,20456.0,10.15,NSE/BAFNAPHARM
2012-12-05,49.35,49.9,48.85,48.85,49.0,6741.0,3.32,NSE/BAFNAPHARM
2012-12-06,49.45,49.45,48.25,48.25,48.3,1478.0,0.72,NSE/BAFNAPHARM
2012-12-07,52.5,52.5,48.1,48.5,48.5,1280.0,0.62,NSE/BAFNAPHARM
2012-12-10,48.3,49.5,47.55,48.15,48.15,1920.0,0.93,NSE/BAFNAPHARM
2012-12-11,51.95,51.95,46.1,47.5,47.7,2930.0,1.38,NSE/BAFNAPHARM
