Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2003-10-17,14.8,15.65,12.1,12.4,12.45,1202142.0,158.2,NSE/BAGFILMS
2003-10-20,14.0,14.0,10.5,10.5,10.7,446121.0,49.68,NSE/BAGFILMS
2003-10-21,10.95,12.5,10.3,11.15,11.05,373018.0,42.7,NSE/BAGFILMS
2003-10-22,11.15,11.4,10.65,10.75,10.75,115689.0,12.67,NSE/BAGFILMS
2003-10-23,10.9,10.95,10.25,10.25,10.45,91016.0,9.64,NSE/BAGFILMS
2003-10-24,10.7,10.7,10.0,10.4,10.45,57393.0,5.94,NSE/BAGFILMS
2003-10-25,11.0,11.3,10.3,10.9,10.85,37036.0,3.99,NSE/BAGFILMS
2003-10-27,10.9,10.9,10.4,10.5,10.45,26519.0,2.82,NSE/BAGFILMS
2003-10-28,10.7,10.7,10.0,10.05,10.1,44437.0,4.56,NSE/BAGFILMS
2003-10-29,10.1,10.25,8.9,9.2,9.05,81355.0,7.56,NSE/BAGFILMS
2003-10-30,9.5,9.5,8.9,9.1,9.05,48573.0,4.43,NSE/BAGFILMS
2003-10-31,8.85,9.3,8.5,8.9,8.7,78122.0,6.94,NSE/BAGFILMS
2003-11-03,9.9,10.4,9.0,10.1,10.3,245837.0,23.93,NSE/BAGFILMS
2003-11-04,10.75,11.0,9.55,9.9,9.8,95862.0,9.54,NSE/BAGFILMS
2003-11-05,9.8,9.95,9.5,9.85,9.8,26132.0,2.53,NSE/BAGFILMS
2003-11-06,10.45,10.45,9.6,9.9,9.75,41493.0,4.06,NSE/BAGFILMS
2003-11-07,9.9,10.75,9.7,10.05,10.15,142625.0,14.75,NSE/BAGFILMS
2003-11-10,9.95,10.2,9.9,10.1,9.9,14180.0,1.43,NSE/BAGFILMS
2003-11-11,10.1,10.35,9.9,9.9,9.95,45537.0,4.59,NSE/BAGFILMS
2003-11-12,9.85,10.6,9.75,9.75,9.85,40768.0,4.07,NSE/BAGFILMS
2003-11-13,10.15,10.15,9.5,9.6,9.7,43977.0,4.29,NSE/BAGFILMS
2003-11-14,9.7,9.75,9.4,9.4,9.45,30543.0,2.91,NSE/BAGFILMS
2003-11-15,9.25,9.4,9.1,9.25,9.25,11630.0,1.08,NSE/BAGFILMS
2003-11-17,9.35,9.45,9.0,9.25,9.25,28352.0,2.6,NSE/BAGFILMS
2003-11-18,9.25,9.6,9.25,9.45,9.4,26230.0,2.48,NSE/BAGFILMS
2003-11-19,9.25,9.35,8.95,9.05,8.95,35418.0,3.22,NSE/BAGFILMS
2003-11-20,7.6,9.2,7.6,8.8,8.8,41325.0,3.69,NSE/BAGFILMS
2003-11-21,8.1,8.9,8.1,8.85,8.8,19099.0,1.67,NSE/BAGFILMS
2003-11-24,9.0,9.35,8.75,9.1,8.9,71150.0,6.48,NSE/BAGFILMS
2003-11-25,8.95,9.1,8.75,8.95,8.95,24450.0,2.18,NSE/BAGFILMS
