Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-04-05,145.9,146.9,140.55,142.1,142.1,1386.0,2.0,NSE/BALAMINES
2007-04-09,146.0,149.0,141.1,149.0,149.0,243.0,0.35,NSE/BALAMINES
2007-04-11,149.0,149.0,145.4,145.4,145.4,150.0,0.22,NSE/BALAMINES
2007-04-12,151.0,151.0,151.0,151.0,151.0,20.0,0.03,NSE/BALAMINES
2007-04-13,151.0,157.45,145.0,145.0,145.2,302.0,0.44,NSE/BALAMINES
2007-04-16,150.0,150.0,150.0,150.0,150.0,25.0,0.04,NSE/BALAMINES
2007-04-17,145.0,145.0,145.0,145.0,145.0,60.0,0.09,NSE/BALAMINES
2007-04-18,152.0,152.0,145.0,145.0,145.0,222.0,0.32,NSE/BALAMINES
2007-04-19,145.0,152.0,145.0,152.0,152.0,50.0,0.07,NSE/BALAMINES
2007-04-20,147.0,147.0,147.0,147.0,147.0,72.0,0.11,NSE/BALAMINES
2007-04-23,140.0,154.3,140.0,146.0,146.2,541.0,0.79,NSE/BALAMINES
2007-04-24,142.0,153.5,142.0,143.1,143.1,46.0,0.07,NSE/BALAMINES
2007-04-25,141.4,150.2,141.4,145.2,145.2,336.0,0.49,NSE/BALAMINES
2007-04-26,145.0,150.0,145.0,147.0,147.0,255.0,0.38,NSE/BALAMINES
2007-04-27,145.0,150.95,141.0,150.95,150.95,31.0,0.04,NSE/BALAMINES
2007-04-30,149.95,149.95,149.95,149.95,149.95,1.0,0.0,NSE/BALAMINES
2007-05-03,148.0,148.0,142.5,142.5,142.5,140.0,0.2,NSE/BALAMINES
2007-05-04,138.0,138.0,135.95,136.0,136.0,400.0,0.54,NSE/BALAMINES
2007-05-07,135.5,138.0,129.2,129.25,129.25,1364.0,1.81,NSE/BALAMINES
2007-05-08,130.35,130.35,125.5,126.0,126.0,351.0,0.45,NSE/BALAMINES
2007-05-09,126.05,132.3,121.05,132.3,127.2,992.0,1.25,NSE/BALAMINES
2007-05-10,133.5,133.5,127.2,133.0,133.0,397.0,0.52,NSE/BALAMINES
2007-05-11,132.0,132.0,127.25,128.0,128.0,548.0,0.71,NSE/BALAMINES
2007-05-14,131.5,132.0,127.0,127.0,128.5,646.0,0.84,NSE/BALAMINES
2007-05-15,127.2,132.85,127.2,132.85,132.85,105.0,0.13,NSE/BALAMINES
2007-05-16,132.75,132.9,132.65,132.9,132.9,200.0,0.27,NSE/BALAMINES
2007-05-17,132.0,142.6,128.2,137.0,138.15,6117.0,8.42,NSE/BALAMINES
2007-05-18,133.6,133.6,127.1,133.0,131.85,405.0,0.54,NSE/BALAMINES
2007-05-21,128.0,130.0,127.5,128.25,128.25,81.0,0.1,NSE/BALAMINES
2007-05-22,127.1,130.0,127.1,130.0,129.1,94.0,0.12,NSE/BALAMINES
2007-05-23,129.9,129.9,127.0,127.0,127.0,105.0,0.13,NSE/BALAMINES
2007-05-24,122.5,127.0,122.5,123.0,123.0,483.0,0.59,NSE/BALAMINES
2007-05-25,122.0,122.0,116.55,122.0,121.65,700.0,0.84,NSE/BALAMINES
2007-05-28,122.5,133.85,122.0,122.5,122.55,478.0,0.59,NSE/BALAMINES
2007-05-29,124.25,130.9,124.25,129.0,128.5,710.0,0.91,NSE/BALAMINES
2007-05-30,125.15,126.55,125.1,126.55,126.55,445.0,0.56,NSE/BALAMINES
2007-05-31,124.45,125.3,123.5,125.0,125.0,915.0,1.14,NSE/BALAMINES
2007-06-01,128.0,129.5,125.0,125.65,126.55,797.0,1.01,NSE/BALAMINES
2007-06-04,130.0,131.2,126.1,131.2,131.2,615.0,0.79,NSE/BALAMINES
2007-06-05,130.7,130.7,123.5,125.05,125.05,733.0,0.92,NSE/BALAMINES
2007-06-06,126.15,132.9,120.0,120.0,120.7,756.0,0.93,NSE/BALAMINES
2007-06-07,129.0,131.0,120.05,131.0,131.0,104.0,0.13,NSE/BALAMINES
2007-06-08,131.0,131.0,121.1,124.0,124.0,152.0,0.19,NSE/BALAMINES
2007-06-11,120.5,120.5,120.5,120.5,120.5,100.0,0.12,NSE/BALAMINES
2007-06-12,112.1,126.95,112.1,112.15,112.15,1634.0,1.85,NSE/BALAMINES
2007-06-13,123.4,123.4,117.15,120.5,120.5,29.0,0.04,NSE/BALAMINES
2007-06-14,123.0,124.65,117.55,121.25,121.25,802.0,0.98,NSE/BALAMINES
2007-06-15,120.05,120.05,120.05,120.05,120.05,88.0,0.11,NSE/BALAMINES
2007-06-18,121.05,121.05,118.0,120.5,120.5,780.0,0.93,NSE/BALAMINES
2007-06-19,120.55,122.8,118.25,122.8,122.05,260.0,0.31,NSE/BALAMINES
2007-06-20,116.5,123.95,116.5,118.1,118.8,770.0,0.9,NSE/BALAMINES
2007-06-21,117.3,120.8,112.1,120.8,120.8,1415.0,1.66,NSE/BALAMINES
2007-06-22,110.1,121.9,110.05,118.0,118.0,885.0,1.03,NSE/BALAMINES
2007-06-25,120.0,120.0,111.0,119.95,118.2,844.0,0.99,NSE/BALAMINES
2007-06-26,112.25,120.3,112.25,117.05,117.05,656.0,0.78,NSE/BALAMINES
