Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-02,28.5,29.0,28.5,29.0,29.0,200.0,0.06,NSE/BALKRISIND
2001-01-08,27.55,27.7,27.55,27.7,27.7,550.0,0.15,NSE/BALKRISIND
2001-01-09,29.2,29.2,28.2,28.2,28.2,200.0,0.06,NSE/BALKRISIND
2001-01-12,28.2,28.2,28.2,28.2,28.2,100.0,0.03,NSE/BALKRISIND
2001-01-15,26.15,26.15,26.0,26.0,26.05,250.0,0.07,NSE/BALKRISIND
2001-01-23,25.15,25.15,25.15,25.15,25.15,450.0,0.11,NSE/BALKRISIND
2001-01-24,27.0,27.0,27.0,27.0,27.0,100.0,0.03,NSE/BALKRISIND
2001-02-01,27.0,27.0,27.0,27.0,27.0,100.0,0.03,NSE/BALKRISIND
2001-02-09,26.05,26.5,26.0,26.5,26.5,650.0,0.17,NSE/BALKRISIND
2001-02-12,27.9,27.9,27.0,27.0,27.0,300.0,0.08,NSE/BALKRISIND
2001-02-14,28.65,28.65,28.65,28.65,28.65,200.0,0.06,NSE/BALKRISIND
2001-02-15,26.55,27.95,26.5,27.95,27.95,1000.0,0.27,NSE/BALKRISIND
2001-02-20,27.35,27.4,26.15,26.15,26.15,1100.0,0.29,NSE/BALKRISIND
2001-02-21,27.55,27.55,27.55,27.55,27.55,100.0,0.03,NSE/BALKRISIND
2001-02-22,25.55,25.55,25.4,25.4,25.4,300.0,0.08,NSE/BALKRISIND
2001-02-23,23.75,23.75,23.75,23.75,23.75,400.0,0.1,NSE/BALKRISIND
2001-02-26,23.5,23.5,23.5,23.5,23.5,100.0,0.02,NSE/BALKRISIND
2001-02-27,22.2,22.2,22.15,22.15,22.15,100.0,0.02,NSE/BALKRISIND
2001-03-07,22.0,22.0,21.0,22.0,22.0,900.0,0.2,NSE/BALKRISIND
2001-03-08,20.6,20.6,20.6,20.6,20.6,650.0,0.13,NSE/BALKRISIND
2001-03-09,19.6,19.6,19.15,19.15,19.15,1100.0,0.21,NSE/BALKRISIND
2001-03-12,18.3,18.3,18.3,18.3,18.3,350.0,0.06,NSE/BALKRISIND
2001-03-20,17.0,17.0,17.0,17.0,17.0,100.0,0.02,NSE/BALKRISIND
2001-03-27,21.2,21.2,21.2,21.2,21.2,100.0,0.02,NSE/BALKRISIND
2001-03-30,20.0,20.0,20.0,20.0,20.0,100.0,0.02,NSE/BALKRISIND
2001-04-03,20.0,20.0,20.0,20.0,20.0,400.0,0.08,NSE/BALKRISIND
2001-04-11,19.0,19.0,19.0,19.0,19.0,50.0,0.01,NSE/BALKRISIND
2001-04-16,18.0,18.0,15.0,17.0,15.55,750.0,0.12,NSE/BALKRISIND
2001-04-17,17.15,17.15,17.1,17.1,17.1,300.0,0.05,NSE/BALKRISIND
2001-04-18,19.0,19.0,19.0,19.0,19.0,100.0,0.02,NSE/BALKRISIND
2001-04-19,19.6,19.6,19.6,19.6,19.6,100.0,0.02,NSE/BALKRISIND
2001-04-24,19.0,19.0,19.0,19.0,19.0,100.0,0.02,NSE/BALKRISIND
2001-04-26,18.1,18.2,18.1,18.15,18.15,400.0,0.07,NSE/BALKRISIND
2001-04-30,18.6,18.6,18.6,18.6,18.6,100.0,0.02,NSE/BALKRISIND
2001-05-15,18.0,18.1,18.0,18.0,18.0,400.0,0.07,NSE/BALKRISIND
2001-05-17,19.95,20.0,19.95,20.0,20.0,500.0,0.1,NSE/BALKRISIND
2001-05-18,20.0,20.0,20.0,20.0,20.0,200.0,0.04,NSE/BALKRISIND
2001-05-22,18.8,18.8,18.5,18.5,18.6,550.0,0.1,NSE/BALKRISIND
2001-05-23,19.0,19.0,19.0,19.0,19.0,100.0,0.02,NSE/BALKRISIND
2001-05-25,17.5,17.5,17.5,17.5,17.5,500.0,0.09,NSE/BALKRISIND
2001-05-29,18.5,18.5,18.5,18.5,18.5,100.0,0.02,NSE/BALKRISIND
2001-06-11,18.55,18.55,18.5,18.5,18.5,200.0,0.04,NSE/BALKRISIND
2001-06-12,18.5,18.5,18.5,18.5,18.5,250.0,0.05,NSE/BALKRISIND
2001-06-14,18.0,18.0,18.0,18.0,18.0,100.0,0.02,NSE/BALKRISIND
2001-06-29,20.0,20.0,20.0,18.0,20.0,100.0,0.02,NSE/BALKRISIND
2006-01-27,1295.0,1295.0,1071.0,1200.0,1155.05,4449.0,52.06,NSE/BALKRISIND
2006-01-30,1130.0,1149.0,1090.0,1149.0,1130.35,288.0,3.23,NSE/BALKRISIND
2006-01-31,1133.0,1133.0,1110.0,1110.0,1110.0,2067.0,22.96,NSE/BALKRISIND
2006-02-01,1149.9,1149.9,1021.0,1021.0,1056.65,90.0,0.96,NSE/BALKRISIND
2006-02-02,1050.0,1070.0,1021.0,1021.4,1029.55,453.0,4.68,NSE/BALKRISIND
2006-02-03,1021.0,1021.0,982.0,1010.0,1010.0,559.0,5.59,NSE/BALKRISIND
2006-02-06,1010.0,1010.0,940.0,970.0,970.0,870.0,8.48,NSE/BALKRISIND
2006-02-07,980.0,1024.5,947.95,1000.0,995.25,2664.0,25.9,NSE/BALKRISIND
2006-02-08,1000.0,1000.0,960.0,970.0,973.15,214.0,2.1,NSE/BALKRISIND
2006-02-10,973.9,988.75,970.0,970.0,971.2,11280.0,109.43,NSE/BALKRISIND
2006-02-13,971.65,1019.0,955.0,1019.0,1002.2,3609.0,35.38,NSE/BALKRISIND
2006-02-14,1030.0,1040.0,1000.0,1001.0,1006.15,3582.0,36.99,NSE/BALKRISIND
2006-02-15,1079.0,1079.0,967.0,971.15,991.8,656.0,6.65,NSE/BALKRISIND
2006-02-16,1034.0,1034.0,971.1,971.25,972.1,287.0,2.87,NSE/BALKRISIND
2006-02-17,1009.0,1009.0,971.0,971.0,974.9,81.0,0.8,NSE/BALKRISIND
2006-02-20,970.0,975.0,931.2,965.0,965.0,384.0,3.69,NSE/BALKRISIND
2006-02-21,964.85,965.0,930.0,930.0,930.6,217.0,2.03,NSE/BALKRISIND
2006-02-22,941.05,949.9,905.35,911.1,919.25,427.0,3.95,NSE/BALKRISIND
2006-02-23,912.05,938.5,900.0,920.0,920.0,26312.0,242.08,NSE/BALKRISIND
2006-02-24,920.0,931.0,920.0,931.0,924.9,345.0,3.18,NSE/BALKRISIND
2006-02-27,900.0,925.05,898.5,899.0,899.1,505.0,4.59,NSE/BALKRISIND
2006-02-28,917.0,999.0,852.05,999.0,999.0,558.0,5.1,NSE/BALKRISIND
2006-03-01,910.5,985.0,910.5,975.0,972.4,185.0,1.79,NSE/BALKRISIND
2006-03-02,1001.0,1001.0,953.0,953.0,955.75,211.0,2.05,NSE/BALKRISIND
2006-03-03,950.3,975.0,921.0,921.0,921.0,391.0,3.77,NSE/BALKRISIND
2006-03-06,932.4,963.0,920.0,929.95,929.95,1676.0,15.68,NSE/BALKRISIND
2006-03-07,925.0,950.0,905.0,920.0,926.35,16388.0,148.47,NSE/BALKRISIND
2006-03-08,881.35,950.0,881.35,920.0,920.0,2150.0,19.66,NSE/BALKRISIND
2006-03-09,912.0,947.9,912.0,928.0,928.0,105.0,0.98,NSE/BALKRISIND
2006-03-10,946.95,946.95,920.0,920.0,920.0,1973.0,18.17,NSE/BALKRISIND
2006-03-13,831.7,938.3,831.7,925.0,916.1,2366.0,21.54,NSE/BALKRISIND
2006-03-14,939.0,939.55,910.4,917.5,916.15,481.0,4.42,NSE/BALKRISIND
2006-03-16,901.75,920.0,901.75,920.0,919.65,433.0,3.96,NSE/BALKRISIND
2006-03-17,850.0,950.0,850.0,885.05,893.75,1044.0,9.43,NSE/BALKRISIND
2006-03-20,910.0,910.0,855.5,900.0,900.0,1347.0,12.08,NSE/BALKRISIND
2006-03-21,890.0,899.8,883.45,898.0,896.45,3138.0,28.09,NSE/BALKRISIND
2006-03-22,895.0,907.0,890.0,905.0,905.0,512.0,4.58,NSE/BALKRISIND
2006-03-23,871.7,915.8,871.7,880.0,889.65,5045.0,45.69,NSE/BALKRISIND
2006-03-24,877.0,910.0,877.0,902.0,902.4,12368.0,111.05,NSE/BALKRISIND
2006-03-27,872.35,910.0,872.35,905.0,904.9,243.0,2.17,NSE/BALKRISIND
2006-03-28,910.0,910.0,877.2,877.2,879.45,4195.0,38.05,NSE/BALKRISIND
2006-03-29,980.35,980.35,885.0,885.0,887.6,2091.0,18.75,NSE/BALKRISIND
2006-03-30,919.0,940.75,880.0,890.0,890.0,280.0,2.54,NSE/BALKRISIND
2006-03-31,900.0,900.0,860.0,899.0,893.45,3720.0,32.62,NSE/BALKRISIND
2006-04-03,950.0,950.0,853.15,875.0,876.8,529.0,4.68,NSE/BALKRISIND
2006-04-04,916.95,916.95,851.0,854.95,853.3,584.0,5.05,NSE/BALKRISIND
2006-04-05,870.0,870.0,840.0,861.45,851.4,2787.0,23.75,NSE/BALKRISIND
2006-04-07,869.95,879.75,802.1,842.0,832.2,2306.0,19.4,NSE/BALKRISIND
2006-04-10,840.0,850.0,803.05,819.0,816.2,660.0,5.47,NSE/BALKRISIND
2006-04-12,815.05,820.0,726.8,750.0,750.1,6588.0,49.81,NSE/BALKRISIND
2006-04-13,747.5,780.0,615.3,750.0,750.7,12505.0,93.1,NSE/BALKRISIND
2006-04-17,739.95,900.0,730.5,773.05,815.55,13644.0,101.12,NSE/BALKRISIND
2006-04-18,815.0,830.0,760.0,805.0,800.95,4833.0,38.75,NSE/BALKRISIND
2006-04-19,772.0,796.9,769.0,785.05,788.9,810.0,6.35,NSE/BALKRISIND
2006-04-20,840.0,840.0,770.0,775.0,776.9,1725.0,13.6,NSE/BALKRISIND
2006-04-21,775.05,775.05,764.0,764.0,764.35,488.0,3.74,NSE/BALKRISIND
2006-04-24,769.95,807.0,750.0,800.0,800.05,4236.0,32.78,NSE/BALKRISIND
2006-04-25,802.0,807.95,782.3,807.85,807.85,50.0,0.4,NSE/BALKRISIND
2006-04-26,765.2,790.0,765.2,790.0,790.0,402.0,3.15,NSE/BALKRISIND
2006-04-27,772.0,825.0,770.15,793.0,792.45,275.0,2.18,NSE/BALKRISIND
2006-04-28,796.95,804.0,780.0,800.0,800.0,417.0,3.32,NSE/BALKRISIND
2006-04-29,765.35,811.0,761.3,804.8,804.8,107.0,0.84,NSE/BALKRISIND
2006-05-02,799.95,805.0,799.9,800.0,800.0,5042.0,40.34,NSE/BALKRISIND
2006-05-03,781.0,800.0,780.0,780.2,780.2,189.0,1.49,NSE/BALKRISIND
2006-05-04,785.0,788.95,780.0,788.95,788.95,210.0,1.65,NSE/BALKRISIND
2006-05-05,790.9,800.0,764.6,790.0,780.15,270.0,2.11,NSE/BALKRISIND
2006-05-08,765.4,775.0,764.0,764.0,764.55,2443.0,18.69,NSE/BALKRISIND
2006-05-09,765.0,805.0,765.0,782.35,782.35,13831.0,110.68,NSE/BALKRISIND
2006-05-10,799.95,799.95,764.0,764.1,764.8,3679.0,28.2,NSE/BALKRISIND
2006-05-11,764.1,770.0,764.0,764.0,764.0,641.0,4.92,NSE/BALKRISIND
2006-05-12,765.05,810.0,765.0,810.0,797.05,4373.0,33.98,NSE/BALKRISIND
2006-05-15,765.65,794.65,764.0,764.0,764.0,133.0,1.02,NSE/BALKRISIND
2006-05-16,780.0,785.0,764.05,785.0,783.4,575.0,4.47,NSE/BALKRISIND
2006-05-17,785.0,798.0,764.0,765.0,768.25,1430.0,10.96,NSE/BALKRISIND
2006-05-18,764.0,764.05,764.0,764.0,764.0,3667.0,28.02,NSE/BALKRISIND
2006-05-19,764.0,770.0,764.0,770.0,769.95,8889.0,68.41,NSE/BALKRISIND
2006-05-22,750.0,770.0,725.0,770.0,764.3,6638.0,49.78,NSE/BALKRISIND
2006-05-23,745.0,769.95,651.3,735.0,713.2,387.0,2.67,NSE/BALKRISIND
2006-05-24,663.0,784.7,663.0,710.0,710.0,204.0,1.46,NSE/BALKRISIND
2006-05-25,700.0,750.0,700.0,730.0,730.0,605.0,4.39,NSE/BALKRISIND
2006-05-26,726.0,726.0,696.0,696.0,697.35,361.0,2.55,NSE/BALKRISIND
2006-05-30,702.0,829.0,576.8,676.1,712.25,22763.0,158.34,NSE/BALKRISIND
2006-05-31,664.0,705.0,645.0,650.0,652.9,879.0,5.88,NSE/BALKRISIND
2006-06-01,650.1,668.4,583.0,605.0,607.95,963.0,5.88,NSE/BALKRISIND
2006-06-02,675.0,698.0,556.0,630.0,627.8,1863.0,10.96,NSE/BALKRISIND
2006-06-05,601.0,622.4,580.0,580.0,595.7,620.0,3.74,NSE/BALKRISIND
2006-06-06,555.0,580.0,554.0,580.0,579.6,808.0,4.62,NSE/BALKRISIND
2006-06-07,581.2,600.0,501.55,590.0,588.45,1991.0,10.92,NSE/BALKRISIND
2006-06-08,550.0,600.0,490.0,600.0,590.8,1894.0,10.7,NSE/BALKRISIND
2006-06-09,565.0,610.0,550.0,600.0,599.85,8816.0,52.22,NSE/BALKRISIND
2006-06-12,600.0,600.0,572.2,580.0,579.65,55.0,0.33,NSE/BALKRISIND
2006-06-13,550.0,560.0,545.0,550.0,550.0,508.0,2.79,NSE/BALKRISIND
2006-06-14,570.0,570.0,540.1,570.0,570.0,1399.0,7.7,NSE/BALKRISIND
2006-06-15,540.0,555.0,540.0,550.0,551.4,466.0,2.55,NSE/BALKRISIND
2006-06-16,560.15,623.95,550.2,580.0,576.5,233.0,1.37,NSE/BALKRISIND
2006-06-19,565.0,565.0,550.0,550.2,550.95,677.0,3.74,NSE/BALKRISIND
2006-06-20,550.0,560.0,536.05,560.0,555.2,75493.0,415.21,NSE/BALKRISIND
2006-06-21,562.0,575.0,550.0,550.0,556.55,371.0,2.08,NSE/BALKRISIND
2006-06-22,574.9,574.9,552.2,552.2,552.2,45.0,0.26,NSE/BALKRISIND
2006-06-23,571.0,600.0,536.0,540.0,542.25,300.0,1.66,NSE/BALKRISIND
2006-06-25,549.0,580.0,549.0,580.0,567.4,963.0,5.45,NSE/BALKRISIND
2006-06-26,588.0,600.0,560.0,570.0,589.95,29371.0,173.35,NSE/BALKRISIND
2006-06-27,552.0,585.0,550.0,585.0,582.5,1146.0,6.47,NSE/BALKRISIND
2006-06-29,600.0,625.0,552.0,575.0,575.0,9363.0,53.84,NSE/BALKRISIND
2006-06-30,617.8,617.8,560.0,598.95,579.7,1038.0,5.93,NSE/BALKRISIND
2006-07-03,594.0,595.0,594.0,594.0,594.4,50.0,0.3,NSE/BALKRISIND
2006-07-04,571.15,600.0,571.15,582.25,582.25,3975.0,23.68,NSE/BALKRISIND
2006-07-05,597.0,598.0,589.55,598.0,594.6,255.0,1.52,NSE/BALKRISIND
2006-07-06,577.0,596.0,577.0,595.0,595.0,67.0,0.39,NSE/BALKRISIND
2006-07-07,582.5,599.0,580.0,599.0,595.9,935.0,5.58,NSE/BALKRISIND
2006-07-10,580.5,599.0,575.0,598.0,596.95,920.0,5.45,NSE/BALKRISIND
2006-07-11,590.0,599.0,590.0,597.9,597.95,572.0,3.42,NSE/BALKRISIND
2006-07-12,590.0,598.0,570.35,598.0,598.0,1426.0,8.48,NSE/BALKRISIND
2006-07-13,597.85,597.85,590.0,590.0,590.0,2.0,0.01,NSE/BALKRISIND
2006-07-14,590.0,598.0,585.0,594.0,594.0,536.0,3.19,NSE/BALKRISIND
2006-07-17,592.0,594.35,555.05,585.0,579.65,228.0,1.33,NSE/BALKRISIND
2006-07-18,585.0,598.0,570.0,571.0,571.0,773.0,4.45,NSE/BALKRISIND
2006-07-19,570.0,579.9,535.2,535.2,535.2,693.0,3.81,NSE/BALKRISIND
2006-07-20,516.1,543.95,510.0,520.0,521.3,692.0,3.62,NSE/BALKRISIND
2006-07-21,511.0,511.0,490.0,490.0,490.0,39.0,0.2,NSE/BALKRISIND
2006-07-24,460.35,509.0,460.35,472.0,473.45,299.0,1.48,NSE/BALKRISIND
2006-07-25,472.0,483.75,455.3,470.4,470.45,222.0,1.05,NSE/BALKRISIND
2006-07-26,489.0,530.0,482.5,483.0,484.65,459.0,2.24,NSE/BALKRISIND
2006-07-27,497.0,517.0,468.0,470.0,470.0,506.0,2.44,NSE/BALKRISIND
2006-07-28,475.0,498.0,438.0,492.0,461.4,993.0,4.57,NSE/BALKRISIND
2006-07-31,475.0,480.0,450.0,451.0,459.45,1285.0,6.07,NSE/BALKRISIND
2006-08-01,460.0,461.0,450.0,450.0,450.0,290.0,1.31,NSE/BALKRISIND
2006-08-02,460.0,464.8,455.0,460.0,462.4,115.0,0.53,NSE/BALKRISIND
2006-08-03,465.0,478.75,460.0,460.0,462.65,1761.0,8.23,NSE/BALKRISIND
2006-08-04,470.0,470.0,460.0,460.35,461.1,1427.0,6.64,NSE/BALKRISIND
2006-08-07,470.0,473.5,461.5,469.95,463.65,296.0,1.38,NSE/BALKRISIND
2006-08-08,470.0,470.0,461.1,469.95,463.85,170.0,0.79,NSE/BALKRISIND
2006-08-09,469.9,470.0,461.0,461.0,464.75,492.0,2.3,NSE/BALKRISIND
2006-08-10,478.85,478.85,450.0,451.5,453.5,1295.0,5.94,NSE/BALKRISIND
2006-08-11,468.5,494.95,468.5,490.0,488.8,2237.0,10.77,NSE/BALKRISIND
2006-08-14,495.6,520.0,490.0,514.0,515.35,1643.0,8.27,NSE/BALKRISIND
2006-08-16,541.0,578.0,540.0,567.5,559.8,7859.0,43.48,NSE/BALKRISIND
2006-08-17,577.0,597.0,550.25,574.5,566.3,3307.0,19.35,NSE/BALKRISIND
2006-08-18,580.0,580.0,566.0,566.0,568.9,760.0,4.36,NSE/BALKRISIND
2006-08-21,579.7,579.7,555.0,562.0,565.4,250.0,1.41,NSE/BALKRISIND
2006-08-22,566.0,569.95,508.0,530.0,521.65,2518.0,13.53,NSE/BALKRISIND
2006-08-23,530.0,563.0,530.0,555.0,555.1,6025.0,32.82,NSE/BALKRISIND
2006-08-24,569.0,569.0,545.0,560.0,554.1,1236.0,6.8,NSE/BALKRISIND
2006-08-25,545.0,560.0,542.0,542.0,542.0,289.0,1.59,NSE/BALKRISIND
2006-08-28,540.0,553.95,540.0,540.0,540.0,171.0,0.93,NSE/BALKRISIND
2006-08-29,580.0,580.0,540.0,555.0,555.2,614.0,3.38,NSE/BALKRISIND
2006-08-30,555.0,555.0,530.0,530.0,532.0,2043.0,11.05,NSE/BALKRISIND
2006-08-31,543.9,543.9,520.0,520.0,520.55,311.0,1.63,NSE/BALKRISIND
2006-09-01,520.0,527.0,505.05,508.0,508.35,694.0,3.55,NSE/BALKRISIND
2006-09-04,538.5,540.0,525.0,527.9,526.75,872.0,4.63,NSE/BALKRISIND
2006-09-05,534.7,534.75,520.0,520.0,523.25,80.0,0.42,NSE/BALKRISIND
2006-09-06,516.5,547.0,516.5,526.35,529.15,367.0,1.93,NSE/BALKRISIND
2006-09-07,538.0,538.0,501.1,519.0,519.6,287.0,1.49,NSE/BALKRISIND
2006-09-08,519.6,560.0,485.1,537.0,537.2,629.0,3.3,NSE/BALKRISIND
2006-09-11,610.0,610.0,540.0,550.0,547.2,88919.0,539.85,NSE/BALKRISIND
2006-09-12,545.0,561.0,545.0,558.9,558.65,2134.0,11.83,NSE/BALKRISIND
2006-09-13,568.9,584.0,563.25,581.05,579.2,1943.0,11.14,NSE/BALKRISIND
2006-09-14,599.75,624.8,585.2,585.5,590.35,7950.0,47.81,NSE/BALKRISIND
2006-09-15,601.0,607.9,591.5,604.5,601.7,13095.0,78.77,NSE/BALKRISIND
2006-09-18,615.0,615.0,605.0,613.0,610.35,4289.0,26.17,NSE/BALKRISIND
2006-09-19,610.0,610.0,581.2,595.0,584.9,760.0,4.59,NSE/BALKRISIND
2006-09-20,614.8,614.8,581.0,584.3,586.85,602.0,3.59,NSE/BALKRISIND
2006-09-21,607.0,607.0,580.0,595.0,593.65,823.0,4.86,NSE/BALKRISIND
2006-09-22,596.0,596.1,573.35,583.9,580.25,689.0,4.04,NSE/BALKRISIND
2006-09-25,600.0,610.0,575.0,575.0,575.1,351.0,2.06,NSE/BALKRISIND
2006-09-26,570.0,579.0,567.05,575.65,570.45,281.0,1.6,NSE/BALKRISIND
2006-09-27,570.05,586.95,565.0,586.2,580.1,1181.0,6.82,NSE/BALKRISIND
2006-09-28,585.0,585.0,570.1,570.5,570.8,699.0,4.0,NSE/BALKRISIND
2006-09-29,563.05,568.0,550.0,553.0,551.35,1599.0,8.93,NSE/BALKRISIND
2006-10-03,575.0,575.0,547.0,566.65,565.05,514.0,2.88,NSE/BALKRISIND
2006-10-04,567.05,573.95,561.05,562.0,562.05,721.0,4.09,NSE/BALKRISIND
2006-10-05,562.0,595.05,552.1,581.0,581.25,2333.0,13.63,NSE/BALKRISIND
2006-10-06,581.25,590.0,560.15,581.0,582.35,641.0,3.73,NSE/BALKRISIND
2006-10-09,580.0,595.05,565.0,592.0,586.5,1505.0,8.8,NSE/BALKRISIND
2006-10-10,595.1,602.0,592.0,599.5,599.5,4165.0,24.95,NSE/BALKRISIND
2006-10-11,607.0,607.0,597.5,601.5,599.1,2067.0,12.38,NSE/BALKRISIND
2006-10-12,599.0,604.0,598.5,599.0,599.0,1069.0,6.41,NSE/BALKRISIND
2006-10-13,602.0,610.0,598.0,600.0,598.75,931.0,5.59,NSE/BALKRISIND
2006-10-16,619.0,620.0,600.0,605.0,602.9,9647.0,58.21,NSE/BALKRISIND
2006-10-17,606.5,606.5,599.0,605.0,602.0,900.0,5.41,NSE/BALKRISIND
2006-10-18,604.85,605.0,600.0,600.0,600.0,786.0,4.73,NSE/BALKRISIND
2006-10-19,600.0,600.1,598.25,599.15,599.7,833.0,4.99,NSE/BALKRISIND
2006-10-20,613.0,613.0,600.0,601.0,600.8,2442.0,14.66,NSE/BALKRISIND
2006-10-21,614.0,614.0,605.0,612.0,612.55,140.0,0.86,NSE/BALKRISIND
2006-10-23,606.5,610.0,600.0,600.0,600.25,487.0,2.93,NSE/BALKRISIND
2006-10-26,609.0,609.0,600.0,600.0,600.0,98.0,0.59,NSE/BALKRISIND
2006-10-27,598.0,609.65,598.0,600.0,605.35,460.0,2.78,NSE/BALKRISIND
2006-10-30,599.0,606.5,599.0,600.0,600.05,4276.0,25.66,NSE/BALKRISIND
2006-10-31,599.0,604.7,597.5,603.75,603.75,842.0,5.04,NSE/BALKRISIND
2006-11-01,601.0,601.0,580.0,590.0,589.65,1997.0,11.84,NSE/BALKRISIND
2006-11-02,597.0,597.0,580.0,580.0,582.55,679.0,3.98,NSE/BALKRISIND
2006-11-03,572.0,596.6,561.0,575.0,573.9,639.0,3.68,NSE/BALKRISIND
2006-11-06,584.95,589.7,561.2,574.9,565.5,254.0,1.45,NSE/BALKRISIND
2006-11-07,580.0,580.0,564.5,570.1,575.2,906.0,5.19,NSE/BALKRISIND
2006-11-08,579.95,579.95,545.0,545.0,547.85,485.0,2.69,NSE/BALKRISIND
2006-11-09,570.0,570.0,540.0,545.35,546.75,751.0,4.11,NSE/BALKRISIND
2006-11-10,559.95,559.95,546.0,546.0,546.8,215.0,1.19,NSE/BALKRISIND
2006-11-13,550.0,559.0,546.0,550.0,554.75,228.0,1.26,NSE/BALKRISIND
2006-11-14,551.0,551.0,531.55,536.0,536.0,806.0,4.36,NSE/BALKRISIND
2006-11-15,530.35,533.95,520.0,525.05,526.5,376.0,1.98,NSE/BALKRISIND
2006-11-16,524.0,535.95,515.0,515.0,521.25,486.0,2.55,NSE/BALKRISIND
2006-11-17,515.0,533.95,511.0,511.1,513.2,809.0,4.18,NSE/BALKRISIND
2006-11-20,510.0,526.0,501.0,505.25,505.25,239.0,1.21,NSE/BALKRISIND
2006-11-21,510.0,525.0,477.05,481.05,484.35,1541.0,7.68,NSE/BALKRISIND
2006-11-22,504.0,505.0,492.1,499.5,495.3,1663.0,8.36,NSE/BALKRISIND
2006-11-23,490.0,504.0,483.0,500.0,500.0,178.0,0.88,NSE/BALKRISIND
2006-11-24,497.95,498.0,493.0,493.0,493.25,265.0,1.32,NSE/BALKRISIND
2006-11-27,508.85,508.85,478.0,480.0,480.15,867.0,4.2,NSE/BALKRISIND
2006-11-28,480.0,494.5,470.0,470.0,472.75,1089.0,5.21,NSE/BALKRISIND
2006-11-29,490.0,539.8,472.0,495.1,496.5,7415.0,37.87,NSE/BALKRISIND
2006-11-30,534.0,564.0,515.0,555.0,554.55,16140.0,89.22,NSE/BALKRISIND
2006-12-01,570.0,665.5,555.55,576.05,577.65,117782.0,722.38,NSE/BALKRISIND
2006-12-04,590.0,654.0,571.05,575.0,577.55,82204.0,493.14,NSE/BALKRISIND
2006-12-05,580.1,611.0,580.1,582.0,582.75,19807.0,117.05,NSE/BALKRISIND
2006-12-06,596.0,596.0,569.95,578.0,577.85,12391.0,71.79,NSE/BALKRISIND
2006-12-07,568.0,585.0,565.0,570.0,568.0,4332.0,24.81,NSE/BALKRISIND
2006-12-08,574.0,578.0,553.0,558.95,557.7,3087.0,17.36,NSE/BALKRISIND
2006-12-11,556.0,600.0,552.5,558.0,560.3,7670.0,43.83,NSE/BALKRISIND
2006-12-12,558.0,574.0,504.5,504.5,504.95,8992.0,47.84,NSE/BALKRISIND
2006-12-13,490.0,528.5,490.0,504.0,504.85,8864.0,44.93,NSE/BALKRISIND
2006-12-14,507.0,540.0,506.55,524.95,524.15,9237.0,48.72,NSE/BALKRISIND
2006-12-15,538.0,540.0,526.0,530.0,529.1,3143.0,16.7,NSE/BALKRISIND
2006-12-18,538.0,549.0,530.0,534.0,533.85,3002.0,16.1,NSE/BALKRISIND
2006-12-19,535.0,537.8,515.05,520.0,518.7,3028.0,15.97,NSE/BALKRISIND
2006-12-20,517.0,535.0,512.15,512.15,516.65,1604.0,8.39,NSE/BALKRISIND
2006-12-21,510.0,517.95,500.0,516.0,512.55,2512.0,12.81,NSE/BALKRISIND
2006-12-22,512.0,524.9,510.0,514.0,513.1,961.0,4.94,NSE/BALKRISIND
2006-12-26,527.4,528.0,520.0,525.0,522.45,6070.0,31.81,NSE/BALKRISIND
2006-12-27,525.0,534.8,521.0,525.0,526.7,1175.0,6.2,NSE/BALKRISIND
2006-12-28,539.0,540.0,529.0,532.0,531.8,3384.0,18.0,NSE/BALKRISIND
2006-12-29,535.0,546.0,530.1,546.0,541.55,3177.0,17.14,NSE/BALKRISIND
2007-01-02,560.8,560.8,534.1,535.0,535.55,1531.0,8.24,NSE/BALKRISIND
2007-01-03,534.05,536.0,526.0,532.35,534.1,4063.0,21.61,NSE/BALKRISIND
2007-01-04,533.0,537.9,502.0,531.0,531.7,6624.0,35.13,NSE/BALKRISIND
2007-01-05,530.5,555.0,525.2,546.0,541.45,7471.0,40.25,NSE/BALKRISIND
2007-01-08,525.0,568.0,525.0,546.25,547.85,11727.0,64.72,NSE/BALKRISIND
2007-01-09,550.1,560.0,550.0,550.0,550.2,9984.0,55.04,NSE/BALKRISIND
2007-01-10,550.0,570.0,536.5,540.15,545.25,6066.0,33.55,NSE/BALKRISIND
2007-01-11,550.0,559.8,545.2,553.9,550.25,5328.0,29.31,NSE/BALKRISIND
2007-01-12,541.4,553.8,541.4,550.0,550.1,3576.0,19.67,NSE/BALKRISIND
