Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-05-08,63.95,63.95,58.1,60.45,60.35,458476.0,284.99,NSE/BALPHARMA
2006-05-09,66.0,66.0,60.1,61.65,61.75,65850.0,41.04,NSE/BALPHARMA
2006-05-10,62.1,64.5,61.0,63.0,62.75,59782.0,37.83,NSE/BALPHARMA
2006-05-11,61.5,62.8,59.1,59.1,60.1,16459.0,10.08,NSE/BALPHARMA
2006-05-12,58.95,59.95,58.0,58.05,58.15,9587.0,5.63,NSE/BALPHARMA
2006-05-15,59.95,64.0,59.0,62.3,62.75,60501.0,38.2,NSE/BALPHARMA
2006-05-16,63.0,64.0,56.6,60.0,59.3,20629.0,12.32,NSE/BALPHARMA
2006-05-17,63.0,63.0,60.55,61.1,61.25,14565.0,8.99,NSE/BALPHARMA
2006-05-18,56.0,60.45,55.15,55.25,55.45,13745.0,7.87,NSE/BALPHARMA
2006-05-19,56.5,58.2,51.15,51.5,51.8,5843.0,3.13,NSE/BALPHARMA
2006-05-22,52.95,52.95,46.65,46.8,46.9,6120.0,2.92,NSE/BALPHARMA
2006-05-23,49.0,49.2,45.5,48.5,48.85,6467.0,3.11,NSE/BALPHARMA
2006-05-24,46.8,51.3,46.8,51.25,51.0,6166.0,3.11,NSE/BALPHARMA
2006-05-25,49.0,51.85,49.0,50.35,50.7,3148.0,1.6,NSE/BALPHARMA
2006-05-26,51.75,52.0,50.65,50.8,50.8,1554.0,0.8,NSE/BALPHARMA
2006-05-29,51.95,52.8,50.65,52.1,52.45,3176.0,1.64,NSE/BALPHARMA
2006-05-30,53.0,53.0,49.9,51.05,51.4,1622.0,0.84,NSE/BALPHARMA
2006-05-31,49.1,50.0,48.85,48.85,48.85,1840.0,0.9,NSE/BALPHARMA
2006-06-01,47.35,47.75,47.0,47.0,47.0,720.0,0.34,NSE/BALPHARMA
2006-06-02,45.0,46.4,44.65,44.7,44.7,960.0,0.43,NSE/BALPHARMA
2006-06-05,45.0,46.3,42.5,42.7,42.75,2736.0,1.18,NSE/BALPHARMA
2006-06-06,42.7,43.2,41.2,42.95,42.95,2800.0,1.18,NSE/BALPHARMA
2006-06-07,42.1,42.1,40.8,40.8,40.8,1340.0,0.55,NSE/BALPHARMA
2006-06-08,38.95,38.95,38.95,38.95,38.95,100.0,0.04,NSE/BALPHARMA
2006-06-09,37.0,38.0,37.0,37.0,37.05,8155.0,3.02,NSE/BALPHARMA
2006-06-12,38.0,38.0,34.15,36.1,36.1,3868.0,1.39,NSE/BALPHARMA
2006-06-13,33.0,34.85,32.6,32.9,32.9,1644.0,0.55,NSE/BALPHARMA
2006-06-14,31.3,34.2,31.3,33.2,32.1,1900.0,0.61,NSE/BALPHARMA
2006-06-15,33.0,33.0,30.6,31.35,31.35,255.0,0.08,NSE/BALPHARMA
2006-06-16,32.25,32.95,32.25,32.95,32.95,5801.0,1.91,NSE/BALPHARMA
2006-06-19,32.95,32.95,32.95,32.95,32.95,220.0,0.07,NSE/BALPHARMA
2006-06-20,34.6,34.6,34.6,34.6,34.6,50.0,0.02,NSE/BALPHARMA
2006-06-21,36.35,36.35,35.05,36.35,36.35,1322.0,0.48,NSE/BALPHARMA
2006-06-22,38.15,38.2,38.1,38.2,38.2,4301.0,1.64,NSE/BALPHARMA
2006-06-23,40.1,40.15,38.25,40.15,40.15,5834.0,2.33,NSE/BALPHARMA
2006-06-25,40.25,42.15,40.25,42.15,42.15,575.0,0.24,NSE/BALPHARMA
2006-06-26,44.05,44.15,40.05,40.1,40.1,5313.0,2.21,NSE/BALPHARMA
2006-06-27,38.1,42.0,38.1,39.7,39.05,3492.0,1.38,NSE/BALPHARMA
2006-06-28,39.5,39.5,37.1,37.1,37.1,4526.0,1.74,NSE/BALPHARMA
2006-06-29,35.95,38.5,35.35,36.6,36.0,13979.0,5.19,NSE/BALPHARMA
2006-06-30,37.7,37.8,35.3,35.5,35.55,14527.0,5.43,NSE/BALPHARMA
2006-07-03,36.45,36.45,35.5,36.05,36.15,19054.0,6.87,NSE/BALPHARMA
2006-07-04,37.95,38.0,37.3,38.0,38.0,7657.0,2.9,NSE/BALPHARMA
2006-07-05,39.85,39.9,39.4,39.6,39.75,6618.0,2.64,NSE/BALPHARMA
2006-07-06,39.0,39.75,38.3,38.75,38.75,14232.0,5.58,NSE/BALPHARMA
2006-07-07,40.05,40.7,37.0,37.1,37.2,29418.0,11.52,NSE/BALPHARMA
2006-07-10,37.1,38.65,36.3,37.5,37.8,24809.0,9.3,NSE/BALPHARMA
2006-07-11,37.5,38.0,36.3,36.3,36.7,22650.0,8.5,NSE/BALPHARMA
2006-07-12,38.3,38.3,35.8,36.0,36.35,28486.0,10.48,NSE/BALPHARMA
2006-07-13,37.5,37.8,36.0,36.25,36.25,32775.0,12.07,NSE/BALPHARMA
2006-07-14,36.0,37.7,35.3,35.3,36.05,24444.0,8.95,NSE/BALPHARMA
2006-07-17,37.25,37.25,35.0,35.0,35.05,20336.0,7.35,NSE/BALPHARMA
2006-07-18,36.8,36.8,33.5,33.5,33.5,24429.0,8.72,NSE/BALPHARMA
2006-07-19,34.0,35.0,32.55,33.25,32.8,18880.0,6.36,NSE/BALPHARMA
2006-07-20,34.4,34.4,32.5,33.55,32.75,23225.0,7.75,NSE/BALPHARMA
2006-07-21,32.8,34.15,31.3,31.3,31.6,37421.0,12.44,NSE/BALPHARMA
2006-07-24,32.5,32.75,30.05,31.45,31.45,26010.0,8.13,NSE/BALPHARMA
2006-07-25,32.3,32.45,30.85,31.55,31.55,25452.0,8.08,NSE/BALPHARMA
2006-07-26,32.3,32.5,31.4,32.15,32.15,19988.0,6.43,NSE/BALPHARMA
2006-07-27,33.6,33.6,31.5,31.5,32.0,25458.0,8.32,NSE/BALPHARMA
2006-07-28,33.1,33.1,32.0,32.05,32.2,14872.0,4.85,NSE/BALPHARMA
2006-07-31,33.5,33.8,31.8,33.8,33.8,27480.0,9.09,NSE/BALPHARMA
2006-08-01,34.5,34.5,32.15,32.9,33.35,18448.0,6.17,NSE/BALPHARMA
