Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-12-22,290.0,296.45,285.45,296.45,296.45,3586.0,10.54,NSE/BANCOINDIA
2006-12-26,298.0,305.0,296.0,296.5,296.5,510.0,1.53,NSE/BANCOINDIA
2006-12-27,297.0,304.0,290.05,292.5,292.5,362.0,1.07,NSE/BANCOINDIA
2006-12-28,285.0,295.5,285.0,288.0,288.0,192.0,0.55,NSE/BANCOINDIA
2006-12-29,299.4,299.7,285.0,286.0,286.0,577.0,1.67,NSE/BANCOINDIA
2007-01-02,284.0,286.0,284.0,286.0,286.0,103.0,0.29,NSE/BANCOINDIA
2007-01-03,285.1,286.0,285.1,286.0,286.0,22.0,0.06,NSE/BANCOINDIA
2007-01-04,280.6,284.1,280.6,284.0,284.1,220.0,0.62,NSE/BANCOINDIA
2007-01-05,292.0,292.0,292.0,292.0,292.0,100.0,0.29,NSE/BANCOINDIA
2007-01-08,289.0,294.0,289.0,294.0,294.0,60.0,0.17,NSE/BANCOINDIA
2007-01-09,298.95,298.95,286.4,294.85,288.25,270.0,0.79,NSE/BANCOINDIA
2007-01-10,295.0,295.0,290.15,290.15,290.15,65.0,0.19,NSE/BANCOINDIA
2007-01-11,293.5,302.0,287.95,302.0,298.1,856.0,2.55,NSE/BANCOINDIA
2007-01-12,302.0,313.05,302.0,313.05,313.05,2630.0,8.21,NSE/BANCOINDIA
2007-01-15,328.5,328.7,325.0,328.7,328.7,3985.0,13.1,NSE/BANCOINDIA
2007-01-16,344.5,345.15,326.5,334.0,329.85,3640.0,12.36,NSE/BANCOINDIA
2007-01-17,331.3,331.3,315.0,328.4,325.05,2442.0,7.91,NSE/BANCOINDIA
2007-01-18,320.05,330.0,320.0,320.0,320.0,398.0,1.29,NSE/BANCOINDIA
2007-01-19,320.0,326.3,313.0,317.0,318.6,282.0,0.9,NSE/BANCOINDIA
2007-01-22,324.0,336.8,321.0,322.55,322.55,330.0,1.07,NSE/BANCOINDIA
2007-01-23,334.0,334.0,292.05,324.0,324.0,100.0,0.31,NSE/BANCOINDIA
2007-01-24,309.0,333.0,309.0,325.0,325.0,743.0,2.4,NSE/BANCOINDIA
2007-01-25,316.0,341.0,316.0,336.0,337.7,5569.0,18.64,NSE/BANCOINDIA
2007-01-29,340.0,345.2,320.0,320.0,320.0,4341.0,14.4,NSE/BANCOINDIA
