Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2008-02-20,250.0,269.9,168.55,172.2,174.1,13884715.0,27225.58,NSE/BANG
2008-02-21,176.75,178.4,163.6,165.25,166.25,4084290.0,6939.59,NSE/BANG
2008-02-22,162.0,164.0,153.1,158.4,156.35,1554432.0,2471.16,NSE/BANG
2008-02-25,162.0,162.0,153.25,154.0,156.0,617673.0,969.11,NSE/BANG
2008-02-26,156.0,157.5,148.55,150.5,149.95,629936.0,962.85,NSE/BANG
2008-02-27,152.0,161.85,151.0,152.0,152.2,1034114.0,1618.3,NSE/BANG
2008-02-28,152.55,157.0,150.1,151.5,151.7,395548.0,605.71,NSE/BANG
2008-02-29,151.1,154.8,148.0,153.7,153.45,328258.0,498.85,NSE/BANG
2008-03-03,152.0,152.0,135.1,135.25,137.4,119510.0,171.75,NSE/BANG
2008-03-04,139.0,139.95,122.0,123.05,123.25,234053.0,298.75,NSE/BANG
2008-03-05,121.5,126.0,111.7,113.8,113.7,293673.0,343.47,NSE/BANG
2008-03-07,105.0,114.9,97.0,114.0,110.3,366279.0,381.78,NSE/BANG
2008-03-10,102.95,107.6,100.0,102.8,103.9,131642.0,137.43,NSE/BANG
2008-03-11,106.0,109.9,100.05,103.9,104.3,161604.0,171.56,NSE/BANG
2008-03-12,107.95,107.95,104.6,106.0,105.95,90308.0,95.88,NSE/BANG
2008-03-13,101.5,104.95,94.0,98.0,96.35,79946.0,79.35,NSE/BANG
2008-03-14,99.2,106.75,92.0,106.0,105.2,540402.0,548.34,NSE/BANG
2008-03-17,100.05,101.9,95.8,98.3,97.85,89168.0,88.07,NSE/BANG
2008-03-18,99.0,105.25,98.0,102.5,101.0,104819.0,106.81,NSE/BANG
2008-03-19,104.9,110.8,102.2,109.15,108.2,191722.0,205.18,NSE/BANG
2008-03-24,105.0,110.5,101.1,106.0,108.55,82833.0,88.3,NSE/BANG
2008-03-25,108.0,121.4,106.25,118.0,119.65,192719.0,224.15,NSE/BANG
2008-03-26,120.1,123.95,114.25,122.9,123.0,367011.0,442.55,NSE/BANG
2008-03-27,117.75,123.95,117.75,123.0,122.55,281267.0,345.34,NSE/BANG
2008-03-28,122.85,131.0,120.8,123.15,125.6,68558.0,86.59,NSE/BANG
2008-03-31,121.1,124.6,120.2,120.5,122.6,82466.0,101.24,NSE/BANG
2008-04-01,126.0,127.7,120.2,126.95,125.15,25976.0,32.09,NSE/BANG
2008-04-02,127.1,150.2,123.5,137.0,138.9,453283.0,643.77,NSE/BANG
2008-04-03,138.95,142.8,131.35,133.0,132.3,170353.0,230.87,NSE/BANG
2008-04-04,131.05,140.8,128.65,130.1,131.15,180848.0,244.29,NSE/BANG
2008-04-07,130.05,157.4,130.0,150.6,149.85,895008.0,1353.31,NSE/BANG
2008-04-08,154.0,154.4,140.0,153.1,152.65,434100.0,650.98,NSE/BANG
2008-04-09,152.0,171.8,149.2,162.0,163.3,777744.0,1269.73,NSE/BANG
2008-04-10,161.0,163.0,150.8,151.0,151.75,308646.0,487.53,NSE/BANG
2008-04-11,154.0,166.95,152.3,166.95,164.8,465214.0,749.4,NSE/BANG
2008-04-15,166.1,172.8,162.4,164.2,166.45,152960.0,256.39,NSE/BANG
2008-04-16,165.7,180.7,163.2,175.4,175.2,466950.0,816.66,NSE/BANG
2008-04-17,179.85,184.8,173.6,176.0,175.95,140063.0,252.4,NSE/BANG
2008-04-21,178.0,193.0,176.05,189.95,191.9,342371.0,645.75,NSE/BANG
2008-04-22,190.35,196.0,184.55,190.0,193.3,184181.0,353.5,NSE/BANG
