Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-06-04,241.0,241.0,236.0,236.5,237.36,724.0,1.73,NSE/BANKBEES
2004-06-07,246.0,248.0,245.0,247.0,247.58,280.0,0.69,NSE/BANKBEES
2004-06-09,249.0,249.0,246.0,246.0,246.0,149.0,0.37,NSE/BANKBEES
2004-06-10,242.0,242.0,242.0,242.0,242.0,25.0,0.06,NSE/BANKBEES
2004-06-14,229.75,229.75,229.75,229.75,229.75,20.0,0.05,NSE/BANKBEES
2004-06-15,229.1,229.1,226.1,226.1,226.28,101.0,0.23,NSE/BANKBEES
2004-06-17,229.4,229.4,229.4,229.4,229.4,500.0,1.15,NSE/BANKBEES
2004-06-18,238.0,238.0,234.25,236.5,236.5,325.0,0.77,NSE/BANKBEES
2004-06-21,235.0,235.0,235.0,235.0,235.0,25.0,0.06,NSE/BANKBEES
2004-06-22,227.45,227.5,223.0,227.5,227.5,535.0,1.2,NSE/BANKBEES
2004-07-08,227.0,227.0,227.0,227.0,227.0,300.0,0.68,NSE/BANKBEES
2004-07-20,239.8,239.8,239.8,239.8,239.8,1.0,0.0,NSE/BANKBEES
2004-07-22,236.0,236.0,236.0,236.0,236.0,5.0,0.01,NSE/BANKBEES
2004-07-26,241.0,241.0,241.0,241.0,241.0,70.0,0.17,NSE/BANKBEES
2004-08-12,241.0,241.0,241.0,241.0,241.0,10.0,0.02,NSE/BANKBEES
2004-09-09,246.0,246.0,246.0,246.0,246.0,10.0,0.02,NSE/BANKBEES
2004-09-10,243.25,247.85,243.25,247.85,247.85,50.0,0.12,NSE/BANKBEES
2004-09-14,242.0,242.0,242.0,242.0,242.0,15.0,0.04,NSE/BANKBEES
2004-09-15,245.0,250.0,245.0,250.0,250.0,400.0,0.99,NSE/BANKBEES
2004-09-23,265.0,265.0,265.0,265.0,265.0,75.0,0.2,NSE/BANKBEES
2004-09-24,261.0,261.0,261.0,261.0,261.0,50.0,0.13,NSE/BANKBEES
2004-09-27,260.5,260.5,256.5,256.5,256.5,50.0,0.13,NSE/BANKBEES
2004-09-28,256.0,259.85,256.0,259.85,259.85,20.0,0.05,NSE/BANKBEES
