Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-01-12,106.0,135.0,106.0,109.75,110.75,6662350.0,7735.7,NSE/BARTRONICS
2006-01-13,111.0,118.95,110.7,112.9,112.4,2910554.0,3354.43,NSE/BARTRONICS
2006-01-16,113.8,133.85,113.25,132.5,132.55,10781196.0,13748.24,NSE/BARTRONICS
2006-01-17,134.25,138.95,123.25,127.9,126.1,5843191.0,7737.11,NSE/BARTRONICS
2006-01-18,123.0,132.4,123.0,127.35,126.65,4816052.0,6167.47,NSE/BARTRONICS
2006-01-19,128.05,132.8,128.05,130.7,131.0,3480641.0,4552.84,NSE/BARTRONICS
2006-01-20,131.3,152.0,131.0,143.05,142.9,11234193.0,16074.35,NSE/BARTRONICS
2006-01-23,141.0,148.3,138.2,143.25,143.3,5330182.0,7698.35,NSE/BARTRONICS
2006-01-24,144.75,154.6,144.6,146.85,147.2,6724292.0,10073.42,NSE/BARTRONICS
2006-01-25,149.05,151.8,139.35,142.1,141.05,3124799.0,4599.02,NSE/BARTRONICS
2006-01-27,144.0,144.25,136.6,138.4,138.25,1822921.0,2554.44,NSE/BARTRONICS
2006-01-30,139.9,139.9,130.65,134.8,134.7,2143997.0,2900.1,NSE/BARTRONICS
2006-01-31,135.9,146.2,134.35,140.0,140.3,4328551.0,6154.53,NSE/BARTRONICS
2006-02-01,142.0,142.8,129.55,130.45,130.7,2945406.0,4041.25,NSE/BARTRONICS
2006-02-02,131.75,133.8,125.25,127.2,127.05,1527691.0,1969.56,NSE/BARTRONICS
2006-02-03,126.1,127.5,120.1,122.3,121.8,847099.0,1048.21,NSE/BARTRONICS
2006-02-06,122.1,127.4,121.1,125.0,124.25,965126.0,1204.32,NSE/BARTRONICS
2006-02-07,125.8,126.6,121.0,122.5,122.45,615631.0,761.68,NSE/BARTRONICS
2006-02-08,123.0,123.85,120.1,120.65,120.95,692797.0,842.89,NSE/BARTRONICS
2006-02-10,122.2,128.4,120.0,125.75,125.85,1325091.0,1658.73,NSE/BARTRONICS
2006-02-13,127.5,127.5,122.0,122.8,122.9,535618.0,664.35,NSE/BARTRONICS
2006-02-14,123.8,129.25,121.8,124.35,124.25,1319646.0,1660.62,NSE/BARTRONICS
2006-02-15,124.25,126.65,121.05,122.0,122.45,502340.0,621.33,NSE/BARTRONICS
2006-02-16,123.0,124.4,121.1,121.75,121.45,356603.0,436.64,NSE/BARTRONICS
2006-02-17,121.8,122.55,116.05,116.65,116.45,376701.0,447.69,NSE/BARTRONICS
2006-02-20,115.0,115.95,110.5,112.0,112.45,494121.0,556.36,NSE/BARTRONICS
2006-02-21,113.0,120.25,112.1,116.05,116.05,651171.0,759.88,NSE/BARTRONICS
2006-02-22,116.85,116.85,111.5,112.8,112.7,293753.0,333.22,NSE/BARTRONICS
2006-02-23,113.55,113.55,108.3,109.0,109.05,242543.0,268.43,NSE/BARTRONICS
2006-02-24,109.5,109.9,106.1,106.5,106.75,263081.0,282.6,NSE/BARTRONICS
2006-02-27,107.0,109.8,105.0,105.0,105.45,300094.0,321.41,NSE/BARTRONICS
2006-02-28,106.85,109.65,103.2,107.45,106.9,393305.0,421.32,NSE/BARTRONICS
2006-03-01,107.2,112.0,105.35,108.1,109.0,352295.0,383.78,NSE/BARTRONICS
2006-03-02,109.9,115.9,107.6,111.35,111.0,918571.0,1035.4,NSE/BARTRONICS
2006-03-03,112.0,112.65,108.1,109.0,109.05,229863.0,253.11,NSE/BARTRONICS
2006-03-06,110.5,111.4,107.1,108.3,108.25,159846.0,174.2,NSE/BARTRONICS
2006-03-07,109.85,109.85,106.5,106.7,107.05,144361.0,155.09,NSE/BARTRONICS
2006-03-08,108.0,112.0,105.0,106.5,105.85,245132.0,265.14,NSE/BARTRONICS
2006-03-09,107.5,107.5,103.3,104.0,104.35,136642.0,143.7,NSE/BARTRONICS
2006-03-10,105.8,106.2,103.0,103.3,103.25,110369.0,115.27,NSE/BARTRONICS
2006-03-13,104.8,106.0,101.15,101.85,101.55,123133.0,127.05,NSE/BARTRONICS
2006-03-14,102.1,102.9,97.5,97.55,97.9,221687.0,222.02,NSE/BARTRONICS
2006-03-16,98.2,104.9,98.2,102.5,102.35,350918.0,359.34,NSE/BARTRONICS
2006-03-17,98.1,103.45,97.55,98.0,98.2,151414.0,150.78,NSE/BARTRONICS
2006-03-20,99.8,100.65,96.05,96.1,96.6,181919.0,178.48,NSE/BARTRONICS
2006-03-21,97.7,98.35,94.35,94.6,94.75,174833.0,168.32,NSE/BARTRONICS
2006-03-22,95.1,95.8,90.3,90.5,90.9,215223.0,198.94,NSE/BARTRONICS
2006-03-23,91.15,91.45,88.15,89.25,89.05,182711.0,163.57,NSE/BARTRONICS
2006-03-24,90.4,90.4,83.15,85.0,85.0,198497.0,171.51,NSE/BARTRONICS
2006-03-27,86.0,93.9,85.05,91.3,91.35,594931.0,540.54,NSE/BARTRONICS
2006-03-28,92.0,97.55,88.5,92.2,92.75,778937.0,733.91,NSE/BARTRONICS
2006-03-29,93.0,96.1,91.65,91.65,92.55,159224.0,149.15,NSE/BARTRONICS
2006-03-30,93.0,94.6,90.55,93.0,92.45,137305.0,127.52,NSE/BARTRONICS
2006-03-31,93.0,93.0,90.8,90.85,91.25,93242.0,85.78,NSE/BARTRONICS
2006-04-03,93.0,95.9,92.4,93.6,93.9,96523.0,90.85,NSE/BARTRONICS
2006-04-04,94.3,103.9,94.25,103.0,103.0,756096.0,756.84,NSE/BARTRONICS
2006-04-05,104.4,108.8,102.05,104.75,105.05,588546.0,622.88,NSE/BARTRONICS
2006-04-07,105.5,106.45,97.4,101.5,100.8,299653.0,308.57,NSE/BARTRONICS
2006-04-10,100.85,106.4,97.95,103.55,103.7,350949.0,361.89,NSE/BARTRONICS
2006-04-12,101.0,104.5,94.5,94.5,95.35,299866.0,296.75,NSE/BARTRONICS
2006-04-13,96.3,96.3,90.0,90.2,90.35,165916.0,152.59,NSE/BARTRONICS
2006-04-17,91.4,93.9,90.5,91.95,91.55,82481.0,75.89,NSE/BARTRONICS
2006-04-18,92.0,92.0,87.0,88.0,88.05,35396.0,31.34,NSE/BARTRONICS
2006-04-19,86.0,89.75,85.5,87.5,87.2,19604.0,17.26,NSE/BARTRONICS
2006-04-20,88.0,91.0,85.55,89.0,88.8,25043.0,22.24,NSE/BARTRONICS
2006-04-21,86.5,90.0,86.4,87.8,87.0,19544.0,17.19,NSE/BARTRONICS
2006-04-24,91.0,91.0,87.0,88.5,88.25,30864.0,27.2,NSE/BARTRONICS
2006-04-25,88.9,89.9,86.0,86.25,86.3,23737.0,20.68,NSE/BARTRONICS
2006-04-26,87.0,88.5,86.0,86.9,87.55,26051.0,22.77,NSE/BARTRONICS
2006-04-27,88.9,90.0,87.0,87.0,87.35,28951.0,25.68,NSE/BARTRONICS
2006-04-28,83.05,87.7,83.05,86.7,84.8,32983.0,28.02,NSE/BARTRONICS
2006-04-29,85.0,87.5,83.3,86.5,86.8,12423.0,10.76,NSE/BARTRONICS
2006-05-02,87.95,89.9,86.0,86.0,86.65,23378.0,20.39,NSE/BARTRONICS
2006-05-03,85.25,88.65,85.25,87.25,86.55,19730.0,17.12,NSE/BARTRONICS
2006-05-04,87.25,89.0,86.65,87.1,87.2,17016.0,14.96,NSE/BARTRONICS
2006-05-05,85.75,88.9,85.75,86.0,86.35,15085.0,13.13,NSE/BARTRONICS
2006-05-08,85.05,87.0,85.05,86.0,85.95,21603.0,18.57,NSE/BARTRONICS
2006-05-09,86.0,87.5,84.5,85.5,85.05,18029.0,15.4,NSE/BARTRONICS
2006-05-10,85.5,87.0,84.3,86.0,85.35,29832.0,25.65,NSE/BARTRONICS
2006-05-11,84.5,87.0,84.0,84.2,84.3,24243.0,20.58,NSE/BARTRONICS
2006-05-12,84.0,84.9,83.0,83.0,83.05,30928.0,25.82,NSE/BARTRONICS
2006-05-15,84.0,84.9,81.0,81.0,81.15,38230.0,31.42,NSE/BARTRONICS
2006-05-16,79.2,82.0,77.1,79.0,78.2,46434.0,36.44,NSE/BARTRONICS
2006-05-17,80.0,82.0,78.6,79.8,79.9,20059.0,16.17,NSE/BARTRONICS
2006-05-18,83.9,83.9,75.9,76.0,75.9,25619.0,19.76,NSE/BARTRONICS
2006-05-19,76.0,79.0,72.1,72.1,72.1,31349.0,22.84,NSE/BARTRONICS
2006-05-22,72.4,72.4,68.5,68.5,68.5,8127.0,5.61,NSE/BARTRONICS
2006-05-23,65.1,68.35,65.1,68.0,65.75,34600.0,22.57,NSE/BARTRONICS
2006-05-24,65.0,69.05,64.0,66.6,66.55,18265.0,12.34,NSE/BARTRONICS
2006-05-25,65.0,69.0,64.55,67.0,67.5,16255.0,10.81,NSE/BARTRONICS
2006-05-26,66.25,70.55,66.25,68.15,69.4,13126.0,9.08,NSE/BARTRONICS
2006-05-29,70.0,72.9,68.6,72.9,72.9,10526.0,7.61,NSE/BARTRONICS
2006-05-30,75.4,76.55,72.0,73.0,73.25,22485.0,16.83,NSE/BARTRONICS
2006-05-31,73.0,73.0,69.6,70.0,69.8,13527.0,9.5,NSE/BARTRONICS
2006-06-01,67.0,72.4,66.35,68.5,66.85,16791.0,11.42,NSE/BARTRONICS
2006-06-02,65.05,66.1,63.55,63.55,63.65,13899.0,8.92,NSE/BARTRONICS
2006-06-05,61.25,63.75,60.5,60.6,60.8,19791.0,12.12,NSE/BARTRONICS
2006-06-06,60.5,60.5,57.8,58.0,58.15,13295.0,7.71,NSE/BARTRONICS
2006-06-07,55.6,58.0,55.25,55.25,55.25,13886.0,7.7,NSE/BARTRONICS
2006-06-08,55.0,55.0,52.5,52.5,52.5,2126.0,1.12,NSE/BARTRONICS
2006-06-09,51.0,51.5,49.9,50.2,50.7,52692.0,26.51,NSE/BARTRONICS
2006-06-12,50.0,53.25,49.9,53.25,53.25,53942.0,28.3,NSE/BARTRONICS
2006-06-13,51.05,52.0,50.6,50.6,50.6,13961.0,7.09,NSE/BARTRONICS
2006-06-14,48.3,51.25,48.1,48.1,48.1,23001.0,11.17,NSE/BARTRONICS
2006-06-15,45.7,47.0,45.7,45.7,45.75,56062.0,25.64,NSE/BARTRONICS
2006-06-16,46.25,48.05,45.7,48.05,48.05,49999.0,23.83,NSE/BARTRONICS
2006-06-19,50.45,50.45,48.05,50.45,50.45,25871.0,12.96,NSE/BARTRONICS
2006-06-20,51.0,53.0,49.0,53.0,53.0,15960.0,8.4,NSE/BARTRONICS
2006-06-21,55.5,55.65,54.5,55.65,55.65,15832.0,8.79,NSE/BARTRONICS
2006-06-22,58.45,58.45,58.45,58.45,58.45,5224.0,3.05,NSE/BARTRONICS
2006-06-23,60.35,61.4,58.95,61.0,60.8,76691.0,46.39,NSE/BARTRONICS
2006-06-25,63.0,63.7,63.0,63.6,63.4,9629.0,6.09,NSE/BARTRONICS
2006-06-26,64.5,66.0,60.25,60.25,60.25,42919.0,27.02,NSE/BARTRONICS
2006-06-27,58.1,61.0,57.25,57.25,57.25,6512.0,3.73,NSE/BARTRONICS
2006-06-28,54.4,55.55,54.4,54.6,54.65,15345.0,8.38,NSE/BARTRONICS
2006-06-29,55.0,56.8,54.5,55.6,55.25,10588.0,5.88,NSE/BARTRONICS
2006-06-30,57.0,58.05,57.0,58.05,58.05,18884.0,10.93,NSE/BARTRONICS
2006-07-03,59.2,59.75,57.5,59.05,58.65,12369.0,7.24,NSE/BARTRONICS
2006-07-04,59.95,59.95,56.0,56.95,56.7,20253.0,11.52,NSE/BARTRONICS
2006-07-05,55.75,57.4,55.75,56.9,56.6,9427.0,5.33,NSE/BARTRONICS
2006-07-06,57.4,57.5,54.0,55.3,54.8,11603.0,6.45,NSE/BARTRONICS
2006-07-07,57.0,57.0,53.25,53.65,53.75,13325.0,7.31,NSE/BARTRONICS
2006-07-10,52.1,54.7,51.5,52.85,53.0,11022.0,5.79,NSE/BARTRONICS
2006-07-11,52.4,53.4,51.75,52.0,52.35,8199.0,4.31,NSE/BARTRONICS
2006-07-12,52.0,53.0,51.0,52.4,52.2,11677.0,6.05,NSE/BARTRONICS
2006-07-13,52.3,52.8,51.15,52.0,52.4,9393.0,4.91,NSE/BARTRONICS
2006-07-14,51.15,55.0,51.1,54.0,54.0,11429.0,6.03,NSE/BARTRONICS
2006-07-17,53.6,59.4,53.6,57.95,57.8,112239.0,65.77,NSE/BARTRONICS
2006-07-18,59.9,59.9,53.15,53.3,53.6,50097.0,27.62,NSE/BARTRONICS
2006-07-19,54.0,55.4,51.75,52.1,52.1,29855.0,15.88,NSE/BARTRONICS
2006-07-20,51.35,54.0,51.35,52.2,52.5,18354.0,9.74,NSE/BARTRONICS
2006-07-21,52.0,52.35,50.8,51.55,51.6,14438.0,7.43,NSE/BARTRONICS
2006-07-24,49.7,51.5,47.2,50.0,49.75,15682.0,7.73,NSE/BARTRONICS
2006-07-25,51.75,51.75,49.1,50.4,50.05,14558.0,7.32,NSE/BARTRONICS
2006-07-26,50.0,53.8,49.1,50.1,52.15,27035.0,13.82,NSE/BARTRONICS
2006-07-27,49.4,53.0,49.4,51.0,51.15,22813.0,11.77,NSE/BARTRONICS
2006-07-28,52.5,52.8,49.9,50.0,50.15,22295.0,11.36,NSE/BARTRONICS
2006-07-31,51.5,55.2,51.0,55.2,55.2,83721.0,45.3,NSE/BARTRONICS
2006-08-01,57.5,60.75,57.0,60.75,60.55,216990.0,128.88,NSE/BARTRONICS
2006-08-02,63.35,63.6,58.1,63.6,63.6,328120.0,204.45,NSE/BARTRONICS
2006-08-03,65.85,66.0,62.1,63.0,63.15,147226.0,95.5,NSE/BARTRONICS
2006-08-04,63.9,64.0,60.3,61.45,61.45,52647.0,32.84,NSE/BARTRONICS
2006-08-07,62.8,62.8,60.2,62.0,61.45,27719.0,17.04,NSE/BARTRONICS
2006-08-08,61.15,63.0,61.0,62.1,62.3,21679.0,13.52,NSE/BARTRONICS
2006-08-09,61.0,63.45,61.0,63.45,62.85,26731.0,16.78,NSE/BARTRONICS
2006-08-10,63.0,65.3,62.65,63.0,63.35,33947.0,21.72,NSE/BARTRONICS
2006-08-11,64.1,65.0,63.5,64.3,64.6,67932.0,43.81,NSE/BARTRONICS
2006-08-14,64.0,67.85,64.0,67.8,67.55,96088.0,64.23,NSE/BARTRONICS
2006-08-16,68.55,70.8,67.0,68.65,68.35,83498.0,57.32,NSE/BARTRONICS
2006-08-17,69.0,69.5,66.0,66.1,66.6,43816.0,29.58,NSE/BARTRONICS
2006-08-18,68.0,69.2,66.4,67.2,67.4,41414.0,28.11,NSE/BARTRONICS
2006-08-21,68.25,69.0,67.1,67.95,67.9,41759.0,28.43,NSE/BARTRONICS
2006-08-22,68.45,71.3,68.05,71.3,71.3,57374.0,40.53,NSE/BARTRONICS
2006-08-23,74.9,74.9,72.0,74.9,74.9,137953.0,102.52,NSE/BARTRONICS
2006-08-24,75.5,76.9,73.0,75.1,75.35,144135.0,108.39,NSE/BARTRONICS
2006-08-25,74.1,76.0,71.6,72.5,73.15,49339.0,36.43,NSE/BARTRONICS
2006-08-28,73.25,75.7,73.25,74.8,75.0,80776.0,60.23,NSE/BARTRONICS
2006-08-29,75.9,76.5,74.55,74.75,74.9,30828.0,23.12,NSE/BARTRONICS
2006-08-30,74.45,75.0,71.65,72.2,71.9,25458.0,18.51,NSE/BARTRONICS
2006-08-31,72.2,73.5,70.15,71.0,70.6,26818.0,19.11,NSE/BARTRONICS
2006-09-01,70.6,72.0,70.0,71.0,70.9,19781.0,14.04,NSE/BARTRONICS
2006-09-04,71.5,72.9,71.5,72.0,72.15,36054.0,26.01,NSE/BARTRONICS
2006-09-05,74.5,74.5,71.25,71.4,71.75,23789.0,17.14,NSE/BARTRONICS
2006-09-06,73.45,73.45,70.5,70.5,71.1,21191.0,15.16,NSE/BARTRONICS
2006-09-07,69.0,71.5,69.0,70.4,70.25,10934.0,7.74,NSE/BARTRONICS
2006-09-08,71.0,72.0,70.0,70.5,70.4,21077.0,14.89,NSE/BARTRONICS
2006-09-11,70.2,72.1,67.1,67.25,67.25,17080.0,11.85,NSE/BARTRONICS
2006-09-12,67.25,68.0,65.3,67.4,67.1,20251.0,13.49,NSE/BARTRONICS
2006-09-13,68.0,70.5,68.0,69.0,68.5,27792.0,19.27,NSE/BARTRONICS
2006-09-14,69.0,70.0,67.7,68.1,68.35,23829.0,16.42,NSE/BARTRONICS
2006-09-15,68.5,69.0,67.0,67.95,67.35,16219.0,11.0,NSE/BARTRONICS
2006-09-18,67.4,69.65,67.35,68.4,68.25,22956.0,15.8,NSE/BARTRONICS
2006-09-19,70.0,71.7,70.0,71.7,71.7,56862.0,40.76,NSE/BARTRONICS
2006-09-20,72.45,73.5,70.0,71.7,71.75,63363.0,45.81,NSE/BARTRONICS
2006-09-21,73.0,73.2,70.5,71.35,71.1,32381.0,23.12,NSE/BARTRONICS
2006-09-22,69.0,72.0,68.0,69.0,69.6,19692.0,13.89,NSE/BARTRONICS
2006-09-25,70.0,70.45,67.55,67.55,68.05,21491.0,14.9,NSE/BARTRONICS
2006-09-26,68.05,70.0,68.0,68.4,68.1,17709.0,12.13,NSE/BARTRONICS
2006-09-27,68.5,69.5,66.55,67.5,67.1,16088.0,10.92,NSE/BARTRONICS
2006-09-28,67.05,70.0,67.0,69.0,68.9,26213.0,18.04,NSE/BARTRONICS
2006-09-29,69.25,72.35,68.5,72.35,72.35,26340.0,18.82,NSE/BARTRONICS
2006-10-03,76.0,76.0,76.0,76.0,76.0,17479.0,13.28,NSE/BARTRONICS
2006-10-04,79.8,79.8,74.65,76.75,76.85,134030.0,104.85,NSE/BARTRONICS
2006-10-05,77.5,80.0,76.3,77.5,77.8,107605.0,84.14,NSE/BARTRONICS
2006-10-06,79.0,81.7,78.1,78.1,79.45,102747.0,82.44,NSE/BARTRONICS
2006-10-09,79.5,79.9,77.1,78.95,78.4,40947.0,32.31,NSE/BARTRONICS
2006-10-10,82.25,82.25,77.25,77.5,77.65,31045.0,24.61,NSE/BARTRONICS
2006-10-11,78.5,79.75,77.75,78.15,78.25,35594.0,28.04,NSE/BARTRONICS
2006-10-12,79.0,79.0,76.5,77.95,77.65,24520.0,18.98,NSE/BARTRONICS
2006-10-13,78.0,78.75,76.15,76.15,76.9,25029.0,19.39,NSE/BARTRONICS
2006-10-16,79.0,84.0,77.0,77.2,77.6,52502.0,41.33,NSE/BARTRONICS
2006-10-17,78.3,81.5,76.5,76.6,77.2,23427.0,18.14,NSE/BARTRONICS
2006-10-18,79.9,79.9,73.0,76.7,76.15,23021.0,17.62,NSE/BARTRONICS
2006-10-19,77.0,77.5,76.0,76.0,76.65,21821.0,16.71,NSE/BARTRONICS
2006-10-20,78.8,80.0,77.0,78.3,78.0,52545.0,41.34,NSE/BARTRONICS
2006-10-21,78.9,85.8,78.5,85.8,84.55,142164.0,118.58,NSE/BARTRONICS
2006-10-23,86.4,92.9,86.4,88.3,88.55,247030.0,222.5,NSE/BARTRONICS
2006-10-26,89.6,90.0,85.25,87.95,87.7,111105.0,97.5,NSE/BARTRONICS
2006-10-27,88.0,88.0,85.65,87.4,86.7,53811.0,46.65,NSE/BARTRONICS
2006-10-30,88.0,94.4,87.1,91.5,90.2,149705.0,136.51,NSE/BARTRONICS
2006-10-31,90.0,98.2,87.5,95.6,95.4,433449.0,407.43,NSE/BARTRONICS
2006-11-01,88.8,104.8,88.8,100.3,100.3,467134.0,469.59,NSE/BARTRONICS
2006-11-02,100.0,106.3,100.0,103.8,103.05,300693.0,311.82,NSE/BARTRONICS
2006-11-03,103.9,104.25,98.2,99.5,99.85,151255.0,151.87,NSE/BARTRONICS
2006-11-06,100.9,103.9,99.65,103.0,102.45,169815.0,173.57,NSE/BARTRONICS
2006-11-07,103.7,103.85,99.5,99.5,100.35,68043.0,69.03,NSE/BARTRONICS
2006-11-08,99.0,101.35,96.0,97.0,97.15,61654.0,60.31,NSE/BARTRONICS
2006-11-09,98.0,100.5,96.0,96.0,96.55,65065.0,63.84,NSE/BARTRONICS
2006-11-10,100.0,101.25,96.5,96.9,97.15,70765.0,69.66,NSE/BARTRONICS
2006-11-13,99.0,102.75,98.05,100.6,100.4,120494.0,121.33,NSE/BARTRONICS
