Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2005-11-14,100.95,175.0,100.95,129.65,133.05,6004055.0,8450.83,NSE/BASML
2005-11-16,128.7,131.9,124.15,124.75,125.15,1220009.0,1553.96,NSE/BASML
2005-11-17,125.5,131.6,123.35,126.5,126.45,869010.0,1110.83,NSE/BASML
2005-11-18,127.1,130.4,124.1,125.15,125.0,336040.0,428.09,NSE/BASML
2005-11-21,126.3,126.6,123.0,123.1,124.0,177650.0,222.53,NSE/BASML
2005-11-22,124.35,124.35,120.0,120.0,120.75,116045.0,141.96,NSE/BASML
2005-11-23,125.0,125.0,120.5,121.5,121.5,161330.0,197.8,NSE/BASML
2005-11-24,122.0,123.5,118.0,118.25,118.6,97901.0,118.34,NSE/BASML
2005-11-25,120.0,120.9,116.3,116.4,116.9,116952.0,138.09,NSE/BASML
2005-11-26,118.25,123.4,116.05,121.0,121.8,188587.0,227.14,NSE/BASML
2005-11-28,122.4,124.9,121.0,121.25,121.35,152583.0,187.08,NSE/BASML
2005-11-29,122.0,122.5,118.0,118.0,118.45,86520.0,103.45,NSE/BASML
2005-11-30,119.7,122.5,117.55,118.05,118.4,120348.0,144.76,NSE/BASML
2005-12-01,119.3,120.0,118.05,118.5,118.4,64923.0,77.17,NSE/BASML
2005-12-02,119.6,119.8,116.1,117.0,117.25,60555.0,71.67,NSE/BASML
2005-12-05,118.0,118.7,115.1,117.05,116.8,49882.0,58.53,NSE/BASML
2005-12-06,117.0,117.05,115.0,115.1,115.4,32351.0,37.58,NSE/BASML
2005-12-07,116.1,118.75,115.05,116.05,116.5,60305.0,70.41,NSE/BASML
2005-12-08,115.9,122.0,115.7,118.75,118.9,248007.0,296.92,NSE/BASML
2005-12-09,120.0,120.4,115.5,116.05,116.95,44871.0,52.97,NSE/BASML
2005-12-12,115.75,118.5,115.75,116.05,116.2,29798.0,34.85,NSE/BASML
2005-12-13,117.25,118.7,116.2,118.0,117.45,110507.0,129.53,NSE/BASML
2005-12-14,118.0,118.0,116.0,116.0,116.3,48831.0,56.97,NSE/BASML
2005-12-15,116.8,117.9,111.0,113.0,112.95,62474.0,71.7,NSE/BASML
2005-12-16,113.7,114.4,112.5,113.0,113.25,36892.0,41.85,NSE/BASML
2005-12-19,113.55,115.75,113.2,113.6,113.45,60261.0,68.84,NSE/BASML
2005-12-20,113.15,114.4,110.8,111.4,111.6,31951.0,36.01,NSE/BASML
2005-12-21,112.7,113.1,108.65,108.75,109.4,51934.0,57.67,NSE/BASML
2005-12-22,109.75,110.9,103.5,104.6,105.8,77255.0,82.98,NSE/BASML
2005-12-23,106.45,112.3,106.45,108.5,108.5,142568.0,156.53,NSE/BASML
2005-12-26,109.7,110.75,105.5,105.5,106.2,51896.0,56.18,NSE/BASML
2005-12-27,107.25,107.5,105.0,106.45,105.9,29198.0,31.04,NSE/BASML
2005-12-28,106.75,110.8,105.25,107.55,107.75,73900.0,80.13,NSE/BASML
2005-12-29,108.7,129.3,108.2,125.7,126.8,2040671.0,2527.81,NSE/BASML
2005-12-30,126.8,129.6,121.2,121.9,122.25,1060480.0,1342.19,NSE/BASML
2006-01-02,126.0,128.0,122.5,123.55,123.7,464772.0,580.21,NSE/BASML
2006-01-03,124.1,130.95,124.1,126.4,126.7,753138.0,965.94,NSE/BASML
2006-01-04,125.85,128.0,123.15,123.25,123.7,151034.0,189.22,NSE/BASML
2006-01-05,124.3,124.3,120.3,121.75,121.0,104781.0,127.67,NSE/BASML
2006-01-06,121.9,122.2,118.0,121.5,120.35,91317.0,109.72,NSE/BASML
