Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-11-21,1198.0,1198.0,1085.0,1135.1,1143.25,361.0,4.11,NSE/BBL
2006-11-22,1163.0,1195.0,1145.0,1170.0,1170.9,1312.0,15.4,NSE/BBL
2006-11-23,1200.0,1220.0,1180.0,1205.0,1199.8,4956.0,60.08,NSE/BBL
2006-11-24,1200.0,1210.0,1162.3,1162.3,1170.8,667.0,7.91,NSE/BBL
2006-11-27,1162.3,1190.0,1151.0,1165.0,1157.4,492.0,5.77,NSE/BBL
2006-11-28,1151.0,1155.0,1101.0,1125.0,1116.9,1916.0,21.68,NSE/BBL
2006-11-29,1110.1,1160.0,1110.0,1110.0,1122.85,933.0,10.57,NSE/BBL
2006-11-30,1092.0,1125.0,1092.0,1115.0,1116.55,2058.0,23.04,NSE/BBL
2006-12-01,1075.0,1232.0,1072.0,1210.0,1216.95,4638.0,55.12,NSE/BBL
2006-12-04,1210.0,1238.0,1171.55,1180.0,1189.65,1347.0,16.15,NSE/BBL
2006-12-05,1108.0,1280.0,1108.0,1220.0,1225.55,2858.0,35.07,NSE/BBL
2006-12-06,1225.0,1230.0,1169.0,1210.0,1207.35,1710.0,20.5,NSE/BBL
2006-12-07,1205.0,1230.0,1170.0,1204.0,1209.55,1669.0,20.22,NSE/BBL
2006-12-08,1200.0,1216.0,1192.05,1200.0,1199.8,1760.0,21.25,NSE/BBL
2006-12-11,1195.0,1200.0,1150.0,1163.0,1164.25,1036.0,12.08,NSE/BBL
2006-12-12,1163.0,1195.0,1060.05,1065.0,1075.85,2845.0,31.45,NSE/BBL
2006-12-13,1080.0,1140.0,998.0,1134.0,1118.7,2571.0,28.11,NSE/BBL
2006-12-14,1140.0,1154.95,1122.0,1140.0,1146.2,43625.0,497.32,NSE/BBL
2006-12-15,1155.0,1224.0,1155.0,1205.0,1210.75,6260.0,75.19,NSE/BBL
2006-12-18,1201.0,1224.0,1028.85,1205.0,1199.75,3369.0,39.58,NSE/BBL
2006-12-19,1206.0,1206.0,1150.0,1185.0,1166.8,1102.0,12.95,NSE/BBL
2006-12-20,1188.0,1190.0,1151.0,1160.0,1160.7,455.0,5.34,NSE/BBL
2006-12-21,1161.0,1180.0,1145.0,1152.0,1158.65,1042.0,12.14,NSE/BBL
2006-12-22,1180.0,1184.0,1162.0,1175.0,1176.6,1662.0,19.48,NSE/BBL
2006-12-26,1198.7,1228.5,1177.0,1206.0,1209.35,2311.0,28.11,NSE/BBL
2006-12-27,1205.0,1229.0,1185.0,1219.0,1223.75,4244.0,51.41,NSE/BBL
2006-12-28,1203.05,1218.0,1190.3,1218.0,1211.95,745.0,8.98,NSE/BBL
2006-12-29,1201.0,1225.0,1190.0,1195.1,1213.55,3434.0,41.49,NSE/BBL
2007-01-02,1224.0,1236.5,1221.0,1224.0,1227.55,1313.0,16.15,NSE/BBL
2007-01-03,1239.5,1248.0,1200.0,1228.1,1233.35,1769.0,21.83,NSE/BBL
2007-01-04,1228.0,1244.5,1191.0,1193.0,1201.2,934.0,11.33,NSE/BBL
2007-01-05,1200.0,1235.0,1195.0,1225.0,1225.9,1466.0,17.82,NSE/BBL
2007-01-08,1231.8,1231.8,1200.05,1201.1,1204.4,545.0,6.59,NSE/BBL
2007-01-09,1210.0,1219.0,1150.0,1205.0,1195.5,1021.0,12.26,NSE/BBL
2007-01-10,1176.15,1214.0,1176.15,1183.05,1191.0,1579.0,18.81,NSE/BBL
2007-01-11,1230.0,1230.0,1192.05,1195.6,1197.3,376.0,4.52,NSE/BBL
2007-01-12,1220.0,1268.9,1195.0,1250.0,1257.3,5825.0,71.27,NSE/BBL
2007-01-15,1267.0,1345.0,1267.0,1337.0,1327.4,10139.0,134.03,NSE/BBL
2007-01-16,1375.0,1380.0,1320.0,1320.0,1327.85,3574.0,48.04,NSE/BBL
