Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-01-08,35.0,41.0,35.0,41.0,41.0,554.0,0.23,NSE/BEARDSELL
2010-01-11,49.15,49.2,49.15,49.2,49.2,1423.0,0.7,NSE/BEARDSELL
2010-01-12,59.05,59.05,59.05,59.05,59.05,1591.0,0.94,NSE/BEARDSELL
2010-01-13,65.0,65.0,65.0,65.0,65.0,659.0,0.43,NSE/BEARDSELL
2010-01-14,71.5,71.5,71.5,71.5,71.5,101.0,0.07,NSE/BEARDSELL
2010-01-15,78.65,78.65,78.65,78.65,78.65,450.0,0.35,NSE/BEARDSELL
2010-01-18,86.55,86.55,86.55,86.55,86.55,250.0,0.22,NSE/BEARDSELL
2010-01-19,90.9,90.9,90.9,90.9,90.9,75.0,0.07,NSE/BEARDSELL
2010-01-20,95.45,95.45,95.45,95.45,95.45,25.0,0.02,NSE/BEARDSELL
2010-01-21,100.25,100.25,90.7,90.7,90.75,9533.0,9.35,NSE/BEARDSELL
2010-01-22,86.3,89.75,86.25,86.25,86.25,2064.0,1.79,NSE/BEARDSELL
2010-01-25,82.15,82.75,82.0,82.7,82.7,923.0,0.76,NSE/BEARDSELL
2010-01-27,85.0,85.0,78.6,78.6,78.6,89.0,0.07,NSE/BEARDSELL
2010-01-28,74.7,75.0,74.7,74.95,74.95,255.0,0.19,NSE/BEARDSELL
2010-01-29,71.25,71.25,71.25,71.25,71.25,58.0,0.04,NSE/BEARDSELL
2010-02-01,67.7,74.0,67.7,68.0,68.0,652.0,0.45,NSE/BEARDSELL
2010-02-02,68.0,68.0,64.65,64.75,65.8,560.0,0.37,NSE/BEARDSELL
2010-02-03,68.65,69.1,64.75,69.1,69.1,265.0,0.18,NSE/BEARDSELL
2010-02-04,72.6,72.6,72.6,72.6,72.6,1051.0,0.76,NSE/BEARDSELL
2010-02-05,76.0,76.0,69.0,69.0,69.95,698.0,0.5,NSE/BEARDSELL
2010-02-06,66.55,68.7,66.55,68.7,68.3,380.0,0.26,NSE/BEARDSELL
2010-02-08,65.0,65.05,64.9,64.9,64.9,718.0,0.47,NSE/BEARDSELL
2010-02-09,61.65,61.65,61.65,61.65,61.65,342.0,0.21,NSE/BEARDSELL
2010-02-10,58.6,62.95,58.6,62.95,62.95,336.0,0.2,NSE/BEARDSELL
2010-02-11,60.8,62.9,60.0,62.85,62.85,54.0,0.03,NSE/BEARDSELL
2010-02-15,60.0,60.0,60.0,60.0,60.0,100.0,0.06,NSE/BEARDSELL
2010-02-16,62.8,63.0,62.8,63.0,63.0,200.0,0.13,NSE/BEARDSELL
2010-02-17,60.1,60.1,59.85,59.85,59.85,270.0,0.16,NSE/BEARDSELL
2010-02-18,60.0,60.0,57.25,58.5,58.5,160.0,0.09,NSE/BEARDSELL
2010-02-22,55.65,55.65,55.65,55.65,55.65,300.0,0.17,NSE/BEARDSELL
2010-02-24,56.0,58.45,53.25,58.45,58.45,609.0,0.35,NSE/BEARDSELL
2010-02-26,55.75,55.75,55.75,55.75,55.75,150.0,0.08,NSE/BEARDSELL
2010-03-02,55.0,58.5,55.0,58.5,58.5,530.0,0.31,NSE/BEARDSELL
2010-03-03,56.0,56.0,56.0,56.0,56.0,1.0,0.0,NSE/BEARDSELL
2010-03-04,58.0,58.0,58.0,58.0,58.0,1.0,0.0,NSE/BEARDSELL
2010-03-08,59.9,59.9,59.9,59.9,59.9,100.0,0.06,NSE/BEARDSELL
2010-03-09,56.9,56.9,56.9,56.9,56.9,20.0,0.01,NSE/BEARDSELL
2010-03-11,57.5,57.95,54.05,57.95,57.95,351.0,0.19,NSE/BEARDSELL
2010-03-12,55.05,60.7,55.05,60.4,60.4,402.0,0.22,NSE/BEARDSELL
2010-03-15,61.7,61.7,61.0,61.0,61.0,2.0,0.0,NSE/BEARDSELL
2010-03-16,63.0,63.0,63.0,63.0,63.0,50.0,0.03,NSE/BEARDSELL
2010-03-17,65.25,65.25,64.7,64.8,64.8,111.0,0.07,NSE/BEARDSELL
2010-03-19,63.5,63.85,63.5,63.85,63.85,1050.0,0.67,NSE/BEARDSELL
2010-03-22,65.5,65.5,65.5,65.5,65.5,1.0,0.0,NSE/BEARDSELL
2010-03-25,62.25,62.25,62.25,62.25,62.25,65.0,0.04,NSE/BEARDSELL
2010-03-26,65.2,65.2,63.4,63.4,63.4,3.0,0.0,NSE/BEARDSELL
2010-03-29,66.5,66.5,60.5,63.4,63.4,52.0,0.03,NSE/BEARDSELL
2010-03-30,65.0,66.0,63.0,66.0,66.0,17.0,0.01,NSE/BEARDSELL
2010-03-31,67.0,67.0,67.0,67.0,67.0,1.0,0.0,NSE/BEARDSELL
2010-04-06,64.0,64.0,63.65,63.65,63.65,63.0,0.04,NSE/BEARDSELL
2010-04-07,60.6,60.6,60.6,60.6,60.6,100.0,0.06,NSE/BEARDSELL
2010-04-08,61.0,61.0,61.0,61.0,61.0,200.0,0.12,NSE/BEARDSELL
2010-04-09,58.1,62.4,57.95,57.95,57.95,191.0,0.11,NSE/BEARDSELL
