Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-08-09,19.95,19.95,19.05,19.1,19.7,4413.0,0.87,NSE/BECREL
2010-08-10,20.3,20.8,20.0,20.8,20.6,3856.0,0.79,NSE/BECREL
2010-08-11,20.1,20.35,19.0,19.3,19.35,4381.0,0.86,NSE/BECREL
2010-08-12,18.95,19.05,18.5,18.5,18.5,501.0,0.1,NSE/BECREL
2010-08-13,20.45,20.45,18.05,20.0,19.35,184.0,0.03,NSE/BECREL
2010-08-16,20.3,20.3,17.8,20.0,19.75,1031.0,0.2,NSE/BECREL
2010-08-17,19.0,19.7,17.8,19.0,19.0,1695.0,0.32,NSE/BECREL
2010-08-18,19.0,19.05,17.7,19.05,19.05,550.0,0.1,NSE/BECREL
2010-08-19,18.2,19.7,18.2,18.4,18.45,525.0,0.1,NSE/BECREL
2010-08-20,19.8,20.0,17.65,18.05,18.15,1302.0,0.25,NSE/BECREL
2010-08-23,17.75,17.75,17.75,17.75,17.75,12.0,0.0,NSE/BECREL
2010-08-24,18.25,19.0,15.15,18.9,18.9,4647.0,0.82,NSE/BECREL
2010-08-25,18.0,18.9,17.85,18.5,18.55,2167.0,0.4,NSE/BECREL
2010-08-26,17.3,18.85,17.2,17.2,17.2,805.0,0.14,NSE/BECREL
2010-08-27,17.0,17.8,17.0,17.8,17.8,336.0,0.06,NSE/BECREL
2010-08-30,18.7,19.0,17.0,17.05,17.15,3667.0,0.65,NSE/BECREL
2010-08-31,17.4,17.4,17.0,17.0,17.0,112.0,0.02,NSE/BECREL
2010-09-01,16.0,18.4,16.0,17.5,18.0,698.0,0.12,NSE/BECREL
2010-09-02,18.8,20.8,17.25,17.5,17.55,6551.0,1.21,NSE/BECREL
2010-09-03,16.4,18.8,16.4,18.05,18.05,1548.0,0.27,NSE/BECREL
2010-09-06,18.2,18.5,18.15,18.4,18.4,2748.0,0.51,NSE/BECREL
2010-09-07,18.4,19.0,18.4,19.0,19.0,1511.0,0.28,NSE/BECREL
2010-09-08,19.0,19.0,18.6,18.85,18.9,1292.0,0.24,NSE/BECREL
2010-09-09,20.0,20.0,19.0,19.7,19.65,4084.0,0.79,NSE/BECREL
2010-09-13,18.5,19.0,18.5,18.7,18.85,4051.0,0.75,NSE/BECREL
