Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,73.0,75.8,71.6,72.0,72.35,182420.0,134.32,NSE/BEL
2001-01-02,74.0,74.7,71.0,73.5,73.85,176422.0,128.74,NSE/BEL
2001-01-03,73.0,75.9,72.5,74.3,74.4,240697.0,180.21,NSE/BEL
2001-01-04,76.0,77.9,72.0,72.4,72.5,201243.0,150.19,NSE/BEL
2001-01-05,72.05,73.5,71.6,72.9,72.5,95729.0,69.45,NSE/BEL
2001-01-08,72.75,73.0,69.5,70.35,70.85,74593.0,53.24,NSE/BEL
2001-01-09,70.35,71.0,67.5,69.0,67.95,112700.0,77.3,NSE/BEL
2001-01-10,69.5,70.0,66.5,67.65,67.4,67223.0,46.03,NSE/BEL
2001-01-11,66.0,68.75,64.9,66.15,65.95,83287.0,55.61,NSE/BEL
2001-01-12,66.2,67.15,64.8,64.85,65.15,63333.0,41.83,NSE/BEL
2001-01-15,64.25,66.8,64.25,65.25,65.3,50754.0,33.33,NSE/BEL
2001-01-16,65.15,66.9,64.2,65.35,64.9,115307.0,75.64,NSE/BEL
2001-01-17,66.05,67.2,64.9,65.8,65.25,95194.0,62.92,NSE/BEL
2001-01-18,65.9,73.35,65.9,71.3,71.75,428164.0,300.31,NSE/BEL
2001-01-19,72.9,73.5,70.0,72.9,72.55,208340.0,149.9,NSE/BEL
2001-01-22,72.5,73.35,71.35,71.9,71.7,174276.0,126.13,NSE/BEL
2001-01-23,71.5,72.5,69.65,70.9,69.95,125825.0,88.7,NSE/BEL
2001-01-24,72.95,73.2,71.0,71.7,71.45,186858.0,134.7,NSE/BEL
2001-01-25,69.05,70.0,67.2,68.55,68.05,205045.0,140.25,NSE/BEL
2001-01-29,66.25,66.45,63.35,64.3,64.6,112393.0,73.28,NSE/BEL
2001-01-30,64.05,68.5,62.65,67.1,67.2,241522.0,161.36,NSE/BEL
2001-01-31,67.9,68.65,66.0,66.05,66.2,260908.0,176.21,NSE/BEL
2001-02-01,66.25,66.9,63.6,64.5,64.5,144196.0,93.57,NSE/BEL
2001-02-02,65.8,74.85,65.75,74.85,74.85,778806.0,562.57,NSE/BEL
2001-02-05,77.0,80.85,75.5,75.75,76.05,450413.0,348.87,NSE/BEL
2001-02-06,76.6,76.9,73.55,74.1,74.35,183681.0,137.36,NSE/BEL
2001-02-07,75.25,84.8,75.25,80.0,80.65,595793.0,478.19,NSE/BEL
2001-02-08,80.0,83.4,80.0,82.5,81.85,266470.0,218.44,NSE/BEL
2001-02-09,82.9,84.5,81.5,81.5,81.9,330313.0,274.73,NSE/BEL
2001-02-12,82.9,84.0,78.9,79.75,79.75,195775.0,158.94,NSE/BEL
2001-02-13,81.0,81.0,75.25,76.3,76.3,263914.0,204.28,NSE/BEL
2001-02-14,82.0,82.0,73.5,79.0,78.6,134640.0,104.78,NSE/BEL
2001-02-15,79.25,80.0,77.0,78.5,78.65,159616.0,126.27,NSE/BEL
2001-02-16,78.0,79.0,72.4,73.65,73.3,162947.0,123.52,NSE/BEL
2001-02-19,74.6,75.15,72.0,72.65,73.35,83958.0,61.7,NSE/BEL
2001-02-20,72.3,73.0,69.5,70.35,69.95,255102.0,181.6,NSE/BEL
2001-02-21,74.0,74.5,70.0,70.7,70.3,325022.0,234.86,NSE/BEL
2001-02-22,71.0,72.9,68.25,70.1,70.3,252906.0,178.61,NSE/BEL
2001-02-23,71.1,71.1,65.3,66.2,65.9,215717.0,146.89,NSE/BEL
2001-02-26,69.0,69.0,66.0,67.8,67.8,120091.0,80.97,NSE/BEL
2001-02-27,67.5,68.0,64.15,66.05,65.0,238085.0,156.93,NSE/BEL
2001-02-28,66.0,68.75,65.0,66.75,66.15,185540.0,123.93,NSE/BEL
2001-03-01,67.0,69.3,66.5,67.4,66.85,198860.0,135.34,NSE/BEL
2001-03-02,67.9,72.0,58.1,60.1,59.25,350527.0,226.78,NSE/BEL
2001-03-05,59.45,61.0,55.3,57.5,57.6,270298.0,156.54,NSE/BEL
2001-03-07,60.9,61.9,57.1,61.0,60.3,148616.0,88.51,NSE/BEL
2001-03-08,60.5,63.0,58.05,60.15,60.2,128770.0,78.47,NSE/BEL
2001-03-09,59.05,59.05,55.45,57.6,57.7,142941.0,81.41,NSE/BEL
2001-03-12,56.5,59.0,51.7,52.5,52.9,104326.0,57.67,NSE/BEL
2001-03-13,48.7,52.0,44.45,44.65,44.6,185997.0,88.25,NSE/BEL
2001-03-14,45.8,51.25,44.0,50.15,50.5,126224.0,60.38,NSE/BEL
2001-03-15,49.1,51.0,47.0,49.6,50.05,61776.0,30.63,NSE/BEL
2001-03-16,47.75,52.25,47.0,48.1,48.1,131288.0,65.05,NSE/BEL
2001-03-19,48.5,48.5,46.3,47.3,47.35,52180.0,24.66,NSE/BEL
2001-03-20,47.0,47.4,45.15,46.1,46.1,145189.0,66.85,NSE/BEL
2001-03-21,44.6,47.9,44.6,47.9,47.65,83176.0,38.58,NSE/BEL
2001-03-22,47.05,49.9,47.0,48.15,48.4,75313.0,36.68,NSE/BEL
2001-03-23,48.5,48.9,45.5,47.0,46.6,67041.0,31.44,NSE/BEL
2001-03-26,45.35,47.8,45.35,47.4,47.35,76615.0,35.93,NSE/BEL
2001-03-27,47.0,53.9,46.5,52.6,53.0,177440.0,90.79,NSE/BEL
2001-03-28,54.8,57.25,52.75,53.0,53.8,112132.0,61.24,NSE/BEL
2001-03-29,50.75,54.1,50.5,51.9,51.8,36286.0,18.95,NSE/BEL
2001-03-30,51.0,51.0,48.75,48.85,49.0,78372.0,38.99,NSE/BEL
2001-04-02,46.25,48.95,45.7,48.7,48.55,64871.0,30.77,NSE/BEL
2001-04-03,48.3,49.85,47.2,48.15,48.2,91996.0,44.79,NSE/BEL
2001-04-04,47.9,49.3,44.4,47.15,47.25,143993.0,67.28,NSE/BEL
2001-04-06,47.9,50.8,47.2,47.5,47.8,138451.0,67.83,NSE/BEL
2001-04-09,47.3,48.95,47.3,48.15,48.25,57311.0,27.5,NSE/BEL
2001-04-10,48.0,48.55,46.95,47.4,47.75,100153.0,47.83,NSE/BEL
2001-04-11,48.95,48.95,46.1,47.15,47.25,60870.0,28.73,NSE/BEL
2001-04-12,46.5,47.8,45.05,46.55,46.65,61289.0,28.55,NSE/BEL
2001-04-16,47.1,47.9,46.5,47.85,47.8,42318.0,20.09,NSE/BEL
2001-04-17,48.0,49.7,46.8,48.6,49.05,107573.0,51.94,NSE/BEL
2001-04-18,49.85,52.1,49.1,52.0,51.6,162702.0,82.88,NSE/BEL
2001-04-19,52.45,54.85,50.25,50.6,51.05,152145.0,79.47,NSE/BEL
2001-04-20,50.5,51.5,49.5,51.4,51.15,63550.0,32.11,NSE/BEL
2001-04-23,52.0,56.0,51.0,54.0,54.3,264578.0,143.61,NSE/BEL
2001-04-24,55.0,55.9,52.15,55.1,54.35,127681.0,68.69,NSE/BEL
2001-04-25,56.0,56.25,54.0,54.85,54.95,112971.0,62.28,NSE/BEL
2001-04-26,55.95,61.75,55.3,58.5,58.95,369612.0,217.1,NSE/BEL
2001-04-27,56.5,56.5,53.25,53.5,53.95,271967.0,148.56,NSE/BEL
2001-04-30,55.75,57.7,53.95,57.25,56.95,197838.0,110.74,NSE/BEL
2001-05-02,59.9,63.5,58.0,59.0,59.85,390461.0,237.39,NSE/BEL
2001-05-03,60.9,61.0,58.0,58.55,58.35,139536.0,82.42,NSE/BEL
2001-05-04,57.05,60.4,57.0,60.3,59.8,122133.0,72.0,NSE/BEL
2001-05-07,61.5,62.0,60.5,60.9,60.9,151162.0,92.68,NSE/BEL
2001-05-08,61.25,65.8,60.2,65.8,65.15,302410.0,193.74,NSE/BEL
2001-05-09,66.5,67.0,62.0,62.3,62.35,202623.0,130.73,NSE/BEL
2001-05-10,63.9,66.0,62.6,63.0,63.0,152576.0,97.39,NSE/BEL
2001-05-11,62.5,63.3,61.15,61.55,61.7,96932.0,60.25,NSE/BEL
2001-05-14,60.65,62.35,59.1,60.5,59.8,89648.0,54.61,NSE/BEL
2001-05-15,59.8,61.8,55.5,61.25,60.65,184045.0,109.2,NSE/BEL
2001-05-16,60.5,62.25,60.5,61.25,61.3,66309.0,40.88,NSE/BEL
2001-05-17,61.65,63.75,61.5,63.25,62.6,99801.0,62.31,NSE/BEL
2001-05-18,63.7,68.45,63.5,66.0,65.75,525440.0,346.94,NSE/BEL
2001-05-21,66.1,66.45,64.25,64.25,64.65,242795.0,158.8,NSE/BEL
2001-05-22,65.35,65.9,63.8,64.8,64.95,167246.0,108.23,NSE/BEL
2001-05-23,65.05,66.0,64.5,64.95,64.8,130870.0,85.46,NSE/BEL
2001-05-24,65.5,66.0,63.8,64.6,64.55,106040.0,68.82,NSE/BEL
2001-05-25,65.7,65.95,63.8,64.8,64.45,187602.0,121.65,NSE/BEL
2001-05-28,64.9,67.7,64.1,66.25,66.55,249877.0,166.1,NSE/BEL
2001-05-29,66.9,71.45,66.5,71.3,69.95,406393.0,279.01,NSE/BEL
2001-05-30,71.0,72.0,66.7,67.3,67.5,313463.0,218.32,NSE/BEL
2001-05-31,66.55,68.9,65.85,68.15,68.1,150691.0,101.94,NSE/BEL
2001-06-01,68.65,68.65,65.5,66.0,65.85,107721.0,72.11,NSE/BEL
2001-06-04,66.85,66.85,63.95,63.95,64.05,79879.0,51.88,NSE/BEL
2001-06-05,63.85,65.0,61.7,62.55,62.6,135650.0,86.15,NSE/BEL
2001-06-06,59.9,64.75,59.9,62.6,62.65,48780.0,30.97,NSE/BEL
2001-06-07,62.05,62.2,59.0,61.4,61.1,46641.0,28.28,NSE/BEL
2001-06-08,61.7,62.2,60.7,60.8,61.2,70549.0,43.36,NSE/BEL
2001-06-11,61.5,61.8,60.8,61.3,61.25,46818.0,28.71,NSE/BEL
2001-06-12,60.45,63.4,60.45,62.5,62.65,98888.0,60.92,NSE/BEL
2001-06-13,63.9,64.0,62.4,62.95,62.8,54610.0,34.44,NSE/BEL
2001-06-14,62.5,63.8,61.5,61.5,61.75,66045.0,41.3,NSE/BEL
2001-06-15,61.5,61.5,59.0,59.95,60.05,58032.0,34.82,NSE/BEL
2001-06-18,60.85,62.9,60.3,62.0,61.6,72574.0,44.32,NSE/BEL
2001-06-19,62.0,62.95,61.25,62.3,62.45,85060.0,53.07,NSE/BEL
2001-06-20,62.3,62.75,61.3,61.7,61.9,43725.0,27.04,NSE/BEL
2001-06-21,62.0,62.25,60.0,61.95,61.5,83561.0,51.22,NSE/BEL
2001-06-22,61.15,62.25,60.05,62.25,61.75,50264.0,30.86,NSE/BEL
2001-06-25,61.1,61.75,60.3,61.0,61.0,102435.0,62.56,NSE/BEL
2001-06-26,61.4,63.05,60.7,63.0,62.65,92390.0,57.46,NSE/BEL
2001-06-27,63.45,65.55,62.7,63.55,63.95,52830.0,33.93,NSE/BEL
2001-06-28,63.0,63.3,61.9,62.0,62.2,17902.0,11.2,NSE/BEL
2001-06-29,62.0,63.15,61.0,62.0,61.6,83725.0,51.99,NSE/BEL
2001-07-02,61.95,63.55,61.0,62.25,62.5,7852.0,4.9,NSE/BEL
2001-07-03,64.9,66.45,62.0,65.75,65.8,124058.0,80.45,NSE/BEL
2001-07-04,66.8,66.95,64.0,65.0,65.05,45563.0,29.71,NSE/BEL
2001-07-05,64.9,67.9,64.9,66.6,66.7,82926.0,55.04,NSE/BEL
2001-07-06,66.0,67.9,65.75,66.3,66.2,16290.0,10.85,NSE/BEL
2001-07-09,64.4,66.0,64.1,65.0,65.0,21450.0,13.95,NSE/BEL
2001-07-10,65.05,67.0,65.05,65.4,65.8,29279.0,19.43,NSE/BEL
2001-07-11,67.0,71.55,63.55,68.0,67.9,51848.0,34.59,NSE/BEL
2001-07-12,65.2,69.0,65.2,68.65,68.65,36040.0,24.48,NSE/BEL
2001-07-13,68.2,68.25,65.5,67.2,66.3,37192.0,24.83,NSE/BEL
2001-07-16,67.35,67.9,67.0,67.75,67.6,9936.0,6.69,NSE/BEL
2001-07-17,68.0,68.0,66.15,66.5,66.55,7753.0,5.16,NSE/BEL
2001-07-18,68.0,78.25,66.25,68.6,68.3,360548.0,263.56,NSE/BEL
