Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2005-03-21,37.9,37.95,34.0,35.3,35.25,233316.0,84.14,NSE/BEPL
2005-03-22,36.0,36.0,32.05,32.15,32.3,71462.0,24.56,NSE/BEPL
2005-03-23,32.35,34.75,32.1,32.65,32.55,39014.0,12.8,NSE/BEPL
2005-03-24,30.0,35.25,29.55,30.6,30.6,37227.0,11.4,NSE/BEPL
2005-03-28,29.2,31.35,29.2,30.0,30.35,19057.0,5.82,NSE/BEPL
2005-03-29,31.0,31.0,29.2,29.5,29.65,22287.0,6.64,NSE/BEPL
2005-03-30,27.25,31.4,27.25,31.4,30.45,30325.0,9.11,NSE/BEPL
2005-03-31,29.85,33.5,28.8,33.4,32.4,12614.0,3.86,NSE/BEPL
2005-04-01,31.0,33.65,31.0,31.0,31.1,7657.0,2.44,NSE/BEPL
2005-04-04,30.05,30.55,30.0,30.55,30.55,110.0,0.03,NSE/BEPL
2005-04-05,33.45,33.45,30.0,31.0,30.55,3050.0,0.96,NSE/BEPL
2005-04-06,30.5,30.5,30.5,30.5,30.5,500.0,0.15,NSE/BEPL
2005-04-07,29.5,29.95,29.1,29.95,29.9,1555.0,0.45,NSE/BEPL
2005-04-08,28.6,31.5,28.6,31.5,31.0,5052.0,1.56,NSE/BEPL
2005-04-11,29.5,30.5,29.3,29.55,29.55,704.0,0.21,NSE/BEPL
2005-04-12,31.95,32.55,31.8,32.55,32.55,6495.0,2.11,NSE/BEPL
2005-04-13,35.85,35.85,35.0,35.85,35.85,54458.0,19.49,NSE/BEPL
2005-04-15,37.0,42.65,35.0,41.0,41.4,930275.0,371.08,NSE/BEPL
2005-04-18,42.0,47.0,39.4,46.4,46.25,2579287.0,1194.19,NSE/BEPL
2005-04-19,46.5,48.9,41.2,42.15,42.2,1185627.0,518.86,NSE/BEPL
2005-04-20,42.5,43.35,39.3,40.2,40.1,203631.0,82.86,NSE/BEPL
2005-04-21,39.9,41.3,39.15,39.75,39.85,269315.0,107.28,NSE/BEPL
2005-04-22,40.25,40.25,38.05,39.0,39.4,171711.0,66.96,NSE/BEPL
2005-04-25,38.7,39.9,37.1,37.1,37.95,152719.0,58.63,NSE/BEPL
2005-04-26,38.7,38.7,36.5,37.2,36.85,136387.0,51.16,NSE/BEPL
2005-04-27,36.55,36.95,35.0,35.75,35.85,65425.0,23.57,NSE/BEPL
2005-04-28,36.0,37.3,36.0,36.05,36.35,47534.0,17.28,NSE/BEPL
2005-04-29,36.0,36.95,35.05,36.3,35.4,121451.0,43.39,NSE/BEPL
2005-05-02,36.0,36.0,35.2,35.3,35.3,102170.0,36.09,NSE/BEPL
2005-05-03,36.85,38.85,36.25,36.85,37.35,682205.0,256.02,NSE/BEPL
2005-05-04,37.7,39.4,37.3,37.5,37.65,655443.0,249.18,NSE/BEPL
2005-05-05,38.25,39.05,37.0,37.65,37.45,199165.0,75.12,NSE/BEPL
2005-05-06,37.55,38.35,36.95,38.0,37.8,157419.0,58.83,NSE/BEPL
2005-05-09,37.5,40.0,37.4,40.0,39.8,175614.0,68.5,NSE/BEPL
2005-05-10,39.9,40.25,38.1,39.0,38.6,170122.0,66.0,NSE/BEPL
2005-05-11,39.0,39.0,35.6,35.8,36.0,151316.0,56.41,NSE/BEPL
2005-05-12,38.0,38.0,36.15,36.65,36.85,179173.0,65.75,NSE/BEPL
2005-05-13,38.0,38.25,35.5,36.0,35.95,222592.0,81.56,NSE/BEPL
2005-05-16,36.85,38.25,36.55,37.3,37.15,225869.0,84.25,NSE/BEPL
2005-05-17,37.9,37.9,35.5,35.9,36.1,240283.0,88.11,NSE/BEPL
2005-05-18,36.45,36.8,35.15,35.7,35.6,168764.0,60.11,NSE/BEPL
2005-05-19,37.1,37.25,35.5,35.6,35.85,197735.0,71.64,NSE/BEPL
2005-05-20,36.5,36.75,35.3,35.3,35.55,172320.0,62.26,NSE/BEPL
2005-05-23,36.7,36.7,35.6,36.0,35.9,177606.0,63.88,NSE/BEPL
2005-05-24,36.4,36.4,35.0,35.25,35.3,123959.0,44.04,NSE/BEPL
2005-05-25,34.5,35.9,34.5,35.0,35.15,39799.0,14.12,NSE/BEPL
2005-05-26,35.7,35.9,35.0,35.2,35.4,515563.0,181.53,NSE/BEPL
2005-05-27,35.8,38.0,35.05,35.05,35.25,852732.0,299.67,NSE/BEPL
2005-05-30,35.9,35.9,34.5,34.85,34.7,154501.0,53.77,NSE/BEPL
2005-05-31,35.25,37.5,35.05,35.45,35.55,90693.0,33.06,NSE/BEPL
2005-06-01,36.15,36.7,35.0,35.7,35.5,44707.0,15.9,NSE/BEPL
2005-06-02,36.4,36.4,35.15,35.15,35.25,20653.0,7.34,NSE/BEPL
2005-06-03,35.8,37.5,35.05,37.05,36.8,87720.0,32.22,NSE/BEPL
2005-06-04,37.25,38.2,36.5,37.5,37.55,33596.0,12.65,NSE/BEPL
2005-06-06,38.2,38.2,37.1,38.0,37.7,130717.0,49.13,NSE/BEPL
2005-06-07,38.0,38.8,37.9,38.0,38.35,151245.0,58.02,NSE/BEPL
2005-06-08,38.9,39.5,37.0,38.2,38.65,186115.0,70.54,NSE/BEPL
2005-06-09,38.75,38.8,37.55,38.1,38.1,139209.0,52.79,NSE/BEPL
2005-06-10,38.5,38.65,37.4,37.55,37.6,149508.0,56.3,NSE/BEPL
2005-06-13,38.05,38.25,37.5,38.0,37.9,122551.0,46.15,NSE/BEPL
2005-06-14,38.45,38.45,37.7,38.4,38.0,130575.0,49.63,NSE/BEPL
2005-06-15,38.75,38.9,37.2,37.2,37.5,146876.0,55.29,NSE/BEPL
2005-06-16,37.95,37.95,37.0,37.0,37.1,84102.0,31.41,NSE/BEPL
2005-06-17,36.75,37.5,36.05,37.0,37.05,99362.0,36.88,NSE/BEPL
2005-06-20,36.5,37.7,36.25,36.5,36.6,96262.0,35.28,NSE/BEPL
2005-06-21,36.2,38.1,36.15,38.0,37.9,74673.0,27.83,NSE/BEPL
2005-06-22,38.5,40.2,38.0,39.0,39.0,192529.0,75.58,NSE/BEPL
2005-06-23,39.0,40.5,39.0,39.75,39.8,175104.0,69.89,NSE/BEPL
2005-06-24,39.0,40.75,39.0,40.0,40.2,85771.0,34.29,NSE/BEPL
2005-06-27,40.1,41.5,39.8,40.0,40.0,62811.0,25.42,NSE/BEPL
2005-06-28,39.5,41.2,39.0,40.0,40.0,770049.0,310.11,NSE/BEPL
2005-06-29,40.3,41.25,39.75,41.25,41.0,104029.0,42.28,NSE/BEPL
2005-06-30,40.75,41.8,40.75,41.5,41.5,215531.0,89.22,NSE/BEPL
2005-07-01,41.6,43.1,41.1,42.25,42.9,475018.0,201.18,NSE/BEPL
2005-07-04,43.0,44.0,42.0,42.35,42.55,151546.0,65.14,NSE/BEPL
2005-07-05,42.0,42.9,41.5,41.9,41.65,121056.0,50.74,NSE/BEPL
2005-07-06,42.0,43.0,41.75,41.8,42.25,124006.0,52.64,NSE/BEPL
2005-07-07,41.7,42.7,41.5,42.0,42.05,106007.0,44.54,NSE/BEPL
2005-07-08,42.1,42.7,41.6,41.8,41.75,82556.0,34.48,NSE/BEPL
2005-07-11,42.25,42.25,41.3,41.55,41.55,50077.0,20.81,NSE/BEPL
2005-07-12,42.5,42.5,41.0,41.5,41.6,87228.0,36.13,NSE/BEPL
2005-07-13,41.5,42.15,41.0,41.5,41.5,87088.0,36.2,NSE/BEPL
2005-07-14,41.5,41.85,40.75,40.75,40.8,93719.0,38.47,NSE/BEPL
2005-07-15,41.0,41.0,40.1,40.1,40.2,94672.0,38.24,NSE/BEPL
2005-07-18,40.0,41.25,39.75,41.0,41.0,87683.0,35.38,NSE/BEPL
2005-07-19,40.5,42.8,40.5,41.8,41.75,173104.0,72.16,NSE/BEPL
2005-07-20,41.95,43.0,41.3,41.5,41.7,117224.0,49.17,NSE/BEPL
2005-07-21,41.5,42.25,40.8,41.1,41.15,117683.0,49.04,NSE/BEPL
2005-07-22,41.55,42.25,41.05,41.5,41.65,143561.0,59.92,NSE/BEPL
