Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,92.0,93.0,91.7,93.0,92.75,1000.0,0.93,NSE/BERGEPAINT
2001-01-02,93.45,93.45,91.0,91.6,91.45,1690.0,1.54,NSE/BERGEPAINT
2001-01-03,93.9,93.95,91.25,92.4,92.35,1041.0,0.96,NSE/BERGEPAINT
2001-01-04,92.95,93.0,91.0,91.75,91.7,1421.0,1.3,NSE/BERGEPAINT
2001-01-05,92.8,92.8,91.0,91.75,91.65,1018.0,0.93,NSE/BERGEPAINT
2001-01-08,92.0,92.0,91.0,91.0,91.0,1200.0,1.09,NSE/BERGEPAINT
2001-01-09,91.5,91.8,91.0,91.0,91.1,1185.0,1.08,NSE/BERGEPAINT
2001-01-10,92.5,92.5,91.0,91.85,91.85,600.0,0.55,NSE/BERGEPAINT
2001-01-11,91.9,92.0,91.05,91.5,91.5,400.0,0.37,NSE/BERGEPAINT
2001-01-12,92.0,92.0,90.6,90.6,90.6,1550.0,1.41,NSE/BERGEPAINT
2001-01-15,91.45,91.45,90.5,91.0,91.0,1661.0,1.51,NSE/BERGEPAINT
2001-01-16,92.0,92.0,90.5,91.0,90.85,1662.0,1.51,NSE/BERGEPAINT
2001-01-17,92.0,92.0,91.0,92.0,91.25,1130.0,1.03,NSE/BERGEPAINT
2001-01-18,90.1,91.5,90.05,90.5,90.5,2539.0,2.31,NSE/BERGEPAINT
2001-01-19,92.9,94.0,91.5,91.6,91.6,421.0,0.39,NSE/BERGEPAINT
2001-01-22,93.8,93.8,91.1,91.1,91.1,1210.0,1.11,NSE/BERGEPAINT
2001-01-23,93.35,93.6,91.0,91.0,91.0,2392.0,2.19,NSE/BERGEPAINT
2001-01-24,92.0,93.4,91.0,91.05,91.05,2500.0,2.28,NSE/BERGEPAINT
2001-01-25,91.0,92.0,88.25,92.0,90.25,41873.0,37.73,NSE/BERGEPAINT
2001-01-29,91.8,92.9,90.1,90.15,90.15,5752.0,5.23,NSE/BERGEPAINT
2001-01-30,92.0,95.0,89.1,90.5,90.4,3640.0,3.3,NSE/BERGEPAINT
2001-01-31,92.75,92.75,91.0,92.0,91.95,1255.0,1.15,NSE/BERGEPAINT
2001-02-01,92.0,92.0,90.2,92.0,91.65,1240.0,1.14,NSE/BERGEPAINT
2001-02-02,92.4,99.0,87.0,99.0,97.7,39223.0,35.05,NSE/BERGEPAINT
2001-02-05,92.5,97.8,92.5,95.3,94.95,2426.0,2.3,NSE/BERGEPAINT
2001-02-06,95.0,95.9,94.0,95.5,94.75,3374.0,3.19,NSE/BERGEPAINT
2001-02-07,94.0,94.0,88.5,93.0,90.1,25425.0,23.07,NSE/BERGEPAINT
2001-02-08,93.85,97.0,87.0,89.1,90.05,26975.0,24.36,NSE/BERGEPAINT
2001-02-09,90.0,91.45,88.0,90.0,89.95,50440.0,44.7,NSE/BERGEPAINT
2001-02-12,88.0,90.6,88.0,90.2,88.65,5760.0,5.12,NSE/BERGEPAINT
2001-02-13,90.0,90.0,86.0,89.9,87.15,9976.0,8.73,NSE/BERGEPAINT
2001-02-14,92.0,92.9,88.55,90.0,89.7,2250.0,2.03,NSE/BERGEPAINT
2001-02-15,90.0,90.0,88.4,90.0,89.4,1484.0,1.32,NSE/BERGEPAINT
2001-02-16,90.9,91.4,88.15,89.9,89.05,3386.0,3.04,NSE/BERGEPAINT
2001-02-19,89.4,89.4,87.0,88.0,88.0,2572.0,2.27,NSE/BERGEPAINT
2001-02-20,88.0,89.0,87.0,89.0,87.75,4494.0,3.93,NSE/BERGEPAINT
2001-02-21,88.3,90.45,88.0,88.45,88.45,3795.0,3.38,NSE/BERGEPAINT
2001-02-22,89.5,89.7,88.25,88.25,88.3,1245.0,1.11,NSE/BERGEPAINT
2001-02-23,89.75,89.8,88.0,88.75,88.75,1730.0,1.53,NSE/BERGEPAINT
2001-02-26,88.0,89.55,87.5,89.55,88.7,3590.0,3.15,NSE/BERGEPAINT
2001-02-27,88.85,89.5,87.5,88.5,87.65,5871.0,5.15,NSE/BERGEPAINT
2001-02-28,87.0,90.5,87.0,90.5,89.5,2081.0,1.85,NSE/BERGEPAINT
2001-03-01,90.0,92.5,89.0,91.4,90.4,1757.0,1.59,NSE/BERGEPAINT
2001-03-02,91.0,91.7,88.1,90.1,90.15,1767.0,1.58,NSE/BERGEPAINT
2001-03-05,89.1,89.1,86.5,86.5,86.5,4900.0,4.28,NSE/BERGEPAINT
2001-03-07,92.0,92.0,88.0,88.9,88.9,2070.0,1.83,NSE/BERGEPAINT
2001-03-08,89.1,96.0,89.0,93.5,93.5,3710.0,3.44,NSE/BERGEPAINT
