Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-07-28,81.9,83.0,26.1,28.3,29.9,47578807.0,27527.68,NSE/BGLOBAL
2011-07-29,30.05,32.35,26.55,29.0,28.35,6232591.0,1838.93,NSE/BGLOBAL
2011-08-01,29.45,29.95,26.85,27.6,27.6,1696497.0,480.33,NSE/BGLOBAL
2011-08-02,27.45,28.1,22.45,23.85,23.8,2229107.0,542.89,NSE/BGLOBAL
2011-08-03,23.5,23.5,20.1,21.75,21.9,1161844.0,253.35,NSE/BGLOBAL
2011-08-04,22.9,24.8,20.05,20.3,20.55,772277.0,168.69,NSE/BGLOBAL
2011-08-05,19.45,19.9,18.5,18.5,18.5,508701.0,95.4,NSE/BGLOBAL
2011-08-08,17.15,17.9,16.65,16.65,16.65,287059.0,48.14,NSE/BGLOBAL
2011-08-09,15.05,16.5,15.0,15.05,15.35,406450.0,63.37,NSE/BGLOBAL
2011-08-10,15.35,16.1,15.05,15.45,15.6,291564.0,45.25,NSE/BGLOBAL
2011-08-11,15.05,15.55,14.85,14.85,14.85,173698.0,26.08,NSE/BGLOBAL
2011-08-12,14.35,15.15,14.15,14.15,14.15,139638.0,20.13,NSE/BGLOBAL
2011-08-16,14.15,14.15,13.45,13.45,13.45,95413.0,12.92,NSE/BGLOBAL
2011-08-17,13.5,14.15,12.8,13.0,12.95,167853.0,22.37,NSE/BGLOBAL
2011-08-18,12.65,13.6,12.3,13.6,13.35,185086.0,24.25,NSE/BGLOBAL
2011-08-19,13.0,13.6,12.75,13.05,13.05,69574.0,9.15,NSE/BGLOBAL
2011-08-22,12.8,13.45,12.6,13.4,13.25,47540.0,6.22,NSE/BGLOBAL
2011-08-23,13.65,13.65,12.65,13.3,13.25,62683.0,8.26,NSE/BGLOBAL
2011-08-24,13.25,13.5,12.7,13.05,13.15,48183.0,6.35,NSE/BGLOBAL
2011-08-25,12.75,13.35,12.65,13.0,12.95,69052.0,8.98,NSE/BGLOBAL
2011-08-26,12.5,13.0,12.3,12.3,12.5,77639.0,9.73,NSE/BGLOBAL
2011-08-29,12.25,13.15,12.25,13.15,12.95,76743.0,9.74,NSE/BGLOBAL
2011-08-30,13.0,13.4,12.55,13.05,13.05,84291.0,10.92,NSE/BGLOBAL
2011-09-02,12.9,13.15,12.65,12.9,12.95,25902.0,3.34,NSE/BGLOBAL
2011-09-05,12.75,13.15,12.3,12.85,12.8,47861.0,6.08,NSE/BGLOBAL
2011-09-06,12.55,13.0,12.55,12.7,12.7,29668.0,3.79,NSE/BGLOBAL
2011-09-07,12.7,13.2,12.65,13.15,12.9,37550.0,4.83,NSE/BGLOBAL
2011-09-08,12.8,13.1,12.25,13.0,12.85,39291.0,5.03,NSE/BGLOBAL
2011-09-09,13.0,13.5,12.75,13.5,13.5,60733.0,7.99,NSE/BGLOBAL
2011-09-12,13.6,14.2,13.6,14.2,14.2,37051.0,5.22,NSE/BGLOBAL
2011-09-13,14.95,14.95,14.4,14.95,14.95,64998.0,9.69,NSE/BGLOBAL
2011-09-14,15.45,15.7,15.2,15.7,15.7,50012.0,7.82,NSE/BGLOBAL
2011-09-15,16.45,16.5,15.6,16.5,16.5,174794.0,28.37,NSE/BGLOBAL
2011-09-16,17.1,17.3,16.1,16.75,16.95,203976.0,34.58,NSE/BGLOBAL
2011-09-19,17.25,17.7,16.1,16.1,16.2,79907.0,13.35,NSE/BGLOBAL
2011-09-20,15.6,15.6,15.4,15.4,15.4,65989.0,10.18,NSE/BGLOBAL
2011-09-21,14.75,16.2,14.75,15.6,15.65,171912.0,26.95,NSE/BGLOBAL
2011-09-22,15.35,16.1,14.9,14.9,14.9,28905.0,4.34,NSE/BGLOBAL
2011-09-23,14.2,14.8,14.15,14.15,14.15,32794.0,4.67,NSE/BGLOBAL
2011-09-26,14.2,14.2,13.45,13.45,13.5,64305.0,8.75,NSE/BGLOBAL
2011-09-27,13.5,14.2,13.05,14.0,13.9,104927.0,14.61,NSE/BGLOBAL
2011-09-28,13.65,13.85,13.2,13.2,13.2,47466.0,6.35,NSE/BGLOBAL
2011-09-29,12.65,13.85,12.55,12.95,12.8,112936.0,14.48,NSE/BGLOBAL
2011-09-30,12.65,12.9,12.2,12.6,12.45,84279.0,10.56,NSE/BGLOBAL
2011-10-03,12.35,12.35,11.9,11.9,11.95,28691.0,3.45,NSE/BGLOBAL
2011-10-04,11.9,12.15,11.75,11.75,11.85,21447.0,2.56,NSE/BGLOBAL
2011-10-05,11.8,12.1,11.65,11.85,11.75,26883.0,3.19,NSE/BGLOBAL
2011-10-07,11.4,12.15,11.35,11.8,11.7,24085.0,2.86,NSE/BGLOBAL
2011-10-10,11.8,11.85,11.6,11.85,11.75,30587.0,3.6,NSE/BGLOBAL
2011-10-11,11.9,12.35,11.85,12.35,12.35,21830.0,2.69,NSE/BGLOBAL
2011-10-12,13.0,13.0,12.95,13.0,13.0,36973.0,4.81,NSE/BGLOBAL
2011-10-13,13.65,13.65,13.65,13.65,13.65,13184.0,1.8,NSE/BGLOBAL
2011-10-14,14.35,14.35,13.0,13.05,13.05,166446.0,22.77,NSE/BGLOBAL
2011-10-17,13.0,13.15,12.6,12.6,12.7,27535.0,3.53,NSE/BGLOBAL
2011-10-18,12.2,13.15,12.2,12.35,12.5,11819.0,1.48,NSE/BGLOBAL
2011-10-19,12.35,12.7,11.9,12.0,11.95,67378.0,8.14,NSE/BGLOBAL
2011-10-20,11.75,12.55,11.35,12.55,12.35,97383.0,11.55,NSE/BGLOBAL
2011-10-21,12.3,12.65,11.85,12.25,12.0,29665.0,3.61,NSE/BGLOBAL
2011-10-24,12.0,12.25,11.6,11.7,11.75,23605.0,2.81,NSE/BGLOBAL
2011-10-25,12.2,12.2,11.5,11.75,11.6,19108.0,2.22,NSE/BGLOBAL
2011-10-26,12.0,12.2,11.5,12.2,12.05,35037.0,4.21,NSE/BGLOBAL
2011-10-28,12.0,12.55,11.6,12.15,12.1,64154.0,7.63,NSE/BGLOBAL
2011-10-31,12.15,12.4,11.75,11.9,11.85,26213.0,3.13,NSE/BGLOBAL
2011-11-01,11.95,11.95,11.6,11.65,11.7,19850.0,2.33,NSE/BGLOBAL
2011-11-02,11.9,12.0,11.15,11.35,11.35,116666.0,13.38,NSE/BGLOBAL
2011-11-03,11.65,11.7,11.2,11.4,11.55,38080.0,4.35,NSE/BGLOBAL
2011-11-04,11.35,12.1,11.3,12.0,11.95,52597.0,6.19,NSE/BGLOBAL
2011-11-08,11.65,12.0,11.55,12.0,11.8,18278.0,2.15,NSE/BGLOBAL
2011-11-09,12.3,12.3,11.3,11.9,11.75,55612.0,6.52,NSE/BGLOBAL
2011-11-11,11.6,12.2,11.45,11.9,11.9,32866.0,3.87,NSE/BGLOBAL
2011-11-14,11.9,12.5,11.65,11.95,11.95,85169.0,10.33,NSE/BGLOBAL
2011-11-15,11.6,12.2,11.4,11.55,11.75,21386.0,2.5,NSE/BGLOBAL
2011-11-16,11.25,11.7,11.0,11.0,11.15,51237.0,5.8,NSE/BGLOBAL
2011-11-17,11.15,11.35,11.05,11.3,11.2,38914.0,4.36,NSE/BGLOBAL
2011-11-18,12.1,12.1,11.1,11.3,11.25,64431.0,7.25,NSE/BGLOBAL
2011-11-21,11.8,11.8,10.8,11.2,11.1,40830.0,4.53,NSE/BGLOBAL
2011-11-22,10.65,11.25,10.5,11.25,10.9,32434.0,3.5,NSE/BGLOBAL
2011-11-23,10.65,11.2,10.65,10.9,10.95,39801.0,4.33,NSE/BGLOBAL
2011-11-24,10.5,11.2,10.5,10.65,10.7,68886.0,7.4,NSE/BGLOBAL
2011-11-25,10.4,10.9,10.4,10.9,10.85,14728.0,1.58,NSE/BGLOBAL
2011-11-28,10.65,11.35,10.4,11.2,11.15,24865.0,2.7,NSE/BGLOBAL
2011-11-29,10.85,11.35,10.65,11.05,10.75,53803.0,5.88,NSE/BGLOBAL
2011-11-30,10.5,11.1,10.5,11.0,10.8,33044.0,3.56,NSE/BGLOBAL
2011-12-01,10.8,11.15,10.5,11.15,10.9,42537.0,4.62,NSE/BGLOBAL
2011-12-02,10.55,11.05,10.55,11.0,11.0,46320.0,5.04,NSE/BGLOBAL
2011-12-05,10.55,11.15,10.55,11.0,11.0,20034.0,2.19,NSE/BGLOBAL
