Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-03-02,108.7,113.0,103.3,104.2,104.25,4087.0,4.46,NSE/BHAGERIA
2016-03-03,106.05,109.35,106.0,107.0,107.1,450.0,0.48,NSE/BHAGERIA
2016-03-04,106.0,112.4,106.0,110.8,110.8,218.0,0.23,NSE/BHAGERIA
2016-03-08,106.05,110.95,106.0,108.0,108.0,1375.0,1.48,NSE/BHAGERIA
2016-03-09,102.2,108.25,86.9,108.25,106.3,3423.0,3.5,NSE/BHAGERIA
2016-03-10,115.0,115.0,103.1,108.9,108.25,1518.0,1.61,NSE/BHAGERIA
2016-03-11,124.0,124.0,106.95,109.75,108.65,1577.0,1.71,NSE/BHAGERIA
2016-03-14,104.75,112.9,102.0,108.0,108.5,2861.0,3.12,NSE/BHAGERIA
2016-03-15,110.0,111.5,109.0,110.5,110.9,2178.0,2.39,NSE/BHAGERIA
2016-03-16,111.5,112.0,110.0,110.0,110.0,5400.0,5.99,NSE/BHAGERIA
2016-03-17,113.5,114.5,111.0,111.0,111.0,3470.0,3.93,NSE/BHAGERIA
2016-03-18,110.0,110.3,110.0,110.3,110.3,195.0,0.21,NSE/BHAGERIA
2016-03-21,117.0,117.8,115.5,117.5,116.75,3604.0,4.21,NSE/BHAGERIA
2016-03-22,123.0,123.0,120.05,123.0,123.0,2144.0,2.62,NSE/BHAGERIA
2016-03-23,124.0,126.9,124.0,126.9,126.9,250.0,0.31,NSE/BHAGERIA
2016-03-28,124.0,131.0,121.0,121.0,123.15,1015.0,1.29,NSE/BHAGERIA
2016-03-29,122.25,125.5,121.05,125.5,125.0,100.0,0.12,NSE/BHAGERIA
2016-03-30,125.0,134.0,123.25,129.2,130.65,6216.0,8.06,NSE/BHAGERIA
2016-03-31,130.6,144.45,130.6,140.9,139.85,14500.0,20.44,NSE/BHAGERIA
2016-04-01,143.0,147.0,140.0,143.2,142.8,7694.0,11.05,NSE/BHAGERIA
2016-04-04,146.5,146.5,139.1,142.0,141.95,8986.0,12.7,NSE/BHAGERIA
2016-04-05,143.0,164.5,142.0,161.0,160.55,38811.0,60.98,NSE/BHAGERIA
2016-04-06,166.9,183.4,164.5,181.8,180.75,83024.0,146.74,NSE/BHAGERIA
