Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-05-17,45.0,57.35,30.0,48.9,49.05,36919442.0,18498.98,NSE/BHAGWATIHO
2007-05-18,45.75,54.3,45.75,49.75,49.2,9531963.0,4944.39,NSE/BHAGWATIHO
2007-05-21,50.0,53.95,50.0,52.25,51.95,5162459.0,2701.33,NSE/BHAGWATIHO
2007-05-22,52.0,53.2,50.0,50.55,50.45,2095520.0,1073.7,NSE/BHAGWATIHO
2007-05-23,50.95,51.7,47.25,48.0,47.85,1817933.0,905.88,NSE/BHAGWATIHO
2007-05-24,47.45,47.9,45.15,46.0,46.25,1369586.0,633.38,NSE/BHAGWATIHO
2007-05-25,46.0,49.7,44.2,45.05,45.1,3470165.0,1611.78,NSE/BHAGWATIHO
2007-05-28,46.25,48.0,45.9,47.0,46.45,1361767.0,639.44,NSE/BHAGWATIHO
2007-05-29,47.5,47.75,45.5,45.75,45.7,788250.0,366.15,NSE/BHAGWATIHO
2007-05-30,46.0,46.25,43.55,44.05,44.0,579623.0,259.67,NSE/BHAGWATIHO
2007-05-31,45.35,46.7,43.85,43.85,44.1,573537.0,257.78,NSE/BHAGWATIHO
2007-06-01,45.4,46.5,42.75,43.0,43.05,2438064.0,1082.19,NSE/BHAGWATIHO
2007-06-04,44.0,44.5,42.5,42.8,42.85,393468.0,171.03,NSE/BHAGWATIHO
2007-06-05,42.8,43.0,41.6,41.9,41.95,304704.0,128.5,NSE/BHAGWATIHO
2007-06-06,41.1,42.3,39.75,40.1,40.15,304583.0,125.45,NSE/BHAGWATIHO
2007-06-07,39.9,41.75,39.9,40.4,40.25,384499.0,156.7,NSE/BHAGWATIHO
2007-06-08,39.9,40.0,38.1,38.15,38.45,262003.0,102.4,NSE/BHAGWATIHO
2007-06-11,39.0,39.65,37.6,37.6,37.85,194896.0,75.23,NSE/BHAGWATIHO
2007-06-12,38.0,38.0,35.6,36.0,36.4,357029.0,130.79,NSE/BHAGWATIHO
2007-06-13,36.5,41.2,35.75,36.8,36.85,610270.0,226.24,NSE/BHAGWATIHO
2007-06-14,39.0,39.0,37.1,37.5,37.4,419506.0,158.08,NSE/BHAGWATIHO
2007-06-15,38.0,43.5,37.6,41.55,41.55,2168017.0,895.04,NSE/BHAGWATIHO
2007-06-18,43.0,43.65,40.0,40.25,40.35,999260.0,419.4,NSE/BHAGWATIHO
2007-06-19,40.9,41.0,39.1,39.65,39.55,287338.0,114.98,NSE/BHAGWATIHO
2007-06-20,39.85,39.85,38.5,38.65,38.7,482057.0,188.58,NSE/BHAGWATIHO
2007-06-21,39.15,41.6,38.0,40.1,39.95,507035.0,204.53,NSE/BHAGWATIHO
2007-06-22,40.0,40.85,39.0,39.2,39.1,280649.0,111.57,NSE/BHAGWATIHO
2007-06-25,38.6,39.65,38.3,39.0,39.0,581827.0,227.1,NSE/BHAGWATIHO
2007-06-26,39.9,39.9,38.05,38.15,38.25,139667.0,54.18,NSE/BHAGWATIHO
2007-06-27,38.4,39.2,37.5,37.5,37.65,272052.0,104.75,NSE/BHAGWATIHO
2007-06-28,38.8,38.8,36.5,36.65,37.05,524705.0,196.81,NSE/BHAGWATIHO
2007-06-29,37.15,38.8,36.7,37.2,37.1,619608.0,233.54,NSE/BHAGWATIHO
2007-07-02,37.25,38.1,36.95,37.0,37.05,117769.0,43.99,NSE/BHAGWATIHO
