Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-09-12,34.35,35.2,34.3,35.2,34.9,40969.0,14.25,NSE/BHAGYNAGAR
2006-09-13,36.9,36.9,34.6,36.1,36.25,131900.0,47.77,NSE/BHAGYNAGAR
2006-09-14,36.5,36.75,35.5,35.65,35.85,46266.0,16.68,NSE/BHAGYNAGAR
2006-09-15,36.2,36.2,35.25,35.75,35.65,35259.0,12.54,NSE/BHAGYNAGAR
2006-09-18,33.0,36.3,33.0,35.0,34.95,62107.0,21.9,NSE/BHAGYNAGAR
2006-09-19,35.7,35.7,34.55,34.6,34.6,15484.0,5.38,NSE/BHAGYNAGAR
2006-09-20,34.5,35.35,33.1,34.75,34.8,25504.0,8.9,NSE/BHAGYNAGAR
2006-09-21,35.0,35.7,34.5,34.85,34.65,45663.0,15.84,NSE/BHAGYNAGAR
2006-09-22,34.5,34.95,33.0,34.9,34.7,35029.0,12.1,NSE/BHAGYNAGAR
2006-09-25,36.5,36.5,34.25,34.4,34.4,48805.0,16.81,NSE/BHAGYNAGAR
2006-09-26,34.5,34.9,34.15,34.3,34.35,20040.0,6.89,NSE/BHAGYNAGAR
2006-09-27,35.0,35.0,33.55,34.35,34.15,82882.0,28.3,NSE/BHAGYNAGAR
2006-09-28,33.55,34.75,32.55,34.75,34.15,63701.0,21.58,NSE/BHAGYNAGAR
2006-09-29,34.95,37.0,33.75,35.0,34.85,408782.0,146.07,NSE/BHAGYNAGAR
2006-10-03,35.4,35.45,34.0,34.3,34.1,70942.0,24.39,NSE/BHAGYNAGAR
2006-10-04,34.95,34.95,33.7,34.0,33.9,51420.0,17.45,NSE/BHAGYNAGAR
2006-10-05,35.0,35.0,34.0,34.0,34.1,74370.0,25.62,NSE/BHAGYNAGAR
2006-10-06,34.9,34.9,34.0,34.45,34.55,79240.0,27.34,NSE/BHAGYNAGAR
2006-10-09,34.5,34.5,33.6,34.2,33.95,90509.0,30.81,NSE/BHAGYNAGAR
2006-10-10,34.65,34.65,33.65,33.9,33.8,70844.0,24.03,NSE/BHAGYNAGAR
2006-10-11,34.35,34.35,33.1,33.5,33.4,73552.0,24.64,NSE/BHAGYNAGAR
2006-10-12,34.0,34.2,33.0,33.55,33.75,61958.0,20.76,NSE/BHAGYNAGAR
2006-10-13,33.8,34.3,32.55,33.5,33.2,101596.0,33.97,NSE/BHAGYNAGAR
2006-10-16,33.55,34.75,33.3,33.7,33.6,95362.0,32.29,NSE/BHAGYNAGAR
2006-10-17,33.2,33.75,32.8,32.85,33.05,41050.0,13.59,NSE/BHAGYNAGAR
2006-10-18,32.05,33.9,32.05,33.4,33.0,34657.0,11.41,NSE/BHAGYNAGAR
2006-10-19,33.5,33.6,32.55,32.8,32.65,45800.0,15.08,NSE/BHAGYNAGAR
2006-10-20,33.5,33.5,32.3,32.5,32.45,60476.0,19.71,NSE/BHAGYNAGAR
2006-10-21,32.65,33.2,32.65,32.9,33.05,12204.0,4.02,NSE/BHAGYNAGAR
2006-10-23,32.95,33.1,32.1,32.35,32.3,32209.0,10.49,NSE/BHAGYNAGAR
2006-10-26,32.8,32.8,31.65,32.4,32.2,17484.0,5.64,NSE/BHAGYNAGAR
2006-10-27,32.3,32.7,30.6,30.6,31.05,53205.0,16.94,NSE/BHAGYNAGAR
2006-10-30,29.5,31.55,29.5,31.05,31.1,87280.0,26.96,NSE/BHAGYNAGAR
2006-10-31,29.0,31.9,29.0,31.1,31.2,74434.0,23.33,NSE/BHAGYNAGAR
2006-11-01,30.5,31.25,30.5,30.85,31.05,31200.0,9.63,NSE/BHAGYNAGAR
2006-11-02,31.2,33.9,31.0,33.0,32.75,117537.0,38.02,NSE/BHAGYNAGAR
2006-11-03,33.7,33.7,32.1,32.4,32.3,59439.0,19.44,NSE/BHAGYNAGAR
2006-11-06,32.45,34.8,31.85,33.35,33.45,157733.0,52.83,NSE/BHAGYNAGAR
2006-11-07,34.45,34.45,32.75,32.85,32.85,67708.0,22.45,NSE/BHAGYNAGAR
2006-11-08,32.85,33.4,32.25,32.45,32.45,61148.0,19.94,NSE/BHAGYNAGAR
2006-11-09,31.6,33.35,31.6,32.5,32.6,59878.0,19.42,NSE/BHAGYNAGAR
2006-11-10,33.65,33.65,32.1,32.5,32.4,57074.0,18.47,NSE/BHAGYNAGAR
2006-11-13,32.2,34.25,32.2,33.25,33.1,270977.0,91.35,NSE/BHAGYNAGAR
2006-11-14,34.6,34.6,32.3,32.3,32.4,67663.0,22.42,NSE/BHAGYNAGAR
2006-11-15,33.4,34.2,32.4,33.0,33.15,108182.0,36.36,NSE/BHAGYNAGAR
2006-11-16,33.65,33.65,32.2,32.3,32.45,57428.0,18.85,NSE/BHAGYNAGAR
