Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-07-01,738.0,748.65,731.95,734.0,734.85,496344.0,3672.96,NSE/BHARATFIN
2016-07-04,737.0,768.3,736.0,767.45,762.75,1097800.0,8267.11,NSE/BHARATFIN
2016-07-05,760.1,781.2,756.95,764.3,763.8,1311970.0,10108.41,NSE/BHARATFIN
2016-07-07,759.1,768.4,757.0,759.0,759.8,1690562.0,12870.41,NSE/BHARATFIN
2016-07-08,762.4,762.55,748.0,755.0,752.7,716073.0,5397.54,NSE/BHARATFIN
2016-07-11,771.75,788.8,767.65,782.0,779.25,1949007.0,15162.11,NSE/BHARATFIN
2016-07-12,784.0,784.95,769.9,780.5,778.95,1035499.0,8036.53,NSE/BHARATFIN
2016-07-13,782.0,782.0,756.75,760.4,759.5,2000822.0,15306.32,NSE/BHARATFIN
2016-07-14,759.9,767.4,741.6,745.4,744.8,1448227.0,10876.73,NSE/BHARATFIN
2016-07-15,749.5,771.75,746.4,763.8,764.55,794732.0,6062.09,NSE/BHARATFIN
2016-07-18,768.0,776.8,761.75,765.55,764.6,665135.0,5118.73,NSE/BHARATFIN
2016-07-19,765.0,791.0,760.55,787.65,787.35,1176279.0,9151.46,NSE/BHARATFIN
2016-07-20,788.8,799.8,776.0,783.0,782.15,2163089.0,17108.23,NSE/BHARATFIN
2016-07-21,784.35,784.35,760.0,760.5,763.7,756073.0,5835.94,NSE/BHARATFIN
2016-07-22,780.0,891.15,774.85,844.05,843.6,9312439.0,78132.8,NSE/BHARATFIN
2016-07-25,847.0,874.35,832.65,862.7,862.95,2328462.0,19971.09,NSE/BHARATFIN
2016-07-26,867.5,908.0,863.0,884.0,879.35,3246932.0,28814.32,NSE/BHARATFIN
2016-07-27,880.05,892.0,871.55,886.9,887.7,1768485.0,15621.11,NSE/BHARATFIN
2016-07-28,891.4,901.8,881.15,895.0,896.55,3554738.0,31797.73,NSE/BHARATFIN
2016-07-29,891.1,939.0,886.0,908.0,907.3,2741693.0,25059.63,NSE/BHARATFIN
2016-08-01,915.0,925.95,901.3,910.0,910.7,1289694.0,11809.01,NSE/BHARATFIN
2016-08-02,820.0,890.0,814.2,831.0,822.65,8449967.0,72123.31,NSE/BHARATFIN
2016-08-03,823.15,849.95,778.6,805.0,802.25,5543496.0,44611.67,NSE/BHARATFIN
2016-08-04,810.5,815.45,776.5,793.9,789.8,2963508.0,23439.56,NSE/BHARATFIN
2016-08-05,799.95,828.0,792.1,819.75,818.15,3139651.0,25541.34,NSE/BHARATFIN
2016-08-08,826.1,841.95,815.1,831.0,833.35,1378374.0,11466.0,NSE/BHARATFIN
2016-08-09,834.8,853.0,824.35,836.0,833.8,1509937.0,12676.82,NSE/BHARATFIN
2016-08-10,836.0,840.7,797.6,801.2,803.85,1647526.0,13400.19,NSE/BHARATFIN
2016-08-11,807.0,807.8,780.0,797.0,794.65,1686449.0,13368.97,NSE/BHARATFIN
2016-08-12,803.35,816.95,799.25,808.65,811.8,773745.0,6266.07,NSE/BHARATFIN
2016-08-16,803.1,805.95,780.4,780.55,784.15,924095.0,7305.02,NSE/BHARATFIN
2016-08-17,784.15,787.5,742.0,744.0,744.95,2064320.0,15673.32,NSE/BHARATFIN
2016-08-18,744.5,806.7,733.0,800.0,795.9,3928444.0,30243.73,NSE/BHARATFIN
2016-08-19,801.95,807.85,780.6,784.0,786.25,1550229.0,12325.51,NSE/BHARATFIN
2016-08-22,788.0,795.5,744.0,747.0,748.05,1767151.0,13471.25,NSE/BHARATFIN
2016-08-23,750.0,770.0,748.05,760.6,760.15,2082362.0,15863.66,NSE/BHARATFIN
2016-08-24,763.95,764.7,741.6,755.6,755.9,1672203.0,12583.29,NSE/BHARATFIN
2016-08-25,758.95,782.0,758.95,764.25,764.65,2769433.0,21329.22,NSE/BHARATFIN
2016-08-26,767.4,791.7,767.0,785.5,784.15,1868096.0,14637.06,NSE/BHARATFIN
2016-08-29,782.6,796.0,772.8,791.15,792.6,1158254.0,9097.21,NSE/BHARATFIN
2016-08-30,798.8,822.9,797.15,817.0,818.1,1713176.0,13952.18,NSE/BHARATFIN
2016-08-31,818.0,829.5,777.35,819.8,819.5,1470929.0,12019.85,NSE/BHARATFIN
