Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-02,13.5,13.5,13.5,13.5,13.5,200.0,0.03,NSE/BHARATGEAR
2001-01-03,13.5,14.95,13.5,14.95,14.65,1350.0,0.2,NSE/BHARATGEAR
2001-01-08,14.5,14.5,14.5,14.5,14.5,100.0,0.01,NSE/BHARATGEAR
2001-01-09,14.5,14.5,14.5,14.5,14.5,100.0,0.01,NSE/BHARATGEAR
2001-01-10,13.65,13.65,13.65,13.65,13.65,500.0,0.07,NSE/BHARATGEAR
2001-01-11,13.6,13.6,13.6,13.6,13.6,50.0,0.01,NSE/BHARATGEAR
2001-01-15,14.5,14.5,13.55,13.55,13.55,450.0,0.06,NSE/BHARATGEAR
2001-01-16,13.0,13.0,12.6,12.6,12.6,800.0,0.1,NSE/BHARATGEAR
2001-01-18,13.05,13.05,13.05,13.05,13.05,100.0,0.01,NSE/BHARATGEAR
2001-01-19,13.9,14.0,13.9,14.0,14.0,1800.0,0.25,NSE/BHARATGEAR
2001-01-22,14.0,14.4,14.0,14.4,14.4,200.0,0.03,NSE/BHARATGEAR
2001-01-24,13.6,13.6,13.5,13.5,13.55,600.0,0.08,NSE/BHARATGEAR
2001-01-31,13.2,13.2,13.2,13.2,13.2,200.0,0.03,NSE/BHARATGEAR
2001-02-12,13.0,13.0,13.0,13.0,13.0,100.0,0.01,NSE/BHARATGEAR
2001-02-14,13.5,13.5,13.5,13.5,13.5,150.0,0.02,NSE/BHARATGEAR
2001-02-19,14.7,14.75,14.7,14.75,14.7,100.0,0.01,NSE/BHARATGEAR
2001-02-20,12.55,14.5,12.55,12.65,12.65,400.0,0.05,NSE/BHARATGEAR
2001-02-22,12.1,13.0,12.1,13.0,13.0,1600.0,0.21,NSE/BHARATGEAR
2001-02-23,13.0,13.6,13.0,13.6,13.6,700.0,0.09,NSE/BHARATGEAR
2001-02-27,14.5,14.75,14.0,14.0,14.0,550.0,0.08,NSE/BHARATGEAR
2001-03-02,13.0,13.0,13.0,13.0,13.0,200.0,0.03,NSE/BHARATGEAR
2001-03-05,12.5,13.0,12.5,13.0,13.0,200.0,0.03,NSE/BHARATGEAR
2001-03-08,12.3,12.3,12.25,12.25,12.25,150.0,0.02,NSE/BHARATGEAR
2001-03-09,10.3,10.3,10.25,10.25,10.25,500.0,0.05,NSE/BHARATGEAR
2001-03-12,12.4,12.75,12.4,12.75,12.75,250.0,0.03,NSE/BHARATGEAR
2001-03-13,12.0,12.0,12.0,12.0,12.0,500.0,0.06,NSE/BHARATGEAR
2001-04-02,10.25,10.8,10.25,10.8,10.8,1200.0,0.13,NSE/BHARATGEAR
2001-04-04,11.05,11.05,11.05,11.05,11.05,1100.0,0.12,NSE/BHARATGEAR
2001-04-09,11.05,11.05,11.05,11.05,11.05,500.0,0.06,NSE/BHARATGEAR
2001-04-18,13.6,13.6,13.4,13.4,13.4,400.0,0.05,NSE/BHARATGEAR
2001-04-19,13.5,15.0,13.5,15.0,14.6,650.0,0.09,NSE/BHARATGEAR
2001-04-20,14.95,14.95,13.0,13.0,13.0,800.0,0.11,NSE/BHARATGEAR
2001-04-23,14.0,14.0,14.0,14.0,14.0,150.0,0.02,NSE/BHARATGEAR
2001-04-24,13.95,14.0,13.9,14.0,13.9,700.0,0.1,NSE/BHARATGEAR
2001-04-27,14.0,14.0,14.0,14.0,14.0,100.0,0.01,NSE/BHARATGEAR
2001-05-04,12.0,12.0,12.0,12.0,12.0,100.0,0.01,NSE/BHARATGEAR
2001-05-08,11.1,11.1,11.0,11.05,11.05,1300.0,0.14,NSE/BHARATGEAR
2001-05-10,11.0,11.35,10.0,11.35,11.35,11850.0,1.19,NSE/BHARATGEAR
2001-05-11,11.5,11.5,11.5,11.5,11.5,50.0,0.01,NSE/BHARATGEAR
2001-05-14,10.15,10.25,10.15,10.25,10.25,300.0,0.03,NSE/BHARATGEAR
2001-05-15,10.0,10.25,10.0,10.25,10.25,200.0,0.02,NSE/BHARATGEAR
2001-05-16,10.25,10.3,10.25,10.3,10.3,150.0,0.02,NSE/BHARATGEAR
2001-05-17,10.15,10.25,10.15,10.2,10.2,550.0,0.06,NSE/BHARATGEAR
2001-05-18,10.0,10.0,10.0,10.0,10.0,300.0,0.03,NSE/BHARATGEAR
2001-05-23,10.5,10.5,9.25,9.25,9.25,2150.0,0.21,NSE/BHARATGEAR
2001-05-24,9.25,9.35,9.1,9.25,9.25,852.0,0.08,NSE/BHARATGEAR
2001-05-25,9.1,9.65,9.0,9.0,9.0,3527.0,0.32,NSE/BHARATGEAR
2001-05-29,9.3,9.45,9.3,9.4,9.4,800.0,0.07,NSE/BHARATGEAR
2001-05-30,9.5,10.25,9.5,9.8,9.8,600.0,0.06,NSE/BHARATGEAR
2001-05-31,9.9,10.25,9.9,10.25,10.25,150.0,0.02,NSE/BHARATGEAR
2001-06-01,10.35,10.35,10.35,10.35,10.35,50.0,0.01,NSE/BHARATGEAR
2001-06-08,10.35,10.35,10.35,10.35,10.35,25.0,0.0,NSE/BHARATGEAR
2001-06-11,8.35,10.1,8.35,10.1,10.1,200.0,0.02,NSE/BHARATGEAR
2001-06-12,9.0,10.25,8.55,10.2,10.2,300.0,0.03,NSE/BHARATGEAR
2001-06-13,9.4,9.4,9.35,9.35,9.35,200.0,0.02,NSE/BHARATGEAR
2001-06-14,9.5,9.5,9.5,9.5,9.5,350.0,0.03,NSE/BHARATGEAR
2001-06-15,9.5,9.95,9.5,9.5,9.5,505.0,0.05,NSE/BHARATGEAR
2001-06-18,9.75,9.75,9.7,9.7,9.7,15.0,0.0,NSE/BHARATGEAR
2001-06-19,9.9,9.9,9.25,9.25,9.25,210.0,0.02,NSE/BHARATGEAR
2001-06-20,9.25,9.75,9.25,9.25,9.25,650.0,0.06,NSE/BHARATGEAR
2001-06-21,9.25,9.25,9.0,9.0,9.0,1005.0,0.09,NSE/BHARATGEAR
2001-06-22,9.0,9.0,9.0,9.0,9.0,500.0,0.04,NSE/BHARATGEAR
2001-06-25,9.5,9.5,9.5,9.5,9.5,5.0,0.0,NSE/BHARATGEAR
2001-06-26,9.75,9.75,9.75,9.75,9.75,10.0,0.0,NSE/BHARATGEAR
2001-06-27,9.0,9.0,8.0,8.55,8.55,3000.0,0.25,NSE/BHARATGEAR
2001-06-28,8.5,9.3,8.5,9.3,9.3,1023.0,0.09,NSE/BHARATGEAR
2001-06-29,9.3,9.3,9.1,9.3,9.1,40.0,0.0,NSE/BHARATGEAR
2001-07-02,10.0,10.0,10.0,10.0,10.0,150.0,0.01,NSE/BHARATGEAR
2001-07-05,9.9,9.9,9.75,9.75,9.75,7.0,0.0,NSE/BHARATGEAR
2001-07-10,8.9,8.9,7.5,7.5,7.5,2.0,0.0,NSE/BHARATGEAR
2001-07-13,9.0,9.0,9.0,9.0,9.0,1.0,0.0,NSE/BHARATGEAR
2001-07-19,7.5,7.5,7.5,7.5,7.5,200.0,0.02,NSE/BHARATGEAR
2001-07-30,7.5,8.2,7.5,8.2,7.95,6.0,0.0,NSE/BHARATGEAR
2001-08-07,6.0,6.0,6.0,6.0,6.0,100.0,0.01,NSE/BHARATGEAR
2001-08-08,8.5,8.5,7.5,7.5,7.5,56.0,0.0,NSE/BHARATGEAR
2001-08-13,6.0,6.0,6.0,6.0,6.0,50.0,0.0,NSE/BHARATGEAR
2001-08-17,8.75,8.75,8.75,8.75,8.75,10.0,0.0,NSE/BHARATGEAR
2001-08-29,8.75,8.75,8.75,8.75,8.75,50.0,0.0,NSE/BHARATGEAR
2001-08-30,8.8,9.0,8.8,9.0,9.0,1210.0,0.11,NSE/BHARATGEAR
2001-08-31,6.55,6.55,6.0,6.0,6.0,4.0,0.0,NSE/BHARATGEAR
2001-09-04,6.05,6.05,6.05,6.05,6.05,62.0,0.0,NSE/BHARATGEAR
2001-09-07,7.9,7.9,7.9,7.9,7.9,62.0,0.0,NSE/BHARATGEAR
2001-09-13,6.0,6.0,6.0,6.0,6.0,25.0,0.0,NSE/BHARATGEAR
2001-09-27,6.0,6.0,6.0,6.0,6.0,100.0,0.01,NSE/BHARATGEAR
2001-10-29,5.65,5.65,5.65,5.65,5.65,1500.0,0.08,NSE/BHARATGEAR
2001-10-31,8.0,8.0,8.0,8.0,8.0,1.0,0.0,NSE/BHARATGEAR
2001-11-12,7.0,7.0,7.0,7.0,7.0,1.0,0.0,NSE/BHARATGEAR
2001-11-13,6.9,6.9,6.9,6.9,6.9,199.0,0.01,NSE/BHARATGEAR
2001-11-22,7.0,9.0,7.0,9.0,9.0,110.0,0.01,NSE/BHARATGEAR
2001-11-23,9.1,9.1,9.1,9.1,9.1,200.0,0.02,NSE/BHARATGEAR
2001-11-26,9.5,9.5,9.0,9.0,9.0,150.0,0.01,NSE/BHARATGEAR
2001-11-28,7.5,7.5,7.5,7.5,7.5,50.0,0.0,NSE/BHARATGEAR
2001-12-05,10.0,10.0,10.0,10.0,10.0,50.0,0.0,NSE/BHARATGEAR
2001-12-06,9.5,9.5,7.5,7.5,7.5,149.0,0.01,NSE/BHARATGEAR
2001-12-13,6.5,6.5,6.5,6.5,6.5,60.0,0.0,NSE/BHARATGEAR
2001-12-21,6.0,6.0,6.0,6.0,6.0,100.0,0.01,NSE/BHARATGEAR
2001-12-24,6.0,6.0,6.0,6.0,6.0,100.0,0.01,NSE/BHARATGEAR
2002-01-01,5.25,5.25,5.25,5.25,5.25,50.0,0.0,NSE/BHARATGEAR
2002-01-15,5.25,5.25,5.25,5.25,5.25,550.0,0.03,NSE/BHARATGEAR
2002-01-16,5.5,5.5,5.5,5.5,5.5,50.0,0.0,NSE/BHARATGEAR
2002-01-17,5.55,5.55,5.55,5.55,5.55,50.0,0.0,NSE/BHARATGEAR
2002-01-21,5.6,5.6,5.6,5.6,5.6,200.0,0.01,NSE/BHARATGEAR
2002-01-23,5.85,5.85,5.85,5.85,5.85,1.0,0.0,NSE/BHARATGEAR
2002-02-06,5.75,6.0,5.75,5.75,5.75,1800.0,0.1,NSE/BHARATGEAR
2002-02-07,6.0,6.0,5.75,5.75,5.75,1000.0,0.06,NSE/BHARATGEAR
2002-02-08,5.85,5.85,5.85,5.85,5.85,50.0,0.0,NSE/BHARATGEAR
2002-02-11,6.0,6.05,6.0,6.0,6.0,500.0,0.03,NSE/BHARATGEAR
2002-02-12,6.05,6.05,6.0,6.0,6.0,800.0,0.05,NSE/BHARATGEAR
2002-02-13,6.25,6.25,6.25,6.25,6.25,110.0,0.01,NSE/BHARATGEAR
2002-02-14,6.5,6.5,6.5,6.5,6.5,90.0,0.01,NSE/BHARATGEAR
2002-02-15,6.75,6.8,6.75,6.8,6.8,900.0,0.06,NSE/BHARATGEAR
2002-02-18,7.1,7.1,7.0,7.1,7.1,600.0,0.04,NSE/BHARATGEAR
2002-02-20,7.0,7.0,7.0,7.0,7.0,300.0,0.02,NSE/BHARATGEAR
2002-02-21,6.9,7.25,6.9,7.25,7.05,450.0,0.03,NSE/BHARATGEAR
2002-02-25,7.0,7.0,7.0,7.0,7.0,100.0,0.01,NSE/BHARATGEAR
2002-03-11,7.0,7.05,7.0,7.0,7.0,500.0,0.04,NSE/BHARATGEAR
2002-03-12,7.05,7.3,7.05,7.3,7.3,78.0,0.01,NSE/BHARATGEAR
2002-03-13,7.5,7.5,7.1,7.35,7.35,1752.0,0.13,NSE/BHARATGEAR
2002-03-14,7.15,7.4,7.15,7.4,7.4,120.0,0.01,NSE/BHARATGEAR
