Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-03-14,18.7,20.2,18.3,18.7,18.8,19211.0,3.63,NSE/BHARATIDIL
2016-03-15,18.0,19.25,18.0,18.85,18.55,8519.0,1.58,NSE/BHARATIDIL
2016-03-16,18.6,19.5,18.25,18.75,18.6,10673.0,1.98,NSE/BHARATIDIL
2016-03-17,20.0,20.0,18.25,18.55,18.3,10118.0,1.88,NSE/BHARATIDIL
2016-03-18,19.95,19.95,18.1,18.9,18.85,4379.0,0.81,NSE/BHARATIDIL
2016-03-21,18.3,20.7,18.0,20.1,20.5,106018.0,21.27,NSE/BHARATIDIL
2016-03-22,20.4,20.4,19.1,19.7,19.25,22594.0,4.4,NSE/BHARATIDIL
2016-03-23,19.95,20.4,19.4,20.0,20.1,11882.0,2.35,NSE/BHARATIDIL
2016-03-28,20.0,21.0,19.05,19.35,19.15,13237.0,2.6,NSE/BHARATIDIL
2016-03-29,19.15,19.8,18.15,18.75,18.55,9779.0,1.84,NSE/BHARATIDIL
2016-03-30,18.3,19.85,18.3,19.0,18.65,9530.0,1.77,NSE/BHARATIDIL
2016-03-31,20.05,20.05,18.2,18.7,18.7,3261.0,0.62,NSE/BHARATIDIL
2016-04-01,18.8,19.45,18.8,19.05,19.05,6689.0,1.27,NSE/BHARATIDIL
2016-04-04,19.0,19.5,19.0,19.4,19.4,5928.0,1.14,NSE/BHARATIDIL
2016-04-05,20.95,20.95,18.65,19.05,19.1,6507.0,1.26,NSE/BHARATIDIL
2016-04-06,18.8,19.8,18.8,19.55,19.35,11824.0,2.26,NSE/BHARATIDIL
2016-04-07,20.65,20.65,19.2,19.2,19.25,7244.0,1.41,NSE/BHARATIDIL
2016-04-08,19.1,19.5,19.05,19.5,19.5,1560.0,0.3,NSE/BHARATIDIL
2016-04-11,19.2,19.4,18.8,18.8,18.8,2520.0,0.48,NSE/BHARATIDIL
2016-04-12,19.35,19.4,18.65,19.3,19.15,6016.0,1.15,NSE/BHARATIDIL
2016-04-13,20.2,20.2,19.25,19.3,19.3,8788.0,1.73,NSE/BHARATIDIL
2016-04-18,19.3,23.15,19.3,23.15,23.15,50216.0,11.1,NSE/BHARATIDIL
2016-04-20,25.1,27.75,25.0,27.75,27.75,94360.0,25.51,NSE/BHARATIDIL
2016-04-21,29.6,30.5,27.5,27.75,28.15,173069.0,50.85,NSE/BHARATIDIL
2016-04-22,29.85,29.85,27.6,28.05,28.15,55691.0,15.72,NSE/BHARATIDIL
2016-04-25,28.0,28.4,26.3,26.8,26.8,21763.0,5.82,NSE/BHARATIDIL
2016-04-26,28.0,28.5,25.3,26.05,26.35,21381.0,5.54,NSE/BHARATIDIL
2016-04-27,27.4,27.4,26.0,26.95,26.75,14322.0,3.77,NSE/BHARATIDIL
2016-04-28,26.85,26.85,25.2,26.2,25.65,20744.0,5.35,NSE/BHARATIDIL
2016-04-29,25.9,25.9,24.55,25.15,24.8,14539.0,3.66,NSE/BHARATIDIL
2016-05-02,25.45,25.45,23.75,24.8,24.7,9628.0,2.36,NSE/BHARATIDIL
2016-05-03,25.0,27.15,24.45,27.15,27.15,21453.0,5.72,NSE/BHARATIDIL
2016-05-04,27.5,29.85,27.5,29.0,29.45,332435.0,97.86,NSE/BHARATIDIL
2016-05-05,29.2,29.9,27.0,29.5,29.05,58324.0,16.59,NSE/BHARATIDIL
2016-05-06,29.1,31.8,28.55,28.6,29.0,66738.0,20.1,NSE/BHARATIDIL
2016-05-09,29.3,30.0,28.45,28.5,28.55,27191.0,7.87,NSE/BHARATIDIL
2016-05-10,27.7,29.75,27.05,29.0,29.1,24159.0,6.87,NSE/BHARATIDIL
2016-05-11,28.6,29.15,27.0,29.0,28.35,18477.0,5.19,NSE/BHARATIDIL
2016-05-12,28.0,29.0,27.3,27.3,27.55,23366.0,6.5,NSE/BHARATIDIL
2016-05-13,27.3,28.0,24.55,25.0,25.05,91042.0,23.74,NSE/BHARATIDIL
2016-05-16,25.1,25.9,24.5,24.95,24.95,15378.0,3.86,NSE/BHARATIDIL
2016-05-17,25.4,26.2,23.5,23.9,24.0,60213.0,14.95,NSE/BHARATIDIL
2016-05-18,24.8,24.8,22.7,23.1,22.95,34111.0,7.95,NSE/BHARATIDIL
2016-05-19,23.9,23.9,22.55,22.75,22.9,13367.0,3.09,NSE/BHARATIDIL
2016-05-20,23.8,27.45,22.65,24.65,24.6,168317.0,43.9,NSE/BHARATIDIL
2016-05-23,25.5,25.5,22.75,24.3,23.75,18670.0,4.45,NSE/BHARATIDIL
2016-05-24,24.25,24.3,22.75,23.2,23.05,10331.0,2.39,NSE/BHARATIDIL
2016-05-25,24.8,27.45,23.2,25.5,25.85,61304.0,15.84,NSE/BHARATIDIL
2016-05-26,26.4,27.4,25.3,26.25,26.0,38536.0,10.17,NSE/BHARATIDIL
2016-05-27,25.65,26.25,24.6,25.35,25.15,24764.0,6.33,NSE/BHARATIDIL
2016-05-30,24.6,25.2,23.4,24.0,23.8,18022.0,4.37,NSE/BHARATIDIL
2016-05-31,25.15,25.15,22.7,22.7,23.0,25772.0,5.97,NSE/BHARATIDIL
2016-06-01,23.0,23.6,22.5,23.2,22.9,61596.0,14.21,NSE/BHARATIDIL
2016-06-02,22.9,23.2,22.3,22.7,22.7,7772.0,1.76,NSE/BHARATIDIL
2016-06-03,26.0,27.2,24.55,26.35,26.1,423486.0,113.3,NSE/BHARATIDIL
