Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-04,26.0,27.5,26.0,27.5,27.5,300.0,0.08,NSE/BHARATRAS
2001-01-05,26.0,26.0,26.0,26.0,26.0,200.0,0.05,NSE/BHARATRAS
2001-01-08,26.0,26.0,26.0,26.0,26.0,200.0,0.05,NSE/BHARATRAS
2001-01-10,26.0,26.0,26.0,26.0,26.0,200.0,0.05,NSE/BHARATRAS
2001-01-23,26.0,26.0,26.0,26.0,26.0,200.0,0.05,NSE/BHARATRAS
2001-01-24,26.5,26.5,26.0,26.0,26.0,300.0,0.08,NSE/BHARATRAS
2001-01-30,26.0,26.0,26.0,26.0,26.0,900.0,0.23,NSE/BHARATRAS
2001-01-31,26.0,26.0,26.0,26.0,26.0,500.0,0.13,NSE/BHARATRAS
2001-02-01,26.0,26.0,26.0,26.0,26.0,100.0,0.03,NSE/BHARATRAS
2001-02-02,26.0,26.0,26.0,26.0,26.0,25000.0,6.5,NSE/BHARATRAS
2001-02-05,26.0,26.0,26.0,26.0,26.0,100.0,0.03,NSE/BHARATRAS
2001-02-06,26.0,26.0,26.0,26.0,26.0,1200.0,0.31,NSE/BHARATRAS
2001-02-07,26.0,26.1,26.0,26.0,26.0,800.0,0.21,NSE/BHARATRAS
2001-02-12,26.1,26.1,26.1,26.1,26.1,100.0,0.03,NSE/BHARATRAS
2001-02-13,26.0,26.0,26.0,26.0,26.0,100.0,0.03,NSE/BHARATRAS
2001-02-14,26.0,26.1,26.0,26.1,26.1,200.0,0.05,NSE/BHARATRAS
2001-02-15,26.25,26.25,26.2,26.2,26.2,500.0,0.13,NSE/BHARATRAS
2001-02-16,26.2,26.2,26.2,26.2,26.2,300.0,0.08,NSE/BHARATRAS
2001-02-20,26.2,26.2,26.2,26.2,26.2,200.0,0.05,NSE/BHARATRAS
2001-02-21,26.0,26.0,26.0,26.0,26.0,600.0,0.16,NSE/BHARATRAS
2001-02-22,26.0,26.3,26.0,26.0,26.0,300.0,0.08,NSE/BHARATRAS
2001-02-26,26.0,26.0,26.0,26.0,26.0,100.0,0.03,NSE/BHARATRAS
2001-02-27,26.0,26.0,26.0,26.0,26.0,300.0,0.08,NSE/BHARATRAS
2001-02-28,26.0,26.0,26.0,26.0,26.0,1400.0,0.36,NSE/BHARATRAS
2001-03-02,26.0,26.0,26.0,26.0,26.0,200.0,0.05,NSE/BHARATRAS
2001-03-07,26.0,26.0,26.0,26.0,26.0,100.0,0.03,NSE/BHARATRAS
2001-03-09,26.0,26.0,26.0,26.0,26.0,800.0,0.21,NSE/BHARATRAS
2001-03-13,26.0,26.0,26.0,26.0,26.0,600.0,0.16,NSE/BHARATRAS
2001-03-14,26.0,26.0,26.0,26.0,26.0,2200.0,0.57,NSE/BHARATRAS
2001-03-16,26.0,26.0,26.0,26.0,26.0,500.0,0.13,NSE/BHARATRAS
2001-03-19,26.0,26.0,26.0,26.0,26.0,1100.0,0.29,NSE/BHARATRAS
2001-03-20,26.0,26.0,26.0,26.0,26.0,500.0,0.13,NSE/BHARATRAS
2001-03-21,26.05,26.15,26.0,26.1,26.1,1900.0,0.49,NSE/BHARATRAS
2001-03-22,28.0,28.0,26.1,27.05,27.05,501.0,0.14,NSE/BHARATRAS
2001-03-23,27.95,27.95,27.0,27.0,27.0,101.0,0.03,NSE/BHARATRAS
2001-03-26,29.0,29.0,29.0,29.0,29.0,16.0,0.0,NSE/BHARATRAS
2001-03-27,30.0,30.0,30.0,30.0,30.0,188.0,0.06,NSE/BHARATRAS
2001-03-28,32.0,32.0,32.0,32.0,32.0,1.0,0.0,NSE/BHARATRAS
2001-03-29,32.0,32.0,32.0,32.0,32.0,200.0,0.06,NSE/BHARATRAS
2001-04-03,31.0,31.0,31.0,31.0,31.0,200.0,0.06,NSE/BHARATRAS
2001-04-09,28.75,28.75,28.75,28.75,28.75,1.0,0.0,NSE/BHARATRAS
2001-04-10,26.55,26.55,26.55,26.55,26.55,25.0,0.01,NSE/BHARATRAS
2001-04-11,26.0,26.0,26.0,26.0,26.0,200.0,0.05,NSE/BHARATRAS
2001-04-16,24.0,24.0,24.0,24.0,24.0,300.0,0.07,NSE/BHARATRAS
2001-04-17,24.1,25.9,24.1,25.9,25.9,610.0,0.15,NSE/BHARATRAS
2001-04-18,25.05,26.0,25.05,26.0,26.0,3200.0,0.8,NSE/BHARATRAS
2001-04-19,25.05,25.05,25.05,25.05,25.05,200.0,0.05,NSE/BHARATRAS
2001-04-20,25.05,25.05,25.05,25.05,25.05,3000.0,0.75,NSE/BHARATRAS
2001-04-23,25.1,25.1,25.1,25.1,25.1,1000.0,0.25,NSE/BHARATRAS
2001-04-24,25.3,25.35,25.3,25.35,25.35,198.0,0.05,NSE/BHARATRAS
2001-04-27,25.05,25.05,25.05,25.05,25.05,100.0,0.03,NSE/BHARATRAS
2001-04-30,27.0,27.0,27.0,27.0,27.0,100.0,0.03,NSE/BHARATRAS
2001-05-07,25.25,25.25,25.25,25.25,25.25,5.0,0.0,NSE/BHARATRAS
2001-05-08,25.3,25.3,25.3,25.3,25.3,100.0,0.03,NSE/BHARATRAS
2001-05-09,26.5,26.5,26.5,26.5,26.5,5.0,0.0,NSE/BHARATRAS
2001-05-14,25.1,25.1,25.1,25.1,25.1,5.0,0.0,NSE/BHARATRAS
2001-05-15,25.1,25.1,25.1,25.1,25.1,240.0,0.06,NSE/BHARATRAS
2001-05-16,25.0,25.0,25.0,25.0,25.0,200.0,0.05,NSE/BHARATRAS
2001-05-17,25.25,25.25,25.25,25.25,25.25,500.0,0.13,NSE/BHARATRAS
2001-05-21,25.25,25.35,25.25,25.35,25.35,305.0,0.08,NSE/BHARATRAS
2001-05-25,25.2,25.2,25.2,25.2,25.2,15.0,0.0,NSE/BHARATRAS
