Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-04-20,45.9,45.9,44.0,45.0,45.1,114959.0,51.93,NSE/BHARATWIRE
2016-04-21,45.8,45.8,43.85,44.25,44.25,58009.0,25.89,NSE/BHARATWIRE
2016-04-22,44.25,44.3,43.05,43.05,43.2,14051.0,6.12,NSE/BHARATWIRE
2016-04-25,44.3,44.3,42.0,42.7,42.15,11632.0,4.95,NSE/BHARATWIRE
2016-04-26,42.25,43.3,41.1,41.5,41.6,14497.0,6.06,NSE/BHARATWIRE
2016-04-27,42.8,43.0,41.05,41.05,41.5,18802.0,7.9,NSE/BHARATWIRE
2016-04-28,41.1,42.1,39.7,41.0,40.5,74586.0,30.33,NSE/BHARATWIRE
2016-04-29,41.5,41.8,40.0,41.0,40.65,32275.0,13.12,NSE/BHARATWIRE
2016-05-02,41.5,42.1,39.9,41.0,41.15,57925.0,23.76,NSE/BHARATWIRE
2016-05-03,41.0,42.0,40.2,41.25,40.55,11123.0,4.56,NSE/BHARATWIRE
2016-05-04,40.55,41.3,39.75,40.9,40.5,9723.0,3.95,NSE/BHARATWIRE
2016-05-05,42.0,42.0,40.0,40.5,40.6,5200.0,2.1,NSE/BHARATWIRE
2016-05-06,39.5,41.7,39.5,40.7,40.7,6271.0,2.52,NSE/BHARATWIRE
2016-05-09,41.4,41.5,40.1,40.2,40.35,5933.0,2.4,NSE/BHARATWIRE
2016-05-10,40.1,46.8,40.1,45.15,45.4,218751.0,98.21,NSE/BHARATWIRE
2016-05-11,44.45,47.0,43.05,45.15,45.7,394923.0,182.16,NSE/BHARATWIRE
2016-05-12,45.9,46.0,43.5,44.5,44.4,12549.0,5.63,NSE/BHARATWIRE
2016-05-13,44.8,44.8,43.55,43.6,43.95,12900.0,5.7,NSE/BHARATWIRE
2016-05-16,44.0,44.75,42.3,43.7,43.7,7056.0,3.08,NSE/BHARATWIRE
2016-05-17,43.5,43.95,43.0,43.2,43.2,5958.0,2.58,NSE/BHARATWIRE
2016-05-18,43.2,43.2,42.6,42.7,42.8,2762.0,1.18,NSE/BHARATWIRE
2016-05-19,42.4,43.5,41.8,41.8,42.05,8545.0,3.64,NSE/BHARATWIRE
2016-05-20,42.0,42.45,39.75,41.45,40.3,30607.0,12.38,NSE/BHARATWIRE
2016-05-23,42.3,42.3,40.15,40.5,40.6,5229.0,2.13,NSE/BHARATWIRE
2016-05-24,40.25,41.35,40.05,40.75,40.75,3964.0,1.61,NSE/BHARATWIRE
2016-05-25,40.0,41.8,40.0,41.25,41.0,3024.0,1.24,NSE/BHARATWIRE
2016-05-26,41.5,42.25,40.0,40.8,40.55,4805.0,1.97,NSE/BHARATWIRE
2016-05-27,42.0,43.2,41.5,42.85,42.4,23255.0,9.84,NSE/BHARATWIRE
2016-05-30,43.0,43.55,40.2,41.0,40.7,18934.0,7.81,NSE/BHARATWIRE
2016-05-31,41.0,41.0,38.25,40.4,40.4,25050.0,10.07,NSE/BHARATWIRE
2016-06-01,41.0,41.0,40.0,40.4,40.25,5031.0,2.03,NSE/BHARATWIRE
2016-06-02,40.1,42.9,40.0,42.45,41.9,124102.0,52.24,NSE/BHARATWIRE
2016-06-03,42.15,42.3,40.25,41.55,41.4,45603.0,19.02,NSE/BHARATWIRE
2016-06-06,41.95,44.0,40.5,41.7,42.0,59001.0,25.18,NSE/BHARATWIRE
2016-06-07,42.0,43.0,41.1,42.75,42.3,36359.0,15.4,NSE/BHARATWIRE
2016-06-08,42.9,45.7,42.9,44.2,44.0,826180.0,369.08,NSE/BHARATWIRE
2016-06-09,45.45,45.95,44.0,44.5,44.85,719534.0,324.34,NSE/BHARATWIRE
2016-06-10,45.5,45.5,44.1,45.15,44.75,50912.0,22.81,NSE/BHARATWIRE
2016-06-13,44.75,44.75,43.35,44.0,43.6,108929.0,47.5,NSE/BHARATWIRE
2016-06-14,44.85,45.0,43.1,43.5,43.5,8061.0,3.53,NSE/BHARATWIRE
2016-06-15,44.0,44.6,43.5,43.6,43.75,13514.0,5.95,NSE/BHARATWIRE
2016-06-16,43.85,44.85,43.55,44.4,43.75,9655.0,4.24,NSE/BHARATWIRE
2016-06-17,44.0,44.7,43.45,43.45,43.45,5616.0,2.46,NSE/BHARATWIRE
2016-06-20,44.4,44.4,42.5,42.5,42.75,12080.0,5.2,NSE/BHARATWIRE
2016-06-21,42.5,43.25,42.1,42.5,42.6,29555.0,12.57,NSE/BHARATWIRE
2016-06-22,42.0,43.5,41.0,41.05,41.4,48996.0,20.78,NSE/BHARATWIRE
2016-06-23,41.8,43.1,41.5,41.7,41.85,38063.0,16.26,NSE/BHARATWIRE
2016-06-24,40.0,41.8,40.0,41.5,41.2,13713.0,5.61,NSE/BHARATWIRE
2016-06-27,42.6,43.0,41.4,42.9,42.5,36191.0,15.48,NSE/BHARATWIRE
2016-06-28,42.5,43.75,42.2,42.75,42.95,35746.0,15.52,NSE/BHARATWIRE
2016-06-29,43.2,43.85,42.35,43.0,43.05,10870.0,4.68,NSE/BHARATWIRE
2016-06-30,43.75,45.1,43.6,45.0,44.95,75483.0,33.63,NSE/BHARATWIRE
2016-07-01,46.0,46.0,43.05,43.4,44.1,16371.0,7.28,NSE/BHARATWIRE
2016-07-04,45.0,45.0,44.0,44.3,44.15,16635.0,7.42,NSE/BHARATWIRE
2016-07-05,45.65,45.65,43.5,43.95,43.95,10283.0,4.54,NSE/BHARATWIRE
2016-07-07,43.6,45.0,43.5,43.5,43.9,9736.0,4.32,NSE/BHARATWIRE
2016-07-08,43.9,44.3,43.55,44.0,44.2,3353.0,1.48,NSE/BHARATWIRE
2016-07-11,44.95,45.0,43.5,43.5,43.85,8644.0,3.81,NSE/BHARATWIRE
2016-07-12,44.95,44.95,43.4,43.85,43.75,3344.0,1.47,NSE/BHARATWIRE
2016-07-13,43.4,45.0,43.1,44.5,44.95,10940.0,4.87,NSE/BHARATWIRE
2016-07-14,44.25,44.95,43.0,44.8,44.45,16331.0,7.25,NSE/BHARATWIRE
2016-07-15,43.2,45.0,43.1,43.1,43.25,11302.0,4.96,NSE/BHARATWIRE
2016-07-18,44.45,44.45,43.0,43.0,43.35,1957.0,0.86,NSE/BHARATWIRE
2016-07-19,43.95,43.95,42.5,43.0,42.85,5498.0,2.37,NSE/BHARATWIRE
2016-07-20,42.85,43.7,42.85,43.0,43.0,1935.0,0.84,NSE/BHARATWIRE
2016-07-21,43.9,43.9,42.0,43.0,43.0,2706.0,1.16,NSE/BHARATWIRE
2016-07-22,42.4,43.35,42.4,42.55,42.55,1400.0,0.6,NSE/BHARATWIRE
2016-07-25,43.8,44.5,42.6,43.75,43.75,52191.0,22.99,NSE/BHARATWIRE
