Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-12-30,121.05,132.0,108.8,132.0,127.95,16628719.0,20349.18,NSE/BHARTISHIP
2004-12-31,138.7,152.75,135.4,140.55,143.75,12721659.0,18315.32,NSE/BHARTISHIP
2005-01-03,143.75,145.0,134.75,136.8,136.8,4533086.0,6345.04,NSE/BHARTISHIP
2005-01-04,137.55,138.6,126.6,130.65,128.85,3024734.0,4006.97,NSE/BHARTISHIP
2005-01-05,129.0,135.3,114.55,126.0,127.05,3241859.0,4148.88,NSE/BHARTISHIP
2005-01-06,126.0,128.75,119.0,120.0,120.1,1883274.0,2308.26,NSE/BHARTISHIP
2005-01-07,121.0,132.7,120.5,132.3,131.05,2719833.0,3481.15,NSE/BHARTISHIP
2005-01-10,133.1,137.45,127.5,127.65,130.0,1864570.0,2498.95,NSE/BHARTISHIP
2005-01-11,134.6,134.6,121.7,122.9,122.9,1190933.0,1526.05,NSE/BHARTISHIP
2005-01-12,123.4,126.0,114.0,118.2,116.65,993523.0,1197.31,NSE/BHARTISHIP
2005-01-13,120.5,124.7,119.6,123.75,123.5,709590.0,868.48,NSE/BHARTISHIP
2005-01-14,124.0,128.8,118.25,121.0,120.6,1484607.0,1849.93,NSE/BHARTISHIP
2005-01-17,122.75,122.75,115.35,117.55,117.65,562924.0,666.16,NSE/BHARTISHIP
2005-01-18,118.0,121.4,117.1,119.5,119.0,467943.0,558.12,NSE/BHARTISHIP
2005-01-19,110.0,124.9,110.0,123.95,122.35,1206921.0,1469.82,NSE/BHARTISHIP
2005-01-20,123.75,126.9,120.0,120.0,121.6,1275883.0,1578.33,NSE/BHARTISHIP
2005-01-24,120.5,122.7,114.85,115.15,116.2,396927.0,470.37,NSE/BHARTISHIP
2005-01-25,115.0,121.9,114.25,121.25,120.2,711666.0,848.73,NSE/BHARTISHIP
2005-01-27,121.5,122.75,118.5,119.0,119.1,539175.0,649.86,NSE/BHARTISHIP
2005-01-28,119.95,123.7,118.0,121.75,121.8,735719.0,890.86,NSE/BHARTISHIP
2005-01-31,122.9,129.8,121.25,129.1,128.05,1177336.0,1478.76,NSE/BHARTISHIP
2005-02-01,130.5,137.8,126.0,135.5,134.55,2320620.0,3094.83,NSE/BHARTISHIP
2005-02-02,136.0,142.4,134.8,136.7,137.05,2288962.0,3181.95,NSE/BHARTISHIP
2005-02-03,145.9,145.9,138.0,145.6,144.45,1988490.0,2836.81,NSE/BHARTISHIP
2005-02-04,147.0,148.95,141.75,147.25,146.75,1496854.0,2178.63,NSE/BHARTISHIP
2005-02-07,148.9,154.5,146.15,146.6,147.15,1457099.0,2199.26,NSE/BHARTISHIP
2005-02-08,148.0,161.7,144.95,160.75,159.3,3280120.0,5084.3,NSE/BHARTISHIP
2005-02-09,161.9,165.75,160.55,163.5,163.6,1306724.0,2135.04,NSE/BHARTISHIP
2005-02-10,165.7,165.85,155.0,157.05,157.2,931458.0,1486.74,NSE/BHARTISHIP
2005-02-11,158.75,161.5,155.25,156.25,157.45,833436.0,1322.29,NSE/BHARTISHIP
2005-02-14,157.55,161.45,153.3,154.5,154.25,412974.0,648.45,NSE/BHARTISHIP
2005-02-15,155.3,155.5,146.8,148.7,149.25,535918.0,802.16,NSE/BHARTISHIP
2005-02-16,148.0,154.05,147.85,148.0,149.0,551267.0,833.36,NSE/BHARTISHIP
2005-02-17,149.0,149.0,142.25,143.5,143.15,413966.0,598.88,NSE/BHARTISHIP
2005-02-18,144.4,149.75,144.15,149.25,148.25,761165.0,1122.31,NSE/BHARTISHIP
2005-02-21,149.25,152.8,146.5,150.9,150.4,595357.0,896.48,NSE/BHARTISHIP
2005-02-22,151.4,153.5,149.6,151.5,151.5,385323.0,585.34,NSE/BHARTISHIP
2005-02-23,151.95,151.95,148.0,148.2,148.55,202287.0,303.94,NSE/BHARTISHIP
2005-02-24,149.7,157.6,149.05,152.45,151.55,753914.0,1160.86,NSE/BHARTISHIP
2005-02-25,153.0,154.7,147.95,148.4,149.0,413014.0,626.17,NSE/BHARTISHIP
2005-02-28,150.0,151.9,146.0,148.15,148.7,162139.0,242.55,NSE/BHARTISHIP
2005-03-01,149.0,150.6,145.7,145.8,146.25,140456.0,206.98,NSE/BHARTISHIP
2005-03-02,146.2,150.5,146.2,147.75,147.9,174222.0,257.93,NSE/BHARTISHIP
2005-03-03,148.2,148.9,146.35,148.25,148.4,165847.0,245.16,NSE/BHARTISHIP
2005-03-04,148.9,153.9,148.0,148.1,148.45,253617.0,382.74,NSE/BHARTISHIP
2005-03-07,148.2,154.9,148.2,152.95,153.45,375123.0,573.64,NSE/BHARTISHIP
2005-03-08,155.0,157.95,153.8,156.15,156.7,452593.0,707.08,NSE/BHARTISHIP
2005-03-09,157.0,157.0,148.5,151.7,152.45,216133.0,329.11,NSE/BHARTISHIP
2005-03-10,152.0,152.9,148.25,150.5,150.3,130113.0,196.21,NSE/BHARTISHIP
2005-03-11,151.9,152.5,150.0,151.0,151.25,96129.0,145.25,NSE/BHARTISHIP
2005-03-14,151.8,152.35,144.25,145.0,145.05,98198.0,144.78,NSE/BHARTISHIP
2005-03-15,145.05,146.6,142.5,143.05,143.25,113622.0,164.14,NSE/BHARTISHIP
2005-03-16,143.95,146.5,143.85,145.6,145.8,58395.0,84.98,NSE/BHARTISHIP
2005-03-17,145.5,145.9,140.0,141.75,140.9,55766.0,79.56,NSE/BHARTISHIP
2005-03-18,142.0,142.8,135.25,139.9,138.5,97190.0,134.65,NSE/BHARTISHIP
2005-03-21,140.0,144.0,140.0,143.4,143.15,67831.0,96.44,NSE/BHARTISHIP
2005-03-22,141.0,143.5,132.65,135.0,133.65,67902.0,92.46,NSE/BHARTISHIP
2005-03-23,136.0,139.0,133.0,133.7,134.15,98609.0,134.28,NSE/BHARTISHIP
2005-03-24,134.0,135.4,132.0,134.0,134.05,65064.0,87.13,NSE/BHARTISHIP
2005-03-28,136.0,136.9,131.0,131.2,132.65,41150.0,55.23,NSE/BHARTISHIP
2005-03-29,133.1,134.1,120.1,129.0,127.1,143769.0,183.9,NSE/BHARTISHIP
2005-03-30,122.3,131.0,122.3,127.0,125.0,99617.0,125.27,NSE/BHARTISHIP
2005-03-31,128.4,138.0,128.0,137.5,136.0,80375.0,107.58,NSE/BHARTISHIP
2005-04-01,138.5,139.3,134.05,137.95,137.4,56764.0,77.46,NSE/BHARTISHIP
2005-04-04,130.0,158.95,130.0,147.9,147.9,397859.0,601.18,NSE/BHARTISHIP
2005-04-05,149.5,149.5,140.0,142.95,141.55,89419.0,128.56,NSE/BHARTISHIP
2005-04-06,144.45,151.5,141.5,147.55,147.95,170109.0,252.44,NSE/BHARTISHIP
2005-04-07,149.5,149.5,144.0,145.0,144.8,61016.0,89.33,NSE/BHARTISHIP
2005-04-08,147.45,147.45,138.2,138.6,139.4,67112.0,94.73,NSE/BHARTISHIP
2005-04-11,135.05,141.0,132.4,137.95,137.4,48896.0,67.0,NSE/BHARTISHIP
2005-04-12,140.45,148.95,140.45,145.35,144.5,196732.0,286.62,NSE/BHARTISHIP
2005-04-13,145.2,147.95,144.1,145.05,145.25,104058.0,151.97,NSE/BHARTISHIP
2005-04-15,141.1,143.9,136.0,138.0,137.4,74101.0,102.78,NSE/BHARTISHIP
2005-04-18,138.5,142.95,131.1,139.0,140.65,136961.0,190.6,NSE/BHARTISHIP
2005-04-19,141.1,152.7,141.1,150.05,150.95,577119.0,860.78,NSE/BHARTISHIP
2005-04-20,152.0,155.5,145.0,146.5,147.35,210407.0,312.17,NSE/BHARTISHIP
2005-04-21,148.8,154.35,144.0,149.1,149.2,228944.0,344.97,NSE/BHARTISHIP
2005-04-22,151.4,154.9,149.35,153.1,153.55,184876.0,281.91,NSE/BHARTISHIP
2005-04-25,152.0,156.5,150.0,153.45,153.15,265405.0,409.6,NSE/BHARTISHIP
2005-04-26,154.6,156.0,150.1,154.6,154.5,133035.0,203.3,NSE/BHARTISHIP
2005-04-27,153.05,166.0,152.5,162.5,161.5,1061538.0,1714.51,NSE/BHARTISHIP
2005-04-28,164.0,171.0,161.1,162.75,163.0,635687.0,1054.64,NSE/BHARTISHIP
2005-04-29,164.8,164.9,157.0,159.5,159.9,412539.0,661.97,NSE/BHARTISHIP
2005-05-02,161.75,164.4,156.2,163.55,163.35,343264.0,555.71,NSE/BHARTISHIP
2005-05-03,164.0,167.2,161.6,163.25,163.65,379441.0,626.25,NSE/BHARTISHIP
2005-05-04,164.0,173.5,163.5,172.8,172.5,721161.0,1227.6,NSE/BHARTISHIP
2005-05-05,173.0,174.5,167.05,167.8,168.4,283387.0,484.64,NSE/BHARTISHIP
2005-05-06,169.4,174.9,165.25,173.0,173.7,352331.0,602.64,NSE/BHARTISHIP
2005-05-09,175.65,176.7,170.5,172.6,173.45,262093.0,457.69,NSE/BHARTISHIP
2005-05-10,173.5,173.8,169.0,170.1,170.5,107353.0,183.03,NSE/BHARTISHIP
2005-05-11,169.25,172.4,168.05,169.6,170.05,111034.0,189.23,NSE/BHARTISHIP
2005-05-12,171.95,173.4,169.25,170.1,170.1,80618.0,137.71,NSE/BHARTISHIP
2005-05-13,170.9,173.3,167.15,170.0,169.05,74152.0,126.13,NSE/BHARTISHIP
2005-05-16,171.9,180.4,171.45,175.5,176.6,412395.0,731.01,NSE/BHARTISHIP
2005-05-17,178.0,179.0,167.5,170.6,169.1,170125.0,294.4,NSE/BHARTISHIP
2005-05-18,170.45,172.45,167.0,170.05,170.6,69978.0,119.0,NSE/BHARTISHIP
2005-05-19,172.45,172.85,168.1,168.1,169.3,60492.0,102.92,NSE/BHARTISHIP
2005-05-20,170.0,170.5,167.2,167.65,167.75,37869.0,63.76,NSE/BHARTISHIP
2005-05-23,169.9,169.9,134.2,165.0,164.1,75041.0,122.8,NSE/BHARTISHIP
2005-05-24,164.05,170.0,164.05,166.65,166.75,97415.0,162.77,NSE/BHARTISHIP
2005-05-25,167.95,168.5,164.05,164.75,165.05,31572.0,52.28,NSE/BHARTISHIP
2005-05-26,168.0,185.0,168.0,172.5,172.1,564936.0,996.03,NSE/BHARTISHIP
2005-05-27,173.7,175.0,165.1,169.0,167.6,148682.0,251.7,NSE/BHARTISHIP
2005-05-30,172.0,172.4,168.0,171.0,171.1,136695.0,233.32,NSE/BHARTISHIP
2005-05-31,171.0,175.0,169.55,170.75,171.35,140301.0,242.85,NSE/BHARTISHIP
2005-06-01,171.8,172.0,167.15,167.15,168.55,55423.0,93.8,NSE/BHARTISHIP
2005-06-02,168.5,172.9,167.0,168.5,168.25,61275.0,103.73,NSE/BHARTISHIP
2005-06-03,168.1,172.0,168.05,171.05,171.3,52574.0,89.35,NSE/BHARTISHIP
2005-06-04,169.0,171.9,167.65,167.65,168.4,18350.0,31.12,NSE/BHARTISHIP
2005-06-06,170.0,174.9,168.5,170.35,171.1,103160.0,176.94,NSE/BHARTISHIP
2005-06-07,171.9,172.0,166.0,168.0,167.85,65529.0,110.32,NSE/BHARTISHIP
2005-06-08,169.8,170.0,166.5,167.0,167.9,52656.0,88.6,NSE/BHARTISHIP
2005-06-09,170.7,170.7,165.05,165.1,165.7,39668.0,66.31,NSE/BHARTISHIP
2005-06-10,167.95,169.0,163.15,163.15,165.1,42041.0,70.16,NSE/BHARTISHIP
2005-06-13,168.0,173.0,168.0,168.25,168.75,139518.0,237.94,NSE/BHARTISHIP
2005-06-14,169.95,171.0,165.0,167.1,167.3,69441.0,116.22,NSE/BHARTISHIP
2005-06-15,170.1,175.0,167.0,168.25,167.7,137353.0,234.09,NSE/BHARTISHIP
2005-06-16,169.05,169.95,163.05,163.05,163.5,50959.0,84.23,NSE/BHARTISHIP
2005-06-17,166.4,166.6,156.65,158.8,158.25,49087.0,78.63,NSE/BHARTISHIP
2005-06-20,159.0,159.0,148.5,154.45,153.85,86671.0,132.05,NSE/BHARTISHIP
2005-06-21,154.0,157.9,152.0,156.0,155.15,70380.0,109.08,NSE/BHARTISHIP
2005-06-22,157.0,157.95,152.5,154.7,154.05,35782.0,55.56,NSE/BHARTISHIP
2005-06-23,155.75,155.75,152.4,155.55,154.6,17740.0,27.29,NSE/BHARTISHIP
2005-06-24,153.3,155.65,152.0,154.3,154.65,27026.0,41.65,NSE/BHARTISHIP
2005-06-27,153.35,162.95,153.35,156.0,156.0,56588.0,89.11,NSE/BHARTISHIP
2005-06-28,157.0,157.0,152.5,155.0,154.05,33744.0,51.97,NSE/BHARTISHIP
2005-06-29,153.6,155.0,152.0,154.45,153.5,18654.0,28.58,NSE/BHARTISHIP
2005-06-30,153.2,158.1,152.0,157.0,155.55,61825.0,95.13,NSE/BHARTISHIP
2005-07-01,154.6,156.0,152.15,152.15,153.0,33181.0,51.11,NSE/BHARTISHIP
2005-07-04,155.0,162.0,153.05,160.0,159.75,84308.0,133.78,NSE/BHARTISHIP
2005-07-05,163.0,163.5,159.55,161.5,161.75,93538.0,151.2,NSE/BHARTISHIP
2005-07-06,164.7,169.9,162.0,162.75,163.65,100606.0,164.62,NSE/BHARTISHIP
2005-07-07,160.1,163.0,158.0,159.05,159.95,48231.0,77.75,NSE/BHARTISHIP
2005-07-08,162.7,172.4,160.6,170.75,171.15,187277.0,316.36,NSE/BHARTISHIP
2005-07-11,172.9,179.0,171.15,177.5,177.45,302566.0,532.57,NSE/BHARTISHIP
2005-07-12,178.0,181.45,171.25,173.7,173.3,170752.0,302.42,NSE/BHARTISHIP
