Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,163.6,166.9,159.95,162.75,162.85,1220211.0,2002.13,NSE/BHEL
2001-01-02,161.7,165.9,160.5,164.75,164.0,903236.0,1476.23,NSE/BHEL
2001-01-03,161.4,171.4,160.15,166.4,166.05,2281134.0,3825.68,NSE/BHEL
2001-01-04,167.9,170.5,153.6,155.0,155.1,2025853.0,3228.89,NSE/BHEL
2001-01-05,154.0,159.6,152.25,157.4,157.25,1279793.0,2008.19,NSE/BHEL
2001-01-08,155.0,161.95,153.0,157.55,160.3,1599968.0,2543.07,NSE/BHEL
2001-01-09,158.0,160.85,154.35,156.0,155.4,1063550.0,1671.6,NSE/BHEL
2001-01-10,157.95,160.0,147.0,150.7,150.8,1273913.0,1952.93,NSE/BHEL
2001-01-11,151.5,159.1,151.5,156.45,156.2,2098186.0,3271.73,NSE/BHEL
2001-01-12,157.4,158.85,148.7,149.95,149.5,1768536.0,2707.67,NSE/BHEL
2001-01-15,148.0,152.0,147.6,150.0,150.3,894976.0,1341.81,NSE/BHEL
2001-01-16,151.5,156.0,149.4,150.8,150.15,1662407.0,2542.0,NSE/BHEL
2001-01-17,152.5,156.0,151.5,153.0,152.85,1791370.0,2757.81,NSE/BHEL
2001-01-18,154.0,159.4,152.5,156.5,156.25,2693659.0,4225.09,NSE/BHEL
2001-01-19,157.0,159.95,152.6,157.4,157.45,2950618.0,4603.82,NSE/BHEL
2001-01-22,158.2,164.75,158.05,161.4,161.0,2796602.0,4525.59,NSE/BHEL
2001-01-23,160.3,162.6,155.6,157.2,156.65,1469994.0,2334.79,NSE/BHEL
2001-01-24,157.2,159.85,154.0,156.7,156.05,1857081.0,2907.03,NSE/BHEL
2001-01-25,156.8,163.9,156.8,162.1,161.7,4507411.0,7274.23,NSE/BHEL
2001-01-29,160.1,162.45,152.0,159.0,159.55,2589915.0,4126.7,NSE/BHEL
