Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2016-09-20,37.5,43.2,36.0,43.2,43.2,95754.0,40.51,NSE/BIGBLOC
2016-09-21,44.5,51.5,42.0,46.2,48.0,199006.0,98.1,NSE/BIGBLOC
2016-09-22,46.0,48.5,45.0,45.0,45.45,60863.0,28.1,NSE/BIGBLOC
2016-09-23,45.05,46.75,42.5,44.5,44.7,25766.0,11.62,NSE/BIGBLOC
2016-09-26,43.65,53.6,43.65,53.1,53.5,290588.0,152.89,NSE/BIGBLOC
2016-09-27,53.25,53.45,48.15,48.15,48.2,154096.0,77.08,NSE/BIGBLOC
2016-09-28,48.0,49.85,46.0,46.05,46.1,44853.0,20.98,NSE/BIGBLOC
2016-09-29,46.05,46.95,41.5,41.75,42.6,46679.0,20.57,NSE/BIGBLOC
2016-09-30,41.75,46.75,39.65,45.1,45.7,66172.0,28.25,NSE/BIGBLOC
2016-10-03,45.5,48.8,43.65,45.75,46.05,29196.0,13.52,NSE/BIGBLOC
2016-10-04,46.5,47.0,45.5,46.5,46.05,33968.0,15.69,NSE/BIGBLOC
2016-10-05,46.0,50.5,46.0,49.8,50.2,59778.0,29.34,NSE/BIGBLOC
2016-10-06,50.7,51.9,50.0,50.4,50.3,51341.0,26.06,NSE/BIGBLOC
2016-10-07,50.5,54.1,50.0,53.0,52.1,55895.0,28.7,NSE/BIGBLOC
2016-10-10,53.0,56.5,53.0,55.0,55.0,51064.0,27.78,NSE/BIGBLOC
2016-10-13,55.6,60.0,55.0,59.95,58.85,77383.0,44.43,NSE/BIGBLOC
2016-10-14,60.15,61.75,60.0,61.6,61.15,66040.0,40.46,NSE/BIGBLOC
2016-10-17,62.0,64.2,60.6,64.0,64.15,102864.0,65.11,NSE/BIGBLOC
2016-10-18,64.5,66.95,62.0,66.1,66.4,97644.0,63.6,NSE/BIGBLOC
2016-10-19,66.5,69.0,65.5,68.5,68.7,104422.0,70.71,NSE/BIGBLOC
2016-10-20,68.7,70.5,68.5,69.5,69.65,60366.0,41.98,NSE/BIGBLOC
2016-10-21,71.4,72.6,68.75,71.65,72.05,74942.0,53.19,NSE/BIGBLOC
2016-10-24,73.9,74.5,71.6,71.7,72.0,149819.0,109.37,NSE/BIGBLOC
2016-10-25,72.5,74.4,68.6,70.0,70.7,188786.0,136.95,NSE/BIGBLOC
2016-10-26,71.0,72.65,69.0,69.0,69.55,58176.0,41.15,NSE/BIGBLOC
2016-10-27,70.4,70.4,67.5,67.5,67.95,80190.0,55.46,NSE/BIGBLOC
2016-10-28,67.0,68.0,64.6,64.6,64.6,33384.0,21.6,NSE/BIGBLOC
2016-10-30,61.4,61.4,61.4,61.4,61.4,990.0,0.61,NSE/BIGBLOC
2016-11-01,58.35,58.35,58.35,58.35,58.35,1369.0,0.8,NSE/BIGBLOC
2016-11-02,55.45,55.45,55.45,55.45,55.45,1725.0,0.96,NSE/BIGBLOC
2016-11-03,52.7,52.7,52.7,52.7,52.7,8256.0,4.35,NSE/BIGBLOC
2016-11-04,53.0,53.0,50.1,50.1,50.1,389.0,0.2,NSE/BIGBLOC
