Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,51.5,51.7,51.0,51.0,51.0,900.0,0.46,NSE/BIL
2001-01-02,51.5,51.5,49.35,49.4,49.4,625.0,0.32,NSE/BIL
2001-01-03,51.9,51.9,50.0,50.0,50.15,2620.0,1.32,NSE/BIL
2001-01-04,50.0,50.0,49.15,49.15,49.15,250.0,0.12,NSE/BIL
2001-01-05,49.35,50.1,49.15,50.1,49.95,725.0,0.36,NSE/BIL
2001-01-08,52.25,52.25,50.0,50.0,50.0,535.0,0.27,NSE/BIL
2001-01-09,50.25,50.95,48.6,49.0,49.4,2320.0,1.16,NSE/BIL
2001-01-10,51.0,51.0,49.0,49.0,49.0,250.0,0.12,NSE/BIL
2001-01-11,48.0,49.0,48.0,49.0,49.0,950.0,0.46,NSE/BIL
2001-01-12,48.5,48.5,48.5,48.5,48.5,100.0,0.05,NSE/BIL
2001-01-15,46.1,46.1,46.05,46.05,46.05,700.0,0.32,NSE/BIL
2001-01-16,48.0,48.0,46.05,46.05,46.8,1800.0,0.85,NSE/BIL
2001-01-17,47.5,47.5,46.5,46.5,46.5,475.0,0.22,NSE/BIL
2001-01-18,47.5,48.0,47.5,47.5,47.5,665.0,0.32,NSE/BIL
2001-01-19,47.5,48.5,47.5,48.5,48.5,100.0,0.05,NSE/BIL
2001-01-22,49.85,50.0,49.7,50.0,49.95,1100.0,0.55,NSE/BIL
2001-01-23,51.0,53.95,49.0,53.9,53.9,1900.0,0.99,NSE/BIL
2001-01-24,58.0,58.0,55.0,57.75,57.35,7408.0,4.2,NSE/BIL
2001-01-25,57.95,58.0,55.1,55.2,55.2,3665.0,2.03,NSE/BIL
2001-01-29,53.0,53.0,51.1,52.35,52.05,3376.0,1.76,NSE/BIL
2001-01-30,50.5,54.8,50.5,54.8,52.35,3040.0,1.59,NSE/BIL
2001-01-31,56.05,56.05,53.1,53.5,53.25,625.0,0.34,NSE/BIL
2001-02-01,53.0,53.45,52.0,52.0,52.25,2550.0,1.34,NSE/BIL
2001-02-02,53.0,53.0,52.0,52.5,52.5,600.0,0.32,NSE/BIL
2001-02-05,54.45,54.8,49.0,49.0,49.0,2075.0,1.06,NSE/BIL
2001-02-06,49.7,50.5,49.7,50.5,50.25,1449.0,0.73,NSE/BIL
2001-02-07,51.95,51.95,50.75,50.75,50.75,501.0,0.26,NSE/BIL
2001-02-08,51.5,51.5,49.95,51.0,51.0,300.0,0.15,NSE/BIL
2001-02-09,51.45,51.75,50.3,50.3,50.45,1575.0,0.8,NSE/BIL
2001-02-12,50.4,54.1,50.4,52.75,52.75,37225.0,19.04,NSE/BIL
2001-02-13,51.5,51.65,49.25,51.0,50.3,69955.0,35.67,NSE/BIL
2001-02-14,52.95,52.95,51.05,51.6,51.6,1052.0,0.55,NSE/BIL
2001-02-15,50.0,52.0,49.95,50.25,50.45,8024.0,4.06,NSE/BIL
2001-02-16,50.4,50.4,48.0,48.0,48.05,5036.0,2.48,NSE/BIL
2001-02-19,48.65,49.15,48.6,49.15,49.15,1050.0,0.51,NSE/BIL
2001-02-20,48.5,48.95,48.15,48.15,48.15,1325.0,0.64,NSE/BIL
2001-02-21,48.55,48.55,48.5,48.5,48.5,100.0,0.05,NSE/BIL
2001-02-22,48.0,48.8,47.75,48.75,48.75,675.0,0.32,NSE/BIL
2001-02-23,46.55,47.9,45.25,46.3,46.3,25625.0,11.6,NSE/BIL
2001-02-26,47.1,47.9,43.25,43.25,46.1,1439.0,0.66,NSE/BIL
2001-02-27,45.0,46.0,44.0,46.0,46.0,2177.0,0.99,NSE/BIL
2001-02-28,49.0,49.5,46.0,48.25,48.25,30901.0,15.19,NSE/BIL
2001-03-01,52.0,52.0,46.35,46.35,46.35,852.0,0.4,NSE/BIL
2001-03-02,45.05,45.05,43.3,43.3,43.3,1000.0,0.45,NSE/BIL
2001-03-05,43.1,44.0,42.25,43.0,42.8,2175.0,0.94,NSE/BIL
2001-03-07,44.0,44.0,42.0,42.0,42.0,850.0,0.37,NSE/BIL
2001-03-08,41.1,41.9,39.0,40.1,40.1,2030.0,0.81,NSE/BIL
2001-03-09,40.9,40.95,37.25,40.0,39.95,2665.0,1.03,NSE/BIL
2001-03-12,40.9,41.0,36.8,36.8,36.8,965.0,0.37,NSE/BIL
2001-03-13,34.9,35.75,33.9,33.9,33.9,2885.0,0.99,NSE/BIL
2001-03-14,34.5,36.65,33.5,35.05,35.95,12601.0,4.49,NSE/BIL
2001-03-15,36.7,38.45,33.1,36.45,35.35,53910.0,18.24,NSE/BIL
2001-03-16,35.5,35.5,33.75,34.0,34.0,1470.0,0.5,NSE/BIL
2001-03-19,34.0,34.0,32.0,32.0,32.05,1920.0,0.63,NSE/BIL
2001-03-20,32.6,32.6,29.5,29.75,29.9,2070.0,0.63,NSE/BIL
2001-03-21,30.0,31.0,30.0,31.0,31.0,65800.0,20.4,NSE/BIL
2001-03-22,31.75,31.75,30.75,30.75,30.75,1365.0,0.43,NSE/BIL
2001-03-23,31.0,31.0,30.3,30.75,30.6,2840.0,0.87,NSE/BIL
2001-03-26,31.2,31.2,30.85,30.9,30.9,370.0,0.11,NSE/BIL
2001-03-27,31.1,32.95,31.0,32.95,32.95,890.0,0.29,NSE/BIL
2001-03-28,35.0,35.0,34.85,35.0,35.0,410.0,0.14,NSE/BIL
2001-03-29,35.0,36.2,33.1,35.85,35.85,1500.0,0.52,NSE/BIL
2001-03-30,35.35,35.35,35.35,35.35,35.35,50.0,0.02,NSE/BIL
2001-04-02,32.75,32.75,32.55,32.55,32.55,210.0,0.07,NSE/BIL
2001-04-03,32.0,32.0,29.95,29.95,29.95,7625.0,2.34,NSE/BIL
2001-04-04,29.05,29.05,27.65,27.65,27.65,6970.0,1.96,NSE/BIL
2001-04-06,29.0,29.9,29.0,29.9,29.9,2066.0,0.61,NSE/BIL
2001-04-09,31.0,32.3,30.0,32.3,32.3,868.0,0.27,NSE/BIL
2001-04-10,33.45,33.45,30.0,31.0,30.3,2475.0,0.77,NSE/BIL
2001-04-11,30.0,30.75,28.45,28.45,28.45,3125.0,0.91,NSE/BIL
2001-04-12,28.0,29.85,26.2,26.2,26.2,5875.0,1.6,NSE/BIL
2001-04-16,27.0,28.3,26.0,27.65,27.7,21725.0,5.99,NSE/BIL
2001-04-17,29.75,29.75,27.75,28.75,28.2,19235.0,5.55,NSE/BIL
2001-04-18,30.45,30.5,28.8,30.2,30.2,5927.0,1.74,NSE/BIL
2001-04-19,32.5,32.6,28.4,31.5,31.5,2932.0,0.89,NSE/BIL
2001-04-20,32.5,32.5,29.75,30.5,30.7,1360.0,0.42,NSE/BIL
2001-04-23,30.0,32.0,29.1,30.0,29.25,30062.0,8.84,NSE/BIL
2001-04-24,29.9,29.9,29.0,29.8,29.8,52130.0,15.38,NSE/BIL
2001-04-25,31.45,31.5,29.6,30.2,30.2,2787.0,0.85,NSE/BIL
2001-04-26,30.0,30.9,29.0,29.0,29.05,4574.0,1.35,NSE/BIL
2001-04-27,28.5,29.5,27.75,28.5,28.45,4501.0,1.28,NSE/BIL
2001-04-30,27.75,29.5,27.75,28.25,28.25,900.0,0.25,NSE/BIL
2001-05-02,29.5,29.5,29.1,29.1,29.1,2415.0,0.71,NSE/BIL
2001-05-04,29.5,29.5,28.5,28.5,28.65,1785.0,0.51,NSE/BIL
2001-05-07,29.0,29.0,29.0,29.0,29.0,150.0,0.04,NSE/BIL
2001-05-08,29.1,29.1,28.0,29.0,28.95,83715.0,23.68,NSE/BIL
