Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-01-29,210.1,225.45,210.1,225.45,225.45,15145.0,33.8,NSE/BILPOWER
2007-01-31,226.0,248.0,226.0,232.0,235.5,174773.0,425.83,NSE/BILPOWER
2007-02-01,240.5,246.9,236.0,238.0,238.45,32422.0,77.6,NSE/BILPOWER
2007-02-02,244.0,244.95,226.6,227.15,228.6,20368.0,47.52,NSE/BILPOWER
2007-02-05,230.0,230.0,220.9,220.9,223.65,14659.0,32.98,NSE/BILPOWER
2007-02-06,222.0,230.0,220.1,220.15,222.3,27818.0,62.63,NSE/BILPOWER
2007-02-07,224.95,227.0,221.05,222.0,222.45,4449.0,9.96,NSE/BILPOWER
2007-02-08,225.9,225.9,211.35,211.5,211.7,8387.0,17.98,NSE/BILPOWER
2007-02-09,210.0,215.9,201.15,201.95,201.2,28729.0,59.37,NSE/BILPOWER
2007-02-12,198.0,201.7,191.15,191.15,191.15,7211.0,13.95,NSE/BILPOWER
2007-02-13,183.0,195.0,181.6,181.6,181.75,12870.0,23.95,NSE/BILPOWER
2007-02-14,180.0,187.45,173.0,180.75,180.7,6788.0,12.06,NSE/BILPOWER
2007-02-15,185.5,189.75,184.0,189.75,189.75,3011.0,5.69,NSE/BILPOWER
2007-02-19,197.0,199.25,193.0,199.25,199.1,15333.0,30.4,NSE/BILPOWER
2007-02-20,199.5,199.5,189.15,189.15,189.15,10655.0,20.49,NSE/BILPOWER
2007-02-21,187.75,190.0,180.0,184.0,181.25,4464.0,8.18,NSE/BILPOWER
2007-02-22,177.1,184.95,172.2,177.95,175.15,8962.0,15.85,NSE/BILPOWER
2007-02-23,170.0,170.0,166.4,167.0,166.8,8153.0,13.67,NSE/BILPOWER
2007-02-26,160.1,173.35,160.05,166.0,166.85,7754.0,13.04,NSE/BILPOWER
2007-02-27,165.0,171.9,165.0,168.45,168.25,3638.0,6.15,NSE/BILPOWER
2007-02-28,162.0,167.25,160.0,160.5,160.2,11471.0,18.63,NSE/BILPOWER
