Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2009-11-05,175.0,175.0,175.0,175.0,175.0,10.0,0.02,NSE/BIMETAL
2009-11-06,184.0,184.0,183.6,183.6,183.6,140.0,0.26,NSE/BIMETAL
2009-11-09,199.0,218.0,194.0,205.0,203.25,244.0,0.49,NSE/BIMETAL
2009-11-10,205.0,205.0,197.0,198.0,200.5,24.0,0.05,NSE/BIMETAL
2009-11-11,207.0,207.0,197.0,205.0,205.0,305.0,0.62,NSE/BIMETAL
2009-11-12,176.5,203.95,176.3,190.0,191.65,211.0,0.39,NSE/BIMETAL
2009-11-13,193.0,200.0,193.0,200.0,200.0,2205.0,4.26,NSE/BIMETAL
2009-11-16,194.55,194.55,194.5,194.5,194.5,32.0,0.06,NSE/BIMETAL
2009-11-17,200.0,200.0,200.0,200.0,200.0,100.0,0.2,NSE/BIMETAL
2009-11-18,198.85,203.95,198.75,198.75,198.75,516.0,1.03,NSE/BIMETAL
2009-11-19,205.0,205.0,190.0,190.0,195.25,210.0,0.41,NSE/BIMETAL
2009-11-20,200.0,200.0,195.0,195.0,195.0,65.0,0.13,NSE/BIMETAL
2009-11-23,214.9,219.0,195.1,204.0,204.05,1043.0,2.21,NSE/BIMETAL
2009-11-24,195.1,199.95,194.0,198.95,194.95,226.0,0.44,NSE/BIMETAL
2009-11-25,194.05,194.2,194.0,194.0,194.05,133.0,0.26,NSE/BIMETAL
2009-11-26,213.0,213.0,192.0,197.7,197.7,6.0,0.01,NSE/BIMETAL
2009-11-27,195.0,199.0,185.0,199.0,196.0,750.0,1.46,NSE/BIMETAL
2009-11-30,187.0,199.95,187.0,199.95,199.95,12.0,0.02,NSE/BIMETAL
2009-12-02,207.75,212.95,204.0,204.0,209.85,295.0,0.62,NSE/BIMETAL
2009-12-03,189.0,213.95,189.0,210.4,210.4,778.0,1.63,NSE/BIMETAL
2009-12-04,215.0,216.9,202.55,205.0,204.85,1243.0,2.55,NSE/BIMETAL
2009-12-07,196.0,216.9,196.0,202.0,201.9,787.0,1.63,NSE/BIMETAL
2009-12-08,201.0,203.85,201.0,203.85,203.85,25.0,0.05,NSE/BIMETAL
2009-12-09,209.0,219.0,204.2,216.0,216.0,35.0,0.07,NSE/BIMETAL
2009-12-10,208.0,208.0,208.0,208.0,208.0,1.0,0.0,NSE/BIMETAL
2009-12-11,205.0,205.0,192.0,205.0,205.0,199.0,0.4,NSE/BIMETAL
2009-12-14,201.0,210.0,201.0,210.0,210.0,40.0,0.08,NSE/BIMETAL
2009-12-15,215.0,215.0,203.0,210.0,210.0,73.0,0.15,NSE/BIMETAL
2009-12-16,205.0,205.0,205.0,205.0,205.0,15.0,0.03,NSE/BIMETAL
2009-12-18,200.6,200.6,200.6,200.6,200.6,100.0,0.2,NSE/BIMETAL
2009-12-21,180.5,204.0,180.5,192.35,193.05,400.0,0.75,NSE/BIMETAL
2009-12-22,195.3,195.3,195.3,195.3,195.3,10.0,0.02,NSE/BIMETAL
2009-12-23,202.0,203.0,202.0,203.0,202.35,30.0,0.06,NSE/BIMETAL
2009-12-24,202.0,202.0,202.0,202.0,202.0,20.0,0.04,NSE/BIMETAL
2009-12-29,199.8,208.9,199.8,208.5,208.5,476.0,0.98,NSE/BIMETAL
2009-12-30,215.0,215.0,201.0,214.0,214.0,310.0,0.65,NSE/BIMETAL
2009-12-31,203.25,218.95,203.25,205.6,205.6,521.0,1.08,NSE/BIMETAL
2010-01-04,201.0,220.0,196.0,218.9,218.45,586.0,1.24,NSE/BIMETAL
2010-01-05,209.0,254.8,209.0,242.0,239.2,2684.0,6.23,NSE/BIMETAL
2010-01-06,242.0,254.0,228.5,240.0,233.15,322.0,0.78,NSE/BIMETAL
2010-01-07,237.9,254.0,226.0,245.0,244.25,1701.0,4.1,NSE/BIMETAL
2010-01-08,215.0,245.0,215.0,236.0,236.35,431.0,1.02,NSE/BIMETAL
2010-01-11,230.0,245.0,227.0,245.0,243.4,752.0,1.79,NSE/BIMETAL
2010-01-12,232.0,254.0,232.0,249.95,249.95,714.0,1.76,NSE/BIMETAL
2010-01-13,242.0,252.0,236.0,246.9,246.9,339.0,0.82,NSE/BIMETAL
2010-01-14,249.0,259.0,245.0,252.0,255.4,2219.0,5.59,NSE/BIMETAL
2010-01-15,257.0,271.0,257.0,257.0,259.55,704.0,1.82,NSE/BIMETAL
2010-01-18,265.0,271.9,256.05,270.0,269.65,908.0,2.43,NSE/BIMETAL
2010-01-19,282.0,282.0,261.0,261.0,261.55,265.0,0.71,NSE/BIMETAL
2010-01-20,262.5,278.0,262.5,271.0,272.4,548.0,1.48,NSE/BIMETAL
2010-01-21,251.0,269.8,251.0,266.9,266.9,20.0,0.05,NSE/BIMETAL
2010-01-25,253.55,253.55,253.55,253.55,253.55,30.0,0.08,NSE/BIMETAL
2010-01-27,247.4,247.4,240.9,241.1,241.1,332.0,0.81,NSE/BIMETAL
2010-01-28,231.0,253.2,231.0,236.25,236.25,146.0,0.34,NSE/BIMETAL
2010-01-29,231.25,242.0,228.45,238.0,236.7,405.0,0.94,NSE/BIMETAL
2010-02-01,243.9,244.95,239.0,239.5,239.5,427.0,1.03,NSE/BIMETAL
2010-02-02,240.0,240.0,240.0,240.0,240.0,350.0,0.84,NSE/BIMETAL
2010-02-03,234.0,250.0,234.0,236.05,236.05,111.0,0.27,NSE/BIMETAL
2010-02-04,245.0,245.0,235.5,245.0,245.0,135.0,0.33,NSE/BIMETAL
2010-02-05,235.05,235.05,233.0,233.0,233.0,244.0,0.57,NSE/BIMETAL
