Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-04-07,425.0,506.7,425.0,483.0,484.05,4805956.0,23467.45,NSE/BIOCON
2004-04-08,489.0,580.9,487.0,580.9,580.9,7122560.0,38856.83,NSE/BIOCON
2004-04-12,620.0,697.1,600.0,694.0,695.55,3949983.0,26896.0,NSE/BIOCON
2004-04-13,710.0,780.0,605.65,630.0,622.1,9795443.0,63945.48,NSE/BIOCON
2004-04-15,644.0,675.0,626.5,648.0,647.4,4784053.0,31259.92,NSE/BIOCON
2004-04-16,659.0,670.4,641.7,644.0,645.95,2202547.0,14428.75,NSE/BIOCON
2004-04-17,650.0,651.9,626.05,632.25,630.3,1112119.0,7083.42,NSE/BIOCON
2004-04-19,635.0,663.7,608.0,610.0,612.5,3933018.0,24702.4,NSE/BIOCON
2004-04-20,620.0,623.0,595.3,596.35,601.0,3821754.0,23295.33,NSE/BIOCON
2004-04-21,602.1,623.5,590.35,603.9,606.85,5068929.0,30737.19,NSE/BIOCON
2004-04-22,609.9,653.0,608.0,646.7,641.7,3892900.0,24437.49,NSE/BIOCON
2004-04-23,650.0,667.0,635.0,641.15,640.6,3737376.0,24361.78,NSE/BIOCON
2004-04-27,618.0,630.0,596.0,598.15,600.65,2119856.0,12911.86,NSE/BIOCON
2004-04-28,601.0,628.0,597.75,610.6,614.9,3150327.0,19351.62,NSE/BIOCON
2004-04-29,614.45,619.95,606.65,609.0,609.05,1259065.0,7719.18,NSE/BIOCON
2004-04-30,610.0,616.45,593.35,595.5,599.5,904319.0,5497.32,NSE/BIOCON
2004-05-03,598.0,602.75,576.0,583.1,586.4,1445950.0,8508.62,NSE/BIOCON
2004-05-04,588.0,609.7,588.0,591.25,591.9,1466411.0,8797.92,NSE/BIOCON
2004-05-05,595.9,603.0,591.1,596.05,595.45,901726.0,5382.71,NSE/BIOCON
2004-05-06,604.0,614.8,597.25,599.8,600.5,1052535.0,6381.63,NSE/BIOCON
2004-05-07,602.0,603.9,585.0,587.0,586.65,620562.0,3670.63,NSE/BIOCON
2004-05-10,580.0,584.9,560.0,560.5,563.1,799993.0,4541.56,NSE/BIOCON
2004-05-11,557.8,557.8,516.25,520.0,525.05,864737.0,4611.24,NSE/BIOCON
2004-05-12,529.7,534.7,500.0,509.95,511.2,1877936.0,9644.55,NSE/BIOCON
2004-05-13,495.0,553.9,470.05,551.0,543.4,2980696.0,15687.86,NSE/BIOCON
2004-05-14,573.0,587.7,511.15,514.0,521.9,2630004.0,14343.37,NSE/BIOCON
2004-05-17,522.7,525.0,418.0,499.9,498.4,1286851.0,6320.58,NSE/BIOCON
2004-05-18,501.1,589.0,496.0,536.0,536.0,1321552.0,6915.22,NSE/BIOCON
2004-05-19,549.0,570.0,543.0,552.0,552.0,829847.0,4597.06,NSE/BIOCON
2004-05-20,556.7,574.0,515.1,518.0,519.65,1322423.0,7063.67,NSE/BIOCON
2004-05-21,520.0,524.95,505.05,518.5,520.15,1045779.0,5417.7,NSE/BIOCON
2004-05-24,526.55,546.7,522.0,541.3,540.0,890561.0,4793.33,NSE/BIOCON
2004-05-25,545.0,545.0,525.0,527.75,527.85,651395.0,3452.62,NSE/BIOCON
2004-05-26,530.0,541.95,530.0,533.5,532.2,446027.0,2392.41,NSE/BIOCON
2004-05-27,528.9,533.0,522.05,530.0,527.0,306113.0,1616.56,NSE/BIOCON
2004-05-28,525.0,531.0,508.3,508.3,510.6,544394.0,2825.09,NSE/BIOCON
2004-05-31,507.0,507.0,478.6,486.0,485.45,561556.0,2741.1,NSE/BIOCON
2004-06-01,490.7,503.0,483.15,484.9,485.4,437972.0,2157.87,NSE/BIOCON
2004-06-02,486.0,498.0,486.0,495.2,493.45,298433.0,1466.59,NSE/BIOCON
2004-06-03,498.8,510.85,485.3,488.0,488.2,747630.0,3740.11,NSE/BIOCON
2004-06-04,485.0,492.0,470.0,485.1,482.55,673118.0,3234.91,NSE/BIOCON
2004-06-07,487.3,492.85,478.0,482.15,481.3,571205.0,2769.27,NSE/BIOCON
2004-06-08,487.0,503.5,484.0,494.0,492.65,1149671.0,5700.59,NSE/BIOCON
2004-06-09,498.0,528.6,498.0,524.4,524.95,3112104.0,16025.65,NSE/BIOCON
2004-06-10,526.7,540.0,519.9,530.5,531.85,1805332.0,9641.43,NSE/BIOCON
2004-06-11,533.8,534.6,516.35,519.0,519.75,853219.0,4489.59,NSE/BIOCON
2004-06-14,520.0,520.0,495.3,496.35,497.3,821158.0,4141.64,NSE/BIOCON
2004-06-15,495.9,513.8,495.9,510.05,510.25,1053112.0,5334.42,NSE/BIOCON
2004-06-16,513.0,520.9,507.5,509.0,509.55,1011940.0,5203.85,NSE/BIOCON
2004-06-17,509.7,512.0,492.15,497.85,495.95,1046269.0,5216.13,NSE/BIOCON
2004-06-18,499.7,499.7,485.0,487.1,488.75,712856.0,3501.07,NSE/BIOCON
2004-06-21,490.0,497.85,481.0,481.0,483.15,595598.0,2914.42,NSE/BIOCON
2004-06-22,482.7,484.9,470.0,471.0,471.6,649023.0,3083.36,NSE/BIOCON
2004-06-23,476.0,483.9,471.35,474.0,473.6,775891.0,3712.74,NSE/BIOCON
2004-06-24,477.8,479.85,466.35,474.95,475.25,594889.0,2818.72,NSE/BIOCON
2004-06-25,477.45,493.9,473.3,488.5,488.5,1031373.0,5010.16,NSE/BIOCON
2004-06-28,490.8,509.3,490.5,507.8,505.9,867199.0,4344.81,NSE/BIOCON
2004-06-29,507.0,516.0,502.55,506.0,507.0,877300.0,4467.76,NSE/BIOCON
2004-06-30,511.4,513.0,499.1,501.95,500.95,516907.0,2613.46,NSE/BIOCON
2004-07-01,502.0,506.5,495.75,502.1,502.3,624069.0,3126.36,NSE/BIOCON
2004-07-02,499.8,510.7,496.5,504.65,504.45,690628.0,3494.19,NSE/BIOCON
2004-07-05,505.55,518.0,505.0,508.4,509.95,646632.0,3314.3,NSE/BIOCON
2004-07-06,509.8,518.65,509.8,517.4,516.3,493585.0,2538.14,NSE/BIOCON
2004-07-07,514.9,529.95,514.9,528.0,525.95,1134619.0,5949.16,NSE/BIOCON
2004-07-08,534.7,574.7,518.5,520.9,530.15,4423572.0,24435.49,NSE/BIOCON
2004-07-09,500.0,555.8,490.0,548.0,550.1,1584950.0,8541.82,NSE/BIOCON
2004-07-12,548.0,563.4,548.0,550.5,553.3,698361.0,3878.09,NSE/BIOCON
2004-07-13,550.0,562.0,501.05,556.5,553.85,659385.0,3646.14,NSE/BIOCON
2004-07-14,560.0,598.65,556.6,562.0,560.35,2050615.0,11668.97,NSE/BIOCON
2004-07-15,565.0,565.0,550.2,556.0,555.4,938727.0,5216.84,NSE/BIOCON
2004-07-16,558.0,559.4,549.1,549.5,550.15,809816.0,4469.99,NSE/BIOCON
2004-07-19,551.0,552.4,533.3,536.4,536.6,771146.0,4183.56,NSE/BIOCON
2004-07-20,538.0,549.5,530.5,537.2,536.2,1183114.0,6407.18,NSE/BIOCON
2004-07-21,530.0,543.25,529.0,532.0,533.25,749849.0,4019.07,NSE/BIOCON
2004-07-22,537.7,542.55,526.15,528.0,528.55,571121.0,3058.07,NSE/BIOCON
2004-07-23,531.0,535.8,523.15,523.6,525.2,617900.0,3263.47,NSE/BIOCON
2004-07-26,525.0,545.0,522.3,545.0,536.85,732731.0,3899.01,NSE/BIOCON
2004-07-27,545.4,559.6,545.4,549.0,549.1,1464174.0,8106.34,NSE/BIOCON
2004-07-28,554.45,554.45,533.3,536.5,536.5,436542.0,2365.48,NSE/BIOCON
2004-07-29,536.0,543.0,532.95,534.65,534.7,288699.0,1551.55,NSE/BIOCON
2004-07-30,536.0,546.8,536.0,541.7,540.7,425387.0,2303.76,NSE/BIOCON
2004-08-02,542.3,546.95,536.0,536.3,537.05,254359.0,1373.56,NSE/BIOCON
2004-08-03,536.0,541.2,527.0,527.4,528.65,539729.0,2884.79,NSE/BIOCON
2004-08-04,527.7,533.75,517.6,519.85,519.85,543209.0,2853.48,NSE/BIOCON
2004-08-05,523.0,528.75,522.05,523.6,524.35,349077.0,1833.07,NSE/BIOCON
2004-08-06,525.0,534.0,524.15,527.0,528.0,639437.0,3383.81,NSE/BIOCON
2004-08-09,529.8,530.8,520.65,526.45,526.6,329957.0,1738.18,NSE/BIOCON
2004-08-10,529.3,541.8,527.55,537.0,535.25,686679.0,3681.6,NSE/BIOCON
2004-08-11,538.75,546.4,530.05,532.0,531.95,805776.0,4356.45,NSE/BIOCON
2004-08-12,532.8,538.75,525.0,530.5,528.4,432615.0,2303.48,NSE/BIOCON
2004-08-13,529.0,534.35,525.5,527.0,527.5,350959.0,1857.2,NSE/BIOCON
2004-08-16,529.0,536.4,526.0,532.5,531.4,394652.0,2096.99,NSE/BIOCON
2004-08-17,535.0,537.7,522.0,523.25,524.45,431624.0,2281.18,NSE/BIOCON
2004-08-18,526.0,528.7,511.05,513.5,514.2,409682.0,2128.52,NSE/BIOCON
2004-08-19,516.6,525.5,515.3,522.0,520.55,328679.0,1712.35,NSE/BIOCON
2004-08-20,522.0,522.5,515.65,519.5,517.2,249495.0,1293.53,NSE/BIOCON
2004-08-23,517.0,522.0,511.05,513.65,512.25,225181.0,1161.59,NSE/BIOCON
2004-08-24,512.0,517.75,503.0,513.8,513.6,179847.0,925.65,NSE/BIOCON
2004-08-25,514.9,516.0,502.0,504.0,503.85,219064.0,1110.52,NSE/BIOCON
2004-08-26,507.5,519.0,505.0,517.55,514.9,302911.0,1550.92,NSE/BIOCON
2004-08-27,520.5,524.9,518.0,519.95,519.15,387336.0,2017.84,NSE/BIOCON
2004-08-30,520.0,522.9,514.2,520.95,518.95,191762.0,993.84,NSE/BIOCON
2004-08-31,520.0,547.0,519.1,542.65,542.45,1160180.0,6208.18,NSE/BIOCON
2004-09-01,546.0,547.7,530.0,531.5,531.35,515607.0,2768.77,NSE/BIOCON
2004-09-02,533.0,537.0,526.35,529.4,528.15,401801.0,2135.07,NSE/BIOCON
2004-09-03,530.0,533.5,525.0,528.8,528.5,273560.0,1448.44,NSE/BIOCON
2004-09-06,531.5,537.3,530.0,534.6,533.25,228611.0,1220.64,NSE/BIOCON
2004-09-07,534.9,535.45,525.15,526.45,527.0,262887.0,1392.28,NSE/BIOCON
2004-09-08,529.0,531.8,525.0,525.1,525.75,268125.0,1417.69,NSE/BIOCON
