Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2008-07-30,14.9,14.9,8.75,9.75,9.45,43275411.0,4813.92,NSE/BIRLACOT
2008-07-31,9.5,11.1,9.5,10.8,10.8,19355660.0,2029.92,NSE/BIRLACOT
2008-08-01,10.4,11.6,10.25,11.1,11.15,8110844.0,908.32,NSE/BIRLACOT
2008-08-04,11.25,11.45,9.25,10.95,10.9,4447347.0,485.63,NSE/BIRLACOT
2008-08-05,10.95,11.6,10.9,11.25,11.35,5966070.0,672.64,NSE/BIRLACOT
2008-08-06,11.6,11.8,11.3,11.3,11.4,4104308.0,472.15,NSE/BIRLACOT
2008-08-07,11.35,11.6,11.3,11.35,11.4,1435856.0,164.22,NSE/BIRLACOT
2008-08-08,11.35,11.45,10.4,10.95,11.0,2485986.0,273.62,NSE/BIRLACOT
2008-08-11,11.25,11.4,10.9,11.0,10.95,1009785.0,111.72,NSE/BIRLACOT
2008-08-12,11.0,11.0,10.6,10.7,10.65,781933.0,84.0,NSE/BIRLACOT
2008-08-13,10.5,10.75,10.3,10.45,10.45,493142.0,51.77,NSE/BIRLACOT
2008-08-14,10.45,10.45,10.05,10.15,10.1,501366.0,51.1,NSE/BIRLACOT
2008-08-18,10.1,10.35,9.9,9.95,9.9,475953.0,47.74,NSE/BIRLACOT
2008-08-19,9.9,9.95,9.55,9.65,9.65,558032.0,54.12,NSE/BIRLACOT
2008-08-20,9.9,9.9,9.7,9.75,9.75,309798.0,30.4,NSE/BIRLACOT
2008-08-21,9.85,9.85,9.55,9.55,9.6,397871.0,38.64,NSE/BIRLACOT
2008-08-22,9.55,9.55,9.4,9.4,9.4,306844.0,28.98,NSE/BIRLACOT
2008-08-25,9.45,9.85,9.2,9.2,9.25,300159.0,28.27,NSE/BIRLACOT
2008-08-26,9.1,9.3,9.05,9.2,9.15,277970.0,25.38,NSE/BIRLACOT
2008-08-27,9.15,9.65,9.15,9.2,9.2,451694.0,42.32,NSE/BIRLACOT
2008-08-28,9.1,9.35,9.1,9.15,9.15,195148.0,17.91,NSE/BIRLACOT
2008-08-29,9.5,9.55,9.15,9.3,9.25,259134.0,23.96,NSE/BIRLACOT
2008-09-01,9.1,9.2,9.0,9.15,9.05,189632.0,17.2,NSE/BIRLACOT
2008-09-02,9.05,9.2,8.75,8.9,8.95,321180.0,28.87,NSE/BIRLACOT
2008-09-04,9.0,9.15,8.85,8.9,8.9,231133.0,20.73,NSE/BIRLACOT
2008-09-05,8.7,8.9,8.65,8.75,8.75,245029.0,21.44,NSE/BIRLACOT
2008-09-08,8.75,8.95,8.7,8.75,8.75,198443.0,17.41,NSE/BIRLACOT
2008-09-09,8.85,8.85,8.7,8.8,8.8,236233.0,20.76,NSE/BIRLACOT
2008-09-10,8.75,8.8,8.6,8.65,8.6,176931.0,15.4,NSE/BIRLACOT
2008-09-11,8.7,8.7,6.9,8.3,8.45,550122.0,45.79,NSE/BIRLACOT
2008-09-12,8.15,8.5,8.1,8.1,8.15,254086.0,20.98,NSE/BIRLACOT
2008-09-15,7.6,8.15,7.05,7.5,7.45,349918.0,25.95,NSE/BIRLACOT
2008-09-16,7.2,7.25,6.3,7.15,7.05,278876.0,19.4,NSE/BIRLACOT
2008-09-17,7.65,7.65,7.05,7.1,7.15,316382.0,22.83,NSE/BIRLACOT
2008-09-18,6.0,8.55,6.0,7.0,7.05,595951.0,41.04,NSE/BIRLACOT
2008-09-19,7.55,7.55,7.2,7.3,7.25,431616.0,31.44,NSE/BIRLACOT
2008-09-22,7.5,8.3,7.3,7.85,7.85,532901.0,41.88,NSE/BIRLACOT
2008-09-23,7.7,8.1,7.4,7.75,7.6,286768.0,22.3,NSE/BIRLACOT
2008-09-24,7.75,7.95,7.65,7.65,7.75,250595.0,19.68,NSE/BIRLACOT
2008-09-25,7.9,7.9,7.6,7.6,7.6,156551.0,12.0,NSE/BIRLACOT
2008-09-26,7.65,7.7,7.4,7.4,7.45,179298.0,13.5,NSE/BIRLACOT
2008-09-29,7.05,7.55,6.75,6.9,6.85,311097.0,22.01,NSE/BIRLACOT
2008-09-30,6.55,7.0,6.3,6.85,6.75,264201.0,17.55,NSE/BIRLACOT
2008-10-01,7.0,7.0,6.75,6.75,6.8,132138.0,9.1,NSE/BIRLACOT
2008-10-03,6.7,6.9,6.5,6.7,6.6,159602.0,10.68,NSE/BIRLACOT
2008-10-06,6.2,7.0,6.1,6.3,6.15,277979.0,17.91,NSE/BIRLACOT
2008-10-07,6.2,6.45,5.7,6.0,5.85,239543.0,14.28,NSE/BIRLACOT
2008-10-08,5.7,5.7,5.0,5.3,5.3,328450.0,17.12,NSE/BIRLACOT
2008-10-10,5.0,5.0,4.3,4.95,4.85,202597.0,9.84,NSE/BIRLACOT
2008-10-13,5.1,5.25,4.9,5.2,5.15,183022.0,9.32,NSE/BIRLACOT
2008-10-14,5.3,5.8,5.25,5.45,5.4,289595.0,15.87,NSE/BIRLACOT
2008-10-15,5.15,5.3,4.55,4.7,4.7,303977.0,14.93,NSE/BIRLACOT
2008-10-16,4.5,4.65,4.0,4.6,4.5,261080.0,11.39,NSE/BIRLACOT
2008-10-17,4.6,4.8,4.0,4.1,4.15,212215.0,9.26,NSE/BIRLACOT
2008-10-20,4.0,4.4,3.9,4.15,4.15,155875.0,6.43,NSE/BIRLACOT
2008-10-21,4.2,4.4,4.15,4.4,4.3,119942.0,5.13,NSE/BIRLACOT
2008-10-22,4.1,4.3,4.0,4.05,4.05,147483.0,6.1,NSE/BIRLACOT
2008-10-23,4.0,4.2,3.7,4.0,4.0,145552.0,5.79,NSE/BIRLACOT
2008-10-24,3.9,4.1,3.45,3.6,3.55,297485.0,11.04,NSE/BIRLACOT
2008-10-27,3.1,3.5,3.1,3.5,3.45,190044.0,6.36,NSE/BIRLACOT
2008-10-28,3.6,4.15,3.5,4.1,4.05,116353.0,4.64,NSE/BIRLACOT
2008-10-29,4.1,4.15,3.75,3.85,3.9,166011.0,6.51,NSE/BIRLACOT
2008-10-31,4.0,4.1,3.85,4.0,4.0,153943.0,6.12,NSE/BIRLACOT
2008-11-03,4.0,4.15,3.4,4.05,3.95,111957.0,4.45,NSE/BIRLACOT
2008-11-04,3.95,4.15,3.9,4.15,4.1,117409.0,4.74,NSE/BIRLACOT
2008-11-05,4.15,4.25,4.0,4.0,4.05,156722.0,6.4,NSE/BIRLACOT
2008-11-06,3.95,4.1,3.7,4.0,4.05,67910.0,2.68,NSE/BIRLACOT
2008-11-07,4.55,4.55,3.75,4.05,4.05,93090.0,3.72,NSE/BIRLACOT
2008-11-10,4.25,4.3,4.0,4.1,4.1,85543.0,3.55,NSE/BIRLACOT
2008-11-11,4.0,4.15,4.0,4.15,4.1,59433.0,2.44,NSE/BIRLACOT
2008-11-12,4.15,4.15,4.0,4.1,4.0,56145.0,2.27,NSE/BIRLACOT
2008-11-14,4.1,4.1,3.75,4.0,3.9,75790.0,2.96,NSE/BIRLACOT
2008-11-17,4.05,4.05,3.6,3.85,3.8,63796.0,2.4,NSE/BIRLACOT
2008-11-18,3.7,3.85,3.65,3.75,3.75,64242.0,2.39,NSE/BIRLACOT
2008-11-19,3.9,3.9,3.75,3.75,3.8,44666.0,1.72,NSE/BIRLACOT
2008-11-20,3.75,3.8,3.5,3.55,3.55,84117.0,3.02,NSE/BIRLACOT
2008-11-21,3.6,3.75,3.5,3.7,3.65,84052.0,3.05,NSE/BIRLACOT
