Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,45.6,46.0,44.8,45.05,45.35,6464.0,2.93,NSE/BIRLAERIC
2001-01-02,45.9,45.9,44.0,44.8,44.95,9740.0,4.34,NSE/BIRLAERIC
2001-01-03,45.9,47.0,44.85,44.85,45.0,13300.0,6.05,NSE/BIRLAERIC
2001-01-04,46.1,46.9,44.0,44.3,44.45,20972.0,9.48,NSE/BIRLAERIC
2001-01-05,43.85,44.9,42.0,44.3,44.05,26325.0,11.44,NSE/BIRLAERIC
2001-01-08,42.8,43.3,42.0,42.6,42.65,11160.0,4.76,NSE/BIRLAERIC
2001-01-09,43.0,43.45,42.0,42.05,42.1,18443.0,7.82,NSE/BIRLAERIC
2001-01-10,44.4,44.4,42.8,43.5,43.5,5848.0,2.53,NSE/BIRLAERIC
2001-01-11,42.15,43.35,42.05,42.6,42.7,3295.0,1.41,NSE/BIRLAERIC
2001-01-12,42.3,43.0,42.05,42.05,42.15,10063.0,4.28,NSE/BIRLAERIC
2001-01-15,40.6,41.8,40.6,41.8,41.6,5033.0,2.08,NSE/BIRLAERIC
2001-01-16,41.05,42.45,41.05,41.6,41.8,6395.0,2.67,NSE/BIRLAERIC
2001-01-17,42.4,42.75,41.5,42.0,41.95,10410.0,4.37,NSE/BIRLAERIC
2001-01-18,43.0,45.3,42.1,43.75,43.6,12926.0,5.58,NSE/BIRLAERIC
2001-01-19,45.0,47.1,43.1,47.1,47.1,30020.0,13.84,NSE/BIRLAERIC
2001-01-22,48.85,48.9,45.3,46.3,46.5,17633.0,8.3,NSE/BIRLAERIC
2001-01-23,46.5,46.5,45.0,46.2,45.9,16514.0,7.54,NSE/BIRLAERIC
2001-01-24,46.65,46.65,45.5,46.25,46.05,10767.0,4.96,NSE/BIRLAERIC
2001-01-25,45.6,46.2,44.5,45.2,45.05,8854.0,4.02,NSE/BIRLAERIC
2001-01-29,42.0,45.0,41.75,42.6,42.85,8750.0,3.76,NSE/BIRLAERIC
2001-01-30,42.5,43.65,42.5,43.5,43.4,9930.0,4.29,NSE/BIRLAERIC
2001-01-31,43.75,43.9,43.0,43.05,43.1,10381.0,4.52,NSE/BIRLAERIC
2001-02-01,43.0,43.5,42.0,42.5,42.65,4600.0,1.97,NSE/BIRLAERIC
2001-02-02,42.1,43.75,42.1,42.85,42.8,5776.0,2.49,NSE/BIRLAERIC
2001-02-05,42.9,43.0,42.1,42.35,42.25,11462.0,4.86,NSE/BIRLAERIC
2001-02-06,42.0,43.35,42.0,42.75,43.0,13848.0,5.9,NSE/BIRLAERIC
2001-02-07,44.35,46.0,43.25,45.15,45.2,21740.0,9.74,NSE/BIRLAERIC
2001-02-08,44.8,46.0,44.8,45.6,45.4,8730.0,3.97,NSE/BIRLAERIC
2001-02-09,45.0,45.75,44.75,45.0,44.95,9625.0,4.36,NSE/BIRLAERIC
2001-02-12,44.15,44.8,43.0,43.55,43.15,13035.0,5.7,NSE/BIRLAERIC
2001-02-13,42.8,43.25,42.1,42.6,42.5,16495.0,7.04,NSE/BIRLAERIC
2001-02-14,42.9,43.45,42.3,43.1,43.05,7665.0,3.29,NSE/BIRLAERIC
2001-02-15,43.1,44.3,43.0,43.6,43.5,10567.0,4.61,NSE/BIRLAERIC
2001-02-16,44.45,44.5,43.3,43.3,43.5,18348.0,8.08,NSE/BIRLAERIC
2001-02-19,44.6,44.6,42.55,43.0,42.85,12147.0,5.23,NSE/BIRLAERIC
2001-02-20,43.0,43.0,41.1,41.35,41.6,19745.0,8.27,NSE/BIRLAERIC
2001-02-21,42.55,42.9,41.2,42.15,42.3,12160.0,5.12,NSE/BIRLAERIC
2001-02-22,41.65,42.05,40.55,41.5,41.75,9005.0,3.73,NSE/BIRLAERIC
2001-02-23,40.2,41.5,40.1,40.1,40.15,11469.0,4.68,NSE/BIRLAERIC
2001-02-26,40.5,40.5,39.0,39.75,39.7,8727.0,3.47,NSE/BIRLAERIC
2001-02-27,39.65,39.65,36.6,37.5,37.25,16975.0,6.45,NSE/BIRLAERIC
2001-02-28,38.1,40.25,37.5,40.25,40.2,16961.0,6.73,NSE/BIRLAERIC
2001-03-01,40.9,42.9,39.5,40.0,39.95,9155.0,3.75,NSE/BIRLAERIC
2001-03-02,39.9,39.9,36.75,36.75,36.85,12220.0,4.57,NSE/BIRLAERIC
2001-03-05,34.0,37.9,33.9,33.9,33.9,20116.0,7.0,NSE/BIRLAERIC
2001-03-07,35.1,36.45,34.0,35.0,35.0,11545.0,4.03,NSE/BIRLAERIC
2001-03-08,35.75,35.8,33.8,34.5,34.8,7800.0,2.71,NSE/BIRLAERIC
2001-03-09,35.4,35.4,32.05,32.5,32.4,9196.0,3.03,NSE/BIRLAERIC
2001-03-12,32.0,33.5,29.9,29.9,29.95,16741.0,5.11,NSE/BIRLAERIC
2001-03-13,28.1,28.95,27.55,27.55,27.6,16213.0,4.55,NSE/BIRLAERIC
2001-03-14,25.5,29.85,25.5,29.55,29.85,9915.0,2.83,NSE/BIRLAERIC
2001-03-15,29.55,31.85,28.0,29.75,29.5,13146.0,3.9,NSE/BIRLAERIC
2001-03-16,29.8,31.8,29.25,30.7,31.2,15815.0,4.91,NSE/BIRLAERIC
2001-03-19,30.0,32.0,29.0,31.6,31.55,17631.0,5.55,NSE/BIRLAERIC
2001-03-20,31.6,31.9,30.25,30.8,30.85,13755.0,4.26,NSE/BIRLAERIC
2001-03-21,30.4,31.45,30.0,31.15,31.3,4495.0,1.36,NSE/BIRLAERIC
2001-03-22,32.9,32.9,30.5,30.95,30.95,2280.0,0.71,NSE/BIRLAERIC
2001-03-23,31.25,31.4,28.5,28.8,28.8,5800.0,1.7,NSE/BIRLAERIC
2001-03-26,29.0,29.8,28.6,29.45,29.35,4014.0,1.17,NSE/BIRLAERIC
2001-03-27,28.85,29.6,28.15,28.4,28.65,10230.0,2.92,NSE/BIRLAERIC
2001-03-28,29.0,30.95,28.85,30.7,30.5,4065.0,1.24,NSE/BIRLAERIC
2001-03-29,31.0,31.0,29.55,29.55,29.55,4950.0,1.5,NSE/BIRLAERIC
2001-03-30,30.5,30.5,28.1,28.3,28.6,16713.0,4.78,NSE/BIRLAERIC
2001-04-02,27.5,27.9,26.8,26.95,27.05,4995.0,1.36,NSE/BIRLAERIC
2001-04-03,26.2,27.5,26.1,27.05,27.1,6880.0,1.86,NSE/BIRLAERIC
2001-04-04,27.5,28.0,27.0,27.75,27.75,3275.0,0.9,NSE/BIRLAERIC
2001-04-06,27.85,29.0,27.2,27.3,27.45,4685.0,1.31,NSE/BIRLAERIC
2001-04-09,26.5,26.9,26.1,26.6,26.5,2840.0,0.75,NSE/BIRLAERIC
2001-04-10,26.5,26.65,25.25,26.3,25.5,8150.0,2.11,NSE/BIRLAERIC
2001-04-11,24.15,26.0,24.1,24.4,24.4,5300.0,1.3,NSE/BIRLAERIC
2001-04-12,24.2,24.25,22.45,22.5,22.55,10372.0,2.39,NSE/BIRLAERIC
2001-04-16,23.85,24.35,22.25,23.85,24.0,9950.0,2.32,NSE/BIRLAERIC
2001-04-17,24.9,25.95,24.6,25.95,25.65,9686.0,2.48,NSE/BIRLAERIC
2001-04-18,26.95,27.7,26.95,27.7,27.7,4206.0,1.16,NSE/BIRLAERIC
2001-04-19,29.95,29.95,27.0,28.6,28.65,17428.0,4.99,NSE/BIRLAERIC
2001-04-20,28.0,29.75,27.1,28.25,28.05,9092.0,2.57,NSE/BIRLAERIC
2001-04-23,28.1,29.95,27.55,29.1,29.2,13564.0,3.95,NSE/BIRLAERIC
2001-04-24,28.5,31.45,28.05,31.4,31.15,17504.0,5.27,NSE/BIRLAERIC
2001-04-25,30.5,33.5,30.5,32.95,32.7,14837.0,4.85,NSE/BIRLAERIC
2001-04-26,33.5,33.8,30.3,30.3,30.5,14028.0,4.45,NSE/BIRLAERIC
2001-04-27,30.0,30.0,28.25,28.7,28.85,8777.0,2.53,NSE/BIRLAERIC
2001-04-30,27.7,28.6,27.2,28.0,27.75,10090.0,2.82,NSE/BIRLAERIC
2001-05-02,29.0,29.25,28.75,28.8,28.8,2527.0,0.73,NSE/BIRLAERIC
2001-05-03,29.75,29.75,28.4,28.4,28.65,5374.0,1.55,NSE/BIRLAERIC
2001-05-04,28.15,29.5,28.15,28.9,28.9,3260.0,0.95,NSE/BIRLAERIC
2001-05-07,29.5,29.5,29.0,29.35,29.3,2355.0,0.69,NSE/BIRLAERIC
2001-05-08,28.8,29.5,28.75,29.5,29.2,6850.0,1.99,NSE/BIRLAERIC
2001-05-09,28.6,29.4,28.6,29.05,29.05,3565.0,1.04,NSE/BIRLAERIC
2001-05-10,28.75,29.05,28.4,29.05,29.05,2515.0,0.72,NSE/BIRLAERIC
2001-05-11,29.0,29.0,28.65,28.8,28.7,1570.0,0.45,NSE/BIRLAERIC
2001-05-14,28.25,29.5,28.25,28.95,29.0,13730.0,3.95,NSE/BIRLAERIC
2001-05-15,28.25,29.9,27.9,29.5,29.55,13906.0,4.05,NSE/BIRLAERIC
2001-05-16,28.5,29.2,28.0,28.55,28.55,7970.0,2.28,NSE/BIRLAERIC
2001-05-17,28.7,29.2,28.55,29.0,29.0,5225.0,1.51,NSE/BIRLAERIC
2001-05-18,29.0,29.2,28.8,29.0,29.0,4652.0,1.35,NSE/BIRLAERIC
2001-05-21,29.2,31.0,29.0,30.7,30.55,36196.0,10.94,NSE/BIRLAERIC
2001-05-22,31.0,32.5,29.9,31.8,31.65,62669.0,19.84,NSE/BIRLAERIC
2001-05-23,32.45,34.2,32.45,34.2,34.2,79374.0,26.92,NSE/BIRLAERIC
