Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-06-06,29.0,31.25,28.0,29.7,29.0,491172.0,145.4,NSE/BIRLAPOWER
2007-06-07,29.45,29.45,27.5,27.75,27.7,98043.0,27.66,NSE/BIRLAPOWER
2007-06-08,28.1,33.25,27.7,31.6,31.75,973007.0,310.67,NSE/BIRLAPOWER
2007-06-11,33.65,33.65,31.3,32.45,31.9,401131.0,129.59,NSE/BIRLAPOWER
2007-06-12,32.35,32.6,31.6,32.35,32.3,159511.0,51.24,NSE/BIRLAPOWER
2007-06-13,32.25,32.75,31.0,31.1,31.2,127039.0,40.2,NSE/BIRLAPOWER
2007-06-14,31.8,32.4,31.5,31.85,31.85,72332.0,23.07,NSE/BIRLAPOWER
2007-06-15,32.4,33.0,31.5,31.5,31.6,78317.0,24.99,NSE/BIRLAPOWER
2007-06-18,32.25,32.25,31.25,31.35,31.35,34529.0,10.91,NSE/BIRLAPOWER
2007-06-19,31.1,32.0,30.0,30.6,30.4,45900.0,14.08,NSE/BIRLAPOWER
2007-06-20,30.7,31.5,30.0,30.7,30.15,58392.0,17.66,NSE/BIRLAPOWER
2007-06-21,30.9,30.9,29.5,29.9,29.95,51276.0,15.35,NSE/BIRLAPOWER
2007-06-22,30.0,31.0,29.9,29.9,30.05,26175.0,7.9,NSE/BIRLAPOWER
2007-06-25,30.05,30.45,30.0,30.05,30.2,28066.0,8.46,NSE/BIRLAPOWER
2007-06-26,30.5,30.9,30.0,30.25,30.15,29523.0,8.96,NSE/BIRLAPOWER
2007-06-27,30.6,30.75,30.0,30.6,30.4,22495.0,6.82,NSE/BIRLAPOWER
2007-06-28,30.5,30.5,30.0,30.25,30.15,28092.0,8.48,NSE/BIRLAPOWER
2007-06-29,30.4,30.4,29.55,29.95,29.7,20802.0,6.24,NSE/BIRLAPOWER
2007-07-02,30.0,30.4,29.15,29.2,29.25,34695.0,10.29,NSE/BIRLAPOWER
2007-07-03,29.25,29.8,25.35,29.4,29.2,32325.0,9.44,NSE/BIRLAPOWER
2007-07-04,29.0,29.8,28.8,29.2,28.95,29823.0,8.7,NSE/BIRLAPOWER
