Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-07-26,41.95,42.45,34.0,40.6,40.8,63723.0,26.06,NSE/BLISSGVS
2010-07-27,41.2,41.5,39.45,40.1,40.65,96875.0,39.82,NSE/BLISSGVS
2010-07-28,40.95,41.95,39.5,40.5,40.8,70180.0,28.99,NSE/BLISSGVS
2010-07-29,40.95,41.05,39.4,39.4,39.5,13723.0,5.48,NSE/BLISSGVS
2010-07-30,39.5,40.5,39.0,40.5,39.85,45995.0,18.26,NSE/BLISSGVS
2010-08-02,40.3,42.5,40.0,40.95,40.5,29391.0,11.96,NSE/BLISSGVS
2010-08-03,41.7,41.7,40.15,40.85,40.25,8261.0,3.36,NSE/BLISSGVS
2010-08-04,40.25,40.9,39.95,40.45,40.35,13891.0,5.58,NSE/BLISSGVS
2010-08-05,40.15,41.5,40.05,40.1,40.1,54639.0,22.21,NSE/BLISSGVS
2010-08-06,40.2,40.95,40.2,40.95,40.65,11311.0,4.61,NSE/BLISSGVS
2010-08-09,41.6,41.6,40.15,41.25,40.7,11461.0,4.68,NSE/BLISSGVS
2010-08-10,41.8,44.8,40.75,42.9,42.85,424427.0,183.19,NSE/BLISSGVS
2010-08-11,43.9,43.9,40.8,41.05,41.55,29479.0,12.43,NSE/BLISSGVS
2010-08-12,40.25,41.35,40.25,41.25,40.75,24858.0,10.18,NSE/BLISSGVS
2010-08-13,40.2,41.5,40.0,40.5,40.25,22258.0,8.99,NSE/BLISSGVS
2010-08-16,40.15,41.4,39.0,39.7,39.7,32085.0,12.75,NSE/BLISSGVS
2010-08-17,39.55,40.35,39.3,39.65,39.7,8639.0,3.42,NSE/BLISSGVS
2010-08-18,39.5,40.65,38.2,38.9,38.9,30913.0,12.16,NSE/BLISSGVS
2010-08-19,39.0,39.7,38.3,38.65,38.55,20483.0,7.98,NSE/BLISSGVS
2010-08-20,39.3,39.5,38.65,38.7,39.05,10477.0,4.11,NSE/BLISSGVS
