Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2006-03-17,800.5,1036.8,800.5,971.25,973.3,6000212.0,58430.89,NSE/BLKASHYAP
2006-03-20,980.0,1111.9,977.0,1103.2,1077.3,1846073.0,19258.26,NSE/BLKASHYAP
2006-03-21,1100.0,1169.75,1052.0,1094.0,1081.15,1361206.0,15199.84,NSE/BLKASHYAP
2006-03-22,1085.0,1113.65,1060.2,1085.0,1082.05,734085.0,7937.81,NSE/BLKASHYAP
2006-03-23,1090.0,1193.8,1085.0,1172.0,1163.25,1291959.0,14966.76,NSE/BLKASHYAP
2006-03-24,1176.4,1225.9,1162.9,1191.0,1186.9,626950.0,7463.96,NSE/BLKASHYAP
2006-03-27,1200.0,1229.0,1175.35,1210.0,1216.25,462677.0,5572.31,NSE/BLKASHYAP
2006-03-28,1209.9,1209.9,1125.05,1131.95,1143.55,375765.0,4409.68,NSE/BLKASHYAP
2006-03-29,1136.0,1163.7,1120.0,1135.0,1141.4,331225.0,3779.39,NSE/BLKASHYAP
2006-03-30,1154.75,1154.8,1091.0,1108.0,1105.7,183328.0,2073.21,NSE/BLKASHYAP
2006-03-31,1118.0,1184.0,1092.5,1165.0,1165.1,249315.0,2856.03,NSE/BLKASHYAP
2006-04-03,1178.0,1182.0,1126.2,1140.0,1138.75,176976.0,2043.28,NSE/BLKASHYAP
2006-04-04,1150.0,1197.5,1133.0,1197.5,1186.75,167001.0,1955.38,NSE/BLKASHYAP
2006-04-05,1187.45,1275.0,1157.7,1265.0,1246.95,257140.0,3150.8,NSE/BLKASHYAP
2006-04-07,1270.0,1319.0,1252.0,1283.0,1293.35,157026.0,2030.05,NSE/BLKASHYAP
2006-04-10,1294.0,1298.0,1198.5,1205.0,1209.4,62719.0,778.11,NSE/BLKASHYAP
2006-04-12,1210.45,1274.9,1208.8,1240.0,1232.65,87598.0,1090.05,NSE/BLKASHYAP
2006-04-13,1248.5,1248.5,1121.0,1173.0,1176.0,82991.0,988.4,NSE/BLKASHYAP
2006-04-17,1221.0,1221.0,1150.1,1162.2,1170.65,35270.0,416.18,NSE/BLKASHYAP
2006-04-18,1189.8,1390.0,1166.05,1383.0,1371.25,432198.0,5696.75,NSE/BLKASHYAP
2006-04-19,1380.0,1410.0,1260.0,1273.0,1281.15,222916.0,2913.24,NSE/BLKASHYAP
2006-04-20,1287.7,1345.05,1242.0,1281.25,1288.15,157263.0,2046.22,NSE/BLKASHYAP
2006-04-21,1298.0,1310.0,1260.0,1288.0,1290.1,79420.0,1022.21,NSE/BLKASHYAP
2006-04-24,1296.0,1450.0,1275.0,1400.0,1413.4,159247.0,2191.23,NSE/BLKASHYAP
2006-04-25,1409.8,1510.0,1322.7,1389.9,1394.1,162799.0,2337.94,NSE/BLKASHYAP
2006-04-26,1415.45,1465.0,1350.0,1390.0,1397.25,63745.0,904.06,NSE/BLKASHYAP
2006-04-27,1410.0,1534.0,1405.0,1470.0,1464.7,166478.0,2469.98,NSE/BLKASHYAP
2006-04-28,1411.55,1499.0,1200.0,1470.0,1480.5,66626.0,967.75,NSE/BLKASHYAP
2006-04-29,1523.0,1529.0,1450.05,1480.0,1471.6,30397.0,454.91,NSE/BLKASHYAP
2006-05-02,1490.05,1592.0,1490.0,1520.05,1537.1,112699.0,1741.65,NSE/BLKASHYAP
2006-05-03,1545.0,1558.0,1476.0,1485.0,1488.6,46539.0,703.98,NSE/BLKASHYAP
2006-05-04,1538.9,1538.9,1441.1,1453.0,1460.35,33686.0,498.95,NSE/BLKASHYAP
2006-05-05,1465.0,1479.0,1408.0,1430.3,1423.3,22783.0,329.27,NSE/BLKASHYAP
2006-05-08,1467.45,1467.45,1401.1,1412.1,1414.6,21126.0,302.43,NSE/BLKASHYAP
2006-05-09,1415.1,1475.0,1371.1,1432.1,1448.3,34665.0,501.25,NSE/BLKASHYAP
2006-05-10,1463.0,1484.0,1418.0,1465.0,1460.1,27560.0,401.18,NSE/BLKASHYAP
2006-05-11,1465.0,1478.0,1405.0,1417.0,1410.75,14081.0,201.78,NSE/BLKASHYAP
2006-05-12,1370.0,1445.0,1370.0,1425.0,1425.3,24248.0,345.93,NSE/BLKASHYAP
2006-05-15,1385.0,1430.0,1380.0,1390.0,1390.6,29863.0,419.49,NSE/BLKASHYAP
2006-05-16,1370.0,1410.0,1280.0,1325.0,1320.6,38517.0,504.22,NSE/BLKASHYAP
2006-05-17,1350.0,1400.0,1340.0,1350.0,1347.95,9685.0,132.17,NSE/BLKASHYAP
2006-05-18,1350.1,1350.1,1200.0,1229.0,1215.9,6533.0,82.5,NSE/BLKASHYAP
2006-05-19,1298.95,1298.95,1089.0,1149.0,1150.5,25321.0,296.67,NSE/BLKASHYAP
2006-05-22,1161.0,1260.0,981.1,1232.0,1210.6,17771.0,198.34,NSE/BLKASHYAP
2006-05-23,1275.0,1276.0,1105.0,1264.9,1231.15,14411.0,177.8,NSE/BLKASHYAP
2006-05-24,1180.0,1280.0,1180.0,1220.0,1227.15,10674.0,133.22,NSE/BLKASHYAP
2006-05-25,1123.5,1240.0,1123.5,1175.0,1170.55,9478.0,110.91,NSE/BLKASHYAP
2006-05-26,1207.0,1230.0,1195.0,1203.5,1207.05,4843.0,58.62,NSE/BLKASHYAP
2006-05-29,1245.0,1349.8,1202.0,1275.0,1272.5,33169.0,425.75,NSE/BLKASHYAP
2006-05-30,1290.0,1320.0,1230.0,1286.0,1283.4,12676.0,160.78,NSE/BLKASHYAP
2006-05-31,1220.0,1270.0,1200.0,1270.0,1246.85,9152.0,112.77,NSE/BLKASHYAP
2006-06-01,1274.9,1274.9,1150.5,1160.0,1185.1,29951.0,358.75,NSE/BLKASHYAP
2006-06-02,1180.0,1215.0,1121.0,1140.05,1154.9,15513.0,182.13,NSE/BLKASHYAP
2006-06-05,1195.0,1198.0,1100.0,1102.0,1104.75,3155.0,35.83,NSE/BLKASHYAP
2006-06-06,1070.0,1080.0,1001.0,1001.5,1023.8,3013.0,31.49,NSE/BLKASHYAP
2006-06-07,1000.0,1015.0,878.2,878.2,913.05,9588.0,91.24,NSE/BLKASHYAP
2006-06-08,856.2,900.0,851.0,873.0,884.85,21663.0,190.87,NSE/BLKASHYAP
2006-06-09,850.0,930.0,850.0,875.0,904.05,22422.0,201.04,NSE/BLKASHYAP
2006-06-12,903.0,903.0,850.0,888.0,880.05,7634.0,66.69,NSE/BLKASHYAP
2006-06-13,845.0,859.0,801.55,850.0,848.85,2307.0,19.31,NSE/BLKASHYAP
2006-06-14,890.0,890.0,746.95,775.0,784.25,5714.0,45.62,NSE/BLKASHYAP
2006-06-15,800.0,820.0,782.1,800.0,810.4,3683.0,29.59,NSE/BLKASHYAP
2006-06-16,830.0,891.4,830.0,891.4,878.25,18720.0,159.0,NSE/BLKASHYAP
2006-06-19,888.0,930.0,851.1,920.3,921.5,4491.0,40.29,NSE/BLKASHYAP
2006-06-20,880.0,944.0,874.0,915.0,916.0,7391.0,67.64,NSE/BLKASHYAP
2006-06-21,870.0,950.05,853.1,925.0,939.05,6839.0,64.38,NSE/BLKASHYAP
2006-06-22,950.0,999.9,908.05,915.35,917.7,6595.0,62.16,NSE/BLKASHYAP
2006-06-23,879.2,940.0,878.0,884.8,893.25,4918.0,44.92,NSE/BLKASHYAP
2006-06-25,925.0,928.9,895.1,900.0,913.05,1331.0,12.19,NSE/BLKASHYAP
2006-06-26,913.05,920.0,875.0,876.0,877.9,4596.0,41.13,NSE/BLKASHYAP
2006-06-27,881.0,900.0,875.0,875.0,876.15,2709.0,23.82,NSE/BLKASHYAP
2006-06-28,862.0,930.0,862.0,899.0,895.15,3803.0,34.09,NSE/BLKASHYAP
2006-06-29,901.0,980.0,901.0,920.0,919.1,20405.0,192.78,NSE/BLKASHYAP
2006-06-30,944.0,980.0,920.15,930.0,939.85,15645.0,148.15,NSE/BLKASHYAP
2006-07-03,965.0,995.1,935.0,938.15,939.95,19891.0,187.33,NSE/BLKASHYAP
2006-07-04,905.0,940.25,890.0,901.0,904.2,42733.0,397.95,NSE/BLKASHYAP
2006-07-05,908.0,940.0,891.45,927.5,938.1,18959.0,176.46,NSE/BLKASHYAP
2006-07-06,925.05,945.0,910.0,935.3,936.1,5263.0,49.03,NSE/BLKASHYAP
2006-07-07,925.0,935.0,910.25,925.0,916.75,11654.0,108.32,NSE/BLKASHYAP
2006-07-10,925.0,949.5,910.0,940.0,931.95,5645.0,52.33,NSE/BLKASHYAP
2006-07-11,940.0,940.0,900.0,928.0,929.8,2417.0,22.55,NSE/BLKASHYAP
2006-07-12,939.95,944.0,906.0,942.0,939.2,3924.0,36.56,NSE/BLKASHYAP
2006-07-13,916.0,959.0,916.0,938.95,934.25,6315.0,59.48,NSE/BLKASHYAP
2006-07-14,922.0,940.0,905.25,906.2,916.8,2758.0,25.47,NSE/BLKASHYAP
2006-07-17,917.95,920.0,885.05,885.1,890.85,1224.0,11.05,NSE/BLKASHYAP
2006-07-18,900.0,905.0,875.1,890.65,896.8,1588.0,14.14,NSE/BLKASHYAP
2006-07-19,921.9,921.9,875.0,875.0,875.6,1808.0,16.0,NSE/BLKASHYAP
2006-07-20,894.0,895.6,853.0,856.0,856.8,1686.0,14.7,NSE/BLKASHYAP
2006-07-21,865.0,890.0,850.0,890.0,868.45,1207.0,10.39,NSE/BLKASHYAP
2006-07-24,845.0,880.0,845.0,875.0,877.2,2428.0,21.19,NSE/BLKASHYAP
2006-07-25,904.0,910.0,865.0,900.0,892.1,1140.0,10.11,NSE/BLKASHYAP
2006-07-26,892.1,903.95,877.0,888.0,889.95,500.0,4.45,NSE/BLKASHYAP
2006-07-27,890.0,902.5,866.0,866.1,873.5,737.0,6.53,NSE/BLKASHYAP
2006-07-28,890.0,895.0,875.0,875.0,883.3,291.0,2.58,NSE/BLKASHYAP
2006-07-31,900.0,965.0,900.0,910.0,912.7,4076.0,37.68,NSE/BLKASHYAP
2006-08-01,891.6,919.95,889.0,890.0,897.5,1689.0,15.27,NSE/BLKASHYAP
2006-08-02,901.1,918.5,882.0,882.0,886.25,31362.0,280.67,NSE/BLKASHYAP
2006-08-03,919.0,931.05,901.0,903.15,912.55,9401.0,86.19,NSE/BLKASHYAP
2006-08-04,912.0,916.5,902.0,910.1,911.7,1701.0,15.48,NSE/BLKASHYAP
2006-08-07,917.5,917.5,895.2,895.2,903.0,775.0,6.99,NSE/BLKASHYAP
2006-08-08,914.0,926.9,903.0,925.0,919.85,1754.0,16.03,NSE/BLKASHYAP
2006-08-09,924.0,940.45,920.1,930.0,935.5,3428.0,31.9,NSE/BLKASHYAP
2006-08-10,960.0,994.9,932.5,970.0,974.95,5729.0,55.07,NSE/BLKASHYAP
2006-08-11,999.0,1049.9,999.0,1002.25,1004.3,5413.0,55.15,NSE/BLKASHYAP
2006-08-14,1022.0,1074.9,1022.0,1041.0,1046.55,7230.0,75.93,NSE/BLKASHYAP
2006-08-16,1088.0,1122.0,1060.0,1065.0,1068.5,5276.0,56.76,NSE/BLKASHYAP
2006-08-17,1072.0,1089.0,1005.0,1014.5,1011.1,8616.0,89.01,NSE/BLKASHYAP
2006-08-18,1020.0,1050.0,1006.0,1038.0,1032.05,3845.0,39.62,NSE/BLKASHYAP
2006-08-21,1038.0,1048.0,1017.2,1021.0,1024.95,2386.0,24.56,NSE/BLKASHYAP
2006-08-22,1044.9,1044.9,1010.0,1010.0,1022.7,2594.0,26.73,NSE/BLKASHYAP
2006-08-23,1033.85,1033.85,990.0,996.0,997.05,1909.0,19.22,NSE/BLKASHYAP
2006-08-24,955.0,1032.0,951.0,995.0,1002.65,32178.0,315.11,NSE/BLKASHYAP
2006-08-25,1031.9,1038.95,990.0,990.0,996.85,3485.0,35.43,NSE/BLKASHYAP
2006-08-28,1020.0,1020.0,990.2,995.0,996.9,1121.0,11.22,NSE/BLKASHYAP
2006-08-29,1017.8,1017.8,990.55,1000.0,996.1,1272.0,12.7,NSE/BLKASHYAP
2006-08-30,1001.0,1010.0,981.0,981.0,985.9,2158.0,21.43,NSE/BLKASHYAP
2006-08-31,1006.75,1006.75,975.0,980.0,978.35,1092.0,10.8,NSE/BLKASHYAP
2006-09-01,985.0,1003.0,975.0,998.0,999.05,1390.0,13.83,NSE/BLKASHYAP
