Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2015-07-13,14.7,14.7,14.7,14.7,14.7,100.0,0.01,NSE/BLUEBLENDS
2015-07-20,14.7,14.0,14.0,14.0,14.09,750.0,0.11,NSE/BLUEBLENDS
2015-08-05,14.7,14.7,14.7,14.7,14.7,475.0,0.07,NSE/BLUEBLENDS
2015-08-06,15.4,15.4,15.4,15.4,15.4,82.0,0.01,NSE/BLUEBLENDS
2015-08-12,16.05,16.05,16.05,16.05,16.05,500.0,0.08,NSE/BLUEBLENDS
2015-08-24,16.85,16.85,16.85,16.85,16.85,5.0,0.0,NSE/BLUEBLENDS
2015-09-03,17.0,17.0,17.0,17.0,17.0,12.0,0.0,NSE/BLUEBLENDS
2015-09-04,16.15,16.15,16.15,16.15,16.15,200.0,0.03,NSE/BLUEBLENDS
2015-09-07,15.55,15.55,15.5,15.5,15.5,3238.0,0.5,NSE/BLUEBLENDS
2015-09-09,16.25,16.25,16.25,16.25,16.25,93.0,0.02,NSE/BLUEBLENDS
2015-09-11,17.05,17.05,16.25,16.25,16.35,1402.0,0.24,NSE/BLUEBLENDS
2015-09-15,17.15,17.15,16.2,16.2,16.2,380.0,0.06,NSE/BLUEBLENDS
2015-09-24,17.0,17.0,17.0,17.0,17.0,40.0,0.01,NSE/BLUEBLENDS
2015-09-29,17.25,17.25,17.25,17.25,17.25,200.0,0.03,NSE/BLUEBLENDS
2015-10-06,17.25,17.35,17.25,17.35,17.35,85.0,0.01,NSE/BLUEBLENDS
2015-10-07,17.05,17.05,17.05,17.05,17.05,101.0,0.02,NSE/BLUEBLENDS
2015-10-08,17.2,17.2,17.2,17.2,17.2,1.0,0.0,NSE/BLUEBLENDS
2015-10-13,16.4,16.4,16.4,16.4,16.4,50.0,0.01,NSE/BLUEBLENDS
2015-10-23,17.2,17.2,17.2,17.2,17.2,10.0,0.0,NSE/BLUEBLENDS
2015-10-29,18.05,18.05,18.05,18.05,18.05,35.0,0.01,NSE/BLUEBLENDS
2015-10-30,18.9,18.9,18.9,18.9,18.9,100.0,0.02,NSE/BLUEBLENDS
2015-11-02,19.8,19.8,19.8,19.8,19.8,210.0,0.04,NSE/BLUEBLENDS
2015-11-03,20.75,20.75,18.85,19.0,19.0,205.0,0.04,NSE/BLUEBLENDS
2015-11-04,19.0,19.0,19.0,19.0,19.0,5604.0,1.06,NSE/BLUEBLENDS
2015-11-06,18.05,18.05,18.05,18.05,18.05,40.0,0.01,NSE/BLUEBLENDS
2015-11-18,18.15,18.45,18.1,18.45,18.45,1161.0,0.21,NSE/BLUEBLENDS
2015-11-19,17.6,19.25,17.55,17.55,17.55,4105.0,0.72,NSE/BLUEBLENDS
2015-11-23,16.7,17.9,16.7,17.9,17.9,315.0,0.06,NSE/BLUEBLENDS
2015-11-24,18.75,18.75,18.75,18.75,18.75,100.0,0.02,NSE/BLUEBLENDS
2015-11-27,17.85,19.6,17.85,19.6,19.4,260.0,0.05,NSE/BLUEBLENDS
2015-11-30,19.4,20.35,18.5,18.6,18.6,179532.0,33.45,NSE/BLUEBLENDS
2015-12-01,18.75,19.5,17.8,18.35,18.35,111303.0,20.24,NSE/BLUEBLENDS
2015-12-02,19.25,19.25,19.25,19.25,19.25,200.0,0.04,NSE/BLUEBLENDS
