Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,225.0,225.0,221.65,221.65,221.75,456.0,1.02,NSE/BLUEDART
2001-01-02,222.1,225.0,215.0,224.0,222.55,1661.0,3.63,NSE/BLUEDART
2001-01-03,226.0,226.5,226.0,226.25,226.25,360.0,0.81,NSE/BLUEDART
2001-01-04,227.0,228.05,227.0,228.0,228.0,320.0,0.73,NSE/BLUEDART
2001-01-05,224.0,233.5,223.15,231.2,231.1,360.0,0.82,NSE/BLUEDART
2001-01-08,230.0,230.0,221.25,221.25,222.45,444.0,1.0,NSE/BLUEDART
2001-01-09,220.0,226.0,220.0,225.0,224.7,484.0,1.08,NSE/BLUEDART
2001-01-10,226.0,228.5,222.0,222.0,222.0,555.0,1.24,NSE/BLUEDART
2001-01-11,228.0,228.0,220.0,220.0,221.15,1187.0,2.64,NSE/BLUEDART
2001-01-12,228.0,228.0,216.0,225.0,223.9,4740.0,10.56,NSE/BLUEDART
2001-01-15,215.0,221.0,213.05,219.0,218.9,2459.0,5.36,NSE/BLUEDART
2001-01-16,216.0,221.0,215.0,220.65,219.65,9784.0,21.34,NSE/BLUEDART
2001-01-17,223.9,224.0,215.5,220.0,220.0,2650.0,5.82,NSE/BLUEDART
2001-01-18,218.0,224.0,216.75,224.0,221.45,715.0,1.58,NSE/BLUEDART
2001-01-19,225.0,233.0,225.0,226.1,226.1,2045.0,4.66,NSE/BLUEDART
2001-01-22,232.0,239.0,229.0,229.0,229.95,1350.0,3.12,NSE/BLUEDART
2001-01-23,238.0,243.0,238.0,238.25,240.2,5091.0,12.22,NSE/BLUEDART
2001-01-24,239.0,259.45,239.0,259.45,259.45,4138.0,10.55,NSE/BLUEDART
2001-01-25,265.0,277.9,261.0,268.0,268.95,18252.0,48.92,NSE/BLUEDART
2001-01-29,260.0,262.75,256.0,262.75,261.5,3571.0,9.3,NSE/BLUEDART
2001-01-30,260.0,266.0,254.0,265.0,260.1,2691.0,7.05,NSE/BLUEDART
2001-01-31,260.0,260.0,255.0,258.0,257.85,280.0,0.72,NSE/BLUEDART
2001-02-01,251.0,254.5,243.25,246.0,246.0,641.0,1.6,NSE/BLUEDART
2001-02-02,245.0,245.0,239.0,240.0,240.05,730.0,1.76,NSE/BLUEDART
2001-02-05,230.0,248.0,230.0,233.0,233.0,750.0,1.78,NSE/BLUEDART
2001-02-06,230.1,249.95,222.0,233.0,231.2,3593.0,8.4,NSE/BLUEDART
2001-02-07,233.0,239.0,232.05,232.05,232.2,1726.0,4.07,NSE/BLUEDART
2001-02-08,230.0,236.0,230.0,236.0,236.0,6616.0,15.38,NSE/BLUEDART
2001-02-09,238.5,239.0,235.0,235.05,235.05,625.0,1.48,NSE/BLUEDART
2001-02-12,239.0,242.5,236.1,242.5,241.1,820.0,1.96,NSE/BLUEDART
2001-02-13,248.0,248.8,235.0,235.2,235.05,5415.0,12.92,NSE/BLUEDART
2001-02-14,235.1,241.95,235.0,236.1,236.1,341.0,0.81,NSE/BLUEDART
2001-02-15,239.9,247.9,235.0,241.0,242.75,4492.0,10.67,NSE/BLUEDART
2001-02-16,245.0,246.45,238.55,238.55,238.55,2889.0,7.05,NSE/BLUEDART
2001-02-19,236.5,244.95,236.0,238.5,240.45,730.0,1.75,NSE/BLUEDART
2001-02-20,238.0,242.95,237.05,237.15,238.1,1796.0,4.29,NSE/BLUEDART
2001-02-21,241.5,248.0,239.0,242.0,242.0,1224.0,2.97,NSE/BLUEDART
2001-02-22,242.0,245.0,235.2,236.1,236.1,1813.0,4.34,NSE/BLUEDART
2001-02-23,237.0,238.0,235.0,235.0,236.35,5354.0,12.59,NSE/BLUEDART
