Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,69.0,69.0,65.05,65.05,65.05,38.0,0.03,NSE/BLUESTINFO
2001-01-02,65.0,67.0,65.0,67.0,67.0,350.0,0.23,NSE/BLUESTINFO
2001-01-03,67.0,67.0,65.0,66.9,66.9,285.0,0.19,NSE/BLUESTINFO
2001-01-04,66.5,71.95,66.5,71.85,71.85,583.0,0.41,NSE/BLUESTINFO
2001-01-05,68.6,69.0,66.5,67.1,67.1,805.0,0.55,NSE/BLUESTINFO
2001-01-08,65.0,69.0,65.0,65.0,65.0,467.0,0.31,NSE/BLUESTINFO
2001-01-09,65.0,65.1,62.4,62.6,62.6,950.0,0.6,NSE/BLUESTINFO
2001-01-10,66.0,66.0,66.0,66.0,66.0,50.0,0.03,NSE/BLUESTINFO
2001-01-11,62.05,62.05,61.0,61.0,61.0,1262.0,0.77,NSE/BLUESTINFO
2001-01-12,61.0,65.8,61.0,61.0,61.0,593.0,0.37,NSE/BLUESTINFO
2001-01-15,56.15,59.9,56.15,59.9,59.9,1621.0,0.91,NSE/BLUESTINFO
2001-01-16,62.0,64.4,56.2,56.2,56.3,207.0,0.12,NSE/BLUESTINFO
2001-01-17,55.0,56.1,55.0,56.1,56.1,350.0,0.2,NSE/BLUESTINFO
2001-01-18,55.9,56.2,54.5,56.2,56.2,241.0,0.13,NSE/BLUESTINFO
2001-01-19,59.5,60.0,58.0,59.9,59.9,1212.0,0.72,NSE/BLUESTINFO
2001-01-22,59.0,60.0,58.25,58.25,58.25,1100.0,0.65,NSE/BLUESTINFO
2001-01-23,56.55,60.7,56.55,58.0,58.1,500.0,0.29,NSE/BLUESTINFO
2001-01-24,57.05,62.4,57.05,59.0,59.0,377.0,0.22,NSE/BLUESTINFO
2001-01-25,57.05,57.5,56.0,56.0,57.05,377.0,0.22,NSE/BLUESTINFO
2001-01-29,60.8,60.8,54.0,54.15,54.15,350.0,0.2,NSE/BLUESTINFO
2001-01-30,54.0,57.95,54.0,56.55,56.55,349.0,0.2,NSE/BLUESTINFO
2001-01-31,61.0,61.1,55.0,55.0,55.2,3650.0,2.1,NSE/BLUESTINFO
2001-02-01,55.0,55.0,52.5,53.1,53.25,451.0,0.24,NSE/BLUESTINFO
2001-02-02,53.2,55.0,51.05,53.0,53.0,1202.0,0.64,NSE/BLUESTINFO
2001-02-05,51.25,51.5,51.0,51.25,51.25,900.0,0.46,NSE/BLUESTINFO
2001-02-06,51.25,53.0,51.25,53.0,53.0,50.0,0.03,NSE/BLUESTINFO
2001-02-07,53.0,56.0,52.0,56.0,56.0,648.0,0.34,NSE/BLUESTINFO
2001-02-08,53.0,53.0,51.55,52.55,52.55,4556.0,2.35,NSE/BLUESTINFO
2001-02-09,50.1,54.9,50.1,53.0,53.0,1227.0,0.66,NSE/BLUESTINFO
2001-02-12,50.35,53.0,50.35,51.1,52.15,1410.0,0.73,NSE/BLUESTINFO
2001-02-13,52.05,54.0,52.0,54.0,54.0,10562.0,5.54,NSE/BLUESTINFO
2001-02-14,54.0,55.5,51.0,53.95,53.95,150.0,0.08,NSE/BLUESTINFO
2001-02-15,51.0,53.75,51.0,52.2,53.6,765.0,0.39,NSE/BLUESTINFO
2001-02-16,55.0,55.0,50.0,50.15,50.15,856.0,0.44,NSE/BLUESTINFO
2001-02-19,50.25,50.25,50.0,50.0,50.0,263.0,0.13,NSE/BLUESTINFO
2001-02-20,53.9,54.0,49.1,49.1,49.1,2967.0,1.52,NSE/BLUESTINFO
2001-02-21,48.05,48.05,46.5,48.0,48.0,713.0,0.34,NSE/BLUESTINFO
2001-02-22,46.6,46.6,44.2,46.0,46.0,1328.0,0.6,NSE/BLUESTINFO
2001-02-23,48.65,48.65,45.75,46.05,46.05,1100.0,0.53,NSE/BLUESTINFO
2001-02-26,47.95,48.0,47.0,47.0,47.4,549.0,0.26,NSE/BLUESTINFO
2001-02-27,46.15,48.7,44.2,44.2,44.2,2265.0,1.02,NSE/BLUESTINFO
2001-02-28,44.2,47.75,42.5,44.0,44.0,173.0,0.08,NSE/BLUESTINFO
2001-03-01,44.5,47.5,44.4,44.45,44.45,375.0,0.17,NSE/BLUESTINFO
2001-03-02,44.0,44.0,40.9,41.0,41.0,782.0,0.33,NSE/BLUESTINFO
2001-03-05,38.1,42.8,38.1,39.25,39.3,744.0,0.29,NSE/BLUESTINFO
2001-03-07,39.25,39.25,36.2,36.2,36.2,2212.0,0.83,NSE/BLUESTINFO
2001-03-08,35.2,38.9,35.1,36.35,36.35,615.0,0.23,NSE/BLUESTINFO
2001-03-09,34.0,34.0,33.5,33.5,33.5,3220.0,1.09,NSE/BLUESTINFO
2001-03-12,32.0,34.8,32.0,32.0,32.0,1000.0,0.33,NSE/BLUESTINFO
2001-03-13,30.0,32.0,30.0,30.0,30.65,1012.0,0.31,NSE/BLUESTINFO
2001-03-14,30.75,30.75,30.75,30.75,30.75,150.0,0.04,NSE/BLUESTINFO
2001-03-15,30.75,31.05,30.6,31.05,31.05,1487.0,0.46,NSE/BLUESTINFO
2001-03-19,30.95,30.95,28.6,28.6,28.6,1678.0,0.49,NSE/BLUESTINFO
2001-03-20,26.35,27.05,26.35,26.35,26.35,5237.0,1.38,NSE/BLUESTINFO
2001-03-21,27.0,28.5,26.5,26.5,26.5,4682.0,1.24,NSE/BLUESTINFO
2001-03-22,28.0,28.65,26.55,26.55,26.55,1822.0,0.5,NSE/BLUESTINFO
2001-03-23,26.25,28.0,26.25,26.65,26.65,560.0,0.15,NSE/BLUESTINFO
2001-03-26,26.5,26.5,25.15,26.25,26.25,150.0,0.04,NSE/BLUESTINFO
2001-03-27,25.1,28.0,25.1,27.1,27.1,1818.0,0.48,NSE/BLUESTINFO
2001-03-28,28.95,28.95,26.0,26.0,27.5,11094.0,3.05,NSE/BLUESTINFO
2001-03-29,29.4,29.4,27.25,28.0,28.0,319.0,0.09,NSE/BLUESTINFO
2001-03-30,29.9,30.25,27.1,30.2,29.7,914.0,0.27,NSE/BLUESTINFO
2001-04-02,30.9,32.1,28.9,32.1,32.1,1021.0,0.31,NSE/BLUESTINFO
2001-04-03,34.0,34.5,30.35,33.0,33.95,1842.0,0.62,NSE/BLUESTINFO
2001-04-04,34.5,36.7,34.5,35.5,35.85,2475.0,0.9,NSE/BLUESTINFO
2001-04-06,38.0,38.7,35.5,37.25,38.1,2180.0,0.83,NSE/BLUESTINFO
2001-04-09,39.0,39.0,38.2,39.0,38.55,600.0,0.23,NSE/BLUESTINFO
2001-04-10,37.0,39.9,35.5,39.75,39.7,1239.0,0.46,NSE/BLUESTINFO
2001-04-11,42.5,42.5,36.75,37.0,37.0,172.0,0.07,NSE/BLUESTINFO
2001-04-12,34.05,37.9,34.05,35.05,35.05,722.0,0.25,NSE/BLUESTINFO
2001-04-16,35.5,37.6,35.5,37.55,37.55,466.0,0.17,NSE/BLUESTINFO
2001-04-17,36.05,39.0,36.0,39.0,38.8,1354.0,0.51,NSE/BLUESTINFO
2001-04-18,39.1,39.1,37.4,37.9,38.25,922.0,0.36,NSE/BLUESTINFO
2001-04-19,36.6,40.65,36.5,40.0,40.1,1682.0,0.65,NSE/BLUESTINFO
2001-04-20,37.25,38.65,37.0,37.0,37.3,1203.0,0.45,NSE/BLUESTINFO
2001-04-23,38.0,39.5,36.0,36.0,36.15,1365.0,0.51,NSE/BLUESTINFO
2001-04-24,36.9,38.85,34.25,38.85,38.85,458.0,0.17,NSE/BLUESTINFO
2001-04-25,38.7,40.9,37.2,38.0,38.0,549.0,0.21,NSE/BLUESTINFO
2001-04-26,38.05,38.75,36.1,36.1,36.1,473.0,0.18,NSE/BLUESTINFO
2001-04-27,34.05,35.0,34.05,35.0,35.0,200.0,0.07,NSE/BLUESTINFO
2001-04-30,33.5,36.0,33.5,34.0,34.0,1027.0,0.35,NSE/BLUESTINFO
2001-05-02,34.0,36.0,32.0,36.0,36.0,1300.0,0.44,NSE/BLUESTINFO
2001-05-03,34.0,35.95,34.0,35.95,35.95,388.0,0.13,NSE/BLUESTINFO
2001-05-04,34.2,36.05,34.2,36.05,36.05,142.0,0.05,NSE/BLUESTINFO
2001-05-07,36.1,37.5,35.0,36.1,36.1,1136.0,0.41,NSE/BLUESTINFO
2001-05-08,35.75,37.45,35.25,35.25,35.3,548.0,0.2,NSE/BLUESTINFO
2001-05-09,35.8,35.8,34.05,34.05,34.75,1460.0,0.52,NSE/BLUESTINFO
2001-05-10,35.5,36.0,33.6,36.0,36.0,412.0,0.15,NSE/BLUESTINFO
2001-05-11,36.2,38.9,36.2,38.9,38.9,1656.0,0.63,NSE/BLUESTINFO
2001-05-14,41.0,42.05,40.95,41.05,41.25,3161.0,1.32,NSE/BLUESTINFO
2001-05-15,38.1,41.0,38.0,40.0,39.15,2547.0,1.0,NSE/BLUESTINFO
