Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2005-03-10,99.0,101.5,97.75,99.5,99.4,153229.0,152.55,NSE/BOC
2005-03-11,99.5,102.95,97.0,97.5,97.95,274589.0,274.63,NSE/BOC
2005-03-14,98.65,102.5,96.75,99.0,98.2,365391.0,364.26,NSE/BOC
2005-03-15,97.9,100.0,95.15,96.0,96.15,206033.0,200.12,NSE/BOC
2005-03-16,97.25,99.0,97.0,97.15,97.55,151789.0,148.56,NSE/BOC
2005-03-17,97.5,97.95,93.0,94.3,94.4,183344.0,174.4,NSE/BOC
2005-03-18,95.4,95.75,90.0,92.0,92.35,253181.0,234.72,NSE/BOC
2005-03-21,93.25,96.5,93.0,94.4,93.5,180448.0,170.62,NSE/BOC
2005-03-22,93.95,94.3,88.7,89.75,89.4,136255.0,124.11,NSE/BOC
2005-03-23,90.3,93.9,87.0,87.6,87.4,203143.0,181.65,NSE/BOC
2005-03-24,88.0,89.65,85.35,87.0,86.85,176394.0,153.82,NSE/BOC
2005-03-28,87.95,89.85,86.85,89.0,88.55,111978.0,98.85,NSE/BOC
2005-03-29,89.0,89.0,83.3,84.55,84.05,128159.0,110.84,NSE/BOC
2005-03-30,85.45,90.0,83.65,89.6,89.0,284200.0,246.57,NSE/BOC
2005-03-31,90.85,93.45,89.5,91.1,91.1,257116.0,236.09,NSE/BOC
2005-04-01,92.4,93.4,90.2,93.25,92.7,161785.0,148.97,NSE/BOC
2005-04-04,93.8,96.0,92.55,94.25,94.2,234320.0,220.66,NSE/BOC
2005-04-05,95.0,97.55,94.3,94.55,94.7,236432.0,226.72,NSE/BOC
2005-04-06,95.0,99.4,95.0,95.9,95.8,356181.0,345.11,NSE/BOC
2005-04-07,96.1,100.4,95.75,97.2,96.35,392493.0,385.33,NSE/BOC
2005-04-08,97.15,98.7,94.8,95.95,95.35,203287.0,195.83,NSE/BOC
2005-04-11,95.6,95.9,91.25,91.75,91.95,318593.0,296.53,NSE/BOC
2005-04-12,92.45,93.95,92.45,93.4,93.45,99630.0,92.89,NSE/BOC
2005-04-13,94.25,95.25,92.7,93.5,93.5,107852.0,101.3,NSE/BOC
2005-04-15,93.25,93.25,90.1,91.85,91.8,166573.0,152.42,NSE/BOC
2005-04-18,85.6,93.0,85.0,90.2,90.35,127535.0,114.5,NSE/BOC
