Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-08-22,27.4,28.6,24.6,27.05,27.55,206920.0,56.63,NSE/BODALCHEM
2011-08-23,27.9,27.9,24.6,25.95,25.75,112146.0,29.74,NSE/BODALCHEM
2011-08-24,26.0,27.0,25.1,25.25,26.65,176826.0,46.98,NSE/BODALCHEM
2011-08-25,26.35,26.35,22.5,24.7,24.6,108408.0,27.17,NSE/BODALCHEM
2011-08-26,23.95,24.0,19.7,20.1,20.45,185268.0,38.15,NSE/BODALCHEM
2011-08-29,22.2,23.3,17.5,18.0,18.45,358709.0,76.68,NSE/BODALCHEM
2011-08-30,18.65,19.1,16.65,16.65,16.8,147656.0,26.3,NSE/BODALCHEM
2011-09-02,16.0,16.8,15.15,16.0,16.05,105921.0,16.42,NSE/BODALCHEM
2011-09-05,15.8,17.7,15.8,17.7,17.7,39067.0,6.71,NSE/BODALCHEM
2011-09-06,18.25,19.5,18.25,19.5,19.5,24470.0,4.72,NSE/BODALCHEM
2011-09-07,21.3,21.45,20.6,21.45,21.45,258014.0,55.09,NSE/BODALCHEM
2011-09-08,23.4,23.6,21.15,21.4,21.55,97102.0,21.55,NSE/BODALCHEM
2011-09-09,22.0,22.0,20.5,20.5,20.6,25364.0,5.29,NSE/BODALCHEM
2011-09-12,19.6,21.25,19.6,19.6,19.6,6472.0,1.27,NSE/BODALCHEM
2011-09-13,19.7,19.7,18.65,19.3,19.15,8211.0,1.56,NSE/BODALCHEM
2011-09-14,18.35,18.7,18.2,18.2,18.2,4485.0,0.82,NSE/BODALCHEM
2011-09-15,18.0,18.0,17.3,17.3,17.3,9961.0,1.72,NSE/BODALCHEM
2011-09-16,18.0,18.0,16.45,17.0,16.95,14050.0,2.33,NSE/BODALCHEM
2011-09-19,16.55,17.0,16.1,16.4,16.3,26284.0,4.27,NSE/BODALCHEM
2011-09-20,15.7,17.15,15.7,17.15,17.15,9609.0,1.64,NSE/BODALCHEM
2011-09-21,17.0,17.8,16.75,16.75,16.9,6654.0,1.14,NSE/BODALCHEM
2011-09-22,16.25,17.15,16.25,16.95,16.95,482.0,0.08,NSE/BODALCHEM
2011-09-23,16.3,16.8,16.3,16.8,16.55,4276.0,0.71,NSE/BODALCHEM
2011-09-26,16.15,17.1,16.1,16.55,16.8,3969.0,0.65,NSE/BODALCHEM
2011-09-27,17.55,17.65,17.0,17.5,17.35,3084.0,0.54,NSE/BODALCHEM
2011-09-28,17.0,17.5,16.75,16.85,16.85,8002.0,1.36,NSE/BODALCHEM
2011-09-29,16.75,17.7,16.75,17.15,17.7,2188.0,0.38,NSE/BODALCHEM
2011-09-30,18.3,18.3,17.5,17.5,17.5,1905.0,0.33,NSE/BODALCHEM
2011-10-03,17.0,17.9,16.65,17.5,17.5,1950.0,0.34,NSE/BODALCHEM
2011-10-04,17.0,18.3,17.0,17.5,17.55,6941.0,1.22,NSE/BODALCHEM
2011-10-05,18.0,18.0,18.0,18.0,18.0,35.0,0.01,NSE/BODALCHEM
2011-10-07,17.5,18.35,17.5,17.5,17.55,2148.0,0.38,NSE/BODALCHEM
2011-10-10,18.45,18.45,17.3,18.45,18.45,2751.0,0.5,NSE/BODALCHEM
2011-10-11,19.0,19.4,18.5,19.4,19.4,1038.0,0.2,NSE/BODALCHEM
2011-10-12,18.8,20.4,18.8,20.35,19.75,1405.0,0.27,NSE/BODALCHEM
2011-10-13,19.0,20.5,19.0,20.4,20.1,2847.0,0.57,NSE/BODALCHEM
2011-10-14,20.75,20.75,19.55,20.0,20.15,2000.0,0.4,NSE/BODALCHEM
2011-10-17,19.25,20.5,19.25,19.45,20.0,340.0,0.07,NSE/BODALCHEM
2011-10-18,19.4,19.5,19.0,19.0,19.35,1299.0,0.25,NSE/BODALCHEM
2011-10-19,19.0,19.05,18.4,18.4,18.4,1697.0,0.31,NSE/BODALCHEM
2011-10-20,17.75,19.25,17.75,19.1,19.1,703.0,0.13,NSE/BODALCHEM
2011-10-21,18.25,20.05,18.15,18.35,18.75,3627.0,0.67,NSE/BODALCHEM
2011-10-24,18.0,19.7,18.0,19.0,19.65,8768.0,1.68,NSE/BODALCHEM
2011-10-25,19.0,19.5,19.0,19.2,19.25,370.0,0.07,NSE/BODALCHEM
2011-10-26,19.5,20.25,18.7,20.15,20.2,1262.0,0.25,NSE/BODALCHEM
2011-10-28,20.15,21.2,19.7,20.35,20.35,2702.0,0.54,NSE/BODALCHEM
2011-10-31,20.45,21.4,20.45,21.4,21.4,2291.0,0.49,NSE/BODALCHEM
2011-11-01,21.5,22.25,20.55,22.0,22.0,6551.0,1.42,NSE/BODALCHEM
2011-11-02,21.1,21.1,21.0,21.0,21.0,451.0,0.09,NSE/BODALCHEM
2011-11-03,20.05,20.5,19.95,20.5,20.5,3145.0,0.64,NSE/BODALCHEM
2011-11-04,19.65,19.7,19.65,19.7,19.7,1272.0,0.25,NSE/BODALCHEM
2011-11-08,20.25,20.25,19.5,19.6,19.6,469.0,0.09,NSE/BODALCHEM
2011-11-09,20.0,20.0,18.35,18.35,18.4,12654.0,2.46,NSE/BODALCHEM
2011-11-11,18.0,18.0,17.0,17.0,17.0,1865.0,0.32,NSE/BODALCHEM
2011-11-14,16.75,16.75,15.35,16.0,15.95,11097.0,1.76,NSE/BODALCHEM
2011-11-15,16.35,16.4,16.0,16.0,16.0,603.0,0.1,NSE/BODALCHEM
2011-11-16,15.95,16.0,15.7,16.0,15.9,1302.0,0.21,NSE/BODALCHEM
