Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-08-09,24.5,24.5,24.5,24.5,24.5,5.0,0.0,NSE/BODHTREE
2010-08-10,29.4,29.4,29.4,29.4,29.4,101.0,0.03,NSE/BODHTREE
2010-08-11,35.3,35.3,35.3,35.3,35.3,1.0,0.0,NSE/BODHTREE
2010-08-12,38.85,38.85,38.85,38.85,38.85,205.0,0.08,NSE/BODHTREE
2010-08-13,42.75,42.75,42.75,42.75,42.75,6.0,0.0,NSE/BODHTREE
2010-08-16,47.05,47.05,47.05,47.05,47.05,2.0,0.0,NSE/BODHTREE
2010-08-17,49.4,49.4,45.6,46.1,47.45,4702.0,2.31,NSE/BODHTREE
2010-08-18,48.95,49.85,45.1,45.15,47.65,5146.0,2.49,NSE/BODHTREE
2010-08-19,49.0,49.0,45.3,45.3,45.3,2848.0,1.29,NSE/BODHTREE
2010-08-20,45.0,45.0,45.0,45.0,45.0,1000.0,0.45,NSE/BODHTREE
2010-08-23,42.85,42.85,42.75,42.75,42.75,31.0,0.01,NSE/BODHTREE
2010-08-24,44.9,44.9,40.65,40.65,40.65,130.0,0.06,NSE/BODHTREE
2010-08-25,38.65,38.65,38.65,38.65,38.65,200.0,0.08,NSE/BODHTREE
2010-08-26,38.65,38.65,36.75,36.75,36.75,112.0,0.04,NSE/BODHTREE
2010-08-27,34.95,35.05,34.95,34.95,34.95,599.0,0.21,NSE/BODHTREE
2010-08-30,36.45,36.45,36.4,36.4,36.4,800.0,0.29,NSE/BODHTREE
2010-08-31,37.0,37.0,34.6,34.6,34.6,59.0,0.02,NSE/BODHTREE
2010-09-02,35.0,36.35,33.0,33.05,34.65,254.0,0.09,NSE/BODHTREE
2010-09-03,33.5,36.4,33.4,36.35,36.35,353.0,0.12,NSE/BODHTREE
2010-09-06,38.2,38.2,35.0,37.5,37.65,3592.0,1.3,NSE/BODHTREE
2010-09-07,36.05,36.55,36.05,36.55,36.55,3.0,0.0,NSE/BODHTREE
2010-09-08,36.9,36.9,35.65,36.85,36.2,42.0,0.02,NSE/BODHTREE
2010-09-09,36.05,36.05,36.05,36.05,36.05,10.0,0.0,NSE/BODHTREE
2010-09-13,37.0,37.3,34.3,37.0,37.0,302.0,0.11,NSE/BODHTREE
2010-09-14,37.05,37.8,35.2,36.85,36.85,404.0,0.15,NSE/BODHTREE
2010-09-15,37.0,38.0,35.05,35.05,35.05,405.0,0.14,NSE/BODHTREE
2010-09-16,34.0,34.15,33.65,33.65,33.65,300.0,0.1,NSE/BODHTREE
2010-09-21,30.9,33.85,30.85,33.6,33.6,622.0,0.19,NSE/BODHTREE
2010-09-22,35.25,35.25,33.2,35.0,35.0,224.0,0.08,NSE/BODHTREE
2010-09-23,35.0,36.5,34.25,34.25,34.25,385.0,0.14,NSE/BODHTREE
2010-09-24,35.9,35.9,35.9,35.9,35.9,200.0,0.07,NSE/BODHTREE
2010-10-01,37.7,37.7,35.5,35.5,35.5,401.0,0.15,NSE/BODHTREE
2010-10-04,37.3,37.3,34.5,35.0,35.0,600.0,0.21,NSE/BODHTREE
2010-10-05,34.8,34.8,34.0,34.0,34.0,150.0,0.05,NSE/BODHTREE
2010-10-06,35.0,35.0,32.3,34.9,34.9,231.0,0.08,NSE/BODHTREE
2010-10-07,33.15,33.15,33.15,33.15,33.15,10.0,0.0,NSE/BODHTREE
2010-10-11,34.0,34.0,34.0,34.0,34.0,1.0,0.0,NSE/BODHTREE
2010-10-12,32.5,35.7,32.3,35.7,34.3,210.0,0.07,NSE/BODHTREE
2010-10-13,36.05,36.05,35.5,36.05,36.05,425.0,0.15,NSE/BODHTREE
2010-10-14,37.85,37.85,37.85,37.85,37.85,2.0,0.0,NSE/BODHTREE
2010-10-15,39.75,39.75,39.0,39.7,39.7,300.0,0.12,NSE/BODHTREE
2010-10-18,37.75,37.75,37.75,37.75,37.75,50.0,0.02,NSE/BODHTREE
2010-10-20,39.65,39.65,39.65,39.65,39.65,1.0,0.0,NSE/BODHTREE
2010-10-21,39.65,39.65,37.7,39.5,39.5,123.0,0.05,NSE/BODHTREE
2010-10-22,41.5,41.5,41.5,41.5,41.5,1.0,0.0,NSE/BODHTREE
2010-10-25,43.6,43.6,40.0,43.0,42.95,254.0,0.11,NSE/BODHTREE
