Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,141.0,147.55,141.0,147.5,146.2,267330.0,387.47,NSE/BPL
2001-01-02,147.5,149.0,144.5,146.8,147.3,174396.0,255.79,NSE/BPL
2001-01-03,147.1,149.85,146.1,148.25,148.0,206003.0,304.81,NSE/BPL
2001-01-04,149.95,153.9,146.15,147.25,146.8,191460.0,285.09,NSE/BPL
2001-01-05,147.0,147.0,142.0,144.9,143.9,224664.0,324.62,NSE/BPL
2001-01-08,142.35,146.75,142.35,144.0,144.0,162968.0,236.65,NSE/BPL
2001-01-09,144.0,145.5,140.1,141.6,141.2,224500.0,319.23,NSE/BPL
2001-01-10,143.0,144.35,141.55,142.35,142.15,93819.0,134.06,NSE/BPL
2001-01-11,142.55,143.1,139.1,140.0,140.15,67561.0,95.17,NSE/BPL
2001-01-12,140.5,141.45,135.65,136.75,136.95,181598.0,252.08,NSE/BPL
2001-01-15,137.35,138.5,136.4,137.45,137.35,63942.0,87.9,NSE/BPL
2001-01-16,138.5,139.0,135.3,136.1,135.8,193106.0,264.49,NSE/BPL
2001-01-17,136.25,138.75,136.0,137.0,136.9,83994.0,115.83,NSE/BPL
2001-01-18,137.95,138.0,136.0,136.8,136.95,59776.0,81.9,NSE/BPL
2001-01-19,137.4,140.95,137.05,140.1,139.65,234047.0,325.76,NSE/BPL
2001-01-22,141.0,143.5,140.2,142.8,142.2,169375.0,240.37,NSE/BPL
2001-01-23,142.25,143.9,139.5,139.65,139.65,137732.0,193.84,NSE/BPL
2001-01-24,138.0,141.2,132.5,138.55,138.95,250730.0,347.31,NSE/BPL
2001-01-25,139.5,139.5,136.1,137.5,136.7,170776.0,234.43,NSE/BPL
2001-01-29,136.0,136.0,130.25,133.35,133.95,106300.0,141.91,NSE/BPL
2001-01-30,133.5,137.9,133.25,137.0,136.3,192529.0,262.08,NSE/BPL
2001-01-31,138.75,140.7,136.9,138.7,137.85,155659.0,216.17,NSE/BPL
2001-02-01,138.0,138.4,132.1,135.8,135.6,101979.0,138.69,NSE/BPL
2001-02-02,135.0,136.7,134.0,134.35,134.3,127134.0,171.98,NSE/BPL
2001-02-05,133.15,136.95,133.15,136.0,135.4,107703.0,146.33,NSE/BPL
2001-02-06,136.1,145.4,135.5,145.4,143.45,341701.0,479.55,NSE/BPL
2001-02-07,147.9,150.9,144.0,144.85,144.7,540564.0,793.93,NSE/BPL
2001-02-08,146.0,148.25,144.0,146.0,146.25,236987.0,347.37,NSE/BPL
2001-02-09,146.9,148.85,144.55,146.5,145.4,327376.0,481.93,NSE/BPL
2001-02-12,146.5,153.5,146.5,153.5,151.75,503318.0,759.08,NSE/BPL
2001-02-13,154.45,154.5,146.25,147.65,147.2,311772.0,465.93,NSE/BPL
2001-02-14,149.0,150.5,146.6,148.5,147.95,135115.0,200.17,NSE/BPL
2001-02-15,149.0,154.25,142.0,151.4,151.65,456718.0,693.86,NSE/BPL
2001-02-16,153.0,153.7,140.0,142.0,141.45,404340.0,595.55,NSE/BPL
2001-02-19,142.0,144.8,140.55,142.5,142.85,162597.0,231.69,NSE/BPL
2001-02-20,142.5,143.95,139.6,141.7,140.25,325993.0,462.6,NSE/BPL
2001-02-21,142.5,143.45,140.55,141.7,141.8,165517.0,235.49,NSE/BPL
2001-02-22,142.5,142.5,136.1,139.5,139.45,168734.0,234.95,NSE/BPL
2001-02-23,139.95,140.0,128.9,129.4,130.2,255202.0,341.62,NSE/BPL
2001-02-26,131.0,131.9,128.7,130.85,130.6,144248.0,187.97,NSE/BPL
