Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2009-03-27,106.0,106.0,18.75,19.0,19.9,11290474.0,2484.03,NSE/BRANDHOUSE
2009-03-30,18.5,18.9,15.95,16.1,15.95,2569914.0,425.75,NSE/BRANDHOUSE
2009-03-31,14.15,18.4,13.0,15.3,15.05,5153755.0,801.23,NSE/BRANDHOUSE
2009-04-01,15.05,17.3,15.05,16.4,16.35,1425814.0,233.66,NSE/BRANDHOUSE
2009-04-02,16.85,17.7,16.35,16.5,16.65,1304886.0,221.17,NSE/BRANDHOUSE
2009-04-06,17.5,17.5,15.9,16.1,16.05,568141.0,93.75,NSE/BRANDHOUSE
2009-04-08,15.5,15.9,15.15,15.5,15.55,636497.0,98.83,NSE/BRANDHOUSE
2009-04-09,15.65,16.35,15.05,15.6,15.6,492913.0,77.98,NSE/BRANDHOUSE
2009-04-13,16.0,16.5,15.2,15.7,15.8,577836.0,91.56,NSE/BRANDHOUSE
2009-04-15,15.2,16.5,15.2,16.15,16.25,556707.0,89.33,NSE/BRANDHOUSE
2009-04-16,16.5,16.7,15.05,15.05,15.4,383710.0,61.58,NSE/BRANDHOUSE
2009-04-17,15.25,16.8,15.25,15.65,15.6,442726.0,70.01,NSE/BRANDHOUSE
2009-04-20,15.7,16.4,15.3,15.9,15.9,431526.0,68.73,NSE/BRANDHOUSE
2009-04-21,15.8,16.75,15.65,16.3,16.25,587614.0,95.12,NSE/BRANDHOUSE
2009-04-22,16.3,18.25,16.3,17.2,17.35,1002249.0,174.27,NSE/BRANDHOUSE
2009-04-23,17.8,18.0,16.5,16.6,16.65,211716.0,35.67,NSE/BRANDHOUSE
2009-04-24,17.05,17.65,16.5,16.7,16.7,473116.0,80.78,NSE/BRANDHOUSE
2009-04-27,19.8,19.8,16.25,16.4,16.4,251869.0,42.55,NSE/BRANDHOUSE
2009-04-28,16.4,16.7,15.4,15.4,15.55,188387.0,30.02,NSE/BRANDHOUSE
2009-04-29,15.75,15.8,15.1,15.55,15.4,154323.0,23.95,NSE/BRANDHOUSE
2009-05-04,15.85,15.95,15.35,15.45,15.5,174351.0,27.17,NSE/BRANDHOUSE
2009-05-05,15.5,15.85,15.4,15.6,15.55,96349.0,15.04,NSE/BRANDHOUSE
2009-05-06,15.55,16.15,15.25,15.4,15.35,222133.0,34.96,NSE/BRANDHOUSE
2009-05-07,15.7,15.7,15.3,15.5,15.5,90843.0,14.06,NSE/BRANDHOUSE
2009-05-08,15.45,15.8,15.15,15.2,15.3,148245.0,22.91,NSE/BRANDHOUSE
2009-05-11,15.2,15.5,14.5,14.55,14.6,149435.0,22.26,NSE/BRANDHOUSE
2009-05-12,14.6,14.7,14.0,14.55,14.4,121369.0,17.51,NSE/BRANDHOUSE
2009-05-13,14.7,14.8,14.3,14.35,14.45,85970.0,12.52,NSE/BRANDHOUSE
2009-05-14,15.5,15.5,14.0,14.55,14.55,70265.0,10.14,NSE/BRANDHOUSE
2009-05-15,14.85,14.85,14.0,14.2,14.15,113210.0,16.28,NSE/BRANDHOUSE
2009-05-18,16.8,16.8,16.8,16.8,16.8,1500.0,0.25,NSE/BRANDHOUSE
2009-05-19,17.0,17.0,14.1,15.25,15.3,349405.0,53.4,NSE/BRANDHOUSE
2009-05-20,14.8,17.35,14.8,17.05,16.95,786877.0,131.05,NSE/BRANDHOUSE
2009-05-21,17.5,20.35,17.5,20.35,19.9,2032720.0,393.81,NSE/BRANDHOUSE
2009-05-22,21.05,23.9,21.05,23.9,23.9,1561421.0,358.86,NSE/BRANDHOUSE
2009-05-25,25.4,26.2,23.6,24.0,23.9,1098098.0,270.04,NSE/BRANDHOUSE
2009-05-26,24.0,24.8,21.55,22.05,21.85,615020.0,139.78,NSE/BRANDHOUSE
2009-05-27,22.8,24.05,22.2,24.05,24.05,455654.0,105.54,NSE/BRANDHOUSE
2009-05-28,24.7,25.95,23.65,24.65,24.65,921961.0,230.54,NSE/BRANDHOUSE
2009-05-29,25.1,26.0,24.05,24.2,24.4,537740.0,135.1,NSE/BRANDHOUSE
2009-06-01,25.0,25.45,24.3,24.6,24.6,339555.0,84.32,NSE/BRANDHOUSE
2009-06-02,24.5,25.5,23.55,24.0,24.0,269835.0,65.62,NSE/BRANDHOUSE
2009-06-03,24.8,25.5,23.7,24.9,25.15,609098.0,150.26,NSE/BRANDHOUSE
2009-06-04,25.0,27.7,25.0,27.7,27.7,1276561.0,347.26,NSE/BRANDHOUSE
2009-06-05,29.9,30.5,28.6,29.25,29.3,1222303.0,364.75,NSE/BRANDHOUSE
2009-06-08,30.4,30.4,26.4,26.4,26.4,574514.0,155.71,NSE/BRANDHOUSE
2009-06-09,24.8,26.55,23.8,25.6,25.75,640258.0,161.37,NSE/BRANDHOUSE
2009-06-10,26.05,27.55,24.65,25.3,25.15,394903.0,103.46,NSE/BRANDHOUSE
2009-06-11,24.6,26.5,24.35,25.85,25.75,379597.0,95.65,NSE/BRANDHOUSE
2009-06-12,26.1,26.85,24.6,24.95,25.05,310583.0,80.16,NSE/BRANDHOUSE
2009-06-15,24.3,25.4,23.0,23.4,23.35,228632.0,55.26,NSE/BRANDHOUSE
2009-06-16,23.15,24.5,22.7,24.15,24.15,267039.0,63.94,NSE/BRANDHOUSE
2009-06-17,24.1,25.7,23.95,24.2,24.25,334927.0,82.52,NSE/BRANDHOUSE
2009-06-18,24.0,24.5,21.85,21.85,21.85,270995.0,61.46,NSE/BRANDHOUSE
2009-06-19,22.0,22.8,20.45,21.25,21.25,172008.0,36.8,NSE/BRANDHOUSE
2009-06-22,21.6,22.35,19.3,20.8,20.65,150433.0,32.45,NSE/BRANDHOUSE
2009-06-23,20.0,21.0,19.35,20.5,20.35,142390.0,28.75,NSE/BRANDHOUSE
2009-06-24,20.75,22.4,20.7,22.1,22.2,139621.0,30.19,NSE/BRANDHOUSE
2009-06-25,22.5,22.9,21.2,21.6,21.55,106443.0,23.64,NSE/BRANDHOUSE
2009-06-26,22.25,22.9,21.65,22.05,21.95,224570.0,50.08,NSE/BRANDHOUSE
2009-06-29,22.1,23.9,21.8,23.65,23.6,305832.0,70.93,NSE/BRANDHOUSE
2009-06-30,24.5,25.95,22.9,23.0,23.2,622559.0,152.04,NSE/BRANDHOUSE
2009-07-01,23.15,23.95,22.75,23.15,23.1,293887.0,68.74,NSE/BRANDHOUSE
2009-07-02,23.0,24.2,21.9,23.7,23.75,249172.0,58.45,NSE/BRANDHOUSE
2009-07-03,23.5,23.75,22.8,22.8,22.95,154644.0,35.75,NSE/BRANDHOUSE
2009-07-06,23.95,25.25,22.85,23.3,23.2,791702.0,192.83,NSE/BRANDHOUSE
2009-07-07,24.0,24.8,23.15,24.4,24.0,307576.0,73.75,NSE/BRANDHOUSE
2009-07-08,24.0,24.0,21.5,21.75,22.0,259738.0,58.7,NSE/BRANDHOUSE
2009-07-09,22.45,22.7,21.5,21.95,21.85,148821.0,32.81,NSE/BRANDHOUSE
2009-07-10,21.85,22.5,20.1,20.8,20.5,122589.0,26.31,NSE/BRANDHOUSE
2009-07-13,19.8,20.85,18.3,19.3,18.9,181138.0,35.09,NSE/BRANDHOUSE
2009-07-14,20.3,20.3,19.6,19.9,19.9,147908.0,29.43,NSE/BRANDHOUSE
2009-07-15,20.4,21.65,20.0,21.05,21.05,242206.0,50.32,NSE/BRANDHOUSE
2009-07-16,21.6,23.9,21.25,21.7,21.55,935247.0,211.16,NSE/BRANDHOUSE
2009-07-17,21.8,22.7,21.6,22.0,22.0,246976.0,54.43,NSE/BRANDHOUSE
2009-07-20,22.5,23.35,22.0,22.9,22.75,412516.0,93.84,NSE/BRANDHOUSE
2009-07-21,23.0,23.95,22.8,23.15,23.05,314974.0,73.42,NSE/BRANDHOUSE
2009-07-22,23.45,24.6,22.75,23.15,23.05,781873.0,186.83,NSE/BRANDHOUSE
2009-07-23,23.5,24.5,23.45,24.15,24.05,343953.0,82.27,NSE/BRANDHOUSE
2009-07-24,24.45,24.85,23.5,24.05,23.9,440961.0,106.94,NSE/BRANDHOUSE
2009-07-27,24.25,25.7,23.65,25.0,24.9,823927.0,205.62,NSE/BRANDHOUSE
2009-07-28,25.3,27.45,24.6,27.0,26.75,967411.0,252.48,NSE/BRANDHOUSE
2009-07-29,26.75,32.0,26.5,31.15,31.4,4606952.0,1384.1,NSE/BRANDHOUSE
2009-07-30,31.3,32.35,29.35,29.4,29.75,1791743.0,552.77,NSE/BRANDHOUSE
2009-07-31,30.05,31.0,27.8,28.35,28.05,1011719.0,293.52,NSE/BRANDHOUSE
2009-08-03,28.65,29.8,27.7,29.3,29.0,807845.0,234.1,NSE/BRANDHOUSE
2009-08-04,29.65,30.9,28.9,29.65,29.7,1107984.0,332.47,NSE/BRANDHOUSE
2009-08-05,29.8,31.5,29.8,30.85,30.8,1354931.0,417.38,NSE/BRANDHOUSE
2009-08-06,30.45,32.75,29.85,30.0,30.15,2115685.0,669.53,NSE/BRANDHOUSE
2009-08-07,30.0,30.65,27.5,28.15,28.1,1164140.0,336.18,NSE/BRANDHOUSE
2009-08-10,28.9,29.6,28.7,29.0,28.95,657239.0,190.98,NSE/BRANDHOUSE
2009-08-11,29.3,30.1,28.1,29.05,29.1,670555.0,194.49,NSE/BRANDHOUSE
2009-08-12,29.0,29.1,28.0,28.8,28.7,360473.0,102.75,NSE/BRANDHOUSE
2009-08-13,29.6,31.8,29.2,31.0,30.95,1417762.0,436.58,NSE/BRANDHOUSE
2009-08-14,31.25,36.45,31.1,35.3,35.8,4285493.0,1481.19,NSE/BRANDHOUSE
2009-08-17,34.15,36.2,32.9,33.35,33.35,3196858.0,1111.53,NSE/BRANDHOUSE
2009-08-18,33.6,35.3,33.6,34.8,34.55,1904687.0,656.08,NSE/BRANDHOUSE
2009-08-19,35.3,38.4,35.3,36.95,36.75,3743957.0,1385.08,NSE/BRANDHOUSE
2009-08-20,37.65,38.15,36.15,36.95,36.7,1327708.0,492.26,NSE/BRANDHOUSE
2009-08-21,36.9,38.25,36.1,36.3,36.35,1538919.0,571.65,NSE/BRANDHOUSE
2009-08-24,37.25,37.6,35.4,36.15,36.45,862709.0,316.99,NSE/BRANDHOUSE
2009-08-25,36.6,36.65,34.35,34.85,34.85,825935.0,290.96,NSE/BRANDHOUSE
2009-08-26,35.0,38.75,34.9,37.35,37.05,2703726.0,1007.98,NSE/BRANDHOUSE
2009-08-27,37.4,38.2,36.25,36.85,36.65,1219165.0,453.31,NSE/BRANDHOUSE
2009-08-28,36.95,37.5,36.25,36.4,36.4,808382.0,296.49,NSE/BRANDHOUSE
2009-08-31,35.95,36.55,35.2,36.0,35.85,494954.0,178.14,NSE/BRANDHOUSE
2009-09-01,36.7,36.9,33.95,34.5,34.4,519972.0,185.34,NSE/BRANDHOUSE
2009-09-02,33.8,34.9,33.3,33.75,33.6,517286.0,176.0,NSE/BRANDHOUSE
