Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,820.0,824.0,792.15,803.95,798.75,6141.0,49.51,NSE/BRITANNIA
2001-01-02,795.0,815.5,791.0,805.0,799.95,5878.0,46.82,NSE/BRITANNIA
2001-01-03,804.8,811.0,790.0,807.0,807.1,7576.0,60.74,NSE/BRITANNIA
2001-01-04,814.0,814.0,790.0,798.0,793.15,8133.0,65.45,NSE/BRITANNIA
2001-01-05,792.0,807.0,792.0,807.0,803.05,8885.0,71.11,NSE/BRITANNIA
2001-01-08,807.0,816.0,802.0,814.75,813.85,23224.0,188.94,NSE/BRITANNIA
2001-01-09,819.9,819.9,800.0,800.0,804.3,4825.0,38.88,NSE/BRITANNIA
2001-01-10,815.0,815.0,791.0,795.25,795.2,6707.0,53.81,NSE/BRITANNIA
2001-01-11,775.0,801.0,775.0,791.1,797.0,11958.0,95.35,NSE/BRITANNIA
2001-01-12,783.5,798.75,783.5,790.0,786.3,13803.0,109.06,NSE/BRITANNIA
2001-01-15,780.0,790.0,773.0,789.0,787.85,2154.0,16.93,NSE/BRITANNIA
2001-01-16,789.9,790.0,775.0,781.0,777.15,5837.0,45.57,NSE/BRITANNIA
2001-01-17,785.0,785.0,760.0,781.0,782.15,1723.0,13.46,NSE/BRITANNIA
2001-01-18,768.15,782.45,768.0,775.0,772.35,1948.0,15.09,NSE/BRITANNIA
2001-01-19,770.0,810.0,765.25,790.0,799.7,44907.0,358.64,NSE/BRITANNIA
2001-01-22,780.0,800.0,780.0,785.0,781.15,3472.0,27.28,NSE/BRITANNIA
2001-01-23,780.0,783.95,761.0,766.05,768.4,4261.0,32.92,NSE/BRITANNIA
2001-01-24,760.5,785.0,760.5,769.0,767.8,10123.0,77.93,NSE/BRITANNIA
2001-01-25,766.0,772.9,760.0,763.0,763.6,8720.0,66.66,NSE/BRITANNIA
2001-01-29,775.0,775.0,750.0,762.0,761.4,5030.0,38.23,NSE/BRITANNIA
2001-01-30,728.0,780.0,728.0,772.0,774.6,12858.0,99.31,NSE/BRITANNIA
2001-01-31,795.0,800.0,770.0,792.25,797.55,16803.0,133.14,NSE/BRITANNIA
2001-02-01,799.9,800.05,787.0,796.05,795.05,22197.0,176.5,NSE/BRITANNIA
2001-02-02,795.0,800.0,792.0,798.0,796.5,3845.0,30.63,NSE/BRITANNIA
2001-02-05,803.0,803.0,771.0,778.0,775.2,49539.0,393.26,NSE/BRITANNIA
2001-02-06,766.05,785.0,765.25,772.25,773.85,6828.0,52.82,NSE/BRITANNIA
2001-02-07,716.1,793.0,716.1,773.3,768.75,5410.0,41.78,NSE/BRITANNIA
2001-02-08,779.9,785.0,761.0,781.0,780.55,7496.0,58.48,NSE/BRITANNIA
2001-02-09,765.0,788.0,765.0,774.0,773.5,3471.0,26.94,NSE/BRITANNIA
2001-02-12,784.0,807.5,771.0,800.0,797.95,28841.0,229.95,NSE/BRITANNIA
2001-02-13,807.9,807.9,790.0,798.0,796.25,38983.0,310.32,NSE/BRITANNIA
2001-02-14,805.0,823.0,797.25,810.95,807.7,53351.0,429.54,NSE/BRITANNIA
2001-02-15,814.0,816.9,805.0,809.0,812.6,47738.0,387.39,NSE/BRITANNIA
2001-02-16,801.0,814.0,801.0,805.2,807.1,11559.0,93.48,NSE/BRITANNIA
2001-02-19,798.0,813.0,795.0,812.0,810.35,8236.0,66.38,NSE/BRITANNIA
2001-02-20,806.0,811.0,800.0,801.0,801.0,8049.0,64.67,NSE/BRITANNIA
2001-02-21,781.0,805.5,781.0,795.0,794.9,2759.0,22.0,NSE/BRITANNIA
2001-02-22,789.0,804.8,785.6,788.0,790.25,4623.0,36.61,NSE/BRITANNIA
2001-02-23,788.1,792.0,776.0,778.5,781.6,5270.0,41.26,NSE/BRITANNIA
2001-02-26,770.2,780.0,728.0,772.35,774.0,5661.0,43.04,NSE/BRITANNIA
2001-02-27,763.05,795.0,763.05,770.2,779.25,5875.0,45.36,NSE/BRITANNIA
2001-02-28,720.0,800.0,720.0,725.0,733.7,16612.0,126.61,NSE/BRITANNIA
2001-03-01,721.5,724.9,681.0,704.0,707.9,60400.0,425.04,NSE/BRITANNIA
2001-03-02,733.0,733.0,690.25,726.0,717.9,15339.0,109.46,NSE/BRITANNIA
2001-03-05,709.0,725.0,708.0,722.0,717.5,15099.0,108.02,NSE/BRITANNIA
2001-03-07,717.55,720.0,700.1,708.0,707.75,6932.0,49.08,NSE/BRITANNIA
2001-03-08,719.85,719.85,681.05,700.0,699.55,5582.0,39.0,NSE/BRITANNIA
2001-03-09,685.0,749.0,671.25,692.0,695.1,5398.0,37.31,NSE/BRITANNIA
2001-03-12,675.0,703.75,675.0,697.0,685.0,1508.0,10.34,NSE/BRITANNIA
2001-03-13,676.0,735.0,645.0,666.0,661.85,5724.0,38.13,NSE/BRITANNIA
2001-03-14,659.0,699.0,659.0,672.5,671.5,2367.0,15.92,NSE/BRITANNIA
2001-03-15,694.9,694.9,662.0,686.0,684.2,980.0,6.63,NSE/BRITANNIA
2001-03-16,680.0,685.0,665.5,672.0,668.45,1274.0,8.6,NSE/BRITANNIA
2001-03-19,660.0,683.0,656.0,667.0,668.15,680.0,4.53,NSE/BRITANNIA
2001-03-20,681.0,681.0,652.3,671.65,666.4,2210.0,14.6,NSE/BRITANNIA
2001-03-21,669.0,670.0,661.0,669.9,669.35,317.0,2.11,NSE/BRITANNIA
2001-03-22,671.0,698.0,668.0,698.0,687.5,4738.0,32.07,NSE/BRITANNIA
2001-03-23,680.0,684.0,670.0,670.0,671.35,2835.0,19.08,NSE/BRITANNIA
2001-03-26,690.0,690.0,652.5,665.15,665.65,637.0,4.24,NSE/BRITANNIA
2001-03-27,651.0,680.0,651.0,680.0,675.95,1966.0,13.21,NSE/BRITANNIA
2001-03-28,729.9,729.9,674.5,694.75,694.55,7222.0,50.09,NSE/BRITANNIA
2001-03-29,673.0,699.0,673.0,694.95,694.9,18291.0,126.69,NSE/BRITANNIA
2001-03-30,715.0,729.0,680.3,699.0,699.05,8464.0,59.13,NSE/BRITANNIA
2001-04-02,680.0,695.0,673.0,678.6,682.55,4363.0,29.73,NSE/BRITANNIA
2001-04-03,657.0,693.0,657.0,684.05,686.95,8142.0,54.96,NSE/BRITANNIA
2001-04-04,676.0,690.0,676.0,688.95,685.95,8141.0,55.9,NSE/BRITANNIA
2001-04-06,663.55,687.8,663.55,669.0,671.1,580.0,3.92,NSE/BRITANNIA
2001-04-09,674.25,709.8,660.35,678.5,686.7,3213.0,21.66,NSE/BRITANNIA
2001-04-10,680.0,687.0,662.0,680.9,679.4,1473.0,9.92,NSE/BRITANNIA
2001-04-11,678.0,678.0,655.55,664.0,663.45,1568.0,10.41,NSE/BRITANNIA
2001-04-12,631.95,684.0,631.95,677.0,673.4,3745.0,24.69,NSE/BRITANNIA
2001-04-16,684.0,684.0,658.4,672.0,670.9,4180.0,27.77,NSE/BRITANNIA
2001-04-17,680.0,685.0,665.25,685.0,682.05,6430.0,43.67,NSE/BRITANNIA
2001-04-18,675.0,688.0,675.0,688.0,685.05,6978.0,47.74,NSE/BRITANNIA
2001-04-19,677.0,700.0,677.0,694.95,694.45,9082.0,62.93,NSE/BRITANNIA
2001-04-20,675.0,695.6,640.0,695.6,693.25,8020.0,55.46,NSE/BRITANNIA
2001-04-23,690.0,696.0,680.1,696.0,694.05,5002.0,34.65,NSE/BRITANNIA
2001-04-24,689.0,694.75,687.0,693.9,694.1,1532.0,10.62,NSE/BRITANNIA
2001-04-25,640.1,714.9,640.1,693.0,686.9,1207.0,8.3,NSE/BRITANNIA
2001-04-26,695.0,701.0,690.05,695.1,700.0,27053.0,189.19,NSE/BRITANNIA
2001-04-27,690.0,698.8,675.0,692.0,695.45,2520.0,17.43,NSE/BRITANNIA
2001-04-30,683.25,695.5,683.25,694.1,694.75,9671.0,67.05,NSE/BRITANNIA
2001-05-02,665.0,695.0,665.0,687.0,686.55,21175.0,147.06,NSE/BRITANNIA
2001-05-03,680.1,692.0,680.1,688.9,688.95,1358.0,9.35,NSE/BRITANNIA
2001-05-04,690.0,690.0,676.0,680.0,681.25,927.0,6.33,NSE/BRITANNIA
2001-05-07,677.0,683.9,677.0,683.0,680.25,1230.0,8.37,NSE/BRITANNIA
2001-05-08,680.3,684.65,673.05,674.05,674.6,542.0,3.67,NSE/BRITANNIA
2001-05-09,677.35,683.9,672.25,673.9,674.1,11346.0,76.53,NSE/BRITANNIA
2001-05-10,671.0,674.5,670.0,673.9,673.9,263.0,1.77,NSE/BRITANNIA
2001-05-11,664.55,677.0,664.55,677.0,668.9,589.0,3.94,NSE/BRITANNIA
2001-05-14,675.0,676.0,663.4,663.5,663.5,1630.0,10.91,NSE/BRITANNIA
2001-05-15,676.95,681.0,641.05,654.5,648.5,2877.0,18.84,NSE/BRITANNIA
2001-05-16,668.0,668.0,647.0,654.9,650.7,2725.0,17.84,NSE/BRITANNIA
2001-05-17,654.85,658.0,646.0,650.0,647.7,2728.0,17.71,NSE/BRITANNIA
2001-05-18,652.0,657.9,635.0,640.0,637.65,28757.0,186.74,NSE/BRITANNIA
2001-05-21,655.0,674.0,628.0,651.5,649.75,8219.0,53.95,NSE/BRITANNIA
2001-05-22,651.0,654.5,631.5,651.0,650.15,7116.0,46.12,NSE/BRITANNIA
2001-05-23,652.0,658.0,651.0,655.9,654.15,1345.0,8.8,NSE/BRITANNIA
2001-05-24,656.0,657.5,654.0,655.0,654.8,1035.0,6.78,NSE/BRITANNIA
2001-05-25,640.7,650.9,640.7,644.0,642.55,4857.0,31.21,NSE/BRITANNIA
2001-05-28,647.0,649.0,637.0,637.0,638.0,10751.0,69.15,NSE/BRITANNIA
2001-05-29,644.95,644.95,630.0,640.0,639.15,5479.0,34.99,NSE/BRITANNIA
2001-05-30,649.75,662.0,636.4,642.5,641.35,18883.0,122.48,NSE/BRITANNIA
2001-05-31,651.95,651.95,635.0,643.5,642.2,3222.0,20.69,NSE/BRITANNIA
2001-06-01,647.0,650.0,638.0,645.0,641.3,2665.0,17.14,NSE/BRITANNIA
2001-06-04,640.0,640.0,636.0,637.8,638.0,3988.0,25.45,NSE/BRITANNIA
2001-06-05,632.0,633.0,592.55,620.1,619.65,9290.0,57.93,NSE/BRITANNIA
2001-06-06,606.0,636.0,606.0,619.0,615.95,2662.0,16.49,NSE/BRITANNIA
2001-06-07,619.7,619.7,600.0,604.5,606.95,4355.0,26.44,NSE/BRITANNIA
2001-06-08,610.55,631.5,606.75,631.0,628.2,9732.0,60.54,NSE/BRITANNIA
2001-06-11,625.0,633.45,615.2,622.6,618.3,4057.0,25.29,NSE/BRITANNIA
2001-06-12,630.0,630.0,610.0,627.0,624.5,16978.0,105.55,NSE/BRITANNIA
2001-06-13,674.45,674.45,640.0,648.0,643.5,66321.0,435.49,NSE/BRITANNIA
2001-06-14,645.0,659.0,645.0,650.0,652.1,39358.0,256.14,NSE/BRITANNIA
