Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-03-07,140.0,140.0,67.0,70.0,70.4,11041392.0,9296.28,NSE/BROADCAST
2007-03-08,68.55,72.75,60.7,67.1,67.3,7195985.0,4740.77,NSE/BROADCAST
2007-03-09,66.0,74.5,64.05,67.5,69.1,4494235.0,3177.11,NSE/BROADCAST
2007-03-12,68.4,73.4,68.3,69.9,69.9,2239985.0,1584.65,NSE/BROADCAST
2007-03-13,69.7,76.4,69.7,72.15,72.1,2659999.0,1949.53,NSE/BROADCAST
2007-03-14,71.9,72.5,67.5,68.4,70.1,1267032.0,880.94,NSE/BROADCAST
2007-03-15,70.7,77.6,70.7,71.6,72.25,3563893.0,2672.8,NSE/BROADCAST
2007-03-16,72.75,74.2,68.5,68.7,69.1,1104220.0,786.36,NSE/BROADCAST
2007-03-19,71.0,73.65,69.95,70.4,70.4,700500.0,496.2,NSE/BROADCAST
2007-03-20,70.9,72.25,68.15,68.5,68.65,422296.0,297.33,NSE/BROADCAST
2007-03-21,69.4,69.4,65.2,66.6,66.1,344578.0,230.72,NSE/BROADCAST
2007-03-22,67.05,68.0,64.9,65.5,65.4,241112.0,159.91,NSE/BROADCAST
2007-03-23,66.35,67.5,62.0,64.9,64.45,528389.0,344.35,NSE/BROADCAST
2007-03-26,65.0,66.5,62.6,63.0,63.05,342685.0,222.13,NSE/BROADCAST
2007-03-28,63.6,63.6,58.6,59.0,59.3,265136.0,161.58,NSE/BROADCAST
2007-03-29,59.75,60.8,58.55,59.15,59.0,311556.0,186.21,NSE/BROADCAST
2007-03-30,60.15,62.3,59.5,60.5,60.6,355164.0,216.5,NSE/BROADCAST
2007-04-02,58.0,60.15,56.2,56.6,56.85,192532.0,112.32,NSE/BROADCAST
2007-04-03,57.0,57.95,55.65,56.2,56.0,123554.0,69.99,NSE/BROADCAST
2007-04-04,56.6,57.75,55.5,55.6,55.75,127553.0,71.94,NSE/BROADCAST
2007-04-05,56.1,58.45,55.0,56.3,56.3,231050.0,131.24,NSE/BROADCAST
2007-04-09,56.65,58.9,56.65,58.15,57.8,171951.0,99.37,NSE/BROADCAST
2007-04-10,58.15,62.35,57.35,62.0,61.6,499734.0,302.56,NSE/BROADCAST
2007-04-11,62.75,64.85,61.5,61.85,62.05,521280.0,328.84,NSE/BROADCAST
2007-04-12,61.5,62.0,59.6,59.9,59.8,109604.0,66.69,NSE/BROADCAST
2007-04-13,59.0,61.85,59.0,59.45,59.6,146535.0,88.54,NSE/BROADCAST
2007-04-16,60.5,71.55,60.1,71.55,71.55,1615929.0,1084.58,NSE/BROADCAST
2007-04-17,73.0,76.3,70.1,70.6,70.75,2440345.0,1789.93,NSE/BROADCAST
2007-04-18,70.0,72.7,68.1,68.1,68.6,725767.0,511.64,NSE/BROADCAST
2007-04-19,67.0,70.0,66.25,67.1,67.3,424120.0,288.37,NSE/BROADCAST
2007-04-20,68.05,69.4,66.6,66.75,66.95,207382.0,141.53,NSE/BROADCAST
2007-04-23,68.0,76.4,66.4,72.5,73.75,1786546.0,1307.73,NSE/BROADCAST
2007-04-24,73.4,76.85,71.05,71.85,71.8,1067005.0,791.75,NSE/BROADCAST
2007-04-25,72.0,74.25,70.65,71.1,71.05,332605.0,240.11,NSE/BROADCAST
2007-04-26,72.0,74.2,70.05,70.5,70.35,404208.0,292.71,NSE/BROADCAST
2007-04-27,71.0,71.25,67.1,67.95,67.9,160768.0,111.59,NSE/BROADCAST
2007-04-30,67.9,71.4,67.05,69.3,68.65,335589.0,233.96,NSE/BROADCAST
2007-05-03,70.0,73.25,69.5,70.4,70.25,524232.0,375.62,NSE/BROADCAST
2007-05-04,73.0,74.0,69.65,69.65,70.25,422324.0,302.06,NSE/BROADCAST
2007-05-07,70.9,72.4,68.5,69.05,68.85,195078.0,137.61,NSE/BROADCAST
2007-05-08,69.7,70.8,68.3,68.5,68.65,130788.0,90.89,NSE/BROADCAST
2007-05-09,69.5,79.6,68.6,76.5,76.9,5941137.0,4556.4,NSE/BROADCAST
2007-05-10,77.55,78.4,72.2,72.5,73.0,2085439.0,1593.16,NSE/BROADCAST
2007-05-11,71.7,76.45,70.3,74.25,74.05,1177381.0,876.27,NSE/BROADCAST
2007-05-14,76.15,76.15,73.0,73.25,73.35,401670.0,299.56,NSE/BROADCAST
2007-05-15,73.7,82.8,72.5,78.2,77.95,3646044.0,2898.27,NSE/BROADCAST
2007-05-16,79.0,81.4,75.7,76.7,76.55,1223095.0,964.67,NSE/BROADCAST
2007-05-17,77.5,79.5,75.8,76.05,76.25,544783.0,423.13,NSE/BROADCAST
2007-05-18,76.25,76.9,73.6,74.0,74.0,332780.0,250.78,NSE/BROADCAST
2007-05-21,74.5,77.45,74.1,75.2,75.1,351741.0,266.56,NSE/BROADCAST
2007-05-22,76.0,81.6,75.0,77.4,77.35,1709285.0,1349.51,NSE/BROADCAST
2007-05-23,77.0,79.8,74.75,75.4,75.25,558054.0,432.64,NSE/BROADCAST
2007-05-24,75.6,78.5,75.0,75.2,75.35,421151.0,322.87,NSE/BROADCAST
2007-05-25,74.8,75.9,74.0,74.3,74.35,264102.0,197.49,NSE/BROADCAST
2007-05-28,77.4,80.4,75.2,78.95,78.35,1013094.0,793.81,NSE/BROADCAST
2007-05-29,78.95,86.1,78.7,83.5,84.1,3095365.0,2591.06,NSE/BROADCAST
2007-05-30,80.4,84.0,78.55,79.2,78.9,801564.0,649.91,NSE/BROADCAST
2007-05-31,80.15,80.45,77.5,78.7,78.25,293026.0,231.42,NSE/BROADCAST
2007-06-01,79.05,82.5,78.6,79.8,79.2,669557.0,540.55,NSE/BROADCAST
2007-06-04,80.3,82.2,79.1,79.5,79.4,438872.0,352.95,NSE/BROADCAST
2007-06-05,80.0,84.4,78.7,81.8,81.75,1513707.0,1246.53,NSE/BROADCAST
2007-06-06,80.5,82.85,76.3,78.0,77.5,569913.0,458.11,NSE/BROADCAST
2007-06-07,78.1,78.75,76.25,77.2,76.9,289206.0,224.35,NSE/BROADCAST
2007-06-08,76.5,77.7,75.15,75.7,75.6,241554.0,184.71,NSE/BROADCAST
2007-06-11,77.1,79.1,75.25,75.8,75.5,206448.0,158.88,NSE/BROADCAST
2007-06-12,76.4,76.45,72.55,74.0,73.8,192637.0,143.63,NSE/BROADCAST
2007-06-13,74.5,74.5,71.15,71.6,72.2,137898.0,100.67,NSE/BROADCAST
2007-06-14,73.15,79.25,73.15,78.6,78.5,728206.0,564.31,NSE/BROADCAST
2007-06-15,79.5,83.25,79.2,79.8,79.95,978341.0,797.32,NSE/BROADCAST
2007-06-18,80.5,82.05,79.0,79.8,79.6,489278.0,393.63,NSE/BROADCAST
2007-06-19,80.2,81.0,79.0,79.5,79.55,164424.0,131.46,NSE/BROADCAST
2007-06-20,78.0,82.65,78.0,79.8,79.75,513090.0,416.62,NSE/BROADCAST
2007-06-21,80.2,81.5,78.2,79.25,79.05,209826.0,167.73,NSE/BROADCAST
2007-06-22,79.2,79.7,77.1,77.4,77.3,122388.0,95.86,NSE/BROADCAST
2007-06-25,77.9,78.7,76.5,77.25,76.85,150718.0,116.72,NSE/BROADCAST
2007-06-26,77.35,78.5,76.45,76.8,76.95,150234.0,116.09,NSE/BROADCAST
2007-06-27,77.0,77.45,74.65,75.2,75.1,104174.0,79.13,NSE/BROADCAST
2007-06-28,76.0,76.6,75.05,75.25,75.3,83552.0,63.31,NSE/BROADCAST
2007-06-29,75.9,77.75,74.65,75.35,75.45,161110.0,122.43,NSE/BROADCAST
2007-07-02,75.35,78.0,74.8,76.25,75.65,269526.0,205.54,NSE/BROADCAST
2007-07-03,76.7,78.65,75.85,76.0,76.1,214832.0,165.75,NSE/BROADCAST
2007-07-04,76.25,76.85,74.5,74.65,74.85,120178.0,90.8,NSE/BROADCAST
2007-07-05,75.25,76.2,73.55,73.85,73.7,130599.0,97.34,NSE/BROADCAST
2007-07-06,80.0,80.0,73.1,73.5,73.5,97304.0,72.09,NSE/BROADCAST
2007-07-09,74.2,74.4,72.6,72.7,73.05,57572.0,42.43,NSE/BROADCAST
2007-07-10,73.5,76.5,73.25,74.7,74.55,218640.0,163.72,NSE/BROADCAST
2007-07-11,74.45,76.1,73.8,74.3,74.1,81835.0,61.38,NSE/BROADCAST
2007-07-12,75.0,75.4,73.5,73.8,73.95,59994.0,44.72,NSE/BROADCAST
2007-07-13,74.7,74.8,72.55,73.0,72.8,55411.0,40.85,NSE/BROADCAST
2007-07-16,73.7,73.7,70.4,70.55,71.4,108445.0,78.26,NSE/BROADCAST
2007-07-17,73.9,73.9,70.6,71.15,70.95,97634.0,70.35,NSE/BROADCAST
2007-07-18,71.2,71.7,70.0,70.6,70.6,69495.0,49.15,NSE/BROADCAST
2007-07-19,70.5,71.45,68.7,69.0,68.95,70465.0,49.25,NSE/BROADCAST
2007-07-20,70.9,71.5,68.8,69.6,69.45,97474.0,68.23,NSE/BROADCAST
2007-07-23,69.6,69.8,67.35,67.5,67.65,34996.0,23.93,NSE/BROADCAST
2007-07-24,68.0,69.5,64.0,65.0,65.2,133010.0,88.7,NSE/BROADCAST
2007-07-25,64.9,65.75,62.6,63.9,64.05,59451.0,38.3,NSE/BROADCAST
2007-07-26,65.5,65.5,63.2,63.2,63.8,36528.0,23.57,NSE/BROADCAST
2007-07-27,63.2,63.2,61.05,61.4,61.45,32136.0,19.93,NSE/BROADCAST
2007-07-30,61.15,67.2,61.15,65.75,65.35,121755.0,79.02,NSE/BROADCAST
2007-07-31,67.3,68.4,66.25,67.4,67.1,110832.0,74.63,NSE/BROADCAST
2007-08-01,65.0,66.9,62.0,62.7,62.85,37766.0,24.27,NSE/BROADCAST
2007-08-02,64.9,64.9,61.2,62.0,61.8,57285.0,35.75,NSE/BROADCAST
2007-08-03,62.95,63.2,60.5,61.3,61.6,43904.0,27.25,NSE/BROADCAST
2007-08-06,59.2,61.0,59.1,60.3,60.15,26487.0,15.95,NSE/BROADCAST
2007-08-07,59.65,62.7,59.65,60.15,61.55,43228.0,26.76,NSE/BROADCAST
2007-08-08,63.0,64.85,61.25,63.6,63.55,80630.0,51.19,NSE/BROADCAST
2007-08-09,65.6,65.6,61.0,61.35,61.35,58250.0,36.62,NSE/BROADCAST
2007-08-10,56.1,60.6,56.1,60.3,59.95,35052.0,20.98,NSE/BROADCAST
2007-08-13,60.6,61.95,60.0,60.15,60.4,19518.0,11.85,NSE/BROADCAST
2007-08-14,61.3,61.3,59.1,59.55,59.6,28081.0,16.85,NSE/BROADCAST
2007-08-16,56.1,59.4,53.0,57.75,57.45,46814.0,26.67,NSE/BROADCAST
2007-08-17,57.45,59.75,56.0,57.5,57.05,35205.0,20.35,NSE/BROADCAST
2007-08-20,59.5,61.5,57.0,57.3,57.75,32537.0,19.13,NSE/BROADCAST
2007-08-21,58.85,58.85,54.5,55.0,54.9,20212.0,11.36,NSE/BROADCAST
2007-08-22,56.0,56.5,52.0,54.0,53.6,28044.0,15.1,NSE/BROADCAST
2007-08-23,55.0,55.9,52.25,52.6,52.9,29765.0,16.14,NSE/BROADCAST
2007-08-24,53.2,53.95,50.65,52.0,52.05,40108.0,20.8,NSE/BROADCAST
2007-08-27,52.6,53.85,51.7,53.35,53.2,22097.0,11.75,NSE/BROADCAST
2007-08-28,53.0,54.9,52.1,53.75,54.05,39361.0,21.26,NSE/BROADCAST
2007-08-29,54.0,54.6,52.25,54.35,54.3,19864.0,10.74,NSE/BROADCAST
2007-08-30,54.5,58.45,54.5,56.0,56.25,71812.0,40.88,NSE/BROADCAST
2007-08-31,55.0,57.5,55.0,55.9,55.9,24249.0,13.69,NSE/BROADCAST
2007-09-03,56.8,59.25,55.9,57.9,57.55,69526.0,39.97,NSE/BROADCAST
2007-09-04,58.0,58.95,56.65,57.45,57.0,33179.0,19.13,NSE/BROADCAST
2007-09-05,59.0,59.0,56.6,57.05,57.3,30437.0,17.55,NSE/BROADCAST
2007-09-06,57.2,59.5,56.0,57.65,57.55,39373.0,22.74,NSE/BROADCAST
2007-09-07,58.5,61.1,57.5,58.8,59.35,123435.0,73.54,NSE/BROADCAST
2007-09-10,59.7,59.75,58.1,59.2,59.2,31649.0,18.65,NSE/BROADCAST
2007-09-11,59.35,60.9,59.1,59.35,59.45,37921.0,22.7,NSE/BROADCAST
2007-09-12,58.8,60.75,58.8,59.2,59.6,49606.0,29.73,NSE/BROADCAST
2007-09-13,60.5,60.5,58.25,58.35,58.55,21962.0,13.07,NSE/BROADCAST
2007-09-14,59.25,60.0,57.1,57.25,57.4,48057.0,28.1,NSE/BROADCAST
2007-09-17,58.1,61.4,56.2,58.85,59.15,76895.0,45.66,NSE/BROADCAST
2007-09-18,59.0,62.0,58.5,59.05,59.65,90285.0,54.62,NSE/BROADCAST
2007-09-19,61.9,61.9,58.5,58.7,58.8,44835.0,26.88,NSE/BROADCAST
2007-09-20,59.1,60.0,55.0,57.85,57.4,192412.0,109.65,NSE/BROADCAST
2007-09-21,58.0,58.05,55.6,55.7,55.75,41022.0,23.18,NSE/BROADCAST
2007-09-24,56.05,56.5,54.5,54.9,55.0,35988.0,19.99,NSE/BROADCAST
2007-09-25,55.4,55.4,53.5,53.85,53.75,26321.0,14.24,NSE/BROADCAST
2007-09-26,54.1,55.95,54.1,54.95,54.85,31073.0,17.14,NSE/BROADCAST
2007-09-27,54.95,55.4,53.1,53.2,53.4,39685.0,21.43,NSE/BROADCAST
2007-09-28,53.95,54.4,53.2,53.5,53.5,26620.0,14.28,NSE/BROADCAST
2007-10-01,53.95,56.6,52.6,54.3,53.9,38495.0,21.03,NSE/BROADCAST
2007-10-03,54.0,54.8,52.6,53.0,53.0,27169.0,14.52,NSE/BROADCAST
2007-10-04,53.3,54.0,52.6,52.95,53.0,21658.0,11.51,NSE/BROADCAST
2007-10-05,53.0,53.5,51.75,51.8,52.1,13172.0,6.93,NSE/BROADCAST
2007-10-08,52.9,52.9,48.9,49.1,49.25,31987.0,16.03,NSE/BROADCAST
2007-10-09,47.5,50.0,47.5,48.55,48.65,30218.0,14.64,NSE/BROADCAST
2007-10-10,51.45,51.95,49.1,49.5,49.75,31423.0,15.79,NSE/BROADCAST
2007-10-11,49.0,49.85,48.0,49.0,48.9,13677.0,6.71,NSE/BROADCAST
2007-10-12,47.55,49.0,47.1,47.95,47.4,22550.0,10.82,NSE/BROADCAST
2007-10-15,48.0,49.4,48.0,48.5,48.5,23416.0,11.4,NSE/BROADCAST
2007-10-16,48.5,49.45,47.2,47.8,47.35,23877.0,11.42,NSE/BROADCAST
2007-10-17,45.0,48.9,40.0,46.1,45.95,18721.0,8.42,NSE/BROADCAST
2007-10-18,49.0,49.0,46.0,46.0,46.35,32358.0,15.5,NSE/BROADCAST
2007-10-19,46.0,47.6,44.0,44.15,44.35,15507.0,7.01,NSE/BROADCAST
2007-10-22,43.0,45.5,41.5,43.1,43.55,10194.0,4.47,NSE/BROADCAST
2007-10-23,45.8,46.0,43.0,43.3,43.1,37251.0,16.35,NSE/BROADCAST
2007-10-24,46.0,46.0,42.35,42.65,42.6,36461.0,15.75,NSE/BROADCAST
2007-10-25,42.95,44.4,42.5,43.0,43.25,27331.0,11.88,NSE/BROADCAST
2007-10-26,43.8,43.8,42.4,43.0,42.75,24888.0,10.69,NSE/BROADCAST
2007-10-29,45.8,45.8,41.5,41.75,42.05,56531.0,24.28,NSE/BROADCAST
2007-10-30,42.15,43.4,41.75,41.75,42.0,27329.0,11.5,NSE/BROADCAST
2007-10-31,42.85,43.5,41.0,41.8,42.15,29543.0,12.54,NSE/BROADCAST
2007-11-01,43.5,43.5,40.2,41.0,40.85,38541.0,16.1,NSE/BROADCAST
2007-11-02,40.0,40.75,39.1,39.65,39.8,24451.0,9.81,NSE/BROADCAST
2007-11-05,37.25,40.0,37.25,39.0,39.4,30886.0,12.13,NSE/BROADCAST
2007-11-06,39.0,41.45,38.75,38.85,39.1,32129.0,12.78,NSE/BROADCAST
2007-11-07,40.5,40.5,37.55,37.55,37.9,22353.0,8.57,NSE/BROADCAST
2007-11-08,37.0,45.25,37.0,42.15,42.95,190763.0,81.21,NSE/BROADCAST
2007-11-09,43.4,46.0,43.4,44.75,44.7,31739.0,14.19,NSE/BROADCAST
2007-11-12,44.7,48.9,42.05,45.1,45.6,113851.0,52.77,NSE/BROADCAST
2007-11-13,45.5,49.8,45.5,48.5,47.9,83095.0,39.93,NSE/BROADCAST
2007-11-14,49.4,50.95,47.05,47.15,47.35,75955.0,36.85,NSE/BROADCAST
2007-11-15,46.75,47.5,45.5,46.05,46.35,36478.0,16.98,NSE/BROADCAST
2007-11-16,46.5,48.5,45.2,45.2,45.9,45160.0,20.9,NSE/BROADCAST
2007-11-19,46.0,48.7,45.6,47.0,46.8,104201.0,49.06,NSE/BROADCAST
2007-11-20,49.5,56.2,46.0,56.2,55.3,587878.0,314.19,NSE/BROADCAST
