Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2011-09-05,100.0,131.6,58.15,61.9,61.5,44305878.0,39820.97,NSE/BROOKS
2011-09-06,60.0,62.2,51.15,52.25,52.95,8262316.0,4473.35,NSE/BROOKS
2011-09-07,52.25,53.0,42.4,42.4,42.45,8200607.0,3899.14,NSE/BROOKS
2011-09-08,40.1,43.2,38.2,40.8,41.25,4027552.0,1628.03,NSE/BROOKS
2011-09-09,41.2,43.9,40.0,42.1,42.1,2047786.0,879.23,NSE/BROOKS
2011-09-12,40.75,41.45,38.35,38.75,38.9,816914.0,324.21,NSE/BROOKS
2011-09-13,40.0,40.0,36.0,36.3,36.6,982626.0,371.73,NSE/BROOKS
2011-09-14,36.7,36.8,33.25,33.8,33.6,876620.0,301.92,NSE/BROOKS
2011-09-15,34.4,34.4,32.1,32.55,32.4,622369.0,203.8,NSE/BROOKS
2011-09-16,32.65,34.0,32.05,32.6,32.7,590665.0,195.64,NSE/BROOKS
2011-09-19,31.2,32.7,31.2,31.45,31.45,297612.0,94.29,NSE/BROOKS
2011-09-20,32.2,32.2,31.1,31.4,31.35,332729.0,104.76,NSE/BROOKS
2011-09-21,31.1,31.9,30.5,30.65,30.65,303146.0,94.01,NSE/BROOKS
2011-09-22,30.0,30.25,29.15,29.15,29.15,270591.0,80.06,NSE/BROOKS
2011-09-23,27.7,28.05,27.7,27.7,27.7,80931.0,22.43,NSE/BROOKS
2011-09-26,26.35,26.95,26.35,26.35,26.35,74995.0,19.79,NSE/BROOKS
2011-09-27,25.05,26.35,25.05,25.25,25.25,277198.0,70.63,NSE/BROOKS
2011-09-28,25.0,26.25,25.0,25.8,25.7,218904.0,56.58,NSE/BROOKS
2011-09-29,25.05,25.8,24.45,24.45,24.45,121426.0,29.91,NSE/BROOKS
2011-09-30,24.45,25.0,23.25,23.25,23.25,85906.0,20.03,NSE/BROOKS
2011-10-03,22.2,22.5,22.1,22.1,22.1,64109.0,14.2,NSE/BROOKS
2011-10-04,21.5,22.0,21.0,21.0,21.0,151839.0,32.52,NSE/BROOKS
2011-10-05,20.6,21.0,19.95,19.95,19.95,149666.0,30.2,NSE/BROOKS
2011-10-07,19.9,20.95,19.4,20.95,20.95,167204.0,34.45,NSE/BROOKS
2011-10-10,22.0,22.0,21.4,22.0,22.0,31711.0,6.96,NSE/BROOKS
2011-10-11,23.1,23.1,23.1,23.1,23.1,11395.0,2.63,NSE/BROOKS
2011-10-12,24.3,24.3,23.7,24.3,24.3,182022.0,44.07,NSE/BROOKS
2011-10-13,25.55,25.55,25.2,25.55,25.55,79167.0,20.19,NSE/BROOKS
2011-10-14,26.7,26.7,24.45,24.95,24.95,413514.0,105.28,NSE/BROOKS
2011-10-17,25.05,25.45,23.7,23.7,23.7,87599.0,21.01,NSE/BROOKS
2011-10-18,22.95,23.0,22.55,22.55,22.55,51874.0,11.73,NSE/BROOKS
2011-10-19,21.8,23.35,21.7,22.9,22.8,76243.0,17.37,NSE/BROOKS
2011-10-20,22.7,22.75,21.8,21.95,22.0,78879.0,17.55,NSE/BROOKS
2011-10-21,22.05,22.3,21.4,21.95,21.65,105951.0,23.04,NSE/BROOKS
2011-10-24,21.7,21.85,20.65,20.75,20.85,49733.0,10.58,NSE/BROOKS
2011-10-25,20.45,20.85,20.05,20.05,20.3,56921.0,11.58,NSE/BROOKS
2011-10-26,20.3,21.35,20.2,21.35,21.2,34888.0,7.34,NSE/BROOKS
2011-10-28,22.3,22.3,21.5,22.3,22.3,77189.0,16.95,NSE/BROOKS
2011-10-31,22.85,23.2,21.55,22.95,22.85,122996.0,28.05,NSE/BROOKS
