Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2004-03-12,32.6,32.6,32.6,32.6,32.6,450.0,0.15,NSE/BSELINFRA
2004-03-15,31.0,31.5,31.0,31.5,31.5,101.0,0.03,NSE/BSELINFRA
2004-03-16,31.0,31.5,28.6,31.5,31.5,3200.0,1.0,NSE/BSELINFRA
2004-03-17,31.5,31.5,31.5,31.5,31.5,103.0,0.03,NSE/BSELINFRA
2004-03-18,31.5,32.45,31.5,32.45,32.45,120.0,0.04,NSE/BSELINFRA
2004-03-19,31.0,31.55,31.0,31.55,31.55,200.0,0.06,NSE/BSELINFRA
2004-03-22,35.0,37.9,35.0,37.4,37.4,1805.0,0.67,NSE/BSELINFRA
2004-03-23,44.7,44.7,37.0,37.05,37.05,1151.0,0.44,NSE/BSELINFRA
2004-03-24,41.0,41.0,35.85,38.9,38.75,1209.0,0.46,NSE/BSELINFRA
2004-03-25,35.0,42.0,35.0,38.8,40.45,5807.0,2.26,NSE/BSELINFRA
2004-03-26,38.3,39.4,38.3,39.0,39.0,5000.0,1.95,NSE/BSELINFRA
2004-03-29,36.2,41.0,36.2,40.0,39.5,4676.0,1.86,NSE/BSELINFRA
2004-03-30,38.5,39.9,38.0,39.9,38.25,5496.0,2.14,NSE/BSELINFRA
2004-03-31,38.6,43.9,38.5,43.0,42.95,2997.0,1.24,NSE/BSELINFRA
2004-04-01,40.0,42.8,37.8,40.15,40.6,3314.0,1.34,NSE/BSELINFRA
2004-04-02,37.0,42.85,36.5,39.0,39.35,1921.0,0.75,NSE/BSELINFRA
2004-04-05,40.1,40.5,39.0,39.0,39.05,3300.0,1.29,NSE/BSELINFRA
2004-04-06,39.05,41.45,39.0,39.1,39.1,5229.0,2.05,NSE/BSELINFRA
2004-04-07,41.0,41.0,39.7,39.7,39.7,130.0,0.05,NSE/BSELINFRA
2004-04-08,39.9,39.9,35.5,35.5,37.0,1080.0,0.4,NSE/BSELINFRA
2004-04-12,37.0,37.95,36.0,37.0,36.9,2099.0,0.77,NSE/BSELINFRA
2004-04-15,35.6,35.6,35.6,35.6,35.6,100.0,0.04,NSE/BSELINFRA
2004-04-16,35.0,38.75,35.0,36.95,37.0,5650.0,2.09,NSE/BSELINFRA
2004-04-17,35.1,38.0,35.0,38.0,38.0,450.0,0.16,NSE/BSELINFRA
2004-04-19,36.0,38.0,35.1,35.1,35.2,1359.0,0.49,NSE/BSELINFRA
2004-04-20,36.0,37.0,35.5,35.5,35.5,480.0,0.17,NSE/BSELINFRA
2004-04-21,33.6,37.3,33.6,36.0,36.0,10152.0,3.42,NSE/BSELINFRA
2004-04-22,37.8,38.0,37.8,38.0,38.0,200.0,0.08,NSE/BSELINFRA
2004-04-23,38.0,38.0,36.7,36.7,36.7,200.0,0.07,NSE/BSELINFRA
