Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2012-11-29,188.2,202.0,188.2,199.0,199.0,52636.0,102.11,NSE/BSLIMITED
2012-11-30,203.0,206.0,191.0,193.0,193.7,64458.0,125.42,NSE/BSLIMITED
2012-12-03,190.2,196.0,189.7,189.7,191.4,43364.0,83.42,NSE/BSLIMITED
2012-12-04,194.9,194.9,187.5,187.5,188.5,69869.0,132.41,NSE/BSLIMITED
2012-12-05,193.7,193.7,186.15,188.0,188.4,75249.0,142.71,NSE/BSLIMITED
2012-12-06,189.1,191.75,185.25,185.25,186.95,70037.0,132.01,NSE/BSLIMITED
2012-12-07,187.95,189.75,183.3,184.25,184.6,64622.0,120.96,NSE/BSLIMITED
2012-12-10,183.05,187.9,180.2,180.4,182.4,81752.0,150.55,NSE/BSLIMITED
2012-12-11,182.1,185.95,180.1,185.0,184.15,74719.0,136.67,NSE/BSLIMITED
2012-12-12,188.9,199.1,181.7,190.0,193.25,91530.0,169.89,NSE/BSLIMITED
2012-12-13,196.9,198.9,187.0,188.0,188.05,56156.0,108.38,NSE/BSLIMITED
2012-12-14,185.0,192.75,184.2,184.35,187.3,53335.0,100.89,NSE/BSLIMITED
2012-12-17,192.6,192.6,185.0,190.55,189.95,59803.0,113.15,NSE/BSLIMITED
2012-12-18,188.1,190.75,187.05,188.05,188.55,34594.0,65.45,NSE/BSLIMITED
2012-12-19,190.4,190.5,185.15,185.15,186.05,29294.0,55.09,NSE/BSLIMITED
2012-12-20,188.85,188.85,185.05,187.5,187.65,33284.0,62.47,NSE/BSLIMITED
2012-12-21,183.25,186.0,176.55,183.1,182.95,63704.0,115.94,NSE/BSLIMITED
2012-12-24,180.6,186.75,180.55,181.1,182.3,25977.0,47.52,NSE/BSLIMITED
2012-12-26,180.25,210.95,177.15,199.0,199.5,215289.0,434.95,NSE/BSLIMITED
2012-12-27,203.0,212.0,197.65,208.25,209.0,171149.0,356.19,NSE/BSLIMITED
2012-12-28,206.1,216.2,206.1,216.0,215.1,105090.0,225.03,NSE/BSLIMITED
2012-12-31,215.1,233.0,210.25,230.0,228.85,176924.0,396.34,NSE/BSLIMITED
2013-01-01,230.0,239.6,230.0,236.0,234.65,240779.0,568.66,NSE/BSLIMITED
2013-01-02,237.8,240.0,228.45,228.45,231.8,132615.0,310.02,NSE/BSLIMITED
2013-01-03,226.15,231.0,223.0,227.0,223.5,172961.0,389.92,NSE/BSLIMITED
2013-01-04,223.05,244.0,223.05,243.0,238.75,289049.0,678.17,NSE/BSLIMITED
2013-01-07,239.8,253.35,234.05,242.0,236.85,238939.0,591.96,NSE/BSLIMITED
2013-01-08,243.0,251.65,237.5,250.0,246.4,129318.0,312.33,NSE/BSLIMITED
2013-01-09,249.8,251.9,243.6,249.0,248.7,72887.0,180.46,NSE/BSLIMITED
2013-01-10,246.6,249.5,240.0,243.85,243.35,129808.0,317.74,NSE/BSLIMITED
2013-01-11,243.35,249.8,240.15,241.25,245.15,234446.0,573.23,NSE/BSLIMITED
2013-01-14,239.15,242.5,233.9,234.0,234.8,83495.0,199.05,NSE/BSLIMITED
2013-01-15,234.0,239.0,231.15,235.0,235.65,80307.0,189.13,NSE/BSLIMITED
2013-01-16,233.05,238.4,216.4,216.4,222.05,102110.0,232.54,NSE/BSLIMITED
2013-01-17,224.8,224.8,202.0,202.0,206.15,105460.0,220.48,NSE/BSLIMITED
2013-01-18,203.05,222.25,202.0,216.25,216.45,103062.0,224.65,NSE/BSLIMITED
2013-01-21,207.2,243.7,207.2,236.0,235.45,110465.0,260.77,NSE/BSLIMITED
2013-01-22,234.15,241.4,233.1,235.05,236.45,74522.0,175.65,NSE/BSLIMITED
2013-01-23,236.5,246.0,235.3,246.0,244.65,83976.0,202.71,NSE/BSLIMITED
2013-01-24,246.75,247.2,237.0,246.0,246.05,64800.0,157.83,NSE/BSLIMITED
2013-01-25,240.15,250.95,240.15,250.0,249.2,63588.0,155.37,NSE/BSLIMITED
2013-01-28,250.0,260.9,250.0,260.05,258.9,85982.0,218.76,NSE/BSLIMITED
2013-01-29,261.3,281.55,259.0,270.6,273.35,203670.0,549.3,NSE/BSLIMITED
2013-01-30,275.0,284.25,273.85,279.0,276.35,85562.0,238.58,NSE/BSLIMITED
2013-01-31,259.2,280.8,259.2,280.0,278.15,77378.0,212.0,NSE/BSLIMITED
2013-02-01,272.25,324.0,272.1,312.2,318.55,559311.0,1742.1,NSE/BSLIMITED
2013-02-04,320.0,348.0,317.2,342.4,343.5,429087.0,1444.2,NSE/BSLIMITED
2013-02-05,338.0,342.0,328.0,335.0,339.7,169123.0,569.36,NSE/BSLIMITED
2013-02-06,335.95,346.75,334.0,339.85,339.85,178824.0,614.34,NSE/BSLIMITED
2013-02-07,340.0,344.0,330.0,342.0,337.45,98992.0,332.19,NSE/BSLIMITED
2013-02-08,337.75,352.4,330.05,347.1,348.2,117676.0,408.05,NSE/BSLIMITED
2013-02-11,349.7,356.4,346.05,354.5,354.5,141591.0,498.63,NSE/BSLIMITED
2013-02-12,355.0,356.0,344.0,345.0,348.95,75075.0,262.19,NSE/BSLIMITED
2013-02-13,344.45,347.95,320.1,325.5,333.1,115170.0,396.84,NSE/BSLIMITED
2013-02-14,325.8,337.9,307.05,319.0,329.4,128063.0,418.16,NSE/BSLIMITED
2013-02-15,323.95,324.4,308.95,311.9,310.75,69987.0,221.98,NSE/BSLIMITED
2013-02-18,317.95,341.8,313.5,341.8,340.2,117236.0,387.83,NSE/BSLIMITED
2013-02-19,349.0,354.9,330.6,334.0,333.8,60403.0,204.37,NSE/BSLIMITED
2013-02-20,334.0,349.0,332.7,342.0,344.95,101698.0,347.09,NSE/BSLIMITED
2013-02-21,336.2,349.9,336.2,337.1,340.55,108764.0,374.89,NSE/BSLIMITED
2013-02-22,342.05,354.0,339.95,350.5,352.0,153545.0,531.69,NSE/BSLIMITED
2013-02-25,352.0,358.85,345.0,355.5,353.25,123599.0,433.46,NSE/BSLIMITED
2013-02-26,350.0,354.0,321.0,335.0,331.0,75368.0,249.53,NSE/BSLIMITED
2013-02-27,325.05,334.3,313.0,318.0,319.15,59116.0,194.43,NSE/BSLIMITED
2013-02-28,305.0,325.0,305.0,309.9,311.3,19833.0,63.3,NSE/BSLIMITED
2013-03-01,311.65,319.0,281.1,302.0,314.3,70023.0,215.1,NSE/BSLIMITED
2013-03-04,293.15,324.8,293.15,322.5,319.35,14996.0,47.53,NSE/BSLIMITED
2013-03-05,320.0,329.85,314.45,316.0,319.25,65510.0,211.51,NSE/BSLIMITED
2013-03-06,318.35,326.9,318.35,319.45,320.85,65072.0,210.54,NSE/BSLIMITED
2013-03-07,311.1,328.0,301.55,328.0,326.0,54550.0,174.94,NSE/BSLIMITED
2013-03-08,314.1,326.05,312.0,320.0,320.0,69584.0,222.4,NSE/BSLIMITED
2013-03-11,324.0,334.95,315.0,334.95,333.75,76008.0,244.2,NSE/BSLIMITED
2013-03-12,335.0,338.5,325.05,337.85,333.9,6944.0,23.1,NSE/BSLIMITED
2013-03-13,337.0,337.0,314.0,318.0,321.4,56217.0,184.67,NSE/BSLIMITED
2013-03-14,307.1,325.0,307.1,312.0,316.5,60507.0,194.41,NSE/BSLIMITED
2013-03-15,315.0,329.85,315.0,317.5,319.15,54021.0,174.78,NSE/BSLIMITED
2013-03-18,271.0,334.95,271.0,329.0,327.4,64452.0,203.73,NSE/BSLIMITED
2013-03-19,334.0,334.9,310.0,312.5,312.2,57579.0,184.15,NSE/BSLIMITED
2013-03-20,312.0,335.0,286.05,296.0,300.3,558417.0,1740.03,NSE/BSLIMITED
2013-03-21,300.15,329.0,290.1,310.0,315.7,262700.0,830.12,NSE/BSLIMITED
2013-03-22,302.05,317.0,269.3,300.0,301.85,749182.0,2255.23,NSE/BSLIMITED
2013-03-25,301.0,307.0,272.0,276.0,279.85,467080.0,1344.03,NSE/BSLIMITED
2013-03-26,275.0,277.9,249.15,254.75,254.65,16961.0,44.74,NSE/BSLIMITED
2013-03-28,250.0,302.1,250.0,297.0,293.7,462642.0,1340.71,NSE/BSLIMITED
2013-04-01,291.0,331.0,291.0,331.0,326.6,65925.0,206.98,NSE/BSLIMITED
2013-04-02,331.0,346.0,331.0,333.0,339.5,82334.0,278.04,NSE/BSLIMITED
2013-04-03,332.75,342.4,326.0,336.5,338.8,72232.0,240.09,NSE/BSLIMITED
2013-04-04,325.0,339.95,317.5,318.25,319.1,58508.0,190.67,NSE/BSLIMITED
