Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-10-27,257.0,398.4,239.0,362.0,381.25,30016180.0,97909.75,NSE/BSTRANSCOM
2010-10-28,365.0,419.5,307.0,335.0,319.4,14178584.0,51986.45,NSE/BSTRANSCOM
2010-10-29,322.1,383.3,322.1,383.3,383.3,6894308.0,24862.42,NSE/BSTRANSCOM
2010-11-01,392.0,460.0,389.6,460.0,459.2,5621517.0,24740.29,NSE/BSTRANSCOM
2010-11-02,464.0,510.0,423.7,468.1,473.45,16248111.0,76965.75,NSE/BSTRANSCOM
2010-11-03,459.0,472.0,378.8,378.8,378.8,7126871.0,29746.99,NSE/BSTRANSCOM
2010-11-04,345.0,349.8,303.05,303.05,303.05,39209.0,118.93,NSE/BSTRANSCOM
2010-11-05,245.1,318.0,242.45,264.5,274.7,1740555.0,4712.0,NSE/BSTRANSCOM
2010-11-08,274.6,284.0,236.0,242.0,245.45,3339046.0,8325.57,NSE/BSTRANSCOM
2010-11-09,244.0,264.0,220.9,220.9,220.9,6236274.0,15085.22,NSE/BSTRANSCOM
2010-11-10,211.1,222.0,202.0,211.0,209.85,2497975.0,5244.9,NSE/BSTRANSCOM
2010-11-11,209.5,226.9,209.4,218.0,217.45,2688033.0,5881.22,NSE/BSTRANSCOM
2010-11-12,217.0,224.9,210.05,210.1,213.7,721441.0,1581.35,NSE/BSTRANSCOM
2010-11-15,215.0,218.0,208.3,213.6,211.25,612492.0,1305.77,NSE/BSTRANSCOM
2010-11-16,214.0,217.0,203.0,203.05,204.6,472650.0,991.13,NSE/BSTRANSCOM
2010-11-18,208.9,208.9,186.4,202.4,201.7,1004557.0,1990.47,NSE/BSTRANSCOM
2010-11-19,206.0,213.0,195.1,204.8,202.05,1220369.0,2527.6,NSE/BSTRANSCOM
2010-11-22,205.0,207.8,199.2,204.05,202.85,785292.0,1607.43,NSE/BSTRANSCOM
2010-11-23,201.0,202.9,185.0,189.05,191.05,191512.0,372.69,NSE/BSTRANSCOM
2010-11-24,192.0,196.75,182.0,182.15,185.1,203112.0,384.75,NSE/BSTRANSCOM
2010-11-25,185.0,188.0,166.7,168.0,170.2,189919.0,336.46,NSE/BSTRANSCOM
2010-11-26,170.7,172.0,161.7,161.7,161.7,54577.0,88.73,NSE/BSTRANSCOM
2010-11-29,153.65,159.9,153.65,153.65,153.65,60969.0,93.76,NSE/BSTRANSCOM
2010-11-30,146.0,156.9,146.0,151.6,152.3,227537.0,343.93,NSE/BSTRANSCOM
2010-12-01,155.0,159.95,151.15,159.95,159.95,170252.0,268.83,NSE/BSTRANSCOM
2010-12-02,166.4,167.95,162.3,164.4,163.65,136148.0,224.45,NSE/BSTRANSCOM
2010-12-03,165.9,165.9,155.5,155.5,155.55,301230.0,470.42,NSE/BSTRANSCOM
2010-12-06,156.7,156.7,147.8,147.8,147.8,97322.0,146.12,NSE/BSTRANSCOM
2010-12-07,142.05,148.0,140.45,140.45,140.6,84525.0,120.53,NSE/BSTRANSCOM
2010-12-08,140.0,140.0,133.6,137.0,133.9,108498.0,145.85,NSE/BSTRANSCOM
2010-12-09,134.0,134.0,127.25,130.05,128.9,100907.0,130.23,NSE/BSTRANSCOM
2010-12-10,125.1,135.0,124.0,134.3,130.2,101984.0,131.94,NSE/BSTRANSCOM
2010-12-13,130.2,135.0,129.05,132.0,131.15,103485.0,135.84,NSE/BSTRANSCOM
2010-12-14,131.0,137.75,131.0,137.75,137.75,46181.0,62.61,NSE/BSTRANSCOM
2010-12-15,142.9,144.65,140.0,142.65,141.9,118633.0,170.11,NSE/BSTRANSCOM
2010-12-16,144.0,144.0,138.0,139.6,138.75,43285.0,60.58,NSE/BSTRANSCOM
2010-12-20,137.0,143.85,133.25,135.9,137.15,59607.0,82.54,NSE/BSTRANSCOM
2010-12-21,136.5,140.0,135.1,136.15,136.85,24521.0,33.81,NSE/BSTRANSCOM
2010-12-22,138.0,139.5,135.3,136.55,136.85,32588.0,44.81,NSE/BSTRANSCOM
2010-12-23,138.0,141.5,137.5,138.3,138.05,32628.0,45.19,NSE/BSTRANSCOM
2010-12-24,137.1,139.0,135.0,138.0,138.2,35123.0,48.21,NSE/BSTRANSCOM
2010-12-27,139.8,139.8,133.2,133.2,134.45,24315.0,33.11,NSE/BSTRANSCOM
2010-12-28,136.0,138.1,127.75,127.9,128.05,102371.0,132.27,NSE/BSTRANSCOM
2010-12-29,129.5,129.5,122.6,124.5,123.55,122193.0,152.51,NSE/BSTRANSCOM
2010-12-30,127.6,127.6,122.3,125.7,125.4,70412.0,88.05,NSE/BSTRANSCOM
2010-12-31,126.75,131.0,125.3,127.0,127.35,114631.0,146.8,NSE/BSTRANSCOM
2011-01-03,129.3,133.75,129.3,133.75,133.75,81901.0,109.34,NSE/BSTRANSCOM
2011-01-04,139.8,140.45,138.35,140.45,140.45,254473.0,356.39,NSE/BSTRANSCOM
2011-01-05,145.3,147.5,142.1,147.5,147.5,156736.0,229.81,NSE/BSTRANSCOM
2011-01-06,153.3,153.9,144.0,144.65,144.8,213081.0,315.58,NSE/BSTRANSCOM
2011-01-07,143.0,144.0,132.3,138.4,137.5,152408.0,210.04,NSE/BSTRANSCOM
2011-01-10,137.0,140.25,129.05,131.0,130.55,59957.0,79.82,NSE/BSTRANSCOM
2011-01-11,130.05,132.45,125.15,127.9,127.15,54735.0,70.35,NSE/BSTRANSCOM
2011-01-12,129.75,131.5,125.0,129.3,130.5,58662.0,75.38,NSE/BSTRANSCOM
2011-01-13,131.0,134.0,126.25,132.0,131.95,54990.0,72.11,NSE/BSTRANSCOM
2011-01-14,131.5,132.0,125.0,125.55,125.9,43429.0,55.64,NSE/BSTRANSCOM
2011-01-17,126.0,127.9,123.3,124.0,124.05,31683.0,39.58,NSE/BSTRANSCOM
2011-01-18,125.9,126.5,123.55,123.55,124.95,19946.0,24.99,NSE/BSTRANSCOM
2011-01-19,125.0,125.9,123.25,123.5,123.8,22281.0,27.81,NSE/BSTRANSCOM
2011-01-20,124.0,125.6,121.1,123.85,123.65,32798.0,40.6,NSE/BSTRANSCOM
2011-01-21,123.25,127.9,123.25,124.85,124.8,40211.0,50.42,NSE/BSTRANSCOM
2011-01-24,125.85,126.9,124.2,124.75,124.7,22163.0,27.77,NSE/BSTRANSCOM
2011-01-25,125.55,126.7,121.0,122.2,122.65,22757.0,28.22,NSE/BSTRANSCOM
2011-01-27,123.05,125.5,121.0,121.0,121.9,33672.0,41.51,NSE/BSTRANSCOM
2011-01-28,122.0,122.05,116.0,117.3,117.5,54849.0,65.49,NSE/BSTRANSCOM
2011-01-31,118.1,118.1,111.0,111.3,112.05,45760.0,51.55,NSE/BSTRANSCOM
2011-02-01,114.0,121.0,114.0,114.7,115.25,78872.0,92.47,NSE/BSTRANSCOM
2011-02-02,118.0,118.0,113.0,115.0,114.3,33554.0,38.58,NSE/BSTRANSCOM
2011-02-03,114.4,114.4,111.6,112.5,112.35,29376.0,33.14,NSE/BSTRANSCOM
2011-02-04,113.6,113.6,107.15,108.0,109.3,33698.0,37.48,NSE/BSTRANSCOM
2011-02-07,110.0,111.1,104.05,104.7,104.9,146132.0,154.08,NSE/BSTRANSCOM
2011-02-08,103.1,105.0,94.8,94.8,95.35,87662.0,85.91,NSE/BSTRANSCOM
2011-02-09,94.0,94.0,85.9,87.3,88.0,72173.0,65.43,NSE/BSTRANSCOM
2011-02-10,86.0,87.8,83.6,83.6,83.6,58258.0,49.26,NSE/BSTRANSCOM
2011-02-11,84.0,87.8,80.15,87.8,87.8,61575.0,51.87,NSE/BSTRANSCOM
2011-02-14,87.5,92.2,87.5,92.2,92.2,25298.0,23.28,NSE/BSTRANSCOM
2011-02-15,90.0,96.85,90.0,96.85,96.85,50631.0,48.58,NSE/BSTRANSCOM
2011-02-16,99.9,101.7,98.9,101.7,101.7,52691.0,53.15,NSE/BSTRANSCOM
2011-02-17,104.85,106.8,101.7,106.8,106.8,109066.0,114.9,NSE/BSTRANSCOM
2011-02-18,109.9,112.15,107.35,108.5,108.6,157129.0,174.24,NSE/BSTRANSCOM
2011-02-21,108.7,112.0,103.2,105.2,105.2,61283.0,64.65,NSE/BSTRANSCOM
2011-02-22,101.5,104.85,99.95,99.95,99.95,43730.0,43.97,NSE/BSTRANSCOM
2011-02-23,96.1,98.6,94.95,95.5,96.1,49317.0,47.82,NSE/BSTRANSCOM
2011-02-24,95.15,96.0,92.0,92.0,92.6,26348.0,24.69,NSE/BSTRANSCOM
2011-02-25,90.05,96.0,89.0,89.8,90.1,33383.0,30.68,NSE/BSTRANSCOM
2011-02-28,93.85,94.5,90.6,93.25,92.55,27702.0,25.75,NSE/BSTRANSCOM
2011-03-01,95.8,95.8,90.2,91.8,91.35,66501.0,60.89,NSE/BSTRANSCOM
2011-03-03,92.0,94.0,90.0,90.65,90.3,51988.0,47.57,NSE/BSTRANSCOM
2011-03-04,91.0,94.0,90.2,90.2,90.6,75749.0,69.39,NSE/BSTRANSCOM
2011-03-07,90.2,90.2,87.1,87.85,87.8,23057.0,20.35,NSE/BSTRANSCOM
2011-03-08,87.25,92.0,86.1,89.95,90.3,30295.0,27.16,NSE/BSTRANSCOM
2011-03-09,90.1,92.8,89.0,89.4,89.55,29618.0,26.73,NSE/BSTRANSCOM
2011-03-10,89.0,90.3,84.25,84.8,84.45,117261.0,100.48,NSE/BSTRANSCOM
2011-03-11,83.5,86.5,81.6,83.35,83.25,70045.0,59.1,NSE/BSTRANSCOM
2011-03-14,83.0,85.9,82.6,83.0,82.95,61742.0,51.79,NSE/BSTRANSCOM
2011-03-15,82.8,82.8,78.0,80.5,80.6,35445.0,28.5,NSE/BSTRANSCOM
2011-03-16,81.05,84.8,80.3,84.05,83.95,47986.0,39.82,NSE/BSTRANSCOM
2011-03-17,83.0,84.8,81.8,81.8,82.0,49542.0,40.97,NSE/BSTRANSCOM
2011-03-18,83.3,83.4,81.0,81.4,81.25,32536.0,26.59,NSE/BSTRANSCOM
2011-03-21,83.0,83.0,80.7,80.9,81.45,51260.0,41.94,NSE/BSTRANSCOM
2011-03-22,81.25,85.0,81.05,83.4,83.2,45690.0,38.0,NSE/BSTRANSCOM
2011-03-23,82.2,83.5,82.0,83.25,82.95,17669.0,14.64,NSE/BSTRANSCOM
2011-03-24,83.5,84.7,82.35,83.5,83.7,27980.0,23.43,NSE/BSTRANSCOM
2011-03-25,84.0,92.1,83.25,92.1,92.1,192177.0,173.8,NSE/BSTRANSCOM
2011-03-28,93.0,98.6,93.0,94.0,94.15,186797.0,179.48,NSE/BSTRANSCOM
2011-03-29,92.05,95.0,87.0,88.0,87.8,73822.0,66.7,NSE/BSTRANSCOM
2011-03-30,88.0,91.3,85.5,89.2,88.7,48825.0,43.61,NSE/BSTRANSCOM
2011-03-31,88.7,90.1,86.0,86.4,86.35,38417.0,33.7,NSE/BSTRANSCOM
2011-04-01,86.1,91.0,86.0,89.5,89.55,67389.0,60.29,NSE/BSTRANSCOM
2011-04-04,90.0,98.4,90.0,94.85,94.05,128453.0,121.84,NSE/BSTRANSCOM
2011-04-05,95.4,96.9,93.25,94.9,94.75,52929.0,49.94,NSE/BSTRANSCOM
2011-04-06,94.25,98.7,94.1,96.0,95.85,77166.0,74.36,NSE/BSTRANSCOM
2011-04-07,96.35,105.45,95.55,105.45,105.45,382247.0,399.27,NSE/BSTRANSCOM
2011-04-08,109.0,113.4,103.5,109.5,107.1,268161.0,290.42,NSE/BSTRANSCOM
2011-04-11,107.2,108.7,102.3,102.3,103.4,65233.0,68.2,NSE/BSTRANSCOM
2011-04-13,102.3,113.75,101.3,113.75,113.75,196773.0,218.03,NSE/BSTRANSCOM
2011-04-15,117.3,125.15,115.7,125.15,125.15,397554.0,487.02,NSE/BSTRANSCOM
2011-04-18,127.9,128.6,118.9,118.9,118.9,250583.0,304.54,NSE/BSTRANSCOM
2011-04-19,113.55,116.7,112.95,112.95,112.95,43279.0,48.95,NSE/BSTRANSCOM
2011-04-20,108.6,116.5,107.35,107.35,107.95,147986.0,164.12,NSE/BSTRANSCOM
2011-04-21,108.2,111.95,106.3,107.6,107.35,73945.0,80.7,NSE/BSTRANSCOM
2011-04-25,108.0,110.0,107.05,108.8,108.15,42531.0,46.13,NSE/BSTRANSCOM
2011-04-26,110.0,113.6,107.45,113.6,113.6,96396.0,107.52,NSE/BSTRANSCOM
2011-04-27,114.55,119.3,114.0,117.7,118.1,173989.0,203.73,NSE/BSTRANSCOM
2011-04-28,118.9,119.95,115.1,116.2,117.0,122399.0,143.29,NSE/BSTRANSCOM
2011-04-29,116.0,117.4,113.35,113.7,114.05,92028.0,106.82,NSE/BSTRANSCOM
2011-05-02,115.1,116.0,113.1,113.9,114.8,55798.0,64.22,NSE/BSTRANSCOM
2011-05-03,114.9,116.9,112.45,114.0,114.25,82506.0,95.17,NSE/BSTRANSCOM
2011-05-04,114.0,114.75,108.55,113.9,113.2,79553.0,88.98,NSE/BSTRANSCOM
2011-05-05,111.65,113.85,110.6,111.05,112.5,77783.0,87.48,NSE/BSTRANSCOM
2011-05-06,111.3,114.0,111.25,112.0,113.5,36353.0,41.09,NSE/BSTRANSCOM
2011-05-09,113.5,114.35,109.75,113.8,113.4,91841.0,103.38,NSE/BSTRANSCOM
2011-05-10,112.5,114.0,111.65,113.5,113.2,14090.0,15.89,NSE/BSTRANSCOM
2011-05-11,114.5,120.0,111.9,117.05,117.4,125261.0,147.54,NSE/BSTRANSCOM
2011-05-12,117.0,122.0,115.55,116.2,117.65,79941.0,94.53,NSE/BSTRANSCOM
2011-05-13,117.4,119.9,114.3,114.5,115.1,17273.0,20.09,NSE/BSTRANSCOM
2011-05-16,113.6,117.0,113.1,115.0,114.95,14562.0,16.72,NSE/BSTRANSCOM
2011-05-17,114.0,115.15,110.95,111.25,111.6,13636.0,15.38,NSE/BSTRANSCOM
2011-05-18,110.5,113.75,110.1,113.65,113.25,28975.0,32.69,NSE/BSTRANSCOM
2011-05-19,112.3,114.0,112.1,113.0,113.1,11842.0,13.37,NSE/BSTRANSCOM
2011-05-20,112.5,118.5,112.5,117.1,117.75,37304.0,43.54,NSE/BSTRANSCOM
2011-05-23,115.0,119.3,113.5,118.0,118.9,72177.0,84.66,NSE/BSTRANSCOM
2011-05-24,117.9,124.0,116.25,119.55,120.3,76484.0,92.52,NSE/BSTRANSCOM
2011-05-25,119.95,125.0,118.25,123.15,122.8,92540.0,114.22,NSE/BSTRANSCOM
2011-05-26,124.7,126.35,122.05,122.8,123.1,27058.0,33.66,NSE/BSTRANSCOM
2011-05-27,117.55,132.85,117.55,128.8,129.0,84229.0,107.83,NSE/BSTRANSCOM
2011-05-30,127.25,133.7,127.25,129.45,129.55,54572.0,71.82,NSE/BSTRANSCOM
2011-05-31,133.45,133.45,127.5,128.1,129.4,36108.0,47.05,NSE/BSTRANSCOM
2011-06-01,131.45,132.0,128.25,128.5,129.2,40593.0,52.8,NSE/BSTRANSCOM
2011-06-02,129.0,129.2,122.5,123.0,123.45,21043.0,26.45,NSE/BSTRANSCOM
2011-06-03,124.45,135.8,122.6,135.75,135.55,288579.0,385.41,NSE/BSTRANSCOM
2011-06-06,134.85,138.45,131.0,133.95,134.25,115295.0,155.32,NSE/BSTRANSCOM
2011-06-07,135.0,140.1,135.0,140.0,139.25,84792.0,117.36,NSE/BSTRANSCOM
2011-06-08,139.25,142.5,138.0,140.0,140.25,49346.0,69.33,NSE/BSTRANSCOM
2011-06-09,140.1,141.95,139.0,141.0,141.2,33000.0,46.36,NSE/BSTRANSCOM
2011-06-10,141.0,141.9,140.05,141.0,141.0,25974.0,36.62,NSE/BSTRANSCOM
2011-06-13,140.4,148.0,139.6,141.9,141.5,77219.0,111.27,NSE/BSTRANSCOM
2011-06-14,142.5,145.0,141.1,142.5,143.05,31750.0,45.57,NSE/BSTRANSCOM
2011-06-15,144.0,144.7,136.55,138.0,137.3,19341.0,27.04,NSE/BSTRANSCOM
2011-06-16,136.5,136.5,131.0,131.15,132.15,23133.0,30.88,NSE/BSTRANSCOM
2011-06-17,132.1,135.5,126.5,126.5,127.15,23758.0,30.91,NSE/BSTRANSCOM
2011-06-20,132.7,132.7,116.5,120.3,119.55,30721.0,37.18,NSE/BSTRANSCOM
2011-06-21,120.1,122.0,118.0,118.5,118.45,13625.0,16.3,NSE/BSTRANSCOM
2011-06-22,119.95,121.7,113.1,113.1,113.85,12632.0,14.77,NSE/BSTRANSCOM
2011-06-23,116.9,123.5,112.5,123.45,121.7,64999.0,77.65,NSE/BSTRANSCOM
2011-06-24,122.9,125.5,121.0,123.7,122.9,18977.0,23.44,NSE/BSTRANSCOM
2011-06-27,122.0,124.45,119.0,120.95,120.65,14290.0,17.52,NSE/BSTRANSCOM
2011-06-28,120.8,123.0,117.35,117.5,118.75,11049.0,13.33,NSE/BSTRANSCOM
2011-06-29,120.0,130.65,119.05,130.65,130.65,106192.0,136.5,NSE/BSTRANSCOM
2011-06-30,132.55,138.4,131.05,131.05,132.15,66079.0,89.29,NSE/BSTRANSCOM
2011-07-01,131.0,142.35,131.0,139.35,140.1,134902.0,187.81,NSE/BSTRANSCOM
2011-07-04,139.7,142.2,135.5,135.5,136.05,31936.0,44.36,NSE/BSTRANSCOM
2011-07-05,135.2,137.9,134.25,135.8,135.05,9217.0,12.57,NSE/BSTRANSCOM
2011-07-06,136.5,138.8,134.5,134.5,135.35,36374.0,49.34,NSE/BSTRANSCOM
2011-07-07,132.1,136.8,132.1,134.95,135.05,9306.0,12.61,NSE/BSTRANSCOM
2011-07-08,132.2,146.0,132.2,136.8,137.45,133621.0,189.18,NSE/BSTRANSCOM
2011-07-11,132.1,144.35,132.1,138.25,138.5,59006.0,83.27,NSE/BSTRANSCOM
2011-07-12,136.4,141.8,136.0,137.2,137.0,40248.0,55.98,NSE/BSTRANSCOM
2011-07-13,138.2,140.85,137.15,137.7,137.95,28251.0,39.09,NSE/BSTRANSCOM
2011-07-14,135.1,140.65,135.1,137.0,138.0,16675.0,23.18,NSE/BSTRANSCOM
2011-07-15,138.0,139.4,135.8,137.0,136.45,16510.0,22.72,NSE/BSTRANSCOM
2011-07-18,138.3,138.9,134.0,134.4,135.0,67125.0,91.59,NSE/BSTRANSCOM
2011-07-19,132.1,138.5,132.1,134.6,135.15,16626.0,22.65,NSE/BSTRANSCOM
2011-07-20,135.7,137.0,131.7,133.0,132.35,62878.0,83.81,NSE/BSTRANSCOM
2011-07-21,130.05,135.45,128.1,129.0,129.0,123726.0,164.41,NSE/BSTRANSCOM
2011-07-22,129.6,131.5,129.4,130.4,129.95,13399.0,17.47,NSE/BSTRANSCOM
2011-07-25,129.95,138.7,129.95,132.2,132.7,75123.0,101.17,NSE/BSTRANSCOM
2011-07-26,130.3,133.8,129.25,129.7,129.6,43138.0,56.45,NSE/BSTRANSCOM
2011-07-27,127.5,130.95,124.5,124.95,125.5,30276.0,38.64,NSE/BSTRANSCOM
2011-07-28,122.1,125.25,121.75,122.0,122.4,19594.0,24.13,NSE/BSTRANSCOM
2011-07-29,121.1,127.0,120.25,120.6,121.45,37942.0,46.97,NSE/BSTRANSCOM
2011-08-01,119.65,125.4,119.55,119.7,120.8,74638.0,91.16,NSE/BSTRANSCOM
2011-08-02,120.1,121.9,114.05,114.6,115.45,115635.0,134.72,NSE/BSTRANSCOM
2011-08-03,113.75,115.75,110.2,113.5,112.9,67653.0,76.83,NSE/BSTRANSCOM
2011-08-04,114.95,116.8,110.35,112.5,111.1,98476.0,111.89,NSE/BSTRANSCOM
2011-08-05,108.1,108.1,101.1,104.95,104.25,57516.0,60.21,NSE/BSTRANSCOM
2011-08-08,100.4,102.5,91.6,93.0,93.4,82928.0,79.97,NSE/BSTRANSCOM
2011-08-09,88.05,104.8,86.25,95.0,94.85,98090.0,95.59,NSE/BSTRANSCOM
2011-08-10,99.9,105.0,98.3,100.6,99.75,39998.0,40.05,NSE/BSTRANSCOM
2011-08-11,97.5,101.9,97.5,98.0,98.2,18362.0,18.24,NSE/BSTRANSCOM
2011-08-12,100.5,103.0,96.35,98.0,97.3,28703.0,28.65,NSE/BSTRANSCOM
2011-08-16,100.0,102.7,96.0,96.7,96.25,20942.0,20.57,NSE/BSTRANSCOM
2011-08-17,97.0,97.0,83.4,85.0,86.4,36108.0,32.39,NSE/BSTRANSCOM
2011-08-18,87.4,91.0,79.0,80.0,81.65,55822.0,48.13,NSE/BSTRANSCOM
2011-08-19,79.0,85.5,78.25,85.5,83.7,221679.0,177.66,NSE/BSTRANSCOM
2011-08-22,86.95,93.0,84.1,92.0,89.85,52086.0,46.06,NSE/BSTRANSCOM
2011-08-23,90.05,99.7,90.0,99.7,95.05,50584.0,47.06,NSE/BSTRANSCOM
2011-08-24,95.7,100.9,95.0,97.0,97.55,37065.0,36.43,NSE/BSTRANSCOM
2011-08-25,97.1,99.0,95.25,96.7,96.15,15601.0,15.09,NSE/BSTRANSCOM
2011-08-26,93.35,97.0,88.0,90.3,89.45,20967.0,19.14,NSE/BSTRANSCOM
2011-08-29,93.85,94.85,90.5,92.55,92.6,22831.0,21.21,NSE/BSTRANSCOM
2011-08-30,93.0,95.0,92.0,92.0,92.5,25891.0,24.18,NSE/BSTRANSCOM
2011-09-02,92.65,94.0,91.15,91.2,91.95,19344.0,17.93,NSE/BSTRANSCOM
2011-09-05,92.8,95.5,92.0,93.0,92.65,19510.0,18.26,NSE/BSTRANSCOM
2011-09-06,90.2,93.1,90.2,92.9,92.5,9554.0,8.79,NSE/BSTRANSCOM
2011-09-07,92.55,95.25,92.55,94.1,94.4,20180.0,19.02,NSE/BSTRANSCOM
2011-09-08,93.5,97.65,93.5,96.8,96.3,21767.0,20.95,NSE/BSTRANSCOM
2011-09-09,96.6,98.0,94.5,94.6,95.05,19771.0,19.03,NSE/BSTRANSCOM
2011-09-12,94.05,94.05,89.4,90.0,90.2,18729.0,17.13,NSE/BSTRANSCOM
2011-09-13,90.0,92.5,90.0,90.4,90.55,13936.0,12.73,NSE/BSTRANSCOM
2011-09-14,90.15,91.7,90.15,91.0,91.3,6004.0,5.48,NSE/BSTRANSCOM
2011-09-15,90.4,93.0,90.4,92.0,91.65,10914.0,10.03,NSE/BSTRANSCOM
2011-09-16,92.0,95.55,91.4,94.2,94.35,44440.0,41.83,NSE/BSTRANSCOM
2011-09-19,93.25,101.0,91.95,98.0,97.9,32851.0,32.1,NSE/BSTRANSCOM
2011-09-20,95.2,102.9,92.65,99.65,100.6,51040.0,51.5,NSE/BSTRANSCOM
2011-09-21,100.1,102.0,99.0,99.4,99.8,35106.0,35.21,NSE/BSTRANSCOM
2011-09-22,95.05,98.0,95.05,96.5,96.4,17429.0,16.84,NSE/BSTRANSCOM
2011-09-23,93.05,96.0,91.0,91.5,91.75,21339.0,19.71,NSE/BSTRANSCOM
2011-09-26,90.2,92.25,89.0,89.0,90.1,15118.0,13.7,NSE/BSTRANSCOM
2011-09-27,92.0,93.75,90.1,90.6,91.2,26528.0,24.43,NSE/BSTRANSCOM
2011-09-28,90.7,92.0,89.15,89.3,90.05,26894.0,24.54,NSE/BSTRANSCOM
2011-09-29,89.0,91.45,89.0,90.0,90.2,10677.0,9.65,NSE/BSTRANSCOM
2011-09-30,90.35,91.1,88.5,89.2,89.55,13828.0,12.41,NSE/BSTRANSCOM
2011-10-03,85.35,89.0,85.35,88.2,87.55,5822.0,5.09,NSE/BSTRANSCOM
2011-10-04,85.35,95.5,85.35,94.0,93.25,57329.0,53.13,NSE/BSTRANSCOM
2011-10-05,90.2,98.0,90.2,97.6,96.7,53215.0,50.4,NSE/BSTRANSCOM
2011-10-07,99.0,102.0,94.55,95.2,95.8,42911.0,42.42,NSE/BSTRANSCOM
2011-10-10,96.25,98.0,96.0,96.45,96.8,11000.0,10.66,NSE/BSTRANSCOM
2011-10-11,97.05,99.85,96.25,96.65,96.85,13901.0,13.65,NSE/BSTRANSCOM
2011-10-12,98.2,99.8,95.3,96.65,96.3,20153.0,19.5,NSE/BSTRANSCOM
2011-10-13,99.5,99.7,96.15,97.1,96.9,17965.0,17.54,NSE/BSTRANSCOM
2011-10-14,95.2,97.35,95.2,95.5,96.2,17769.0,17.13,NSE/BSTRANSCOM
2011-10-17,98.45,99.5,97.0,97.4,97.95,10301.0,10.13,NSE/BSTRANSCOM
2011-10-18,95.4,97.0,94.25,95.0,95.05,13220.0,12.56,NSE/BSTRANSCOM
2011-10-19,96.0,99.75,96.0,98.35,98.7,22128.0,21.67,NSE/BSTRANSCOM
2011-10-20,96.15,98.0,95.4,96.0,96.6,11456.0,11.13,NSE/BSTRANSCOM
2011-10-21,95.25,99.6,95.25,98.7,98.85,18748.0,18.52,NSE/BSTRANSCOM
2011-10-24,99.05,100.0,96.65,100.0,99.5,48955.0,48.72,NSE/BSTRANSCOM
2011-10-25,100.0,101.0,97.0,101.0,99.6,12372.0,12.27,NSE/BSTRANSCOM
2011-10-26,98.05,101.55,98.05,100.4,100.95,19158.0,19.3,NSE/BSTRANSCOM
2011-10-28,102.95,103.0,99.2,100.35,100.9,13821.0,13.98,NSE/BSTRANSCOM
2011-10-31,102.9,104.0,98.6,99.0,99.6,17684.0,17.67,NSE/BSTRANSCOM
2011-11-01,100.0,102.0,99.5,101.0,101.35,32616.0,32.65,NSE/BSTRANSCOM
2011-11-02,100.0,102.75,98.4,102.0,101.55,8805.0,8.94,NSE/BSTRANSCOM
2011-11-03,99.35,104.0,99.35,101.8,102.05,15912.0,16.3,NSE/BSTRANSCOM
2011-11-04,102.6,105.25,102.5,104.95,104.65,17005.0,17.73,NSE/BSTRANSCOM
2011-11-08,105.9,123.95,105.0,117.7,118.9,77133.0,88.59,NSE/BSTRANSCOM
2011-11-09,120.8,124.65,108.0,111.0,112.45,56597.0,67.25,NSE/BSTRANSCOM
2011-11-11,110.6,114.4,109.05,109.05,109.85,15461.0,17.07,NSE/BSTRANSCOM
2011-11-14,112.0,116.85,105.7,107.3,107.45,23097.0,25.0,NSE/BSTRANSCOM
2011-11-15,105.75,107.7,105.15,106.0,106.15,71672.0,76.1,NSE/BSTRANSCOM
