Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2008-01-03,15.0,50.5,15.0,49.7,48.05,152748815.0,60994.76,NSE/BURNPUR
2008-01-04,55.05,57.65,49.0,53.6,54.15,49868652.0,27139.46,NSE/BURNPUR
2008-01-07,53.5,54.95,48.4,49.0,50.25,15807574.0,8006.92,NSE/BURNPUR
2008-01-08,50.25,51.5,42.55,43.25,43.65,9773688.0,4408.26,NSE/BURNPUR
2008-01-09,43.0,43.65,37.1,40.6,40.15,7855718.0,3159.59,NSE/BURNPUR
2008-01-10,41.8,42.7,37.4,37.5,37.9,4663813.0,1881.41,NSE/BURNPUR
2008-01-11,39.5,39.8,33.15,36.85,36.0,4313440.0,1513.44,NSE/BURNPUR
2008-01-14,36.0,43.2,33.1,43.2,42.0,15250357.0,6043.69,NSE/BURNPUR
2008-01-15,43.95,46.45,41.5,41.95,42.15,11133307.0,4921.47,NSE/BURNPUR
2008-01-16,42.25,42.25,38.05,40.0,39.8,5308754.0,2124.44,NSE/BURNPUR
2008-01-17,40.85,43.5,39.3,41.1,41.3,6526869.0,2723.78,NSE/BURNPUR
2008-01-18,40.0,41.4,35.2,36.65,37.75,2737560.0,1088.76,NSE/BURNPUR
2008-01-21,38.7,38.7,30.2,31.5,31.3,2655782.0,903.63,NSE/BURNPUR
2008-01-22,29.0,29.5,25.05,27.25,27.1,776312.0,202.92,NSE/BURNPUR
2008-01-23,30.2,32.55,29.0,32.55,31.95,1388420.0,430.25,NSE/BURNPUR
2008-01-24,34.0,35.0,30.1,31.8,31.15,1318793.0,430.2,NSE/BURNPUR
2008-01-25,32.75,33.55,30.5,31.65,31.8,1043057.0,327.18,NSE/BURNPUR
2008-01-28,31.0,31.0,25.45,30.6,30.4,818114.0,244.8,NSE/BURNPUR
2008-01-29,32.5,32.8,30.3,31.0,31.0,753650.0,235.86,NSE/BURNPUR
2008-01-30,30.7,31.0,29.15,29.9,29.6,633192.0,190.43,NSE/BURNPUR
2008-01-31,29.0,29.8,28.0,28.9,28.95,850165.0,246.34,NSE/BURNPUR
2008-02-01,29.2,29.5,28.0,28.15,28.2,489162.0,139.6,NSE/BURNPUR
2008-02-04,29.4,32.5,29.2,29.7,29.85,921720.0,275.01,NSE/BURNPUR
2008-02-05,28.4,31.2,28.4,30.05,29.95,1124596.0,338.59,NSE/BURNPUR
2008-02-06,30.0,30.0,27.5,29.35,29.3,644916.0,188.27,NSE/BURNPUR
2008-02-07,31.0,35.2,29.95,33.5,33.25,5942271.0,2031.3,NSE/BURNPUR
2008-02-08,33.9,35.75,31.95,32.15,32.4,4068429.0,1373.2,NSE/BURNPUR
2008-02-11,33.0,33.0,29.0,29.6,29.25,1068719.0,321.66,NSE/BURNPUR
2008-02-12,30.5,30.9,27.5,27.55,27.7,771407.0,219.14,NSE/BURNPUR
2008-02-13,27.1,28.85,27.1,27.5,27.3,591887.0,163.72,NSE/BURNPUR
2008-02-14,27.5,29.45,27.5,29.0,29.1,751358.0,214.37,NSE/BURNPUR
2008-02-15,28.8,31.4,27.8,30.15,30.25,1794541.0,540.49,NSE/BURNPUR
2008-02-18,30.9,31.45,30.05,30.3,30.4,799817.0,245.7,NSE/BURNPUR
2008-02-19,31.0,31.25,29.9,29.9,30.1,723146.0,221.39,NSE/BURNPUR
2008-02-20,30.0,30.0,28.85,29.4,29.15,398901.0,117.33,NSE/BURNPUR
2008-02-21,29.25,30.65,29.25,29.7,29.65,673337.0,201.21,NSE/BURNPUR
2008-02-22,30.0,30.0,28.7,29.0,28.85,348910.0,101.22,NSE/BURNPUR
2008-02-25,29.0,29.8,28.15,28.6,28.65,371648.0,106.39,NSE/BURNPUR
2008-02-26,29.25,30.85,29.0,29.85,29.95,1333555.0,402.15,NSE/BURNPUR
2008-02-27,30.95,31.0,29.75,29.9,30.0,756131.0,230.32,NSE/BURNPUR
2008-02-28,29.2,30.25,29.15,29.35,29.35,421206.0,124.02,NSE/BURNPUR
2008-02-29,29.4,29.9,28.25,28.65,28.7,567364.0,165.17,NSE/BURNPUR
2008-03-03,27.5,28.65,24.2,27.7,27.65,554582.0,155.05,NSE/BURNPUR
2008-03-04,28.05,28.35,25.2,26.85,26.55,564167.0,150.64,NSE/BURNPUR
2008-03-05,26.5,26.85,25.8,26.1,26.1,528497.0,138.72,NSE/BURNPUR
2008-03-07,24.2,26.0,22.25,23.55,23.45,682218.0,160.45,NSE/BURNPUR
2008-03-10,20.0,23.0,20.0,22.3,22.2,672689.0,145.07,NSE/BURNPUR
2008-03-11,21.15,24.5,21.15,24.2,24.1,671044.0,158.48,NSE/BURNPUR
2008-03-12,25.0,28.5,25.0,26.05,26.1,761464.0,202.84,NSE/BURNPUR
2008-03-13,24.0,25.45,23.15,23.9,23.7,634303.0,154.37,NSE/BURNPUR
2008-03-14,24.15,24.7,23.15,23.9,23.55,361796.0,85.33,NSE/BURNPUR
2008-03-17,21.45,22.6,21.25,22.1,22.15,366397.0,81.12,NSE/BURNPUR
2008-03-18,22.15,23.0,21.65,21.9,21.95,313316.0,69.43,NSE/BURNPUR
2008-03-19,25.4,25.4,20.55,20.7,21.0,323971.0,71.8,NSE/BURNPUR
2008-03-24,22.0,22.0,19.55,19.8,19.8,280504.0,56.44,NSE/BURNPUR
2008-03-25,20.5,21.65,19.5,21.2,21.2,513480.0,106.8,NSE/BURNPUR
2008-03-26,21.7,24.0,20.5,21.95,21.95,454191.0,100.06,NSE/BURNPUR
2008-03-27,22.9,23.4,20.0,21.7,21.65,337669.0,72.91,NSE/BURNPUR
2008-03-28,22.1,22.7,21.75,22.35,22.45,451628.0,100.43,NSE/BURNPUR
2008-03-31,22.25,23.2,21.65,21.8,21.95,365343.0,81.3,NSE/BURNPUR
2008-04-01,22.75,22.75,21.8,22.2,22.1,163446.0,36.21,NSE/BURNPUR
2008-04-02,22.9,26.1,22.25,22.5,22.35,300442.0,68.6,NSE/BURNPUR
2008-04-03,22.65,22.65,21.4,21.75,21.6,192671.0,41.96,NSE/BURNPUR
2008-04-04,21.55,21.8,21.0,21.4,21.15,203098.0,43.58,NSE/BURNPUR
2008-04-07,21.0,21.75,20.7,21.15,21.05,170530.0,35.99,NSE/BURNPUR
2008-04-08,21.15,21.45,20.65,21.2,21.05,147347.0,31.11,NSE/BURNPUR
2008-04-09,20.6,21.2,20.6,20.9,20.95,136856.0,28.73,NSE/BURNPUR
2008-04-10,20.7,21.9,20.7,21.35,21.45,224492.0,48.13,NSE/BURNPUR
2008-04-11,21.8,22.2,21.2,21.65,21.65,191209.0,41.09,NSE/BURNPUR
2008-04-15,21.25,21.45,21.0,21.4,21.3,141731.0,30.12,NSE/BURNPUR
2008-04-16,22.0,22.0,21.45,21.55,21.55,172289.0,37.36,NSE/BURNPUR
