Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,157.5,160.7,157.5,160.0,159.9,20483.0,32.69,NSE/CADILAHC
2001-01-02,160.0,164.0,159.15,163.85,161.9,582407.0,928.59,NSE/CADILAHC
2001-01-03,161.0,166.9,160.9,166.9,165.9,36125.0,59.56,NSE/CADILAHC
2001-01-04,168.0,169.0,166.0,168.1,168.2,45659.0,76.6,NSE/CADILAHC
2001-01-05,167.9,169.0,166.0,167.5,166.7,30808.0,51.51,NSE/CADILAHC
2001-01-08,166.0,167.65,163.1,164.5,164.85,26192.0,43.46,NSE/CADILAHC
2001-01-09,167.8,175.0,166.1,167.1,166.9,70126.0,118.86,NSE/CADILAHC
2001-01-10,171.55,174.0,167.35,168.5,168.35,59871.0,101.88,NSE/CADILAHC
2001-01-11,169.9,170.0,163.5,164.0,163.95,21913.0,36.4,NSE/CADILAHC
2001-01-12,166.8,166.8,158.0,159.45,158.95,35777.0,57.7,NSE/CADILAHC
2001-01-15,158.0,160.25,157.0,158.95,158.85,19655.0,31.16,NSE/CADILAHC
2001-01-16,159.95,161.0,154.0,154.55,154.9,54073.0,84.69,NSE/CADILAHC
2001-01-17,158.0,159.4,156.1,156.7,156.35,18431.0,29.03,NSE/CADILAHC
2001-01-18,157.0,157.0,154.65,156.6,156.2,11889.0,18.54,NSE/CADILAHC
2001-01-19,157.0,157.45,155.6,156.6,156.45,23307.0,36.49,NSE/CADILAHC
2001-01-22,155.3,167.4,155.3,166.9,164.3,52331.0,84.82,NSE/CADILAHC
2001-01-23,167.9,170.0,158.95,160.0,159.55,56286.0,90.38,NSE/CADILAHC
2001-01-24,163.95,163.95,157.0,157.85,158.05,49260.0,78.18,NSE/CADILAHC
2001-01-25,159.0,159.0,154.0,155.0,154.75,49543.0,76.99,NSE/CADILAHC
2001-01-29,153.7,153.7,142.5,148.5,148.1,64756.0,94.91,NSE/CADILAHC
2001-01-30,148.1,149.0,139.0,143.0,142.85,188204.0,268.66,NSE/CADILAHC
2001-01-31,149.9,149.9,140.05,142.3,142.35,137941.0,198.35,NSE/CADILAHC
2001-02-01,142.9,143.2,140.2,142.0,142.05,41579.0,59.03,NSE/CADILAHC
2001-02-02,141.95,142.8,140.8,142.0,141.55,48000.0,68.07,NSE/CADILAHC
2001-02-05,138.05,146.9,138.0,146.9,146.15,74360.0,107.01,NSE/CADILAHC
2001-02-06,145.6,149.0,143.45,148.4,147.25,88069.0,128.7,NSE/CADILAHC
2001-02-07,150.0,152.4,146.5,151.1,151.2,41009.0,61.38,NSE/CADILAHC
2001-02-08,147.25,155.85,147.25,155.0,154.75,49643.0,75.56,NSE/CADILAHC
2001-02-09,154.0,158.0,153.15,156.0,155.5,57962.0,90.53,NSE/CADILAHC
2001-02-12,156.75,161.0,153.25,153.25,154.1,62867.0,98.93,NSE/CADILAHC
2001-02-13,155.0,155.0,151.0,152.9,152.2,44617.0,68.33,NSE/CADILAHC
2001-02-14,152.8,154.75,151.0,153.0,153.05,25168.0,38.45,NSE/CADILAHC
2001-02-15,154.0,154.65,152.25,152.6,152.75,13215.0,20.28,NSE/CADILAHC
