Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-01-09,152.0,162.0,128.8,137.5,137.4,67909138.0,92740.37,NSE/CAIRN
2007-01-10,137.2,141.7,132.1,133.55,134.35,13707139.0,18781.4,NSE/CAIRN
2007-01-11,135.0,137.55,130.25,134.15,133.25,8041090.0,10749.36,NSE/CAIRN
2007-01-12,134.15,139.9,132.7,135.05,134.75,5819860.0,7826.32,NSE/CAIRN
2007-01-15,136.85,145.0,136.25,141.45,141.05,7557592.0,10716.99,NSE/CAIRN
2007-01-16,144.95,146.4,139.85,142.35,142.65,6249072.0,8993.91,NSE/CAIRN
2007-01-17,143.0,145.4,142.4,145.0,145.1,4916312.0,7101.33,NSE/CAIRN
2007-01-18,145.5,150.75,145.15,147.7,146.65,6154543.0,9099.7,NSE/CAIRN
2007-01-19,148.5,148.5,145.0,147.4,146.3,2303573.0,3364.77,NSE/CAIRN
2007-01-22,148.0,148.0,145.4,146.8,146.25,4286429.0,6294.03,NSE/CAIRN
2007-01-23,146.05,148.85,145.4,146.25,146.25,3427080.0,5047.91,NSE/CAIRN
2007-01-24,147.0,148.5,146.2,148.45,148.05,3328802.0,4918.59,NSE/CAIRN
2007-01-25,150.0,150.0,147.5,148.0,147.9,1258945.0,1863.16,NSE/CAIRN
2007-01-29,148.0,155.0,146.1,150.1,150.1,7960341.0,11976.09,NSE/CAIRN
2007-01-31,151.0,151.3,145.0,147.5,147.6,6228162.0,9267.8,NSE/CAIRN
2007-02-01,151.0,151.0,146.6,147.6,147.65,1402835.0,2074.96,NSE/CAIRN
2007-02-02,147.0,149.25,147.0,148.4,148.2,3831769.0,5686.04,NSE/CAIRN
2007-02-05,148.65,149.4,144.6,145.75,145.95,2569029.0,3764.59,NSE/CAIRN
2007-02-06,146.8,147.7,145.0,145.5,145.55,2073605.0,3038.19,NSE/CAIRN
2007-02-07,145.4,146.7,145.0,145.55,145.75,2379911.0,3470.78,NSE/CAIRN
2007-02-08,145.05,146.0,142.3,143.25,143.15,1176561.0,1688.89,NSE/CAIRN
2007-02-09,145.0,145.0,136.1,136.1,138.75,2427298.0,3429.13,NSE/CAIRN
2007-02-12,138.4,138.4,130.75,132.75,133.35,3447730.0,4589.22,NSE/CAIRN
2007-02-13,134.1,134.1,121.95,126.85,127.35,6210726.0,7911.42,NSE/CAIRN
2007-02-14,127.9,134.9,122.7,132.0,133.0,4260649.0,5435.99,NSE/CAIRN
2007-02-15,134.0,135.05,130.55,132.6,133.5,1576757.0,2104.56,NSE/CAIRN
