Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-02-26,288.0,288.0,229.15,244.0,241.45,4430766.0,10809.89,NSE/CANDC
2007-02-27,245.0,285.0,239.9,256.8,261.1,4221765.0,11499.23,NSE/CANDC
2007-02-28,245.0,252.0,216.3,222.0,221.35,1053624.0,2479.47,NSE/CANDC
2007-03-01,222.0,238.0,220.0,234.0,231.1,838289.0,1931.93,NSE/CANDC
2007-03-02,239.8,239.8,214.5,216.0,218.7,242763.0,552.07,NSE/CANDC
2007-03-05,215.0,215.0,190.0,191.55,192.85,182681.0,366.18,NSE/CANDC
2007-03-06,195.0,206.8,170.1,182.4,181.65,435627.0,800.3,NSE/CANDC
2007-03-07,185.0,188.0,168.3,169.6,174.55,228524.0,408.43,NSE/CANDC
2007-03-08,176.0,209.5,158.25,208.0,203.05,507996.0,923.23,NSE/CANDC
2007-03-09,210.0,210.9,182.65,186.0,188.2,466879.0,920.86,NSE/CANDC
2007-03-12,190.0,224.0,185.05,220.0,220.5,806632.0,1702.59,NSE/CANDC
2007-03-13,214.0,234.8,214.0,221.5,225.0,1000399.0,2260.09,NSE/CANDC
2007-03-14,210.25,218.0,205.0,205.7,205.4,692646.0,1456.65,NSE/CANDC
2007-03-15,212.0,216.7,205.0,205.5,205.55,198244.0,417.94,NSE/CANDC
2007-03-16,207.05,208.9,191.1,195.6,195.95,138711.0,275.78,NSE/CANDC
2007-03-19,198.1,203.7,191.15,201.0,199.55,130578.0,256.17,NSE/CANDC
2007-03-20,196.1,207.4,193.5,193.5,196.2,133605.0,269.47,NSE/CANDC
2007-03-21,198.95,198.95,192.45,193.5,193.55,47425.0,92.41,NSE/CANDC
2007-03-22,196.0,203.0,193.1,193.4,193.65,86447.0,170.29,NSE/CANDC
2007-03-23,196.7,196.7,187.15,188.0,189.55,44456.0,85.34,NSE/CANDC
2007-03-26,194.0,194.0,182.0,182.0,185.2,26977.0,50.34,NSE/CANDC
2007-03-28,184.3,184.3,169.65,171.8,170.95,136227.0,237.99,NSE/CANDC
2007-03-29,167.9,179.8,166.35,166.35,168.05,116666.0,200.02,NSE/CANDC
2007-03-30,172.0,174.0,167.35,172.5,169.8,105815.0,180.93,NSE/CANDC
2007-04-02,169.0,169.0,161.5,165.4,164.35,32168.0,53.22,NSE/CANDC
2007-04-03,167.0,169.85,162.55,168.0,167.65,54286.0,89.77,NSE/CANDC
2007-04-04,169.85,172.0,162.55,163.0,164.5,35756.0,59.93,NSE/CANDC
2007-04-05,166.8,173.5,163.9,166.7,166.55,71184.0,119.94,NSE/CANDC
2007-04-09,165.4,173.0,165.4,171.5,171.15,46722.0,80.01,NSE/CANDC
2007-04-10,174.9,174.9,165.55,167.1,166.9,114856.0,194.19,NSE/CANDC
