Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2010-10-12,114.7,125.9,101.1,104.4,105.0,26928537.0,30606.27,NSE/CANTABIL
2010-10-13,105.0,108.0,94.5,105.5,100.7,9211537.0,9078.77,NSE/CANTABIL
2010-10-14,102.55,112.4,102.55,106.8,108.35,5005586.0,5437.97,NSE/CANTABIL
2010-10-15,109.25,109.8,100.0,100.25,100.8,964433.0,1000.26,NSE/CANTABIL
2010-10-18,101.1,102.4,96.1,96.25,97.8,733890.0,730.46,NSE/CANTABIL
2010-10-19,99.8,103.6,97.4,97.8,98.3,1214104.0,1214.11,NSE/CANTABIL
2010-10-20,98.3,101.4,95.1,95.75,95.75,443543.0,435.04,NSE/CANTABIL
2010-10-21,97.1,98.5,94.35,94.4,95.0,389467.0,374.99,NSE/CANTABIL
2010-10-22,95.25,95.9,92.7,92.75,92.95,378726.0,355.55,NSE/CANTABIL
2010-10-25,93.1,95.0,91.15,91.4,91.5,294500.0,271.94,NSE/CANTABIL
2010-10-26,91.6,93.6,90.85,91.45,91.35,329311.0,303.75,NSE/CANTABIL
2010-10-27,91.5,91.95,86.1,87.0,87.15,228498.0,203.64,NSE/CANTABIL
2010-10-28,88.2,88.25,81.0,82.3,81.8,262787.0,222.77,NSE/CANTABIL
2010-10-29,81.8,81.8,74.0,74.85,76.2,816867.0,640.0,NSE/CANTABIL
2010-11-01,77.15,77.15,69.15,70.5,70.9,825798.0,588.6,NSE/CANTABIL
2010-11-02,70.9,75.0,68.6,72.8,73.2,697952.0,511.19,NSE/CANTABIL
2010-11-03,73.8,74.25,70.35,70.95,70.9,222219.0,160.21,NSE/CANTABIL
2010-11-04,70.0,73.6,70.0,71.0,71.35,240103.0,172.36,NSE/CANTABIL
2010-11-05,72.0,72.7,71.25,72.65,72.0,24564.0,17.67,NSE/CANTABIL
2010-11-08,72.0,75.25,70.7,73.0,73.05,310992.0,228.98,NSE/CANTABIL
2010-11-09,73.4,75.7,72.0,74.8,74.4,232038.0,171.86,NSE/CANTABIL
2010-11-10,74.8,75.3,73.55,74.25,74.4,157985.0,117.35,NSE/CANTABIL
2010-11-11,72.1,76.8,72.1,74.0,74.15,203094.0,152.33,NSE/CANTABIL
2010-11-12,74.45,75.3,72.55,73.25,73.3,117228.0,86.78,NSE/CANTABIL
2010-11-15,73.0,74.2,71.0,71.0,72.7,73239.0,53.53,NSE/CANTABIL
2010-11-16,72.5,72.8,67.5,68.95,68.35,108180.0,75.79,NSE/CANTABIL
2010-11-18,69.0,70.3,67.0,68.7,68.35,111270.0,75.92,NSE/CANTABIL
