Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2015-06-22,186.15,169.0,186.0,185.65,184.6,623694.0,1151.31,NSE/CASTEXTECH
2015-06-23,194.9,183.0,194.9,194.9,193.55,267031.0,516.83,NSE/CASTEXTECH
2015-06-24,204.6,195.0,204.5,204.6,204.22,365836.0,747.1,NSE/CASTEXTECH
2015-06-25,213.0,201.8,212.0,212.6,209.18,293542.0,614.02,NSE/CASTEXTECH
2015-06-26,222.0,210.0,222.0,221.95,219.47,680164.0,1492.79,NSE/CASTEXTECH
2015-06-29,228.0,213.0,228.0,225.2,221.75,427137.0,947.16,NSE/CASTEXTECH
2015-06-30,236.45,225.2,236.45,236.3,235.16,529739.0,1245.72,NSE/CASTEXTECH
2015-07-01,248.1,241.0,247.6,248.05,246.15,238908.0,588.08,NSE/CASTEXTECH
2015-07-02,260.45,249.0,260.45,260.3,258.72,299236.0,774.18,NSE/CASTEXTECH
2015-07-03,273.3,264.0,273.3,273.3,271.79,106968.0,290.73,NSE/CASTEXTECH
2015-07-06,286.95,261.25,286.95,286.9,285.49,701545.0,2002.83,NSE/CASTEXTECH
2015-07-07,289.0,301.2,272.6,300.0,301.1,970972.0,2851.91,NSE/CASTEXTECH
2015-07-08,303.0,316.15,300.0,316.15,316.05,625917.0,1950.65,NSE/CASTEXTECH
2015-07-09,320.0,331.85,317.2,331.85,331.8,386260.0,1272.24,NSE/CASTEXTECH
2015-07-10,342.0,348.0,318.05,343.9,345.85,763316.0,2589.78,NSE/CASTEXTECH
2015-07-13,350.0,363.1,346.8,362.8,362.65,644177.0,2320.33,NSE/CASTEXTECH
2015-07-14,344.55,344.55,344.55,344.55,344.55,37200.0,128.17,NSE/CASTEXTECH
2015-07-15,327.35,327.35,327.35,327.35,327.35,1811.0,5.93,NSE/CASTEXTECH
2015-07-16,311.0,311.0,311.0,311.0,311.0,2058.0,6.4,NSE/CASTEXTECH
2015-07-17,295.45,295.45,295.45,295.45,295.45,1750.0,5.17,NSE/CASTEXTECH
