Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,275.0,278.4,273.0,275.85,275.05,34318.0,94.66,NSE/CASTROL
2001-01-02,275.0,277.0,274.1,276.45,276.15,41658.0,114.67,NSE/CASTROL
2001-01-03,278.0,278.0,275.5,277.05,277.1,25589.0,70.87,NSE/CASTROL
2001-01-04,278.0,279.7,275.0,275.95,275.7,46685.0,129.26,NSE/CASTROL
2001-01-05,275.05,277.0,275.05,275.25,275.35,28719.0,79.17,NSE/CASTROL
2001-01-08,277.9,278.0,274.1,275.4,275.2,20965.0,57.72,NSE/CASTROL
2001-01-09,277.6,277.8,274.3,274.55,274.55,31933.0,87.79,NSE/CASTROL
2001-01-10,275.55,275.95,274.5,274.55,274.7,40491.0,111.41,NSE/CASTROL
2001-01-11,274.05,276.45,273.15,274.9,274.55,16134.0,44.31,NSE/CASTROL
2001-01-12,275.8,275.8,274.0,274.4,274.2,40644.0,111.62,NSE/CASTROL
2001-01-15,273.3,275.6,273.3,274.65,274.85,19338.0,53.15,NSE/CASTROL
2001-01-16,275.3,276.0,274.0,275.3,275.65,32645.0,89.8,NSE/CASTROL
2001-01-17,276.0,276.9,274.05,276.5,275.9,44369.0,122.37,NSE/CASTROL
2001-01-18,274.1,276.9,274.1,275.75,275.95,19686.0,54.34,NSE/CASTROL
2001-01-19,276.0,278.0,274.0,274.95,274.75,44828.0,123.23,NSE/CASTROL
2001-01-22,272.05,274.7,271.0,271.0,271.55,38686.0,105.52,NSE/CASTROL
2001-01-23,270.05,271.0,268.0,269.35,269.6,39245.0,105.87,NSE/CASTROL
2001-01-24,273.0,273.0,267.05,269.5,269.4,50114.0,135.09,NSE/CASTROL
2001-01-25,265.1,269.95,247.85,258.0,256.65,271287.0,694.1,NSE/CASTROL
2001-01-29,252.55,258.0,240.0,257.05,256.95,67119.0,171.15,NSE/CASTROL
2001-01-30,255.05,267.0,255.05,265.0,262.4,85864.0,222.78,NSE/CASTROL
2001-01-31,269.45,278.5,266.9,274.25,275.75,225410.0,614.55,NSE/CASTROL
2001-02-01,277.0,282.25,270.1,274.65,273.55,152683.0,420.6,NSE/CASTROL
2001-02-02,272.05,274.85,272.0,273.1,273.35,33911.0,92.77,NSE/CASTROL
2001-02-05,274.55,275.0,270.0,271.0,270.75,49767.0,135.01,NSE/CASTROL
2001-02-06,269.0,292.45,269.0,284.0,286.75,241509.0,684.45,NSE/CASTROL
2001-02-07,265.15,284.85,265.15,278.0,279.35,222115.0,620.19,NSE/CASTROL
2001-02-08,277.0,280.0,275.1,278.0,277.45,59939.0,166.47,NSE/CASTROL
2001-02-09,277.75,282.75,276.0,282.75,281.7,151925.0,425.62,NSE/CASTROL
2001-02-12,282.8,285.0,278.0,279.25,278.7,82663.0,232.73,NSE/CASTROL
2001-02-13,280.0,280.0,274.25,274.8,275.2,116211.0,321.5,NSE/CASTROL
2001-02-14,279.95,279.95,274.25,276.0,276.2,70325.0,193.9,NSE/CASTROL
2001-02-15,280.0,285.0,277.0,278.2,277.5,85683.0,240.2,NSE/CASTROL
2001-02-16,281.0,289.7,280.05,282.0,281.15,218299.0,619.33,NSE/CASTROL
2001-02-19,285.0,285.0,279.25,281.0,280.9,84831.0,239.28,NSE/CASTROL
2001-02-20,282.05,282.9,277.0,277.8,277.45,97557.0,272.33,NSE/CASTROL
2001-02-21,280.0,281.0,277.1,279.0,278.9,71508.0,199.12,NSE/CASTROL
2001-02-22,277.15,280.0,275.8,277.6,277.5,38708.0,107.32,NSE/CASTROL
2001-02-23,279.5,279.5,267.1,268.0,268.6,113954.0,309.87,NSE/CASTROL
2001-02-26,265.15,273.9,262.15,264.0,264.55,61013.0,161.86,NSE/CASTROL
2001-02-27,263.05,265.0,261.2,262.1,263.1,70712.0,185.88,NSE/CASTROL
2001-02-28,280.0,283.25,271.0,272.05,272.6,99161.0,272.8,NSE/CASTROL
2001-03-01,270.5,276.75,270.1,273.25,273.0,52305.0,143.22,NSE/CASTROL
2001-03-02,270.15,270.15,253.1,255.25,254.85,143254.0,370.89,NSE/CASTROL
2001-03-05,254.1,261.95,254.05,255.2,255.25,127076.0,327.29,NSE/CASTROL
