Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-07-17,75.0,104.9,65.5,66.65,67.55,10437211.0,7411.17,NSE/CELESTIAL
2007-07-18,66.5,67.5,62.5,65.1,64.55,2184003.0,1421.46,NSE/CELESTIAL
2007-07-19,65.0,70.25,63.4,69.3,69.1,2429276.0,1655.47,NSE/CELESTIAL
2007-07-20,70.0,72.7,68.0,68.1,68.35,1901233.0,1339.79,NSE/CELESTIAL
2007-07-23,67.8,68.0,65.65,66.3,66.55,248588.0,165.81,NSE/CELESTIAL
2007-07-24,67.2,67.2,63.25,63.3,63.8,224927.0,145.03,NSE/CELESTIAL
2007-07-25,63.0,63.0,60.1,61.1,60.7,132871.0,81.82,NSE/CELESTIAL
2007-07-26,61.6,62.45,61.0,61.2,61.35,98814.0,61.01,NSE/CELESTIAL
2007-07-27,60.05,60.7,56.55,58.85,57.9,110413.0,64.66,NSE/CELESTIAL
2007-07-30,57.0,57.5,54.9,56.0,55.95,132723.0,74.3,NSE/CELESTIAL
2007-07-31,56.0,58.8,56.0,58.2,58.3,144940.0,83.69,NSE/CELESTIAL
2007-08-01,57.05,57.5,53.0,53.0,53.35,95397.0,52.62,NSE/CELESTIAL
2007-08-02,53.65,55.85,52.05,52.05,52.3,73799.0,39.65,NSE/CELESTIAL
2007-08-03,52.5,54.0,52.3,53.0,52.9,44307.0,23.57,NSE/CELESTIAL
2007-08-06,51.45,53.55,49.1,53.5,52.1,70727.0,36.43,NSE/CELESTIAL
2007-08-07,55.4,57.0,52.3,52.55,52.6,37189.0,19.76,NSE/CELESTIAL
2007-08-08,52.95,57.0,52.3,56.55,56.15,182727.0,100.85,NSE/CELESTIAL
2007-08-09,56.7,57.1,53.0,53.25,53.35,79878.0,43.65,NSE/CELESTIAL
2007-08-10,52.0,53.1,50.45,53.1,52.85,29963.0,15.63,NSE/CELESTIAL
2007-08-13,54.85,55.0,52.1,53.3,54.0,63458.0,34.42,NSE/CELESTIAL
2007-08-14,53.0,55.2,52.3,52.35,53.1,53237.0,28.76,NSE/CELESTIAL
2007-08-16,46.55,51.9,45.1,49.5,49.75,45582.0,22.93,NSE/CELESTIAL
2007-08-17,49.7,50.35,46.0,48.15,47.6,45665.0,22.0,NSE/CELESTIAL
2007-08-20,50.9,51.75,47.85,50.65,50.15,85482.0,42.8,NSE/CELESTIAL
2007-08-21,49.25,49.9,45.0,45.4,45.4,34556.0,16.33,NSE/CELESTIAL
2007-08-22,47.7,49.0,44.0,44.3,44.6,28467.0,12.74,NSE/CELESTIAL
2007-08-23,45.9,46.5,42.0,43.0,42.4,29300.0,12.93,NSE/CELESTIAL
2007-08-24,42.15,44.75,42.0,44.2,44.25,26504.0,11.49,NSE/CELESTIAL
2007-08-27,42.2,46.85,42.2,46.5,46.25,35221.0,16.17,NSE/CELESTIAL
2007-08-28,44.7,49.9,44.6,47.0,47.45,54283.0,26.08,NSE/CELESTIAL
2007-08-29,46.3,47.4,46.1,46.7,46.9,17430.0,8.14,NSE/CELESTIAL
2007-08-30,47.2,48.4,46.6,47.0,46.75,8931.0,4.21,NSE/CELESTIAL
2007-08-31,47.0,47.7,46.4,46.8,46.8,17767.0,8.33,NSE/CELESTIAL
2007-09-03,51.95,51.95,46.8,47.5,47.25,28408.0,13.52,NSE/CELESTIAL
2007-09-04,47.95,48.25,46.65,47.0,47.1,22186.0,10.48,NSE/CELESTIAL
2007-09-05,47.75,47.9,45.1,45.4,45.7,21224.0,9.89,NSE/CELESTIAL
2007-09-06,45.2,46.0,45.0,46.0,45.8,32768.0,14.97,NSE/CELESTIAL
2007-09-07,48.0,48.0,45.3,47.0,46.2,55608.0,25.85,NSE/CELESTIAL
2007-09-10,45.9,47.1,45.75,46.8,46.8,28062.0,13.07,NSE/CELESTIAL
2007-09-11,46.8,47.0,45.1,45.15,46.0,16025.0,7.43,NSE/CELESTIAL
2007-09-12,45.9,46.9,45.7,46.8,46.1,14323.0,6.63,NSE/CELESTIAL
2007-09-13,49.75,49.75,45.5,45.7,45.95,23598.0,11.01,NSE/CELESTIAL
2007-09-14,45.6,50.9,45.5,47.65,48.15,111312.0,54.7,NSE/CELESTIAL
2007-09-17,50.6,50.6,47.5,48.15,48.45,33062.0,15.98,NSE/CELESTIAL
2007-09-18,49.0,49.7,48.0,48.4,48.25,31443.0,15.33,NSE/CELESTIAL
2007-09-19,50.9,50.9,47.2,47.95,48.0,21118.0,10.25,NSE/CELESTIAL
2007-09-20,47.55,48.5,46.1,46.95,46.6,90839.0,43.11,NSE/CELESTIAL
2007-09-21,48.95,48.95,46.0,46.75,46.45,14946.0,7.0,NSE/CELESTIAL
2007-09-24,46.5,49.4,38.55,47.35,47.75,50137.0,23.3,NSE/CELESTIAL
2007-09-25,47.95,48.4,45.4,45.5,45.5,22314.0,10.31,NSE/CELESTIAL
2007-09-26,45.2,52.9,44.8,48.7,48.45,172600.0,85.35,NSE/CELESTIAL
2007-09-27,49.3,49.4,47.0,47.0,47.35,17513.0,8.43,NSE/CELESTIAL
2007-09-28,47.15,47.85,46.0,47.0,47.25,19085.0,8.94,NSE/CELESTIAL
