Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2001-01-01,43.1,45.1,43.1,43.45,43.45,4025.0,1.79,NSE/CENTENKA
2001-01-02,43.55,45.8,43.5,44.5,44.85,10651.0,4.74,NSE/CENTENKA
2001-01-03,46.1,48.45,46.1,48.45,48.45,19051.0,9.14,NSE/CENTENKA
2001-01-04,48.55,49.15,47.75,47.75,47.95,19496.0,9.45,NSE/CENTENKA
2001-01-05,46.75,47.65,45.1,46.3,46.2,7926.0,3.68,NSE/CENTENKA
2001-01-08,46.0,46.95,44.2,44.6,44.9,13705.0,6.22,NSE/CENTENKA
2001-01-09,44.95,44.95,43.2,44.0,43.9,12291.0,5.41,NSE/CENTENKA
2001-01-10,44.0,45.7,44.0,44.3,44.45,4805.0,2.16,NSE/CENTENKA
2001-01-11,44.05,45.45,43.0,45.45,45.0,5267.0,2.32,NSE/CENTENKA
2001-01-12,44.0,45.5,43.55,45.0,45.3,3400.0,1.52,NSE/CENTENKA
2001-01-15,44.0,45.45,43.5,44.95,44.05,6550.0,2.91,NSE/CENTENKA
2001-01-16,43.05,44.5,43.05,43.7,43.7,7680.0,3.38,NSE/CENTENKA
2001-01-17,44.0,44.5,44.0,44.25,44.05,4205.0,1.86,NSE/CENTENKA
2001-01-18,44.1,45.0,43.3,44.0,44.2,3081.0,1.36,NSE/CENTENKA
2001-01-19,43.5,44.5,43.2,44.5,44.4,10049.0,4.42,NSE/CENTENKA
2001-01-22,42.15,45.0,42.15,44.15,44.45,2980.0,1.32,NSE/CENTENKA
2001-01-23,43.75,46.0,43.75,45.3,45.3,12643.0,5.73,NSE/CENTENKA
2001-01-24,46.5,48.95,46.5,48.95,48.95,10805.0,5.25,NSE/CENTENKA
2001-01-25,52.85,52.9,48.9,52.9,52.35,68365.0,35.12,NSE/CENTENKA
2001-01-29,49.75,52.5,49.75,52.0,51.8,35333.0,18.16,NSE/CENTENKA
2001-01-30,53.0,53.0,51.0,52.0,51.9,15982.0,8.3,NSE/CENTENKA
2001-01-31,53.0,54.9,52.0,52.4,52.35,15547.0,8.19,NSE/CENTENKA
2001-02-01,51.5,52.0,49.5,50.0,50.25,15622.0,7.92,NSE/CENTENKA
2001-02-02,49.5,51.0,49.2,50.0,49.35,17335.0,8.66,NSE/CENTENKA
2001-02-05,50.0,51.6,48.1,50.75,50.9,15860.0,8.04,NSE/CENTENKA
2001-02-06,51.5,52.7,50.0,51.7,51.15,26480.0,13.6,NSE/CENTENKA
2001-02-07,53.0,53.5,48.05,51.0,51.0,21968.0,11.23,NSE/CENTENKA
2001-02-08,52.8,52.8,51.0,51.9,51.7,10316.0,5.33,NSE/CENTENKA
2001-02-09,51.25,53.0,51.0,52.6,52.75,29900.0,15.65,NSE/CENTENKA
2001-02-12,52.0,57.0,52.0,57.0,57.0,39922.0,22.45,NSE/CENTENKA
2001-02-13,58.0,60.0,54.7,56.0,55.7,34896.0,19.79,NSE/CENTENKA
2001-02-14,55.5,58.0,53.5,54.25,54.7,33645.0,18.38,NSE/CENTENKA
2001-02-15,56.6,59.1,56.6,59.1,59.1,16516.0,9.74,NSE/CENTENKA
2001-02-16,63.85,63.85,63.0,63.85,63.65,95668.0,60.98,NSE/CENTENKA
2001-02-19,67.9,68.75,60.5,68.75,68.15,111937.0,73.14,NSE/CENTENKA
2001-02-20,71.5,73.0,66.3,66.9,66.75,77624.0,54.03,NSE/CENTENKA
2001-02-21,65.1,68.9,61.5,64.05,63.95,51377.0,33.06,NSE/CENTENKA
2001-02-22,62.5,64.7,62.5,64.1,64.3,37478.0,23.76,NSE/CENTENKA
2001-02-23,64.0,65.35,62.0,62.0,62.45,73353.0,46.85,NSE/CENTENKA
2001-02-26,64.45,64.45,58.5,59.5,58.85,24095.0,14.3,NSE/CENTENKA
2001-02-27,59.15,59.15,55.1,55.85,56.15,20257.0,11.42,NSE/CENTENKA
2001-02-28,57.0,60.65,57.0,60.65,60.65,13380.0,8.01,NSE/CENTENKA
2001-03-01,60.0,64.0,56.0,56.9,56.5,28006.0,16.98,NSE/CENTENKA
2001-03-02,56.0,57.95,55.2,55.25,55.4,14325.0,8.04,NSE/CENTENKA
2001-03-05,56.0,56.0,51.05,53.5,53.55,35415.0,18.95,NSE/CENTENKA
2001-03-07,54.5,56.95,53.5,54.85,54.95,7245.0,3.96,NSE/CENTENKA
2001-03-08,54.85,55.75,53.55,54.0,54.0,9492.0,5.16,NSE/CENTENKA
2001-03-09,52.5,53.0,50.1,51.95,51.65,15609.0,8.06,NSE/CENTENKA
2001-03-12,51.0,51.5,47.55,47.55,47.8,16785.0,8.19,NSE/CENTENKA
2001-03-13,44.0,46.5,44.0,45.5,45.05,40905.0,18.47,NSE/CENTENKA
2001-03-14,46.6,48.65,46.6,48.65,48.65,4560.0,2.17,NSE/CENTENKA
2001-03-15,49.5,51.9,48.6,50.75,50.75,6691.0,3.34,NSE/CENTENKA
2001-03-16,48.5,51.0,48.5,49.75,50.05,11933.0,5.94,NSE/CENTENKA
