Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),index
2007-10-05,234.0,234.0,206.25,211.5,210.95,47123.0,105.88,NSE/CENTUM
2007-10-08,228.9,228.9,204.0,204.0,206.75,8239.0,17.38,NSE/CENTUM
2007-10-09,178.0,214.75,177.0,199.0,198.0,1132.0,2.23,NSE/CENTUM
2007-10-10,190.0,193.75,184.0,185.0,185.15,1129.0,2.12,NSE/CENTUM
2007-10-11,189.0,189.0,182.8,185.0,185.0,757.0,1.4,NSE/CENTUM
2007-10-12,177.0,189.0,170.0,177.95,171.6,1321.0,2.37,NSE/CENTUM
2007-10-15,176.75,185.0,172.0,172.0,172.0,710.0,1.28,NSE/CENTUM
2007-10-16,174.0,178.0,166.25,170.0,169.55,677.0,1.15,NSE/CENTUM
2007-10-17,169.55,180.0,162.0,162.0,162.0,410.0,0.71,NSE/CENTUM
2007-10-18,162.05,170.0,159.5,159.5,159.5,2662.0,4.33,NSE/CENTUM
2007-10-19,158.0,158.0,145.05,153.8,153.8,436.0,0.66,NSE/CENTUM
2007-10-22,148.05,166.9,148.05,156.0,156.0,612.0,0.97,NSE/CENTUM
2007-10-23,158.0,163.0,158.0,158.15,159.25,871.0,1.39,NSE/CENTUM
2007-10-24,160.8,161.0,150.0,161.0,159.7,6392.0,10.19,NSE/CENTUM
2007-10-25,155.0,165.0,151.2,165.0,165.0,2599.0,4.26,NSE/CENTUM
2007-10-26,156.0,165.0,156.0,164.0,162.15,733.0,1.19,NSE/CENTUM
2007-10-29,160.15,163.8,152.0,153.05,157.25,3687.0,5.87,NSE/CENTUM
2007-10-30,150.1,157.0,150.1,152.1,151.8,1810.0,2.76,NSE/CENTUM
2007-10-31,148.1,152.1,141.15,149.9,148.15,1923.0,2.84,NSE/CENTUM
2007-11-01,158.0,163.9,146.6,161.0,157.6,993.0,1.56,NSE/CENTUM
2007-11-02,155.0,180.0,150.55,160.1,160.9,2010.0,3.24,NSE/CENTUM
2007-11-05,163.1,193.1,163.1,193.1,193.05,3257.0,5.91,NSE/CENTUM
2007-11-06,228.95,228.95,190.5,191.0,193.05,3560.0,7.14,NSE/CENTUM
2007-11-07,195.0,195.0,177.0,178.5,179.45,1015.0,1.89,NSE/CENTUM
2007-11-08,215.0,215.0,155.0,180.0,191.7,4952.0,9.43,NSE/CENTUM
2007-11-09,163.0,210.0,162.05,189.0,179.8,2217.0,3.97,NSE/CENTUM
2007-11-12,171.0,188.0,171.0,185.5,182.5,524.0,0.95,NSE/CENTUM
2007-11-13,187.5,187.5,173.0,176.0,176.65,876.0,1.55,NSE/CENTUM
2007-11-14,180.0,180.05,168.0,174.1,174.0,1688.0,3.0,NSE/CENTUM
2007-11-15,183.9,183.9,168.5,183.9,179.0,1232.0,2.22,NSE/CENTUM
2007-11-16,175.0,180.0,175.0,180.0,180.0,879.0,1.57,NSE/CENTUM
2007-11-19,189.0,189.0,171.0,188.0,187.05,1936.0,3.53,NSE/CENTUM
2007-11-20,178.0,189.9,178.0,185.0,183.85,1031.0,1.93,NSE/CENTUM
2007-11-21,182.1,186.7,178.0,178.1,178.4,1332.0,2.45,NSE/CENTUM
2007-11-22,197.95,197.95,170.0,177.0,175.95,1559.0,2.77,NSE/CENTUM
2007-11-23,170.15,179.8,170.15,175.7,172.85,188.0,0.32,NSE/CENTUM
2007-11-26,164.0,179.85,164.0,174.85,174.85,411.0,0.74,NSE/CENTUM
2007-11-27,174.0,180.0,174.0,174.2,175.15,913.0,1.62,NSE/CENTUM
2007-11-28,204.95,204.95,172.3,175.0,175.2,621.0,1.11,NSE/CENTUM
2007-11-29,175.0,203.25,175.0,189.5,189.05,3972.0,7.37,NSE/CENTUM
2007-11-30,166.1,195.0,166.1,187.0,188.8,996.0,1.91,NSE/CENTUM
2007-12-03,186.9,195.0,181.0,191.5,191.5,2616.0,4.97,NSE/CENTUM
2007-12-04,190.0,199.9,190.0,199.9,197.5,2170.0,4.25,NSE/CENTUM
2007-12-05,190.9,197.5,190.9,197.5,197.45,85.0,0.16,NSE/CENTUM
2007-12-06,198.0,199.0,190.25,195.0,195.15,682.0,1.34,NSE/CENTUM
2007-12-07,195.0,195.0,186.0,190.0,187.05,1596.0,3.02,NSE/CENTUM
2007-12-10,185.15,193.7,185.15,188.7,188.7,729.0,1.38,NSE/CENTUM
2007-12-11,180.05,194.95,180.05,192.05,191.6,3240.0,6.16,NSE/CENTUM
2007-12-12,182.1,199.85,182.1,190.1,190.1,598.0,1.14,NSE/CENTUM
2007-12-13,190.0,196.0,190.0,194.0,194.0,1826.0,3.55,NSE/CENTUM
2007-12-14,183.25,194.8,183.25,189.0,189.0,4147.0,7.88,NSE/CENTUM
2007-12-17,190.0,190.0,186.05,186.1,186.1,232.0,0.44,NSE/CENTUM
2007-12-18,182.0,182.0,180.0,180.0,180.0,365.0,0.66,NSE/CENTUM
2007-12-19,182.05,182.05,181.3,181.3,181.3,6.0,0.01,NSE/CENTUM
2007-12-20,181.1,181.1,178.5,178.5,179.15,175.0,0.31,NSE/CENTUM
2007-12-24,184.0,184.95,175.3,176.0,175.95,813.0,1.44,NSE/CENTUM
2007-12-26,177.0,183.5,176.0,176.0,177.65,1066.0,1.9,NSE/CENTUM
2007-12-27,180.0,180.0,175.5,180.0,180.0,609.0,1.09,NSE/CENTUM
2007-12-28,180.0,190.0,176.3,188.5,182.45,1145.0,2.07,NSE/CENTUM
2007-12-31,199.95,199.95,192.15,193.05,193.45,983.0,1.9,NSE/CENTUM
2008-01-01,197.95,198.0,190.15,195.0,195.0,1367.0,2.7,NSE/CENTUM
2008-01-02,197.5,197.55,190.55,191.0,191.5,978.0,1.9,NSE/CENTUM
2008-01-03,191.0,195.8,191.0,194.0,194.65,1118.0,2.17,NSE/CENTUM
2008-01-04,204.9,228.0,194.0,194.0,197.0,14479.0,30.26,NSE/CENTUM
2008-01-07,197.0,200.0,195.4,195.5,195.65,3866.0,7.65,NSE/CENTUM
2008-01-08,197.9,200.0,192.0,192.0,193.3,1959.0,3.87,NSE/CENTUM
2008-01-09,179.0,200.0,179.0,191.95,191.95,600.0,1.14,NSE/CENTUM
2008-01-10,194.5,194.85,180.2,180.2,181.2,1152.0,2.12,NSE/CENTUM
2008-01-11,181.0,187.9,181.0,185.9,186.2,542.0,1.0,NSE/CENTUM
2008-01-14,181.0,185.0,180.0,184.4,184.4,547.0,1.0,NSE/CENTUM
2008-01-15,184.9,188.0,179.05,179.1,182.5,272.0,0.5,NSE/CENTUM
2008-01-16,179.0,179.0,171.0,175.0,175.25,1068.0,1.86,NSE/CENTUM
2008-01-17,182.0,183.9,175.5,180.0,180.0,340.0,0.61,NSE/CENTUM
2008-01-18,175.0,181.95,170.0,170.0,172.45,791.0,1.36,NSE/CENTUM
2008-01-21,156.0,186.95,151.0,151.0,151.0,1270.0,2.01,NSE/CENTUM
2008-01-22,149.0,177.95,130.0,130.0,147.0,590.0,0.92,NSE/CENTUM
2008-01-23,130.0,174.9,124.0,145.0,145.05,1292.0,1.92,NSE/CENTUM
2008-01-24,145.05,150.9,126.6,135.0,135.7,1453.0,1.93,NSE/CENTUM
2008-01-25,134.0,158.95,132.0,150.0,150.3,3046.0,4.27,NSE/CENTUM
2008-01-28,150.0,158.95,142.25,145.0,145.0,247.0,0.37,NSE/CENTUM
2008-01-29,159.0,165.0,155.0,165.0,162.5,2620.0,4.19,NSE/CENTUM
2008-01-30,152.0,163.5,152.0,159.5,152.9,399.0,0.62,NSE/CENTUM
2008-01-31,158.4,158.4,142.35,157.0,157.0,1410.0,2.13,NSE/CENTUM
2008-02-01,152.0,152.0,150.0,150.0,150.0,1220.0,1.85,NSE/CENTUM
2008-02-04,150.0,157.0,150.0,154.5,154.5,720.0,1.11,NSE/CENTUM
2008-02-05,140.0,159.0,140.0,150.0,147.8,623.0,0.93,NSE/CENTUM
2008-02-06,150.0,150.0,140.1,146.8,146.8,149.0,0.22,NSE/CENTUM
2008-02-07,141.05,154.5,141.05,148.0,147.9,2366.0,3.5,NSE/CENTUM
2008-02-08,144.0,144.0,139.1,139.1,139.1,157.0,0.22,NSE/CENTUM
2008-02-11,142.0,144.85,136.05,140.0,141.3,567.0,0.8,NSE/CENTUM
2008-02-12,130.0,132.0,116.0,126.0,124.8,1080.0,1.33,NSE/CENTUM
2008-02-13,126.0,134.0,120.25,128.0,128.0,1059.0,1.32,NSE/CENTUM
2008-02-14,144.9,150.0,130.25,136.1,138.85,535.0,0.75,NSE/CENTUM
2008-02-15,139.0,140.0,130.0,130.6,131.25,994.0,1.32,NSE/CENTUM
2008-02-18,131.0,139.5,125.3,129.95,129.45,3589.0,4.67,NSE/CENTUM
2008-02-19,130.0,130.0,128.0,130.0,130.0,544.0,0.71,NSE/CENTUM
2008-02-20,130.0,135.0,124.0,130.0,130.0,612.0,0.8,NSE/CENTUM
2008-02-21,140.0,140.0,126.65,126.65,127.35,753.0,0.97,NSE/CENTUM
2008-02-22,126.0,134.0,126.0,128.55,128.55,447.0,0.58,NSE/CENTUM
2008-02-25,129.0,130.35,128.0,128.05,128.9,460.0,0.59,NSE/CENTUM
2008-02-26,131.0,131.0,127.0,130.0,130.0,290.0,0.37,NSE/CENTUM
2008-02-27,125.0,130.0,125.0,127.0,129.7,517.0,0.66,NSE/CENTUM
2008-02-28,125.05,132.0,125.05,129.95,129.95,1848.0,2.37,NSE/CENTUM
2008-02-29,129.95,130.0,124.0,130.0,130.0,159.0,0.2,NSE/CENTUM
2008-03-03,124.0,129.95,122.25,124.75,122.95,800.0,0.99,NSE/CENTUM
